t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:50:35.377256+00:00,159.27,0.01,159.27,0.01,-95.7,437515521.27580047,10521.3,2537.1,-7209.5,1
2026-04-09T14:50:35.731487+00:00,159.27,0.03,159.27,0.03,-91.7,437515521.27580047,10521.3,2534.1,-7209.5,1
2026-04-09T14:50:36.084709+00:00,159.26,0.05,159.26,0.05,-91.7,437515521.27580047,10521.2,2531.5,-7209.5,1
2026-04-09T14:50:36.440193+00:00,159.26,0.06,159.26,0.06,-94.7,437515521.27580047,10521.2,2529.0,-7209.5,1
2026-04-09T14:50:36.792372+00:00,159.26,0.08,159.26,0.08,-98.7,437515521.27580047,10521.2,2526.5,-7209.4,1
2026-04-09T14:50:37.143028+00:00,159.25,0.10,159.25,0.1,-98.7,437515521.27580047,10521.1,2523.9,-7209.4,1
2026-04-09T14:50:37.515476+00:00,159.25,0.12,159.25,0.12,-94.7,437515521.27580047,10521.1,2521.4,-7209.4,1
2026-04-09T14:50:37.847621+00:00,159.25,0.14,159.25,0.14,-95.7,437515521.27580047,10521.1,2518.7,-7209.4,1
2026-04-09T14:50:38.204379+00:00,159.24,0.16,159.24,0.16,-91.7,437515521.27580047,10521.1,2516.3,-7209.4,1
2026-04-09T14:50:38.556131+00:00,159.24,0.18,159.24,0.18,-90.7,437515521.27580047,10521.0,2513.7,-7209.3,1
2026-04-09T14:50:38.887095+00:00,159.24,0.20,159.24,0.2,-90.7,437515521.27580047,10521.0,2511.2,-7209.3,1
2026-04-09T14:50:39.240593+00:00,159.23,0.21,159.23,0.21,-91.7,437515521.27580047,10520.9,2508.8,-7209.3,1
2026-04-09T14:50:39.592656+00:00,159.23,0.23,159.23,0.23,-91.7,437515521.27580047,10520.9,2506.2,-7209.3,1
2026-04-09T14:50:39.947454+00:00,159.23,0.25,159.23,0.25,-90.7,437515521.27580047,10520.9,2503.7,-7209.2,1
2026-04-09T14:50:40.320127+00:00,159.22,0.27,159.22,0.27,-89.7,437515521.27580047,10520.8,2501.1,-7209.2,1
2026-04-09T14:50:40.675304+00:00,159.22,0.29,159.22,0.29,-93.7,437515521.27580047,10520.8,2498.5,-7209.2,1
2026-04-09T14:50:41.028284+00:00,159.22,0.31,159.22,0.31,-92.7,437515521.27580047,10520.7,2495.9,-7209.1,1
2026-04-09T14:50:41.380181+00:00,159.21,0.33,159.21,0.33,-91.7,437515521.27580047,10520.7,2493.4,-7209.1,1
2026-04-09T14:50:41.760105+00:00,159.21,0.35,159.21,0.35,-97.7,437515521.27580047,10520.6,2490.8,-7209.1,1
2026-04-09T14:50:42.111104+00:00,159.21,0.37,159.21,0.37,-91.7,437515521.27580047,10520.6,2488.1,-7209.0,1
2026-04-09T14:50:42.464514+00:00,159.20,0.39,159.2,0.39,-96.7,437515521.27580047,10520.5,2485.5,-7209.0,1
2026-04-09T14:50:42.844129+00:00,159.20,0.41,159.2,0.41,-91.7,437515521.27580047,10520.4,2483.0,-7208.9,1
2026-04-09T14:50:43.196643+00:00,159.20,0.43,159.2,0.43,-91.7,437515521.27580047,10520.4,2480.3,-7208.9,1
2026-04-09T14:50:43.529385+00:00,159.19,0.45,159.19,0.45,-91.7,437515521.27580047,10520.3,2477.7,-7208.9,1
2026-04-09T14:50:43.879390+00:00,159.19,0.47,159.19,0.47,-87.7,437515521.27580047,10520.3,2475.3,-7208.8,1
2026-04-09T14:50:44.236308+00:00,159.19,0.49,159.19,0.49,-88.7,437515521.27580047,10520.2,2472.8,-7208.8,1
2026-04-09T14:50:44.588116+00:00,159.18,0.51,159.18,0.51,-90.7,437515521.27580047,10520.1,2470.2,-7208.7,1
2026-04-09T14:50:44.960742+00:00,159.18,0.53,159.18,0.53,-89.7,437515521.27580047,10520.1,2467.7,-7208.7,1
2026-04-09T14:50:45.320277+00:00,159.17,0.55,159.17,0.55,-92.7,437515521.27580047,10520.0,2465.0,-7208.6,1
2026-04-09T14:50:45.668142+00:00,159.17,0.57,159.17,0.57,-90.7,437515521.27580047,10519.9,2462.5,-7208.6,1
2026-04-09T14:50:46.044125+00:00,159.17,0.59,159.17,0.59,-89.7,437515521.27580047,10519.8,2459.9,-7208.5,1
2026-04-09T14:50:46.372572+00:00,159.16,0.61,159.16,0.61,-89.7,437515521.27580047,10519.8,2457.2,-7208.5,1
2026-04-09T14:50:46.728423+00:00,159.16,0.63,159.16,0.63,-91.7,437515521.27580047,10519.7,2454.8,-7208.4,1
2026-04-09T14:50:47.084381+00:00,159.16,0.65,159.16,0.65,-96.7,437515521.27580047,10519.6,2452.3,-7208.4,1
2026-04-09T14:50:47.436084+00:00,159.15,0.67,159.15,0.67,-96.7,437515521.27580047,10519.5,2449.7,-7208.3,1
2026-04-09T14:50:47.789237+00:00,159.15,0.69,159.15,0.69,-89.7,437515521.27580047,10519.4,2447.2,-7208.3,1
2026-04-09T14:50:48.142854+00:00,159.15,0.71,159.15,0.71,-94.7,437515521.27580047,10519.3,2444.6,-7208.2,1
2026-04-09T14:50:48.475707+00:00,159.14,0.73,159.14,0.73,-93.7,437515521.27580047,10519.3,2442.1,-7208.1,1
2026-04-09T14:50:48.829493+00:00,159.14,0.75,159.14,0.75,-92.7,437515521.27580047,10519.2,2439.7,-7208.1,1
2026-04-09T14:50:49.183331+00:00,159.14,0.77,159.14,0.77,-97.7,437515521.27580047,10519.1,2437.1,-7208.0,1
2026-04-09T14:50:49.536014+00:00,159.13,0.79,159.13,0.79,-91.7,437515521.27580047,10519.0,2434.6,-7207.9,1
2026-04-09T14:50:49.887755+00:00,159.13,0.81,159.13,0.81,-91.7,437515521.27580047,10518.9,2432.0,-7207.9,1
2026-04-09T14:50:50.244493+00:00,159.13,0.83,159.13,0.83,None,437515521.27580047,10518.8,2429.5,-7207.8,1
2026-04-09T14:50:50.596145+00:00,159.12,0.85,159.12,0.85,-95.7,437515521.27580047,10518.7,2426.9,-7207.7,1
2026-04-09T14:50:50.927311+00:00,159.12,0.87,159.12,0.87,-89.7,437515521.27580047,10518.6,2424.4,-7207.7,1
2026-04-09T14:50:51.303048+00:00,159.11,0.89,159.11,0.89,-95.7,437515521.27580047,10518.5,2422.0,-7207.6,1
2026-04-09T14:50:51.655238+00:00,159.11,0.91,159.11,0.91,-96.7,437515521.27580047,10518.4,2419.3,-7207.5,1
2026-04-09T14:50:52.012204+00:00,159.11,0.93,159.11,0.93,-95.7,437515521.27580047,10518.3,2416.7,-7207.5,1
2026-04-09T14:50:52.384429+00:00,159.10,0.96,159.1,0.96,-95.7,437515521.27580047,10518.2,2414.2,-7207.4,1
2026-04-09T14:50:52.736114+00:00,159.10,0.98,159.1,0.98,-97.7,437515521.27580047,10518.0,2411.5,-7207.3,1
2026-04-09T14:50:53.072345+00:00,159.10,1.00,159.1,1.0,-95.7,437515521.27580047,10517.9,2409.0,-7207.2,1
2026-04-09T14:50:53.444070+00:00,159.09,1.02,159.09,1.02,-97.7,437515521.27580047,10517.8,2406.6,-7207.1,1
2026-04-09T14:50:53.796847+00:00,159.09,1.04,159.09,1.04,-91.7,437515521.27580047,10517.7,2403.9,-7207.1,1
2026-04-09T14:50:54.127913+00:00,159.09,1.06,159.09,1.06,-99.7,437515521.27580047,10517.6,2401.3,-7207.0,1
2026-04-09T14:50:54.503127+00:00,159.08,1.08,159.08,1.08,-91.7,437515521.27580047,10517.5,2398.9,-7206.9,1
2026-04-09T14:50:54.856786+00:00,159.08,1.10,159.08,1.1,-90.7,437515521.27580047,10517.3,2396.2,-7206.8,1
2026-04-09T14:50:55.208548+00:00,159.07,1.13,159.07,1.13,-89.7,437515521.27580047,10517.2,2393.7,-7206.7,1
2026-04-09T14:50:55.584164+00:00,159.07,1.15,159.07,1.15,-93.7,437515521.27580047,10517.1,2391.1,-7206.6,1
2026-04-09T14:50:55.915188+00:00,159.07,1.17,159.07,1.17,-91.7,437515521.27580047,10516.9,2388.4,-7206.5,1
2026-04-09T14:50:56.268330+00:00,159.06,1.19,159.06,1.19,-89.7,437515521.27580047,10516.8,2386.1,-7206.4,1
2026-04-09T14:50:56.643980+00:00,159.06,1.21,159.06,1.21,-89.7,437515521.27580047,10516.7,2383.5,-7206.4,1
2026-04-09T14:50:56.976510+00:00,159.06,1.23,159.06,1.23,-94.7,437515521.27580047,10516.5,2380.8,-7206.3,1
2026-04-09T14:50:57.328168+00:00,159.05,1.25,159.05,1.25,-94.7,437515521.27580047,10516.4,2378.4,-7206.2,1
2026-04-09T14:50:57.684146+00:00,159.05,1.27,159.05,1.27,-93.7,437515521.27580047,10516.2,2375.9,-7206.1,1
2026-04-09T14:50:58.036723+00:00,159.04,1.30,159.04,1.3,-95.7,437515521.27580047,10516.1,2373.3,-7206.0,1
2026-04-09T14:50:58.391407+00:00,159.04,1.32,159.04,1.32,-89.7,437515521.27580047,10516.0,2370.8,-7205.9,1
2026-04-09T14:50:58.766989+00:00,159.04,1.34,159.04,1.34,-94.7,437515521.27580047,10515.8,2368.2,-7205.8,1
2026-04-09T14:50:59.124156+00:00,159.03,1.36,159.03,1.36,-89.7,437515521.27580047,10515.6,2365.5,-7205.7,1
2026-04-09T14:50:59.476607+00:00,159.03,1.39,159.03,1.39,-93.7,437515521.27580047,10515.5,2362.9,-7205.6,1
2026-04-09T14:50:59.832154+00:00,159.02,1.41,159.02,1.41,-95.7,437515521.27580047,10515.3,2360.4,-7205.4,1
2026-04-09T14:51:00.184219+00:00,159.02,1.43,159.02,1.43,-93.7,437515521.27580047,10515.2,2357.8,-7205.3,1
2026-04-09T14:51:00.536167+00:00,159.02,1.45,159.02,1.45,-91.7,437515521.27580047,10515.0,2355.3,-7205.2,1
2026-04-09T14:51:00.917021+00:00,159.01,1.47,159.01,1.47,-89.7,437515521.27580047,10514.9,2352.8,-7205.1,1
2026-04-09T14:51:01.264386+00:00,159.01,1.50,159.01,1.5,-90.7,437515521.27580047,10514.7,2350.1,-7205.0,1
2026-04-09T14:51:01.620349+00:00,159.00,1.52,159.0,1.52,-94.7,437515521.27580047,10514.5,2347.5,-7204.9,1
