Removed Pin From Net: NetName=LNA_P Pin=C38-1
Removed Pin From Net: NetName=LNA_P Pin=L2-1
Removed Pin From Net: NetName=LNA_N Pin=L2-2
Removed Pin From Net: NetName=GND Pin=L3-1
Removed Pin From Net: NetName=LNA_P Pin=L3-2
Removed Pin From Net: NetName=NetC40_1 Pin=L5-2
Removed Pin From Net: NetName=GND Pin=R27-2
Change Component Footprint: Designator=C38 Old Footprint=FP-GCM188-0_1-IPC_A New Footprint=CAPC1608X90X35LL10T15
Change Component Footprint: Designator=L2 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-IPC_A
Change Component Footprint: Designator=L3 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-IPC_A
Change Component Footprint: Designator=L4 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-MFG
Change Component Footprint: Designator=L5 Old Footprint=FP-LQW18AN_00-MFG New Footprint=FP-LQG18HH_00-MFG
Change Component Footprint: Designator=C41 Old Footprint=RES_0805 New Footprint=FP-GCM188-0_1-IPC_A
Change Component Comment : Designator=C41 Old Comment=Capacitor New Comment=06035A101JAT2A
Change Component Comment : Designator=C39 Old Comment=GCM1885C2A5R1CA16D New Comment=06035A5R1CAT2A
Change Component Comment : Designator=C40 Old Comment=GCM1885C2A5R1CA16D New Comment=06035A560JAT2A
Change Component Comment : Designator=C38 Old Comment=GCM1885C2A5R1CA16D New Comment=GCJ188R71C103KA01D
Change Component Comment : Designator=L5 Old Comment=LQW18AN15NG00D New Comment=LQG18HN27NJ00D
Change Component Comment : Designator=L4 Old Comment=LQW18AN27NJ00D New Comment=LQG18HN27NJ00D
Change Component Comment : Designator=L3 Old Comment=LQW18AN27NJ00D New Comment=LQG18HN56NJ00D
Change Component Comment : Designator=L2 Old Comment=LQW18AN56NG00D New Comment=LQG18HN56NJ00D
Change Managed Component Library Link : Designator=C38 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=5F3AB751-894B-4B20-88B9-EF05C8C0D25C New ItemGUID=21A0F3D9-E1EB-4B21-9530-9D5AA9C27727 Old RevisionGUID=31ED9A5D-4517-4489-ABF7-7FD097532DCC New RevisionGUID=92FADFD1-5AF5-4F12-9A12-F3F587EF614E
Change Managed Component Library Link : Designator=L2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=6E1305E7-BA89-4340-BA2A-49A8374E8F6A New ItemGUID=8D5818CD-4DD7-46FC-BEA5-5ACB5CE66988 Old RevisionGUID=841614AF-D431-47B7-923C-0EE835C649EA New RevisionGUID=486091CE-0C1C-4F1A-ACBA-9D280565A0B3
Change Managed Component Library Link : Designator=L3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8FFE469C-D7A0-40C8-B6F4-0624B6816737 New ItemGUID=8D5818CD-4DD7-46FC-BEA5-5ACB5CE66988 Old RevisionGUID=7960030D-4E04-473C-992A-9EBE2CB4FEFE New RevisionGUID=486091CE-0C1C-4F1A-ACBA-9D280565A0B3
Change Managed Component Library Link : Designator=L4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8FFE469C-D7A0-40C8-B6F4-0624B6816737 New ItemGUID=CBDC3F99-B0A8-4C77-98A3-29D1437FA941 Old RevisionGUID=7960030D-4E04-473C-992A-9EBE2CB4FEFE New RevisionGUID=9A7234C7-4230-4A16-8487-C890F3F3E9B0
Change Managed Component Library Link : Designator=L5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2058FF42-0975-4AE1-9D9C-C3F587B8B836 New ItemGUID=CBDC3F99-B0A8-4C77-98A3-29D1437FA941 Old RevisionGUID=9334EB29-E5F2-4D7D-A312-500765E624E2 New RevisionGUID=9A7234C7-4230-4A16-8487-C890F3F3E9B0
Change Managed Component Library Link : Designator=C41 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=5F3AB751-894B-4B20-88B9-EF05C8C0D25C Old RevisionGUID= New RevisionGUID=31ED9A5D-4517-4489-ABF7-7FD097532DCC
Change component parameters: Designator = "C38" ("C38"); Footprint = "FP-GCM188-0_1-IPC_A"; UniqueID = "\CFOWBUZS\AGOXTUNK" ("\CFOWBUZS\AGOXTUNK")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Size/Dimension"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71C103KA01-01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.murata.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (%)"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters: Designator = "C41" ("C41"); Footprint = "RES_0805"; UniqueID = "\CFOWBUZS\XSXZDPTO" ("\CFOWBUZS\XSXZDPTO")
Change component parameters: Designator = "L2" ("L2"); Footprint = "FP-LQW18AN_00-MFG"; UniqueID = "\CFOWBUZS\UILPENYN" ("\CFOWBUZS\UILPENYN")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = "Air"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "750mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.95mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.031inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "56nH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.75mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Q Factor"; Value = "12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "1.1GHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Frequency"; Value = "100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "L3" ("L3"); Footprint = "FP-LQW18AN_00-MFG"; UniqueID = "\CFOWBUZS\ZWEOLPGA" ("\CFOWBUZS\ZWEOLPGA")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = "Air"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "750mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.95mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.031inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "56nH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.75mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Q Factor"; Value = "12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "1.1GHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Frequency"; Value = "100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "L4" ("L4"); Footprint = "FP-LQW18AN_00-MFG"; UniqueID = "\CFOWBUZS\LUFIKGJL" ("\CFOWBUZS\LUFIKGJL")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = "Air"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "550mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.95mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.037inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "27nH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.063inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max DC Current"; Value = "300mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "4000"; VariantName = "[No Variations]"
