Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,4.7uF 50v,C98192
"C10, C12, C16, C23, C48, C52, C8, C9",0603,8,15pF,C1644
C11,0603,1,1.8nF,C343008
C13,0603,1,1.5nF,C76600
"C14, C15, C17, C18, C19, C20, C22, C25, C26, C27, C29, C30, C32, C34, C35, C38, C40, C42, C43, C46, C50, C53",0603,22,47nF,C1622
C2,0603,1,100n,C76939
"C21, C31, C41, C51",0603,4,10nF,C57112
"C24, C33, C57",0603,3,5.1pF,C61816
"C28, C36, C4, C5, C6, C7",0603,6,220nF,C21120
C3,0805,1,22uF,C2762594
"C37, C39, C44, C54, C56, C68, C69, C70, C71",0603,9,100pF,C14858
C45,0603,1,1.5pF,C695130
C47,0603,1,56pF,C338104
C49,0603,1,39pF,C445758
C55,0603,1,2.2pF,C1651
C58,0603,1,6.2pF,C48579262
C59,0603,1,1nF,C342910
"C60, C61, C62, C64, C65, C66",0805,6,10uF,C19702
"C63, C67",0603,2,100nF,C14663
D1,0603,1,D_Schottky,C3759853
"D2, D4, D5, D6",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812B-2020,C965555
D3,D_SOD-323,1,1N4148WS,C2128
"J1, J2",PinHeader_1x01_P2.00mm_Vertical,2,Conn_01x01,
J3,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,C50980
"J4, J5",SMA_Amphenol_132289_EdgeMount,2,SMA,
J6,CONN-TH_S6B-XH-A-LF-SN,1,JST_AZ,C157919
J7,CONN-TH_S6B-XH-A-LF-SN,1,JST_EL,C157919
L1,IND-SMD_L3.0-W3.0_AFE303020S,1,XRTC303020D4R7MBCA,C39846837
L10,0603,1,270nH,C668477
"L11, L7",0603,2,56nH,C12831
"L12, L17",0603,2,22nH,C98071
L13,0603,1,120nH,C307612
L14,0603,1,82nH,C98085
"L15, L8",0603,2,15nH,C23651
L16,0603,1,43nH,C29683
"L2, L3, L5",0603,3,100nH,C98089
L4,0603,1,47nH,C29683
"L6, L9",0603,2,27nH,C162550
Q1,SOT-23,1,BSS138,C112239
R1,0603,1,100k,C270364
R10,0603,1,18R,C245924
"R11, R12, R13, R14",0603,4,100R,C22775
R2,0603,1,13.7k,C138175
"R3, R4, R5, R7",0603,4,10k,C25804
"R6, R8",0603,2,56k,C23206
R9,0603,1,22R,C23345
TP1,smallpad,1,MISO,
TP2,smallpad,1,MOSI,
TP3,smallpad,1,CLK,
TP4,smallpad,1,CS,
TP5,smallpad,1,3.3V,
TP6,smallpad,1,GND,
U1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30PW-M,C431092
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,LMR51420YFDDCR,C7296200
"U3, U5",QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,2,CC1200RHBR,C122881
U4,RaspberryPi_Pico_SMD,1,RaspberryPi_Pico,C7203002
"U6, U7",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,2,A4950E,C82404
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,40MHz,C5380316
