Designator,Mid X,Mid Y,Rotation,Layer
C1,205.35,-76.45,270.0,top
C10,199.463,-98.315,0.0,top
C11,196.672,-110.615,270.0,top
C12,213.1125,-98.575,0.0,top
C13,210.3225,-110.875,270.0,top
C14,198.998,-104.015,0.0,top
C15,195.222,-110.64,270.0,top
C16,196.722,-113.613,270.0,top
C17,198.998,-108.402,0.0,top
C18,188.347,-109.625,180.0,top
C19,188.347,-106.725,180.0,top
C2,208.55,-80.45,0.0,top
C20,212.6475,-104.275,0.0,top
C21,193.773,-110.64,270.0,top
C22,208.8725,-110.9,270.0,top
C23,193.773,-113.602,270.0,top
C24,210.3725,-113.873139,270.0,top
C25,188.347,-105.275,180.0,top
C26,212.6475,-108.6625,0.0,top
C27,201.9975,-109.885,180.0,top
C28,190.572,-101.203,90.0,top
C29,192.072,-101.203,90.0,top
C3,210.85,-74.525,270.0,top
C30,201.9975,-106.985,180.0,top
C31,207.4225,-110.9,270.0,top
C32,195.05,-101.203,90.0,top
C33,207.4225,-113.8625,270.0,top
C34,201.9975,-105.535,180.0,top
C35,198.998,-109.852,0.0,top
C36,204.2225,-101.4625,90.0,top
C37,189.112,-113.34,90.0,top
C38,205.7225,-101.4625,90.0,top
C39,190.597,-112.1,270.0,top
C4,190.05,-90.95,90.0,top
C40,198.998,-105.502,0.0,top
C41,188.373,-115.575,180.0,top
C42,208.7,-101.4625,90.0,top
C43,198.998,-106.953,0.0,top
C44,188.373,-117.075,180.0,top
C45,192.245,-116.575,270.0,top
C46,212.6475,-110.1125,0.0,top
C47,202.7625,-113.6,90.0,top
C48,193.745,-116.575,90.0,top
C49,204.2475,-112.36,270.0,top
C5,190.07,-87.22,90.0,top
C50,212.6475,-105.7625,0.0,top
C51,202.0225,-115.835,180.0,top
C52,188.373,-118.575,180.0,top
C53,212.6475,-107.2125,0.0,top
C54,202.0225,-117.335,180.0,top
C55,205.895,-116.835,270.0,top
C56,190.597,-123.942,270.0,top
C57,207.395,-116.835,90.0,top
C58,202.0225,-118.835,180.0,top
C59,204.2475,-124.2025,270.0,top
C6,190.07,-83.52,90.0,top
C60,175.025,-84.915,90.0,top
C61,176.975,-84.915,90.0,top
C62,178.965,-84.915,90.0,top
C63,180.775,-84.915,90.0,top
C64,175.17,-69.8,90.0,top
C65,177.15,-69.8,90.0,top
C66,179.14,-69.8,90.0,top
C67,180.9,-69.8,90.0,top
C68,165.225,-98.8,0.0,bottom
C69,164.925,-83.925,0.0,bottom
C7,190.07,-79.97,90.0,top
C70,165.245,-101.285,0.0,bottom
C71,164.92,-85.745,0.0,bottom
C8,201.75,-101.75,90.0,top
C9,214.9,-105.0375,270.0,top
D1,188.375,-76.4,90.0,top
D2,187.91,-90.86,270.0,top
D3,176.4325,-120.351767,180.0,top
D4,187.87,-87.155,270.0,top
D5,187.87,-83.42,270.0,top
D6,187.87,-79.755,270.0,top
H1,214.72,-64.31,0.0,top
H2,214.72,-122.31,0.0,top
H3,165.72,-64.31,0.0,top
H4,165.72,-122.31,0.0,top
J1,179.0,-119.95,0.0,bottom
J2,179.0,-124.0,0.0,bottom
J3,214.68,-80.62,0.0,top
J4,193.15,-123.2375,270.0,top
J5,206.35,-123.25,270.0,top
J6,171.479261,-95.03001,90.0,top
J7,171.479261,-77.03001,90.0,top
L1,208.25,-74.45,90.0,top
L10,188.362,-111.102,0.0,top
L11,202.0125,-111.3625,0.0,top
L12,190.597,-115.08,270.0,top
L13,190.597,-118.03,270.0,top
L14,190.597,-120.992,270.0,top
L15,204.2475,-115.34,270.0,top
L16,204.2475,-118.29,270.0,top
L17,204.2475,-121.2525,270.0,top
L2,192.273,-113.602,270.0,top
L3,192.273,-110.64,270.0,top
L4,195.245,-116.575,270.0,top
L5,195.245,-113.625,270.0,top
L6,205.9225,-113.8625,270.0,top
L7,205.9225,-110.9,270.0,top
L8,208.895,-116.835,270.0,top
L9,208.895,-113.885,270.0,top
Q1,176.4325,-122.751767,180.0,top
R1,205.075,-73.4,0.0,top
R10,201.2725,-113.585,90.0,top
R11,168.2,-98.8,0.0,bottom
R12,167.925,-83.925,0.0,bottom
R13,168.2,-101.275,0.0,bottom
R14,167.875,-85.75,0.0,bottom
R2,205.525,-80.475,180.0,top
R3,188.322,-103.825,0.0,top
R4,201.9725,-104.085,0.0,top
R5,193.523,-101.203,270.0,top
R6,188.347,-108.175,0.0,top
R7,207.1725,-101.4625,270.0,top
R8,201.9975,-108.435,0.0,top
R9,187.623,-113.325,90.0,top
TP1,165.975,-118.575,0.0,top
TP2,166.0,-105.6,0.0,top
TP3,166.0,-108.2,0.0,top
TP4,166.0,-110.8,0.0,top
TP5,166.0,-113.4,0.0,top
TP6,166.0,-116.0,0.0,top
U1,197.8,-74.6,0.0,top
U2,208.25,-77.95,0.0,top
U3,193.25,-105.9125,0.0,top
U4,197.95,-93.0125,0.0,bottom
U5,206.7725,-106.1625,0.0,top
U6,177.875,-89.515,90.0,top
U7,177.85,-74.425,90.0,top
Y1,199.222,-101.165,90.0,top
Y2,212.8725,-101.425,90.0,top
