Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,2.2pF,C1651
C10,0603,1,1nF,C342910
"C11, C12, C13, C20, C27, C32, C45, C46",0603,8,15pF,C1644
"C14, C15, C21, C25, C26, C28, C29, C30, C33, C35, C36, C37, C40, C42, C57, C58, C59, C60, C61, C62, C63, C64",0603,22,47nF,C1622
"C16, C31, C41, C6",0603,4,10nF,C57112
"C17, C34, C48, C49, C50, C51",0603,6,220nF,C21120
C18,0603,1,1.5nF,C76600
C19,0805,1,4.7uF 50v,C98192
C2,0603,1,39pF,C445758
C22,0603,1,100n,C76939
C23,0603,1,1.8nF,C343008
C24,0603,1,22uF,C2762594
"C3, C8, C9",0603,3,5.1pF,C61816
"C38, C39, C43, C47, C7",0603,5,100pF,C14858
C4,0603,1,6.2pF,C48579262
C44,0603,1,1.5pF,C695130
C5,0603,1,56pF,C338104
D1,0603,1,D_Schottky,C3759853
D2,D_SOD-323,1,1N4148WS,
"D3, D4, D5, D6",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812B-2020,
"J1, J2",SMA_Amphenol_132289_EdgeMount,2,SMA,
J3,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,C50980
"J4, J5",PinHeader_1x01_P2.00mm_Vertical,2,Conn_01x01,
"L1, L5",0603,2,15nH,C23651
"L10, L12, L9",0603,3,100nH,C98089
L11,0603,1,47nH,C29683
L13,0603,1,270nH,C668477
"L14, L3",0603,2,22nH,C98071
L15,0603,1,120nH,C307612
L16,0603,1,82nH,C98085
L18,IND-SMD_L3.0-W3.0_AFE303020S,1,XRTC303020D4R7MBCA,C39846837
L2,0603,1,43nH,C29683
"L4, L7",0603,2,56nH,C12831
"L6, L8",0603,2,27nH,C162550
Q1,SOT-23,1,BSS138,
"R1, R2, R4, R5",0603,4,10k,C25804
R16,0603,1,100k,C270364
R17,0603,1,13.7k,C138175
"R3, R7",0603,2,56k,C23206
R6,0603,1,18R,C245924
R8,0603,1,22R,C23345
"U1, U2",QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,2,CC1200RHBR,C122881
U3,RaspberryPi_Pico_SMD,1,RaspberryPi_Pico,
U4,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30PW-M,C431092
U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,LMR51420YFDDCR,C7296200
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,40MHz,C5380316
