Designator,Mid X,Mid Y,Rotation,Layer
C1,205.895,-116.835,270.0,top
C10,204.2475,-124.2025,270.0,top
C11,201.75,-101.75,90.0,top
C12,214.9,-105.0375,270.0,top
C13,213.1125,-98.575,0.0,top
C14,212.6475,-108.6625,0.0,top
C15,212.6475,-104.275,0.0,top
C16,207.4225,-110.9,270.0,top
C17,204.2225,-101.4625,90.0,top
C18,210.3225,-110.875,270.0,top
C19,205.35,-76.45,270.0,top
C2,204.2475,-112.36,270.0,top
C20,199.463,-98.315,0.0,top
C21,208.8725,-110.9,270.0,top
C22,208.55,-80.45,0.0,top
C23,196.672,-110.615,270.0,top
C24,210.85,-74.525,270.0,top
C25,198.998,-104.015,0.0,top
C26,195.222,-110.64,270.0,top
C27,196.722,-113.613,270.0,top
C28,198.998,-108.402,0.0,top
C29,188.347,-109.625,180.0,top
C3,207.395,-116.835,90.0,top
C30,188.347,-106.725,180.0,top
C31,193.773,-110.64,270.0,top
C32,193.773,-113.602,270.0,top
C33,188.347,-105.275,180.0,top
C34,190.572,-101.203,90.0,top
C35,192.072,-101.203,90.0,top
C36,195.05,-101.203,90.0,top
C37,198.998,-109.852,0.0,top
C38,189.112,-113.34,90.0,top
C39,190.597,-112.1,270.0,top
C4,202.0225,-118.835,180.0,top
C40,198.998,-105.502,0.0,top
C41,188.373,-115.575,180.0,top
C42,198.998,-106.953,0.0,top
C43,188.373,-117.075,180.0,top
C44,192.245,-116.575,270.0,top
C45,193.745,-116.575,90.0,top
C46,188.373,-118.575,180.0,top
C47,190.597,-123.942,270.0,top
C48,190.05,-90.95,90.0,top
C49,190.07,-87.22,90.0,top
C5,202.7625,-113.6,90.0,top
C50,190.07,-83.52,90.0,top
C51,190.07,-79.97,90.0,top
C57,201.9975,-109.885,180.0,top
C58,201.9975,-106.985,180.0,top
C59,201.9975,-105.535,180.0,top
C6,202.0225,-115.835,180.0,top
C60,205.7225,-101.4625,90.0,top
C61,208.7,-101.4625,90.0,top
C62,212.6475,-110.1125,0.0,top
C63,212.6475,-105.7625,0.0,top
C64,212.6475,-107.2125,0.0,top
C7,202.0225,-117.335,180.0,top
C8,210.3725,-113.873139,270.0,top
C9,207.4225,-113.8625,270.0,top
D1,208.05,-71.85,180.0,top
D2,212.3,-114.85,270.0,top
D3,187.91,-90.86,270.0,top
D4,187.87,-87.155,270.0,top
D5,187.87,-83.42,270.0,top
D6,187.87,-79.755,270.0,top
J1,206.35,-123.25,270.0,top
J2,193.15,-123.2375,270.0,top
J3,214.68,-80.62,0.0,top
J4,211.898233,-112.2825,270.0,bottom
J5,215.948233,-112.2825,270.0,bottom
L1,204.2475,-115.34,270.0,top
L10,192.273,-110.64,270.0,top
L11,195.245,-116.575,270.0,top
L12,195.245,-113.625,270.0,top
L13,188.362,-111.102,0.0,top
L14,190.597,-115.08,270.0,top
L15,190.597,-118.03,270.0,top
L16,190.597,-120.992,270.0,top
L18,208.25,-74.45,90.0,top
L2,204.2475,-118.29,270.0,top
L3,204.2475,-121.2525,270.0,top
L4,202.0125,-111.3625,0.0,top
L5,208.895,-116.835,270.0,top
L6,205.9225,-113.8625,270.0,top
L7,205.9225,-110.9,270.0,top
L8,208.895,-113.885,270.0,top
L9,192.273,-113.602,270.0,top
Q1,214.7,-114.85,270.0,top
R1,188.322,-103.825,0.0,top
R16,205.55,-73.15,90.0,top
R17,205.55,-79.75,90.0,top
R2,193.523,-101.203,270.0,top
R3,188.347,-108.175,0.0,top
R4,201.9725,-104.085,0.0,top
R5,207.1725,-101.4625,270.0,top
R6,201.2725,-113.585,90.0,top
R7,201.9975,-108.435,0.0,top
R8,187.623,-113.325,90.0,top
U1,206.7725,-106.1625,0.0,top
U2,193.25,-105.9125,0.0,top
U3,197.95,-93.0125,0.0,bottom
U4,197.8,-74.6,0.0,top
U5,208.25,-77.95,0.0,top
Y1,212.8725,-101.425,90.0,top
Y2,199.222,-101.165,90.0,top
