Farnell Order Code,Quantity,Description
1813415,2,2.2pF 0603 C0G (C1)
1414601,2,39pF 0603 C0G KEMET (C2)
2904766,6,5.1pF 0603 (C3/C8/C9)
1572627,2,56pF 0603 (C5)
1759022,8,10nF 0603 (C6/C16/C31/C41)
1414603,10,100pF 0603 C0G KEMET (C7/C38/C39/C43/C47)
2496882,2,1nF 0603 (C10)
721980,16,15pF 0603 (C11-13/C20/C27/C32/C45-46)
1414643,44,47nF 0603 X7R KEMET (C14/C15/C21/C25-26/C28-30/C33/C35-37/C40/C42/C57-64)
1828900,12,220nF 0603 (C17/C34/C48-51)
2672137,2,1.5nF 0603 (C18)
1735545,2,4.7uF 50V 0805 (C19)
1650835,2,100nF 0603 (C22)
1813422,2,1.8nF 0603 (C23)
2494232,2,22uF 6.3V 0603 X5R Murata (C24)
721864,2,1.5pF 0603 (C44)
1843687,2,Schottky diode 0603 (D1)
2689965,2,1N4148WS SOD-323 buzzer flyback (D2)
1342651,4,SMA edge-mount Multicomp MP-19-70-TGG 50ohm (J1/J2)
1515375,4,15nH 0603 (L1/L5)
3471521,2,43nH 0603 Murata LQW18AN43NG00D (L2)
1515382,4,22nH 0603 (L3/L14)
1711807,4,56nH 0603 Multicomp MCFT000092 (L4/L7)
1515383,4,27nH 0603 (L6/L8)
9528032,6,100nH 0603 (L9/L10/L12)
1515390,2,47nH 0603 (L11)
3471564,2,270nH 0603 (L13)
3678407,2,120nH 0603 (L15)
1515396,2,82nH 0603 (L16)
4142875,2,4.7uH 3030 power inductor (L18)
9845330,2,BSS138 N-FET SOT-23 buzzer driver (Q1)
9238603,8,10k 0603 (R1/R2/R4/R5)
9238697,4,56k 0603 (R3/R7)
9238271,2,18R 0603 (R6)
9238280,2,22R 0603 (R8)
9238727,2,100k 0603 (R16)
2138429,2,13.7k 0603 (R17)
3643332,2,Raspberry Pi Pico (U3)
2723242,4,40MHz crystal 3225 10pF Epson TSX-3225 (Y1/Y2)
