t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T19:18:46.178920+00:00,143.24,0.00,143.24,0.0,-79.8,433010005.63265836,10005.6,2578.1,-6927.5,0
2026-04-01T19:18:46.626683+00:00,143.22,0.03,143.22,0.03,-79.8,433010005.63265836,10004.5,2574.3,-6926.8,0
2026-04-01T19:18:47.070723+00:00,143.20,0.05,143.2,0.05,-79.8,433010005.63265836,10003.7,2571.2,-6926.1,0
2026-04-01T19:18:47.558613+00:00,143.18,0.08,143.18,0.08,-79.8,433010005.63265836,10002.7,2567.9,-6925.5,0
2026-04-01T19:18:48.002689+00:00,143.16,0.10,143.16,0.1,-79.8,433010005.63265836,10001.8,2564.8,-6924.8,0
2026-04-01T19:18:48.490857+00:00,143.14,0.12,143.14,0.12,-79.8,433010005.63265836,10000.8,2561.7,-6924.2,0
2026-04-01T19:18:48.934617+00:00,143.11,0.15,143.11,0.15,-79.8,433010005.63265836,9999.8,2558.3,-6923.5,0
2026-04-01T19:18:49.378719+00:00,143.10,0.17,143.1,0.17,-79.8,433010005.63265836,9998.9,2555.2,-6922.9,0
2026-04-01T19:18:49.867840+00:00,143.07,0.20,143.07,0.2,-79.8,433010005.63265836,9997.9,2551.9,-6922.2,0
2026-04-01T19:18:50.310771+00:00,143.05,0.22,143.05,0.22,-79.8,433010005.63265836,9996.9,2548.8,-6921.5,0
2026-04-01T19:18:50.798765+00:00,143.03,0.24,143.03,0.24,-79.8,433010005.63265836,9996.0,2545.7,-6920.8,0
2026-04-01T19:18:51.242688+00:00,143.01,0.27,143.01,0.27,-79.8,433010005.63265836,9995.0,2542.4,-6920.1,0
2026-04-01T19:18:51.690913+00:00,142.99,0.29,142.99,0.29,-79.8,433010005.63265836,9994.0,2539.2,-6919.5,0
2026-04-01T19:18:52.175764+00:00,142.97,0.32,142.97,0.32,-79.8,433010005.63265836,9992.9,2535.9,-6918.7,0
2026-04-01T19:18:52.627377+00:00,142.95,0.34,142.95,0.34,-79.8,433010005.63265836,9992.0,2532.8,-6918.1,0
2026-04-01T19:18:53.115256+00:00,142.93,0.36,142.93,0.36,-79.8,433010005.63265836,9991.0,2529.7,-6917.4,0
2026-04-01T19:18:53.563034+00:00,142.91,0.39,142.91,0.39,-79.8,433010005.63265836,9989.9,2526.3,-6916.6,0
2026-04-01T19:18:54.011390+00:00,142.89,0.41,142.89,0.41,-79.8,433010005.63265836,9988.9,2523.2,-6915.9,0
2026-04-01T19:18:54.503422+00:00,142.86,0.44,142.86,0.44,-79.8,433010005.63265836,9987.8,2519.8,-6915.2,0
2026-04-01T19:18:54.947104+00:00,142.84,0.46,142.84,0.46,-79.8,433010005.63265836,9986.8,2516.7,-6914.5,0
2026-04-01T19:18:55.439606+00:00,142.82,0.49,142.82,0.49,-79.8,433010005.63265836,9985.8,2513.6,-6913.8,0
2026-04-01T19:18:55.883885+00:00,142.80,0.51,142.8,0.51,-79.8,433010005.63265836,9984.7,2510.2,-6913.0,0
2026-04-01T19:18:56.331110+00:00,142.78,0.54,142.78,0.54,-79.8,433010005.63265836,9983.7,2507.2,-6912.3,0
2026-04-01T19:18:56.818608+00:00,142.76,0.57,142.76,0.57,-79.8,433010005.63265836,9982.5,2503.8,-6911.5,0
2026-04-01T19:18:57.262632+00:00,142.74,0.59,142.74,0.59,-79.8,433010005.63265836,9981.5,2500.7,-6910.8,0
2026-04-01T19:18:57.750636+00:00,142.72,0.61,142.72,0.61,-79.8,433010005.63265836,9980.4,2497.6,-6910.1,0
2026-04-01T19:18:58.194624+00:00,142.69,0.64,142.69,0.64,-79.8,433010005.63265836,9979.3,2494.3,-6909.3,0
2026-04-01T19:18:58.638804+00:00,142.67,0.66,142.67,0.66,-79.8,433010005.63265836,9978.2,2491.2,-6908.5,0
2026-04-01T19:18:59.126617+00:00,142.65,0.69,142.65,0.69,-79.8,433010005.63265836,9977.1,2487.8,-6907.8,0
2026-04-01T19:18:59.570601+00:00,142.63,0.72,142.63,0.72,-79.8,433010005.63265836,9976.0,2484.8,-6907.0,0
2026-04-01T19:19:00.058631+00:00,142.61,0.74,142.61,0.74,-79.8,433010005.63265836,9974.9,2481.7,-6906.3,0
2026-04-01T19:19:00.502760+00:00,142.58,0.77,142.58,0.77,-79.8,433010005.63265836,9973.8,2478.3,-6905.4,0
2026-04-01T19:19:00.950693+00:00,142.56,0.79,142.56,0.79,-79.8,433010005.63265836,9972.7,2475.2,-6904.7,0
2026-04-01T19:19:01.440673+00:00,142.54,0.82,142.54,0.82,-79.8,433010005.63265836,9971.5,2471.9,-6903.9,0
2026-04-01T19:19:01.888832+00:00,142.52,0.84,142.52,0.84,-79.8,433010005.63265836,9970.4,2468.8,-6903.1,0
2026-04-01T19:19:02.370591+00:00,142.50,0.87,142.5,0.87,-79.8,433010005.63265836,9969.2,2465.7,-6902.3,0
2026-04-01T19:19:02.818962+00:00,142.47,0.90,142.47,0.9,-79.8,433010005.63265836,9968.0,2462.4,-6901.5,0
2026-04-01T19:19:03.277532+00:00,142.45,0.92,142.45,0.92,-79.8,433010005.63265836,9966.9,2459.3,-6900.7,0
2026-04-01T19:19:03.766697+00:00,142.43,0.95,142.43,0.95,-79.8,433010005.63265836,9965.6,2455.8,-6899.8,0
2026-04-01T19:19:04.215956+00:00,142.41,0.98,142.41,0.98,-79.8,433010005.63265836,9964.5,2452.7,-6899.0,0
2026-04-01T19:19:04.698592+00:00,142.39,1.00,142.39,1.0,-79.8,433010005.63265836,9963.3,2449.7,-6898.2,0
