t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T19:43:43.823645+00:00,13.07,0.00,13.07,0.0,-78.8,433010514.7020463,10514.7,2378.9,-7280.0,0
2026-04-01T19:43:44.271842+00:00,13.08,0.03,13.08,0.03,-78.8,433010514.7020463,10514.8,2375.0,-7280.0,0
2026-04-01T19:43:44.718660+00:00,13.08,0.06,13.08,0.06,-78.8,433010514.7020463,10514.8,2371.7,-7280.1,0
2026-04-01T19:43:45.202607+00:00,13.09,0.08,13.09,0.08,-78.8,433010514.7020463,10514.9,2368.2,-7280.1,0
2026-04-01T19:43:45.646710+00:00,13.09,0.11,13.09,0.11,-78.8,433010514.7020463,10515.0,2364.9,-7280.2,0
2026-04-01T19:43:46.134612+00:00,13.09,0.13,13.09,0.13,-78.8,433010514.7020463,10515.0,2361.7,-7280.2,0
2026-04-01T19:43:46.578966+00:00,13.09,0.16,13.09,0.16,-78.8,433010514.7020463,10515.1,2358.2,-7280.2,0
2026-04-01T19:43:47.022855+00:00,13.10,0.18,13.1,0.18,-78.8,433010514.7020463,10515.1,2354.9,-7280.3,0
2026-04-01T19:43:47.506798+00:00,13.10,0.21,13.1,0.21,-78.8,433010514.7020463,10515.2,2351.4,-7280.3,0
2026-04-01T19:43:47.950577+00:00,13.10,0.23,13.1,0.23,-78.8,433010514.7020463,10515.2,2348.2,-7280.3,0
2026-04-01T19:43:48.434572+00:00,13.11,0.25,13.11,0.25,-78.8,433010514.7020463,10515.2,2344.9,-7280.4,0
2026-04-01T19:43:48.878619+00:00,13.11,0.28,13.11,0.28,-78.8,433010514.7020463,10515.3,2341.4,-7280.4,0
2026-04-01T19:43:49.324084+00:00,13.11,0.30,13.11,0.3,-78.8,433010514.7020463,10515.3,2338.1,-7280.4,0
2026-04-01T19:43:49.815506+00:00,13.12,0.33,13.12,0.33,-78.8,433010514.7020463,10515.4,2334.6,-7280.4,0
2026-04-01T19:43:50.264895+00:00,13.12,0.36,13.12,0.36,-78.8,433010514.7020463,10515.4,2331.3,-7280.4,0
2026-04-01T19:43:50.751747+00:00,13.12,0.38,13.12,0.38,-78.8,433010514.7020463,10515.4,2328.1,-7280.5,0
2026-04-01T19:43:51.195733+00:00,13.13,0.41,13.13,0.41,-78.8,433010514.7020463,10515.4,2324.5,-7280.5,0
2026-04-01T19:43:51.647226+00:00,13.13,0.43,13.13,0.43,-78.8,433010514.7020463,10515.5,2321.3,-7280.5,0
2026-04-01T19:43:52.136900+00:00,13.13,0.46,13.13,0.46,-78.8,433010514.7020463,10515.5,2317.7,-7280.5,0
2026-04-01T19:43:52.579265+00:00,13.14,0.48,13.14,0.48,-78.8,433010514.7020463,10515.5,2314.4,-7280.5,0
2026-04-01T19:43:53.073688+00:00,13.14,0.51,13.14,0.51,-78.8,433010514.7020463,10515.5,2311.2,-7280.5,0
2026-04-01T19:43:53.519779+00:00,13.14,0.54,13.14,0.54,-78.8,433010514.7020463,10515.5,2307.6,-7280.5,0
2026-04-01T19:43:53.962619+00:00,13.15,0.56,13.15,0.56,-78.8,433010514.7020463,10515.5,2304.4,-7280.5,0
2026-04-01T19:43:54.446704+00:00,13.15,0.59,13.15,0.59,-78.8,433010514.7020463,10515.5,2300.9,-7280.5,0
2026-04-01T19:43:54.895089+00:00,13.15,0.61,13.15,0.61,-78.8,433010514.7020463,10515.5,2297.6,-7280.5,0
2026-04-01T19:43:55.378804+00:00,13.16,0.64,13.16,0.64,-78.8,433010514.7020463,10515.5,2294.3,-7280.5,0
