t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T20:22:37.009610+00:00,30.86,2.65,30.86,2.65,-92.8,433008985.62570053,8985.6,2116.6,-6221.3,0
2026-04-01T20:22:37.458276+00:00,30.92,2.68,30.92,2.68,-92.8,433008985.62570053,8980.6,2113.2,-6217.8,0
2026-04-01T20:22:37.902271+00:00,30.97,2.71,30.97,2.71,-92.8,433008985.62570053,8976.4,2110.4,-6214.9,0
2026-04-01T20:22:38.393596+00:00,31.02,2.74,31.02,2.74,-92.8,433008985.62570053,8971.9,2107.4,-6211.8,0
2026-04-01T20:22:38.838252+00:00,31.07,2.76,31.07,2.76,-92.8,433008985.62570053,8967.7,2104.6,-6208.9,0
2026-04-01T20:22:39.331209+00:00,31.12,2.79,31.12,2.79,-92.8,433008985.62570053,8963.5,2101.9,-6206.0,0
2026-04-01T20:22:39.774020+00:00,31.17,2.82,31.17,2.82,-92.8,433008985.62570053,8958.8,2098.8,-6202.8,0
2026-04-01T20:22:40.222289+00:00,31.22,2.84,31.22,2.84,-92.8,433008985.62570053,8954.6,2096.0,-6199.8,0
2026-04-01T20:22:40.710234+00:00,31.28,2.87,31.28,2.87,-92.8,433008985.62570053,8950.0,2093.0,-6196.6,0
2026-04-01T20:22:41.158231+00:00,31.32,2.90,31.32,2.9,-92.8,433008985.62570053,8945.7,2090.2,-6193.6,0
2026-04-01T20:22:41.650217+00:00,31.37,2.93,31.37,2.93,-92.8,433008985.62570053,8941.4,2087.5,-6190.6,0
2026-04-01T20:22:42.097413+00:00,31.43,2.96,31.43,2.96,-92.8,433008985.62570053,8936.6,2084.4,-6187.3,0
2026-04-01T20:22:42.601989+00:00,31.48,2.99,31.48,2.99,-92.8,433008934.0013911,8931.7,2081.3,-6183.9,0
2026-04-01T20:22:43.091476+00:00,31.54,3.02,31.54,3.02,-92.8,433008934.0013911,8926.9,2078.3,-6180.6,0
2026-04-01T20:22:43.538238+00:00,31.59,3.04,31.59,3.04,-92.8,433008934.0013911,8922.5,2075.5,-6177.6,0
2026-04-01T20:22:44.026246+00:00,31.64,3.07,31.64,3.07,-92.8,433008934.0013911,8918.1,2072.8,-6174.5,0
2026-04-01T20:22:44.474251+00:00,31.69,3.10,31.69,3.1,-92.8,433008934.0013911,8913.2,2069.7,-6171.2,0
2026-04-01T20:22:44.917321+00:00,31.74,3.13,31.74,3.13,-92.8,433008934.0013911,8908.8,2067.0,-6168.1,0
2026-04-01T20:22:45.405138+00:00,31.80,3.16,31.8,3.16,-92.8,433008934.0013911,8903.9,2064.0,-6164.7,0
2026-04-01T20:22:45.849180+00:00,31.85,3.18,31.85,3.18,-92.8,433008934.0013911,8899.5,2061.3,-6161.7,0
2026-04-01T20:22:46.333213+00:00,31.90,3.21,31.9,3.21,-92.8,433008934.0013911,8895.0,2058.5,-6158.5,0
2026-04-01T20:22:46.777111+00:00,31.95,3.24,31.95,3.24,-92.8,433008934.0013911,8890.1,2055.5,-6155.1,0
2026-04-01T20:22:47.221155+00:00,32.00,3.27,32.0,3.27,-92.8,433008934.0013911,8885.5,2052.8,-6152.0,0
2026-04-01T20:22:47.765276+00:00,32.06,3.30,32.06,3.3,-92.8,433008880.5300569,8880.5,2049.8,-6148.5,0
2026-04-01T20:22:48.209135+00:00,32.12,3.33,32.12,3.33,-92.8,433008880.5300569,8875.3,2046.7,-6144.9,0
2026-04-01T20:22:48.693133+00:00,32.17,3.36,32.17,3.36,-92.8,433008880.5300569,8870.7,2044.0,-6141.8,0
2026-04-01T20:22:49.137134+00:00,32.22,3.38,32.22,3.38,-92.8,433008880.5300569,8865.7,2041.0,-6138.3,0
2026-04-01T20:22:49.581145+00:00,32.28,3.41,32.28,3.41,-92.8,433008880.5300569,8861.1,2038.3,-6135.1,0
2026-04-01T20:22:50.070187+00:00,32.33,3.44,32.33,3.44,-92.8,433008880.5300569,8856.0,2035.3,-6131.5,0
2026-04-01T20:22:50.519082+00:00,32.38,3.47,32.38,3.47,-92.8,433008880.5300569,8851.3,2032.6,-6128.3,0
2026-04-01T20:22:51.006893+00:00,32.44,3.50,32.44,3.5,-92.8,433008880.5300569,8846.5,2029.8,-6125.0,0
2026-04-01T20:22:51.450006+00:00,32.49,3.53,32.49,3.53,-92.8,433008880.5300569,8841.3,2026.8,-6121.4,0
2026-04-01T20:22:51.897736+00:00,32.54,3.56,32.54,3.56,-92.8,433008880.5300569,8836.6,2024.1,-6118.1,0
2026-04-01T20:22:52.389763+00:00,32.60,3.59,32.6,3.59,-92.8,433008880.5300569,8831.3,2021.1,-6114.5,0
2026-04-01T20:22:52.853983+00:00,32.66,3.61,32.66,3.61,-92.8,433008880.5300569,8826.3,2018.3,-6111.0,0
2026-04-01T20:22:53.402217+00:00,32.72,3.65,32.72,3.65,-92.8,433008823.3731358,8820.8,2015.2,-6107.2,0
2026-04-01T20:22:53.849800+00:00,32.77,3.68,32.77,3.68,-92.8,433008823.3731358,8815.4,2012.2,-6103.5,0
2026-04-01T20:22:54.299398+00:00,32.83,3.70,32.83,3.7,-92.8,433008823.3731358,8810.6,2009.5,-6100.1,0
2026-04-01T20:22:54.786255+00:00,32.89,3.74,32.89,3.74,-92.8,433008823.3731358,8805.1,2006.5,-6096.3,0
2026-04-01T20:22:55.230009+00:00,32.94,3.76,32.94,3.76,-92.8,433008823.3731358,8800.2,2003.8,-6092.9,0
2026-04-01T20:22:55.718311+00:00,32.99,3.79,32.99,3.79,-92.8,433008823.3731358,8795.2,2001.0,-6089.5,0
2026-04-01T20:22:56.166243+00:00,33.05,3.82,33.05,3.82,-92.8,433008823.3731358,8789.8,1998.1,-6085.7,0
2026-04-01T20:22:56.614225+00:00,33.11,3.85,33.11,3.85,-92.8,433008823.3731358,8784.8,1995.4,-6082.2,0
2026-04-01T20:22:57.101987+00:00,33.16,3.88,33.16,3.88,-92.8,433008823.3731358,8779.2,1992.4,-6078.4,0
