t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T20:38:45.177173+00:00,19.36,4.82,19.36,4.82,-96.8,433010118.30963737,10118.3,2035.8,-7005.5,0
2026-04-01T20:38:45.621140+00:00,19.39,4.86,19.39,4.86,-96.8,433010118.30963737,10117.0,2032.0,-7004.7,0
2026-04-01T20:38:46.071459+00:00,19.41,4.90,19.41,4.9,-96.8,433010118.30963737,10116.0,2028.9,-7003.9,0
2026-04-01T20:38:46.579274+00:00,19.43,4.94,19.43,4.94,-96.8,433010118.30963737,10114.8,2025.4,-7003.1,0
2026-04-01T20:38:47.022124+00:00,19.45,4.97,19.45,4.97,-96.8,433010118.30963737,10113.7,2022.2,-7002.4,0
2026-04-01T20:38:47.509594+00:00,19.47,5.00,19.47,5.0,-96.8,433010118.30963737,10112.7,2019.1,-7001.6,0
2026-04-01T20:38:47.957600+00:00,19.49,5.04,19.49,5.04,-96.8,433010118.30963737,10111.5,2015.7,-7000.8,0
2026-04-01T20:38:48.406730+00:00,19.51,5.08,19.51,5.08,-96.8,433010118.30963737,10110.4,2012.5,-7000.1,0
2026-04-01T20:38:48.894529+00:00,19.54,5.11,19.54,5.11,-96.8,433010118.30963737,10109.2,2009.1,-6999.2,0
2026-04-01T20:38:49.337729+00:00,19.56,5.15,19.56,5.15,-96.8,433010118.30963737,10108.1,2006.0,-6998.5,0
2026-04-01T20:38:49.830755+00:00,19.58,5.18,19.58,5.18,-96.8,433010118.30963737,10107.0,2002.9,-6997.7,0
2026-04-01T20:38:50.274575+00:00,19.60,5.22,19.6,5.22,-96.8,433010118.30963737,10105.8,1999.4,-6996.9,0
2026-04-01T20:38:50.723563+00:00,19.62,5.26,19.62,5.26,-96.8,433010118.30963737,10104.7,1996.3,-6996.1,0
2026-04-01T20:38:51.214355+00:00,19.64,5.30,19.64,5.3,-96.8,433010118.30963737,10103.4,1992.9,-6995.2,0
2026-04-01T20:38:51.673457+00:00,19.66,5.33,19.66,5.33,-96.8,433010118.30963737,10102.2,1989.6,-6994.4,0
2026-04-01T20:38:52.161155+00:00,19.68,5.37,19.68,5.37,-96.8,433010118.30963737,10101.1,1986.5,-6993.6,0
2026-04-01T20:38:52.605140+00:00,19.70,5.41,19.7,5.41,-96.8,433010118.30963737,10099.8,1983.2,-6992.7,0
2026-04-01T20:38:53.049150+00:00,19.73,5.44,19.73,5.44,-96.8,433010118.30963737,10098.7,1980.0,-6991.9,0
2026-04-01T20:38:53.533161+00:00,19.75,5.48,19.75,5.48,-96.8,433010118.30963737,10097.4,1976.6,-6991.0,0
2026-04-01T20:38:53.977265+00:00,19.77,5.52,19.77,5.52,-96.8,433010118.30963737,10096.2,1973.5,-6990.2,0
2026-04-01T20:38:54.465167+00:00,19.79,5.55,19.79,5.55,-96.8,433010118.30963737,10095.0,1970.4,-6989.4,0
2026-04-01T20:38:54.909165+00:00,19.81,5.59,19.81,5.59,-96.8,433010118.30963737,10093.7,1967.1,-6988.5,0
2026-04-01T20:38:55.353293+00:00,19.83,5.63,19.83,5.63,-96.8,433010118.30963737,10092.5,1963.9,-6987.7,0
2026-04-01T20:38:55.837423+00:00,19.86,5.66,19.86,5.66,-96.8,433010118.30963737,10091.2,1960.5,-6986.7,0
2026-04-01T20:38:56.284495+00:00,19.88,5.70,19.88,5.7,-96.8,433010118.30963737,10090.0,1957.4,-6985.9,0
2026-04-01T20:38:56.770873+00:00,19.90,5.74,19.9,5.74,-96.8,433010118.30963737,10088.7,1954.3,-6985.0,0
2026-04-01T20:38:57.218223+00:00,19.92,5.78,19.92,5.78,-96.8,433010118.30963737,10087.4,1950.9,-6984.1,0
2026-04-01T20:38:57.665165+00:00,19.94,5.81,19.94,5.81,-96.8,433010118.30963737,10086.1,1947.8,-6983.2,0
