t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T21:05:21.350560+00:00,151.22,0.00,151.22,0.0,-88.8,437360264.5701873,10264.8,2642.9,-7036.1,0
2026-04-01T21:05:21.714936+00:00,151.21,0.03,151.21,0.03,-88.8,437360264.5701873,10264.5,2639.6,-7035.9,0
2026-04-01T21:05:22.138626+00:00,151.20,0.05,151.2,0.05,-88.8,437370528.8783696,10264.4,2636.6,-7035.7,0
2026-04-01T21:05:22.602587+00:00,151.19,0.07,151.19,0.07,-88.8,437380792.98150605,10264.3,2633.8,-7035.5,0
2026-04-01T21:05:22.972019+00:00,151.18,0.09,151.18,0.09,-88.8,437380792.98150605,10264.0,2630.8,-7035.2,0
2026-04-01T21:05:23.439672+00:00,151.17,0.12,151.17,0.12,-88.8,437391056.8332663,10263.9,2627.8,-7035.0,0
2026-04-01T21:05:23.863967+00:00,151.16,0.14,151.16,0.14,-88.8,437401320.46282953,10263.9,2624.9,-7034.8,0
2026-04-01T21:05:24.222647+00:00,151.14,0.16,151.14,0.16,-88.8,437401320.46282953,10263.5,2621.9,-7034.6,0
2026-04-01T21:05:24.690542+00:00,151.13,0.18,151.13,0.18,-88.8,437411583.83241105,10263.4,2618.7,-7034.3,0
2026-04-01T21:05:25.114527+00:00,151.12,0.20,151.12,0.2,-88.8,437421846.96477896,10263.4,2616.1,-7034.1,0
2026-04-01T21:05:25.518520+00:00,151.11,0.22,151.11,0.22,-88.8,437421846.96477896,10263.0,2613.1,-7033.9,0
2026-04-01T21:05:25.943618+00:00,151.10,0.25,151.1,0.25,-88.8,437432109.78509873,10262.9,2609.9,-7033.6,0
2026-04-01T21:05:26.377043+00:00,151.09,0.27,151.09,0.27,-88.8,437442372.3852443,10262.8,2607.3,-7033.4,0
2026-04-01T21:05:26.779919+00:00,151.08,0.29,151.08,0.29,-88.8,437442372.3852443,10262.5,2604.0,-7033.2,0
2026-04-01T21:05:27.202600+00:00,151.07,0.32,151.07,0.32,-88.8,437452634.6526178,10262.3,2601.0,-7032.9,0
2026-04-01T21:05:27.631640+00:00,151.06,0.34,151.06,0.34,-88.8,437462896.68835837,10262.3,2598.4,-7032.7,0
2026-04-01T21:05:28.034524+00:00,151.04,0.36,151.04,0.36,-88.8,437462896.68835837,10261.9,2595.1,-7032.4,0
2026-04-01T21:05:28.458547+00:00,151.03,0.38,151.03,0.38,-88.8,437473158.37772447,10261.8,2592.2,-7032.2,0
2026-04-01T21:05:28.882646+00:00,151.02,0.40,151.02,0.4,-88.8,437483419.82185906,10261.7,2589.6,-7032.0,0
2026-04-01T21:05:29.286623+00:00,151.01,0.43,151.01,0.43,-88.8,437483419.82185906,10261.3,2586.3,-7031.7,0
2026-04-01T21:05:29.710802+00:00,151.00,0.45,151.0,0.45,-88.8,437493680.90316415,10261.1,2583.4,-7031.4,0
2026-04-01T21:05:30.134507+00:00,150.99,0.47,150.99,0.47,-88.8,437503941.7256365,10261.1,2580.8,-7031.2,0
2026-04-01T21:05:30.538545+00:00,150.98,0.50,150.98,0.5,-88.8,437503941.7256365,10260.6,2577.5,-7030.9,0
2026-04-01T21:05:30.962522+00:00,150.97,0.52,150.97,0.52,-88.8,437514202.16739607,10260.5,2574.5,-7030.7,0
2026-04-01T21:05:31.392615+00:00,150.96,0.54,150.96,0.54,-88.8,437524462.3324434,10260.4,2572.0,-7030.4,0
2026-04-01T21:05:31.793583+00:00,150.94,0.57,150.94,0.57,-88.8,437524462.3324434,10260.0,2568.7,-7030.2,0
2026-04-01T21:05:32.220441+00:00,150.93,0.59,150.93,0.59,-88.8,437534722.0996042,10259.8,2565.7,-7029.9,0
2026-04-01T21:05:32.642567+00:00,150.92,0.61,150.92,0.61,-88.8,437544981.5743077,10259.7,2563.1,-7029.6,0
2026-04-01T21:05:33.050555+00:00,150.91,0.64,150.91,0.64,-88.8,437544981.5743077,10259.3,2559.9,-7029.3,0
2026-04-01T21:05:33.474533+00:00,150.90,0.66,150.9,0.66,-88.8,437555240.6325222,10259.1,2556.9,-7029.1,0
2026-04-01T21:05:33.898544+00:00,150.89,0.68,150.89,0.68,-88.8,437565499.3882328,10259.0,2554.3,-7028.8,0
2026-04-01T21:05:34.303080+00:00,150.87,0.71,150.87,0.71,-88.8,437565499.3882328,10258.5,2551.1,-7028.5,0
2026-04-01T21:05:34.726519+00:00,150.86,0.73,150.86,0.73,-88.8,437575757.7088491,10258.4,2548.1,-7028.2,0
2026-04-01T21:05:35.150521+00:00,150.85,0.75,150.85,0.75,-88.8,437586015.7126361,10258.2,2545.5,-7028.0,0
2026-04-01T21:05:35.554536+00:00,150.84,0.78,150.84,0.78,-88.8,437586015.7126361,10257.8,2542.3,-7027.7,0
2026-04-01T21:05:35.978537+00:00,150.83,0.80,150.83,0.8,-88.8,437596273.26343286,10257.6,2539.3,-7027.4,0
2026-04-01T21:05:36.405826+00:00,150.82,0.82,150.82,0.82,-88.8,437606530.4780833,10257.5,2536.7,-7027.1,0
2026-04-01T21:05:36.811726+00:00,150.80,0.85,150.8,0.85,-88.8,437606530.4780833,10257.0,2533.5,-7026.8,0
2026-04-01T21:05:37.235882+00:00,150.79,0.87,150.79,0.87,-88.8,437616787.2197059,10256.8,2530.5,-7026.5,0
2026-04-01T21:05:37.659588+00:00,150.78,0.89,150.78,0.89,-88.8,437627043.6144145,10256.6,2527.9,-7026.2,0
2026-04-01T21:05:38.067868+00:00,150.77,0.92,150.77,0.92,-88.8,437627043.6144145,10256.1,2524.6,-7025.9,0
2026-04-01T21:05:38.495373+00:00,150.76,0.95,150.76,0.95,-88.8,437637299.51320326,10255.9,2521.6,-7025.6,0
2026-04-01T21:05:38.923406+00:00,150.75,0.97,150.75,0.97,-88.8,437647555.0457543,10255.8,2519.1,-7025.3,0
2026-04-01T21:05:39.332212+00:00,150.73,0.99,150.73,0.99,-88.8,437647555.0457543,10255.3,2515.7,-7024.9,0
2026-04-01T21:05:39.759570+00:00,150.72,1.02,150.72,1.02,-88.8,437657810.0587765,10255.0,2512.7,-7024.6,0
2026-04-01T21:05:40.188891+00:00,150.71,1.04,150.71,1.04,-88.8,437668064.6897977,10254.9,2510.2,-7024.3,0
2026-04-01T21:05:40.596916+00:00,150.70,1.07,150.7,1.07,-88.8,437668064.6897977,10254.4,2506.9,-7024.0,0
2026-04-01T21:05:41.019575+00:00,150.68,1.09,150.68,1.09,-88.8,437678318.7805285,10254.1,2503.9,-7023.7,0
2026-04-01T21:05:41.450258+00:00,150.67,1.11,150.67,1.11,-88.8,437688572.4742045,10253.9,2501.3,-7023.4,0
2026-04-01T21:05:41.850552+00:00,150.66,1.14,150.66,1.14,-88.8,437688572.4742045,10253.4,2498.0,-7023.0,0
2026-04-01T21:05:42.274931+00:00,150.65,1.17,150.65,1.17,-88.8,437698825.62036955,10253.2,2495.0,-7022.7,0
2026-04-01T21:05:42.698548+00:00,150.64,1.19,150.64,1.19,-88.8,437709078.35014635,10253.0,2492.5,-7022.4,0
2026-04-01T21:05:43.102513+00:00,150.62,1.22,150.62,1.22,-88.8,437709078.35014635,10252.4,2489.2,-7022.0,0
2026-04-01T21:05:43.531661+00:00,150.61,1.24,150.61,1.24,-88.8,437719330.5173478,10252.2,2486.2,-7021.7,0
2026-04-01T21:05:43.954576+00:00,150.60,1.26,150.6,1.26,-88.8,437729582.2523888,10252.0,2483.7,-7021.4,0
2026-04-01T21:05:44.358576+00:00,150.59,1.29,150.59,1.29,-88.8,437729582.2523888,10251.4,2480.4,-7021.0,0
2026-04-01T21:05:44.782942+00:00,150.57,1.32,150.57,1.32,-88.8,437739833.3990929,10251.1,2477.5,-7020.6,0
2026-04-01T21:05:45.206512+00:00,150.56,1.34,150.56,1.34,-88.8,437750084.10213864,10250.9,2474.9,-7020.3,0
2026-04-01T21:05:45.610571+00:00,150.55,1.37,150.55,1.37,-88.8,437750084.10213864,10250.4,2471.6,-7020.0,0
2026-04-01T21:05:46.034522+00:00,150.54,1.39,150.54,1.39,-88.8,437760334.1967858,10250.1,2468.7,-7019.6,0
2026-04-01T21:05:46.467169+00:00,150.53,1.41,150.53,1.41,-88.8,437770583.8262922,10249.9,2466.1,-7019.3,0
2026-04-01T21:05:46.871266+00:00,150.51,1.44,150.51,1.44,-88.8,437770583.8262922,10249.3,2462.8,-7018.9,0
2026-04-01T21:05:47.299986+00:00,150.50,1.47,150.5,1.47,-88.8,437780832.8209174,10249.0,2459.8,-7018.5,0
2026-04-01T21:05:47.722705+00:00,150.49,1.49,150.49,1.49,-88.8,437791081.3296284,10248.7,2457.2,-7018.2,0
2026-04-01T21:05:48.126524+00:00,150.47,1.52,150.47,1.52,-88.8,437791081.3296284,10248.2,2454.0,-7017.8,0
2026-04-01T21:05:48.550539+00:00,150.46,1.54,150.46,1.54,-88.8,437801329.19408387,10247.8,2451.0,-7017.4,0
2026-04-01T21:05:48.974508+00:00,150.45,1.57,150.45,1.57,-88.8,437811576.5589788,10247.6,2448.4,-7017.1,0
2026-04-01T21:05:49.382533+00:00,150.44,1.60,150.44,1.6,-88.8,437811576.5589788,10247.0,2445.2,-7016.7,0
2026-04-01T21:05:49.802631+00:00,150.42,1.62,150.42,1.62,-88.8,437821823.2531282,10246.7,2442.2,-7016.3,0
2026-04-01T21:05:50.227009+00:00,150.41,1.64,150.41,1.64,-88.8,437832069.4362068,10246.4,2439.6,-7015.9,0
2026-04-01T21:05:50.634564+00:00,150.40,1.67,150.4,1.67,-88.8,437832069.4362068,10245.8,2436.4,-7015.5,0
2026-04-01T21:05:51.058556+00:00,150.39,1.70,150.39,1.7,-88.8,437842314.9270376,10245.5,2433.4,-7015.1,0
2026-04-01T21:05:51.482574+00:00,150.37,1.72,150.37,1.72,-88.8,437852559.8895799,10245.2,2430.9,-7014.8,0
2026-04-01T21:05:51.887150+00:00,150.36,1.75,150.36,1.75,-88.8,437852559.8895799,10244.6,2427.6,-7014.3,0
2026-04-01T21:05:52.311051+00:00,150.35,1.78,150.35,1.78,-88.8,437862804.1376547,10244.2,2424.6,-7013.9,0
2026-04-01T21:05:52.740102+00:00,150.34,1.80,150.34,1.8,-88.8,437873047.8338015,10243.9,2422.0,-7013.6,0
2026-04-01T21:05:53.142541+00:00,150.32,1.83,150.32,1.83,-88.8,437873047.8338015,10243.3,2418.8,-7013.1,0
2026-04-01T21:05:53.571682+00:00,150.31,1.86,150.31,1.86,-88.8,437883290.79611,10242.9,2415.8,-7012.7,0
2026-04-01T21:05:53.994527+00:00,150.30,1.88,150.3,1.88,-88.8,437893533.18783885,10242.6,2413.2,-7012.4,0
