t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T21:19:56.526595+00:00,156.47,0.00,156.47,0.0,-94.8,435360159.6129813,10159.6,2827.6,-6996.2,0
2026-04-01T21:19:56.890549+00:00,156.47,0.03,156.47,0.03,-94.8,435360159.6129813,10159.5,2824.3,-6996.1,0
2026-04-01T21:19:57.254790+00:00,156.46,0.05,156.46,0.05,-94.8,435360159.6129813,10159.5,2821.8,-6996.1,0
2026-04-01T21:19:57.658529+00:00,156.46,0.07,156.46,0.07,-94.8,435360159.6129813,10159.4,2818.9,-6996.0,0
2026-04-01T21:19:58.022577+00:00,156.45,0.09,156.45,0.09,-94.8,435360159.6129813,10159.4,2816.4,-6996.0,0
2026-04-01T21:19:58.386568+00:00,156.45,0.11,156.45,0.11,-94.8,435360159.6129813,10159.3,2813.9,-6995.9,0
2026-04-01T21:19:58.792121+00:00,156.44,0.13,156.44,0.13,-94.8,435360159.6129813,10159.2,2811.0,-6995.9,0
2026-04-01T21:19:59.159880+00:00,156.44,0.15,156.44,0.15,-94.8,435360159.6129813,10159.2,2808.5,-6995.8,0
2026-04-01T21:19:59.527886+00:00,156.44,0.16,156.44,0.16,-94.8,435360159.6129813,10159.1,2805.9,-6995.8,0
2026-04-01T21:19:59.936317+00:00,156.43,0.19,156.43,0.19,-94.8,435360159.6129813,10159.0,2803.1,-6995.7,0
2026-04-01T21:20:00.299459+00:00,156.43,0.20,156.43,0.2,-94.8,435360159.6129813,10158.9,2800.5,-6995.7,0
2026-04-01T21:20:00.667845+00:00,156.42,0.22,156.42,0.22,-94.8,435360159.6129813,10158.9,2797.9,-6995.6,0
2026-04-01T21:20:01.070556+00:00,156.42,0.25,156.42,0.25,-94.8,435360159.6129813,10158.8,2795.1,-6995.6,0
2026-04-01T21:20:01.434538+00:00,156.41,0.26,156.41,0.26,-94.8,435360159.6129813,10158.7,2792.5,-6995.5,0
2026-04-01T21:20:01.798938+00:00,156.41,0.28,156.41,0.28,-94.8,435360159.6129813,10158.6,2790.0,-6995.5,0
2026-04-01T21:20:02.202535+00:00,156.40,0.31,156.4,0.31,-94.8,435360159.6129813,10158.5,2787.2,-6995.4,0
2026-04-01T21:20:02.567099+00:00,156.40,0.32,156.4,0.32,-94.8,435360159.6129813,10158.4,2784.6,-6995.3,0
2026-04-01T21:20:02.930544+00:00,156.39,0.34,156.39,0.34,-94.8,435360159.6129813,10158.4,2782.1,-6995.3,0
2026-04-01T21:20:03.334641+00:00,156.39,0.37,156.39,0.37,-94.8,435360159.6129813,10158.3,2779.2,-6995.2,0
2026-04-01T21:20:03.698565+00:00,156.38,0.39,156.38,0.39,-94.8,435360159.6129813,10158.2,2776.7,-6995.2,0
2026-04-01T21:20:04.062547+00:00,156.38,0.41,156.38,0.41,-94.8,435360159.6129813,10158.1,2774.2,-6995.1,0
2026-04-01T21:20:04.466506+00:00,156.37,0.43,156.37,0.43,-94.8,435360159.6129813,10158.0,2771.3,-6995.0,0
2026-04-01T21:20:04.830564+00:00,156.37,0.45,156.37,0.45,-94.8,435360159.6129813,10157.9,2768.8,-6995.0,0
2026-04-01T21:20:05.194714+00:00,156.36,0.47,156.36,0.47,-94.8,435360159.6129813,10157.8,2766.2,-6994.9,0
2026-04-01T21:20:05.598519+00:00,156.36,0.49,156.36,0.49,-94.8,435360159.6129813,10157.7,2763.4,-6994.8,0
2026-04-01T21:20:05.967557+00:00,156.35,0.51,156.35,0.51,-94.8,435360159.6129813,10157.6,2760.9,-6994.7,0
2026-04-01T21:20:06.336342+00:00,156.35,0.53,156.35,0.53,-94.8,435360159.6129813,10157.5,2758.3,-6994.7,0
2026-04-01T21:20:06.745059+00:00,156.34,0.55,156.34,0.55,-94.8,435360159.6129813,10157.3,2755.5,-6994.6,0
2026-04-01T21:20:07.107872+00:00,156.34,0.57,156.34,0.57,-94.8,435360159.6129813,10157.2,2752.9,-6994.5,0
2026-04-01T21:20:07.470591+00:00,156.33,0.59,156.33,0.59,-94.8,435360159.6129813,10157.1,2750.3,-6994.4,0
2026-04-01T21:20:07.878510+00:00,156.33,0.61,156.33,0.61,-94.8,435360159.6129813,10157.0,2747.5,-6994.4,0
2026-04-01T21:20:08.238572+00:00,156.32,0.63,156.32,0.63,-94.8,435360159.6129813,10156.9,2744.9,-6994.3,0
2026-04-01T21:20:08.602521+00:00,156.32,0.65,156.32,0.65,-94.8,435360159.6129813,10156.8,2742.4,-6994.2,0
2026-04-01T21:20:09.006602+00:00,156.31,0.68,156.31,0.68,-94.8,435360159.6129813,10156.6,2739.6,-6994.1,0
2026-04-01T21:20:09.371017+00:00,156.31,0.70,156.31,0.7,-94.8,435360159.6129813,10156.5,2737.0,-6994.0,0
2026-04-01T21:20:09.734568+00:00,156.30,0.72,156.3,0.72,-94.8,435360159.6129813,10156.4,2734.5,-6993.9,0
2026-04-01T21:20:10.138508+00:00,156.30,0.74,156.3,0.74,-94.8,435360159.6129813,10156.3,2731.7,-6993.8,0
2026-04-01T21:20:10.502533+00:00,156.29,0.76,156.29,0.76,-94.8,435360159.6129813,10156.1,2729.1,-6993.8,0
2026-04-01T21:20:10.866562+00:00,156.29,0.78,156.29,0.78,-94.8,435360159.6129813,10156.0,2726.6,-6993.7,0
2026-04-01T21:20:11.276052+00:00,156.28,0.80,156.28,0.8,-94.8,435360159.6129813,10155.9,2723.7,-6993.6,0
2026-04-01T21:20:11.634512+00:00,156.28,0.82,156.28,0.82,-94.8,435360159.6129813,10155.7,2721.2,-6993.5,0
2026-04-01T21:20:12.004323+00:00,156.27,0.84,156.27,0.84,-94.8,435360159.6129813,10155.6,2718.6,-6993.4,0
2026-04-01T21:20:12.408100+00:00,156.27,0.87,156.27,0.87,-94.8,435360159.6129813,10155.4,2715.8,-6993.3,0
2026-04-01T21:20:12.772118+00:00,156.26,0.89,156.26,0.89,-94.8,435360159.6129813,10155.3,2713.3,-6993.2,0
2026-04-01T21:20:13.134546+00:00,156.26,0.91,156.26,0.91,-94.8,435360159.6129813,10155.2,2710.7,-6993.1,0
2026-04-01T21:20:13.538529+00:00,156.25,0.93,156.25,0.93,-94.8,435360159.6129813,10155.0,2707.9,-6993.0,0
2026-04-01T21:20:13.902544+00:00,156.25,0.95,156.25,0.95,-94.8,435360159.6129813,10154.9,2705.3,-6992.9,0
2026-04-01T21:20:14.266548+00:00,156.24,0.97,156.24,0.97,-94.8,435360159.6129813,10154.7,2702.8,-6992.8,0
2026-04-01T21:20:14.670532+00:00,156.23,1.00,156.23,1.0,-94.8,435360159.6129813,10154.5,2700.0,-6992.7,0
2026-04-01T21:20:15.034519+00:00,156.23,1.02,156.23,1.02,-94.8,435360159.6129813,10154.4,2697.4,-6992.6,0
2026-04-01T21:20:15.398515+00:00,156.22,1.04,156.22,1.04,-94.8,435360159.6129813,10154.2,2694.9,-6992.5,0
2026-04-01T21:20:15.802715+00:00,156.22,1.06,156.22,1.06,-94.8,435360159.6129813,10154.1,2692.0,-6992.3,0
2026-04-01T21:20:16.166514+00:00,156.21,1.08,156.21,1.08,-94.8,435360159.6129813,10153.9,2689.5,-6992.2,0
2026-04-01T21:20:16.530515+00:00,156.21,1.10,156.21,1.1,-94.8,435360159.6129813,10153.7,2687.0,-6992.1,0
2026-04-01T21:20:16.934515+00:00,156.20,1.13,156.2,1.13,-94.8,435360159.6129813,10153.6,2684.1,-6992.0,0
2026-04-01T21:20:17.298604+00:00,156.20,1.15,156.2,1.15,-94.8,435360159.6129813,10153.4,2681.6,-6991.9,0
2026-04-01T21:20:17.662525+00:00,156.19,1.17,156.19,1.17,-94.8,435360159.6129813,10153.2,2679.0,-6991.8,0
2026-04-01T21:20:18.071700+00:00,156.19,1.19,156.19,1.19,-94.8,435360159.6129813,10153.0,2676.2,-6991.6,0
2026-04-01T21:20:18.440015+00:00,156.18,1.21,156.18,1.21,-94.8,435360159.6129813,10152.9,2673.7,-6991.5,0
2026-04-01T21:20:18.803050+00:00,156.18,1.24,156.18,1.24,-94.8,435360159.6129813,10152.7,2671.1,-6991.4,0
2026-04-01T21:20:19.211552+00:00,156.17,1.26,156.17,1.26,-94.8,435360159.6129813,10152.5,2668.2,-6991.3,0
2026-04-01T21:20:19.580942+00:00,156.17,1.28,156.17,1.28,-94.8,435360159.6129813,10152.3,2665.7,-6991.1,0
2026-04-01T21:20:19.942525+00:00,156.16,1.30,156.16,1.3,-94.8,435360159.6129813,10152.1,2663.1,-6991.0,0
2026-04-01T21:20:20.346950+00:00,156.15,1.33,156.15,1.33,-94.8,435360159.6129813,10151.9,2660.3,-6990.9,0
2026-04-01T21:20:20.711018+00:00,156.15,1.35,156.15,1.35,-94.8,435360159.6129813,10151.8,2657.7,-6990.7,0
2026-04-01T21:20:21.074524+00:00,156.14,1.37,156.14,1.37,-94.8,435360159.6129813,10151.6,2655.2,-6990.6,0
2026-04-01T21:20:21.484207+00:00,156.14,1.40,156.14,1.4,-94.8,435360159.6129813,10151.4,2652.4,-6990.5,0
2026-04-01T21:20:21.847653+00:00,156.13,1.42,156.13,1.42,-94.8,435360159.6129813,10151.2,2649.8,-6990.3,0
2026-04-01T21:20:22.206577+00:00,156.13,1.44,156.13,1.44,-94.8,435360159.6129813,10151.0,2647.3,-6990.2,0
2026-04-01T21:20:22.614515+00:00,156.12,1.46,156.12,1.46,-94.8,435360159.6129813,10150.8,2644.4,-6990.1,0
2026-04-01T21:20:22.978512+00:00,156.12,1.49,156.12,1.49,-94.8,435360159.6129813,10150.6,2641.9,-6989.9,0
2026-04-01T21:20:23.343796+00:00,156.11,1.51,156.11,1.51,-94.8,435360159.6129813,10150.4,2639.4,-6989.8,0
2026-04-01T21:20:23.746527+00:00,156.11,1.53,156.11,1.53,-94.8,435360159.6129813,10150.1,2636.5,-6989.6,0
2026-04-01T21:20:24.110529+00:00,156.10,1.55,156.1,1.55,-94.8,435360159.6129813,10149.9,2634.0,-6989.5,0
2026-04-01T21:20:24.475667+00:00,156.10,1.58,156.1,1.58,-94.8,435360159.6129813,10149.7,2631.4,-6989.3,0
2026-04-01T21:20:24.880055+00:00,156.09,1.60,156.09,1.6,-94.8,435360159.6129813,10149.5,2628.6,-6989.2,0
2026-04-01T21:20:25.243993+00:00,156.08,1.62,156.08,1.62,-94.8,435360159.6129813,10149.3,2626.1,-6989.0,0
2026-04-01T21:20:25.612784+00:00,156.08,1.65,156.08,1.65,-94.8,435360159.6129813,10149.1,2623.5,-6988.9,0
2026-04-01T21:20:26.019957+00:00,156.07,1.67,156.07,1.67,-94.8,435360159.6129813,10148.8,2620.6,-6988.7,0
2026-04-01T21:20:26.383005+00:00,156.07,1.69,156.07,1.69,-94.8,435360159.6129813,10148.6,2618.1,-6988.6,0
2026-04-01T21:20:26.750602+00:00,156.06,1.72,156.06,1.72,-94.8,435360159.6129813,10148.4,2615.5,-6988.4,0
2026-04-01T21:20:27.154533+00:00,156.06,1.74,156.06,1.74,-94.8,435360159.6129813,10148.1,2612.7,-6988.2,0
2026-04-01T21:20:27.518546+00:00,156.05,1.76,156.05,1.76,-94.8,435360159.6129813,10147.9,2610.1,-6988.1,0
2026-04-01T21:20:27.882514+00:00,156.04,1.79,156.04,1.79,-94.8,435360159.6129813,10147.7,2607.6,-6987.9,0
2026-04-01T21:20:28.286629+00:00,156.04,1.81,156.04,1.81,-94.8,435360159.6129813,10147.4,2604.8,-6987.7,0
2026-04-01T21:20:28.650552+00:00,156.03,1.83,156.03,1.83,-94.8,435360159.6129813,10147.2,2602.2,-6987.6,0
2026-04-01T21:20:29.014514+00:00,156.03,1.86,156.03,1.86,-94.8,435360159.6129813,10146.9,2599.7,-6987.4,0
2026-04-01T21:20:29.418526+00:00,156.02,1.88,156.02,1.88,-94.8,435360159.6129813,10146.7,2596.9,-6987.2,0
2026-04-01T21:20:29.785624+00:00,156.02,1.90,156.02,1.9,-94.8,435360159.6129813,10146.4,2594.3,-6987.1,0
2026-04-01T21:20:30.146621+00:00,156.01,1.93,156.01,1.93,-94.8,435360159.6129813,10146.2,2591.8,-6986.9,0
2026-04-01T21:20:30.550512+00:00,156.00,1.95,156.0,1.95,-94.8,435360159.6129813,10145.9,2589.0,-6986.7,0
2026-04-01T21:20:30.915154+00:00,156.00,1.97,156.0,1.97,-94.8,435360159.6129813,10145.7,2586.4,-6986.5,0
2026-04-01T21:20:31.278532+00:00,155.99,2.00,155.99,2.0,-94.8,435360159.6129813,10145.4,2583.9,-6986.4,0
2026-04-01T21:20:31.682601+00:00,155.99,2.02,155.99,2.02,-94.8,435360159.6129813,10145.1,2581.0,-6986.2,0
2026-04-01T21:20:32.047963+00:00,155.98,2.05,155.98,2.05,-94.8,435360159.6129813,10144.9,2578.5,-6986.0,0
2026-04-01T21:20:32.416801+00:00,155.98,2.07,155.98,2.07,-94.8,435360159.6129813,10144.6,2576.0,-6985.8,0
2026-04-01T21:20:32.823049+00:00,155.97,2.09,155.97,2.09,-94.8,435360159.6129813,10144.3,2573.1,-6985.6,0
2026-04-01T21:20:33.187682+00:00,155.96,2.12,155.96,2.12,-94.8,435360159.6129813,10144.1,2570.6,-6985.4,0
2026-04-01T21:20:33.555865+00:00,155.96,2.14,155.96,2.14,-94.8,435360159.6129813,10143.8,2568.0,-6985.3,0
2026-04-01T21:20:33.963077+00:00,155.95,2.17,155.95,2.17,-94.8,435360159.6129813,10143.5,2565.1,-6985.1,0
2026-04-01T21:20:34.327700+00:00,155.95,2.19,155.95,2.19,-94.8,435360159.6129813,10143.2,2562.6,-6984.9,0
2026-04-01T21:20:34.695591+00:00,155.94,2.21,155.94,2.21,-94.8,435360159.6129813,10142.9,2560.0,-6984.7,0
2026-04-01T21:20:35.098527+00:00,155.93,2.24,155.93,2.24,-94.8,435360159.6129813,10142.6,2557.2,-6984.5,0
2026-04-01T21:20:35.462530+00:00,155.93,2.26,155.93,2.26,-94.8,435360159.6129813,10142.4,2554.6,-6984.3,0
2026-04-01T21:20:35.826526+00:00,155.92,2.29,155.92,2.29,-94.8,435360159.6129813,10142.1,2552.1,-6984.1,0
2026-04-01T21:20:36.230783+00:00,155.92,2.31,155.92,2.31,-94.8,435360159.6129813,10141.8,2549.3,-6983.9,0
2026-04-01T21:20:36.594528+00:00,155.91,2.34,155.91,2.34,-94.8,435360159.6129813,10141.5,2546.7,-6983.7,0
2026-04-01T21:20:36.958524+00:00,155.90,2.36,155.9,2.36,-94.8,435360159.6129813,10141.2,2544.2,-6983.5,0
2026-04-01T21:20:37.366528+00:00,155.90,2.39,155.9,2.39,-94.8,435360159.6129813,10140.9,2541.4,-6983.2,0
2026-04-01T21:20:37.731108+00:00,155.89,2.41,155.89,2.41,-94.8,435360159.6129813,10140.6,2538.8,-6983.0,0
2026-04-01T21:20:38.090541+00:00,155.89,2.43,155.89,2.43,-94.8,435360159.6129813,10140.3,2536.3,-6982.8,0
2026-04-01T21:20:38.494527+00:00,155.88,2.46,155.88,2.46,-94.8,435360159.6129813,10139.9,2533.5,-6982.6,0
2026-04-01T21:20:38.862387+00:00,155.87,2.48,155.87,2.48,-94.8,435360159.6129813,10139.6,2530.9,-6982.4,0
