t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T21:26:00.443292+00:00,163.57,0.00,163.57,0.0,-85.8,437060598.3844584,10598.4,2384.4,-7269.9,0
2026-04-01T21:26:00.806715+00:00,163.57,0.03,163.57,0.03,-85.8,437060598.3844584,10598.4,2381.0,-7269.9,0
2026-04-01T21:26:01.170520+00:00,163.57,0.05,163.57,0.05,-85.8,437060598.3844584,10598.4,2378.4,-7269.9,0
2026-04-01T21:26:01.574564+00:00,163.56,0.07,163.56,0.07,-85.8,437060598.3844584,10598.5,2375.5,-7270.0,0
2026-04-01T21:26:01.938528+00:00,163.56,0.09,163.56,0.09,-85.8,437060598.3844584,10598.5,2372.8,-7270.0,0
2026-04-01T21:26:02.302606+00:00,163.56,0.11,163.56,0.11,-85.8,437060598.3844584,10598.5,2370.2,-7270.0,0
2026-04-01T21:26:02.706814+00:00,163.56,0.13,163.56,0.13,-85.8,437060598.3844584,10598.5,2367.3,-7270.0,0
2026-04-01T21:26:03.070528+00:00,163.56,0.15,163.56,0.15,-85.8,437060598.3844584,10598.5,2364.6,-7270.0,0
2026-04-01T21:26:03.434560+00:00,163.56,0.17,163.56,0.17,-85.8,437060598.3844584,10598.5,2362.0,-7270.0,0
2026-04-01T21:26:03.838632+00:00,163.56,0.19,163.56,0.19,-85.8,437060598.3844584,10598.5,2359.0,-7270.0,0
2026-04-01T21:26:04.204013+00:00,163.56,0.21,163.56,0.21,-85.8,437060598.3844584,10598.5,2356.4,-7270.0,0
2026-04-01T21:26:04.571934+00:00,163.56,0.23,163.56,0.23,-85.8,437060598.3844584,10598.5,2353.7,-7270.0,0
2026-04-01T21:26:04.979218+00:00,163.56,0.25,163.56,0.25,-85.8,437060598.3844584,10598.5,2350.7,-7270.0,0
2026-04-01T21:26:05.352946+00:00,163.56,0.27,163.56,0.27,-85.8,437060598.3844584,10598.5,2348.1,-7270.0,0
2026-04-01T21:26:05.713811+00:00,163.56,0.29,163.56,0.29,-85.8,437060598.3844584,10598.5,2345.4,-7270.0,0
2026-04-01T21:26:06.118514+00:00,163.56,0.32,163.56,0.32,-85.8,437060598.3844584,10598.5,2342.5,-7270.0,0
2026-04-01T21:26:06.482537+00:00,163.56,0.34,163.56,0.34,-85.8,437060598.3844584,10598.5,2339.8,-7270.0,0
2026-04-01T21:26:06.846523+00:00,163.56,0.36,163.56,0.36,-85.8,437060598.3844584,10598.5,2337.2,-7270.0,0
2026-04-01T21:26:07.250735+00:00,163.56,0.38,163.56,0.38,-85.8,437060598.3844584,10598.5,2334.2,-7270.0,0
2026-04-01T21:26:07.614514+00:00,163.56,0.40,163.56,0.4,-85.8,437060598.3844584,10598.5,2331.6,-7270.0,0
2026-04-01T21:26:07.978562+00:00,163.56,0.42,163.56,0.42,-85.8,437060598.3844584,10598.5,2328.9,-7270.0,0
2026-04-01T21:26:08.382527+00:00,163.56,0.44,163.56,0.44,-85.8,437060598.3844584,10598.5,2326.0,-7270.0,0
2026-04-01T21:26:08.746559+00:00,163.56,0.46,163.56,0.46,-85.8,437060598.3844584,10598.4,2323.3,-7269.9,0
2026-04-01T21:26:09.110515+00:00,163.56,0.48,163.56,0.48,-85.8,437060598.3844584,10598.4,2320.7,-7269.9,0
2026-04-01T21:26:09.520268+00:00,163.56,0.51,163.56,0.51,-85.8,437060598.3844584,10598.4,2317.8,-7269.9,0
2026-04-01T21:26:09.878948+00:00,163.56,0.53,163.56,0.53,-85.8,437060598.3844584,10598.4,2315.1,-7269.9,0
2026-04-01T21:26:10.242796+00:00,163.56,0.55,163.56,0.55,-85.8,437060598.3844584,10598.3,2312.5,-7269.9,0
2026-04-01T21:26:10.646545+00:00,163.56,0.57,163.56,0.57,-85.8,437060598.3844584,10598.3,2309.5,-7269.9,0
2026-04-01T21:26:11.011569+00:00,163.56,0.59,163.56,0.59,-85.8,437060598.3844584,10598.3,2306.9,-7269.8,0
2026-04-01T21:26:11.375477+00:00,163.56,0.61,163.56,0.61,-85.8,437060598.3844584,10598.2,2304.2,-7269.8,0
2026-04-01T21:26:11.783512+00:00,163.56,0.64,163.56,0.64,-85.8,437060598.3844584,10598.2,2301.3,-7269.8,0
2026-04-01T21:26:12.151856+00:00,163.56,0.66,163.56,0.66,-85.8,437060598.3844584,10598.2,2298.6,-7269.8,0
2026-04-01T21:26:12.515860+00:00,163.56,0.68,163.56,0.68,-85.8,437060598.3844584,10598.1,2295.9,-7269.7,0
2026-04-01T21:26:12.923013+00:00,163.56,0.70,163.56,0.7,-85.8,437060598.3844584,10598.1,2293.0,-7269.7,0
2026-04-01T21:26:13.291840+00:00,163.56,0.72,163.56,0.72,-85.8,437060598.3844584,10598.0,2290.3,-7269.7,0
2026-04-01T21:26:13.655569+00:00,163.56,0.75,163.56,0.75,-85.8,437060598.3844584,10598.0,2287.6,-7269.7,0
2026-04-01T21:26:14.063867+00:00,163.56,0.77,163.56,0.77,-85.8,437060598.3844584,10597.9,2284.7,-7269.6,0
2026-04-01T21:26:14.432649+00:00,163.56,0.79,163.56,0.79,-85.8,437060598.3844584,10597.9,2282.0,-7269.6,0
2026-04-01T21:26:14.795570+00:00,163.56,0.81,163.56,0.81,-85.8,437060598.3844584,10597.9,2279.4,-7269.5,0
2026-04-01T21:26:15.208758+00:00,163.56,0.84,163.56,0.84,-85.8,437060598.3844584,10597.8,2276.4,-7269.5,0
2026-04-01T21:26:15.575030+00:00,163.56,0.86,163.56,0.86,-85.8,437060598.3844584,10597.7,2273.7,-7269.5,0
2026-04-01T21:26:15.938545+00:00,163.56,0.88,163.56,0.88,-85.8,437060598.3844584,10597.7,2271.1,-7269.4,0
2026-04-01T21:26:16.342964+00:00,163.56,0.90,163.56,0.9,-85.8,437060598.3844584,10597.6,2268.1,-7269.4,0
2026-04-01T21:26:16.708649+00:00,163.55,0.93,163.55,0.93,-85.8,437060598.3844584,10597.6,2265.5,-7269.3,0
2026-04-01T21:26:17.070535+00:00,163.55,0.95,163.55,0.95,-85.8,437060598.3844584,10597.5,2262.8,-7269.3,0
2026-04-01T21:26:17.474558+00:00,163.55,0.97,163.55,0.97,-85.8,437060598.3844584,10597.4,2259.9,-7269.3,0
2026-04-01T21:26:17.838537+00:00,163.55,0.99,163.55,0.99,-85.8,437060598.3844584,10597.4,2257.3,-7269.2,0
2026-04-01T21:26:18.202565+00:00,163.55,1.02,163.55,1.02,-85.8,437060598.3844584,10597.3,2254.6,-7269.2,0
2026-04-01T21:26:18.606549+00:00,163.55,1.04,163.55,1.04,-85.8,437060598.3844584,10597.2,2251.7,-7269.1,0
2026-04-01T21:26:18.971187+00:00,163.55,1.06,163.55,1.06,-85.8,437060598.3844584,10597.1,2249.0,-7269.1,0
2026-04-01T21:26:19.334718+00:00,163.55,1.08,163.55,1.08,-85.8,437060598.3844584,10597.1,2246.4,-7269.0,0
2026-04-01T21:26:19.738557+00:00,163.55,1.11,163.55,1.11,-85.8,437060598.3844584,10597.0,2243.4,-7268.9,0
2026-04-01T21:26:20.102539+00:00,163.55,1.13,163.55,1.13,-85.8,437060598.3844584,10596.9,2240.8,-7268.9,0
2026-04-01T21:26:20.466542+00:00,163.55,1.15,163.55,1.15,-85.8,437060598.3844584,10596.8,2238.2,-7268.8,0
2026-04-01T21:26:20.870785+00:00,163.55,1.18,163.55,1.18,-85.8,437060598.3844584,10596.7,2235.2,-7268.8,0
2026-04-01T21:26:21.236184+00:00,163.55,1.20,163.55,1.2,-85.8,437060598.3844584,10596.6,2232.6,-7268.7,0
2026-04-01T21:26:21.604169+00:00,163.55,1.22,163.55,1.22,-85.8,437060598.3844584,10596.5,2229.9,-7268.6,0
2026-04-01T21:26:22.011447+00:00,163.55,1.25,163.55,1.25,-85.8,437060598.3844584,10596.4,2226.9,-7268.6,0
2026-04-01T21:26:22.380249+00:00,163.55,1.27,163.55,1.27,-85.8,437060598.3844584,10596.3,2224.3,-7268.5,0
2026-04-01T21:26:22.744292+00:00,163.55,1.29,163.55,1.29,-85.8,437060598.3844584,10596.2,2221.6,-7268.4,0
2026-04-01T21:26:23.151983+00:00,163.55,1.32,163.55,1.32,-85.8,437060598.3844584,10596.1,2218.6,-7268.4,0
2026-04-01T21:26:23.515561+00:00,163.55,1.34,163.55,1.34,-85.8,437060598.3844584,10596.0,2216.0,-7268.3,0
2026-04-01T21:26:23.883467+00:00,163.55,1.37,163.55,1.37,-85.8,437060598.3844584,10595.9,2213.3,-7268.2,0
2026-04-01T21:26:24.291534+00:00,163.55,1.39,163.55,1.39,-85.8,437060598.3844584,10595.8,2210.4,-7268.2,0
2026-04-01T21:26:24.656000+00:00,163.55,1.41,163.55,1.41,-85.8,437060598.3844584,10595.7,2207.7,-7268.1,0
2026-04-01T21:26:25.022513+00:00,163.55,1.44,163.55,1.44,-85.8,437060598.3844584,10595.6,2205.0,-7268.0,0
2026-04-01T21:26:25.426513+00:00,163.55,1.46,163.55,1.46,-85.8,437060598.3844584,10595.5,2202.1,-7267.9,0
2026-04-01T21:26:25.856649+00:00,163.55,1.49,163.55,1.49,-85.8,437060598.3844584,10595.4,2199.5,-7267.8,0
2026-04-01T21:26:26.214521+00:00,163.55,1.51,163.55,1.51,-85.8,437060598.3844584,10595.2,2196.4,-7267.7,0
2026-04-01T21:26:26.618543+00:00,163.55,1.54,163.55,1.54,-85.8,437060598.3844584,10595.1,2193.4,-7267.7,0
2026-04-01T21:26:26.982509+00:00,163.55,1.56,163.55,1.56,-85.8,437060598.3844584,10595.0,2190.8,-7267.6,0
2026-04-01T21:26:27.346900+00:00,163.54,1.58,163.54,1.58,-85.8,437060598.3844584,10594.8,2188.1,-7267.5,0
2026-04-01T21:26:27.750609+00:00,163.54,1.61,163.54,1.61,-85.8,437060598.3844584,10594.7,2185.2,-7267.4,0
2026-04-01T21:26:28.114513+00:00,163.54,1.63,163.54,1.63,-85.8,437060598.3844584,10594.6,2182.6,-7267.3,0
2026-04-01T21:26:28.479143+00:00,163.54,1.66,163.54,1.66,-85.8,437060598.3844584,10594.5,2179.9,-7267.2,0
2026-04-01T21:26:28.882552+00:00,163.54,1.68,163.54,1.68,-85.8,437060598.3844584,10594.3,2177.0,-7267.1,0
2026-04-01T21:26:29.246819+00:00,163.54,1.71,163.54,1.71,-85.8,437060598.3844584,10594.2,2174.3,-7267.0,0
2026-04-01T21:26:29.610557+00:00,163.54,1.73,163.54,1.73,-85.8,437060598.3844584,10594.0,2171.7,-7266.9,0
2026-04-01T21:26:30.015411+00:00,163.54,1.76,163.54,1.76,-85.8,437060598.3844584,10593.9,2168.8,-7266.8,0
2026-04-01T21:26:30.383424+00:00,163.54,1.78,163.54,1.78,-85.8,437060598.3844584,10593.7,2166.1,-7266.7,0
2026-04-01T21:26:30.752206+00:00,163.54,1.80,163.54,1.8,-85.8,437060598.3844584,10593.6,2163.4,-7266.6,0
2026-04-01T21:26:31.154516+00:00,163.54,1.83,163.54,1.83,-85.8,437060598.3844584,10593.4,2160.5,-7266.5,0
2026-04-01T21:26:31.518527+00:00,163.54,1.86,163.54,1.86,-85.8,437060598.3844584,10593.3,2157.8,-7266.4,0
2026-04-01T21:26:31.882656+00:00,163.54,1.88,163.54,1.88,-85.8,437060598.3844584,10593.1,2155.2,-7266.3,0
2026-04-01T21:26:32.286548+00:00,163.54,1.91,163.54,1.91,-85.8,437060598.3844584,10592.9,2152.2,-7266.2,0
2026-04-01T21:26:32.650531+00:00,163.54,1.93,163.54,1.93,-85.8,437060598.3844584,10592.8,2149.6,-7266.1,0
2026-04-01T21:26:33.014521+00:00,163.54,1.95,163.54,1.95,-85.8,437060598.3844584,10592.6,2146.9,-7266.0,0
2026-04-01T21:26:33.418535+00:00,163.54,1.98,163.54,1.98,-85.8,437060598.3844584,10592.5,2144.0,-7265.8,0
2026-04-01T21:26:33.782759+00:00,163.54,2.00,163.54,2.0,-85.8,437060598.3844584,10592.3,2141.3,-7265.7,0
2026-04-01T21:26:34.146507+00:00,163.54,2.03,163.54,2.03,-85.8,437060598.3844584,10592.1,2138.7,-7265.6,0
2026-04-01T21:26:34.550507+00:00,163.54,2.06,163.54,2.06,-85.8,437060598.3844584,10591.9,2135.8,-7265.5,0
2026-04-01T21:26:34.914513+00:00,163.54,2.08,163.54,2.08,-85.8,437060598.3844584,10591.8,2133.1,-7265.4,0
2026-04-01T21:26:35.279151+00:00,163.54,2.10,163.54,2.1,-85.8,437060598.3844584,10591.6,2130.5,-7265.2,0
2026-04-01T21:26:35.682537+00:00,163.54,2.13,163.54,2.13,-85.8,437060598.3844584,10591.4,2127.5,-7265.1,0
2026-04-01T21:26:36.048129+00:00,163.53,2.16,163.53,2.16,-85.8,437060598.3844584,10591.2,2124.9,-7265.0,0
2026-04-01T21:26:36.414545+00:00,163.53,2.18,163.53,2.18,-85.8,437060598.3844584,10591.0,2122.2,-7264.9,0
2026-04-01T21:26:36.818728+00:00,163.53,2.21,163.53,2.21,-85.8,437060598.3844584,10590.8,2119.3,-7264.7,0
2026-04-01T21:26:37.182516+00:00,163.53,2.23,163.53,2.23,-85.8,437060598.3844584,10590.6,2116.6,-7264.6,0
2026-04-01T21:26:37.546539+00:00,163.53,2.26,163.53,2.26,-85.8,437060598.3844584,10590.4,2114.0,-7264.5,0
2026-04-01T21:26:37.951146+00:00,163.53,2.29,163.53,2.29,-85.8,437060598.3844584,10590.2,2111.1,-7264.3,0
2026-04-01T21:26:38.314539+00:00,163.53,2.31,163.53,2.31,-85.8,437060598.3844584,10590.0,2108.4,-7264.2,0
2026-04-01T21:26:38.678520+00:00,163.53,2.34,163.53,2.34,-85.8,437060598.3844584,10589.8,2105.8,-7264.0,0
2026-04-01T21:26:39.082547+00:00,163.53,2.36,163.53,2.36,-85.8,437060598.3844584,10589.6,2102.8,-7263.9,0
2026-04-01T21:26:39.446534+00:00,163.53,2.39,163.53,2.39,-85.8,437060598.3844584,10589.4,2100.2,-7263.8,0
2026-04-01T21:26:39.810622+00:00,163.53,2.41,163.53,2.41,-85.8,437060598.3844584,10589.2,2097.6,-7263.6,0
2026-04-01T21:26:40.214507+00:00,163.53,2.44,163.53,2.44,-85.8,437060598.3844584,10589.0,2094.6,-7263.5,0
2026-04-01T21:26:40.578518+00:00,163.53,2.47,163.53,2.47,-85.8,437060598.3844584,10588.8,2092.0,-7263.3,0
