t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T21:32:32.574612+00:00,167.01,1.42,167.01,1.42,-85.8,437060355.5142657,10355.5,2478.9,-7103.3,0
2026-04-01T21:32:32.938774+00:00,167.01,1.45,167.01,1.45,-85.8,437060355.5142657,10355.4,2475.6,-7103.2,0
2026-04-01T21:32:33.298814+00:00,167.01,1.47,167.01,1.47,-85.8,437060355.5142657,10355.3,2473.0,-7103.1,0
2026-04-01T21:32:33.707899+00:00,167.01,1.50,167.01,1.5,-85.8,437060355.5142657,10355.1,2470.1,-7103.0,0
2026-04-01T21:32:34.075933+00:00,167.02,1.52,167.02,1.52,-85.8,437060355.5142657,10355.0,2467.5,-7103.0,0
2026-04-01T21:32:34.444390+00:00,167.02,1.54,167.02,1.54,-85.8,437060355.5142657,10354.9,2464.9,-7102.9,0
2026-04-01T21:32:34.851963+00:00,167.02,1.57,167.02,1.57,-85.8,437060355.5142657,10354.7,2462.0,-7102.8,0
2026-04-01T21:32:35.215630+00:00,167.03,1.59,167.03,1.59,-85.8,437060355.5142657,10354.6,2459.4,-7102.7,0
2026-04-01T21:32:35.583374+00:00,167.03,1.61,167.03,1.61,-85.8,437060355.5142657,10354.5,2456.8,-7102.6,0
2026-04-01T21:32:35.991899+00:00,167.03,1.64,167.03,1.64,-85.8,437060355.5142657,10354.3,2453.9,-7102.5,0
2026-04-01T21:32:36.360859+00:00,167.03,1.66,167.03,1.66,-85.8,437060355.5142657,10354.2,2451.3,-7102.4,0
2026-04-01T21:32:36.723598+00:00,167.04,1.69,167.04,1.69,-85.8,437060355.5142657,10354.0,2448.7,-7102.3,0
2026-04-01T21:32:37.135988+00:00,167.04,1.71,167.04,1.71,-85.8,437060355.5142657,10353.9,2445.8,-7102.2,0
2026-04-01T21:32:37.504012+00:00,167.04,1.74,167.04,1.74,-85.8,437060355.5142657,10353.7,2443.2,-7102.1,0
2026-04-01T21:32:37.871655+00:00,167.04,1.76,167.04,1.76,-85.8,437060355.5142657,10353.6,2440.6,-7102.0,0
2026-04-01T21:32:38.279614+00:00,167.05,1.78,167.05,1.78,-85.8,437060355.5142657,10353.4,2437.7,-7101.9,0
2026-04-01T21:32:38.643304+00:00,167.05,1.81,167.05,1.81,-85.8,437060355.5142657,10353.3,2435.1,-7101.8,0
2026-04-01T21:32:39.011164+00:00,167.05,1.83,167.05,1.83,-85.8,437060355.5142657,10353.1,2432.5,-7101.7,0
2026-04-01T21:32:39.419738+00:00,167.06,1.86,167.06,1.86,-85.8,437060355.5142657,10353.0,2429.6,-7101.6,0
2026-04-01T21:32:39.783559+00:00,167.06,1.88,167.06,1.88,-85.8,437060355.5142657,10352.8,2427.0,-7101.5,0
2026-04-01T21:32:40.154264+00:00,167.06,1.90,167.06,1.9,-85.8,437060355.5142657,10352.6,2424.4,-7101.4,0
2026-04-01T21:32:40.554508+00:00,167.06,1.93,167.06,1.93,-85.8,437060355.5142657,10352.5,2421.5,-7101.2,0
2026-04-01T21:32:40.918522+00:00,167.07,1.95,167.07,1.95,-85.8,437060355.5142657,10352.3,2418.9,-7101.1,0
2026-04-01T21:32:41.282723+00:00,167.07,1.98,167.07,1.98,-85.8,437060355.5142657,10352.1,2416.3,-7101.0,0
2026-04-01T21:32:41.686499+00:00,167.07,2.00,167.07,2.0,-85.8,437060355.5142657,10352.0,2413.5,-7100.9,0
2026-04-01T21:32:42.050543+00:00,167.08,2.03,167.08,2.03,-85.8,437060355.5142657,10351.8,2410.9,-7100.8,0
2026-04-01T21:32:42.414783+00:00,167.08,2.05,167.08,2.05,-85.8,437060355.5142657,10351.6,2408.3,-7100.6,0
2026-04-01T21:32:42.817520+00:00,167.08,2.08,167.08,2.08,-85.8,437060355.5142657,10351.4,2405.4,-7100.5,0
2026-04-01T21:32:43.182509+00:00,167.08,2.10,167.08,2.1,-85.8,437060355.5142657,10351.3,2402.8,-7100.4,0
2026-04-01T21:32:43.546518+00:00,167.09,2.12,167.09,2.12,-85.8,437060355.5142657,10351.1,2400.3,-7100.3,0
2026-04-01T21:32:43.951015+00:00,167.09,2.15,167.09,2.15,-85.8,437060355.5142657,10350.9,2397.4,-7100.1,0
2026-04-01T21:32:44.313923+00:00,167.09,2.17,167.09,2.17,-85.8,437060355.5142657,10350.7,2394.8,-7100.0,0
2026-04-01T21:32:44.678550+00:00,167.09,2.20,167.09,2.2,-85.8,437060355.5142657,10350.5,2392.2,-7099.9,0
2026-04-01T21:32:45.083600+00:00,167.10,2.22,167.1,2.22,-85.8,437060355.5142657,10350.3,2389.3,-7099.7,0
2026-04-01T21:32:45.452354+00:00,167.10,2.25,167.1,2.25,-85.8,437060355.5142657,10350.1,2386.7,-7099.6,0
2026-04-01T21:32:45.815814+00:00,167.10,2.27,167.1,2.27,-85.8,437060355.5142657,10349.9,2384.2,-7099.5,0
2026-04-01T21:32:46.223944+00:00,167.11,2.30,167.11,2.3,-85.8,437060355.5142657,10349.7,2381.3,-7099.3,0
2026-04-01T21:32:46.591397+00:00,167.11,2.32,167.11,2.32,-85.8,437060355.5142657,10349.5,2378.6,-7099.2,0
2026-04-01T21:32:46.954630+00:00,167.11,2.35,167.11,2.35,-85.8,437060355.5142657,10349.3,2376.1,-7099.1,0
2026-04-01T21:32:47.358529+00:00,167.12,2.37,167.12,2.37,-85.8,437060355.5142657,10349.1,2373.2,-7098.9,0
2026-04-01T21:32:47.722527+00:00,167.12,2.40,167.12,2.4,-85.8,437060355.5142657,10348.9,2370.6,-7098.8,0
2026-04-01T21:32:48.086546+00:00,167.12,2.42,167.12,2.42,-85.8,437060355.5142657,10348.7,2368.0,-7098.6,0
2026-04-01T21:32:48.494688+00:00,167.12,2.45,167.12,2.45,-85.8,437060355.5142657,10348.4,2365.1,-7098.5,0
2026-04-01T21:32:48.859851+00:00,167.13,2.47,167.13,2.47,-85.8,437060355.5142657,10348.2,2362.5,-7098.3,0
2026-04-01T21:32:49.218500+00:00,167.13,2.50,167.13,2.5,-85.8,437060355.5142657,10348.0,2360.0,-7098.2,0
2026-04-01T21:32:49.626541+00:00,167.13,2.52,167.13,2.52,-85.8,437060355.5142657,10347.8,2357.1,-7098.0,0
2026-04-01T21:32:49.990610+00:00,167.14,2.55,167.14,2.55,-85.8,437060355.5142657,10347.5,2354.5,-7097.8,0
2026-04-01T21:32:50.354550+00:00,167.14,2.57,167.14,2.57,-85.8,437060355.5142657,10347.3,2351.9,-7097.7,0
2026-04-01T21:32:50.758768+00:00,167.14,2.60,167.14,2.6,-85.8,437060355.5142657,10347.1,2349.0,-7097.5,0
2026-04-01T21:32:51.122634+00:00,167.14,2.63,167.14,2.63,-85.8,437060355.5142657,10346.8,2346.4,-7097.4,0
2026-04-01T21:32:51.490597+00:00,167.15,2.65,167.15,2.65,-85.8,437060355.5142657,10346.6,2343.9,-7097.2,0
2026-04-01T21:32:51.895263+00:00,167.15,2.68,167.15,2.68,-85.8,437060355.5142657,10346.4,2341.0,-7097.0,0
2026-04-01T21:32:52.258569+00:00,167.15,2.70,167.15,2.7,-85.8,437060355.5142657,10346.1,2338.4,-7096.9,0
2026-04-01T21:32:52.625482+00:00,167.16,2.73,167.16,2.73,-85.8,437060355.5142657,10345.9,2335.8,-7096.7,0
2026-04-01T21:32:53.029514+00:00,167.16,2.76,167.16,2.76,-85.8,437060355.5142657,10345.6,2332.9,-7096.5,0
2026-04-01T21:32:53.393687+00:00,167.16,2.78,167.16,2.78,-85.8,437060355.5142657,10345.4,2330.3,-7096.4,0
2026-04-01T21:32:53.758760+00:00,167.16,2.81,167.16,2.81,-85.8,437060355.5142657,10345.1,2327.7,-7096.2,0
2026-04-01T21:32:54.162603+00:00,167.17,2.83,167.17,2.83,-85.8,437060355.5142657,10344.9,2324.9,-7096.0,0
2026-04-01T21:32:54.536566+00:00,167.17,2.86,167.17,2.86,-85.8,437060355.5142657,10344.6,2322.3,-7095.8,0
2026-04-01T21:32:54.890696+00:00,167.17,2.88,167.17,2.88,-85.8,437060355.5142657,10344.4,2319.7,-7095.7,0
2026-04-01T21:32:55.298547+00:00,167.18,2.91,167.18,2.91,-85.8,437060355.5142657,10344.1,2316.8,-7095.5,0
2026-04-01T21:32:55.662573+00:00,167.18,2.94,167.18,2.94,-85.8,437060355.5142657,10343.8,2314.3,-7095.3,0
2026-04-01T21:32:56.026630+00:00,167.18,2.96,167.18,2.96,-85.8,437060355.5142657,10343.5,2311.7,-7095.1,0
2026-04-01T21:32:56.430550+00:00,167.19,2.99,167.19,2.99,-85.8,437060355.5142657,10343.3,2308.8,-7094.9,0
2026-04-01T21:32:56.794537+00:00,167.19,3.01,167.19,3.01,-85.8,437060355.5142657,10343.0,2306.2,-7094.7,0
2026-04-01T21:32:57.158595+00:00,167.19,3.04,167.19,3.04,-85.8,437060355.5142657,10342.7,2303.6,-7094.5,0
2026-04-01T21:32:57.562623+00:00,167.19,3.07,167.19,3.07,-85.8,437060355.5142657,10342.4,2300.7,-7094.3,0
2026-04-01T21:32:57.926690+00:00,167.20,3.09,167.2,3.09,-85.8,437060355.5142657,10342.1,2298.2,-7094.1,0
2026-04-01T21:32:58.295806+00:00,167.20,3.12,167.2,3.12,-85.8,437060355.5142657,10341.9,2295.6,-7094.0,0
2026-04-01T21:32:58.698571+00:00,167.20,3.15,167.2,3.15,-85.8,437060355.5142657,10341.6,2292.7,-7093.7,0
2026-04-01T21:32:59.063244+00:00,167.21,3.17,167.21,3.17,-85.8,437060355.5142657,10341.3,2290.1,-7093.6,0
2026-04-01T21:32:59.426561+00:00,167.21,3.20,167.21,3.2,-85.8,437060355.5142657,10341.0,2287.6,-7093.4,0
2026-04-01T21:32:59.834698+00:00,167.21,3.23,167.21,3.23,-85.8,437060355.5142657,10340.7,2284.6,-7093.1,0
2026-04-01T21:33:00.200175+00:00,167.22,3.25,167.22,3.25,-85.8,437060355.5142657,10340.4,2282.1,-7092.9,0
2026-04-01T21:33:00.563129+00:00,167.22,3.28,167.22,3.28,-85.8,437060355.5142657,10340.1,2279.5,-7092.7,0
2026-04-01T21:33:00.966707+00:00,167.22,3.31,167.22,3.31,-85.8,437060355.5142657,10339.8,2276.6,-7092.5,0
2026-04-01T21:33:01.334544+00:00,167.22,3.33,167.22,3.33,-85.8,437060355.5142657,10339.5,2274.0,-7092.3,0
2026-04-01T21:33:01.698529+00:00,167.23,3.36,167.23,3.36,-85.8,437060355.5142657,10339.2,2271.4,-7092.1,0
2026-04-01T21:33:02.102529+00:00,167.23,3.39,167.23,3.39,-85.8,437060355.5142657,10338.8,2268.6,-7091.9,0
