t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T21:40:04.027406+00:00,64.60,7.90,64.6,7.9,-101.8,437527999.5521913,2999.6,2303.3,-2055.3,7
2026-04-01T21:40:04.390658+00:00,64.69,7.91,64.69,7.91,-101.8,437527999.5521913,2986.3,2302.3,-2046.2,7
2026-04-01T21:40:04.754683+00:00,64.76,7.92,64.76,7.92,-101.8,437527999.5521913,2976.1,2301.6,-2039.3,7
2026-04-01T21:40:05.158608+00:00,64.83,7.93,64.83,7.93,-101.8,437527999.5521913,2965.0,2300.7,-2031.6,7
2026-04-01T21:40:05.526691+00:00,64.90,7.94,64.9,7.94,-101.8,437527999.5521913,2955.0,2300.0,-2024.8,7
2026-04-01T21:40:05.950614+00:00,64.97,7.95,64.97,7.95,-101.8,437527948.76069957,2943.3,2299.1,-2016.7,7
2026-04-01T21:40:06.354614+00:00,65.05,7.96,65.05,7.96,-101.8,437527948.76069957,2932.1,2298.3,-2009.1,7
2026-04-01T21:40:06.718606+00:00,65.11,7.97,65.11,7.97,-101.8,437527948.76069957,2922.1,2297.6,-2002.2,7
2026-04-01T21:40:07.082598+00:00,65.18,7.98,65.18,7.98,-101.8,437527948.76069957,2912.0,2296.9,-1995.3,7
2026-04-01T21:40:07.490706+00:00,65.26,7.99,65.26,7.99,-101.8,437527948.76069957,2900.7,2296.1,-1987.6,7
2026-04-01T21:40:07.854626+00:00,65.32,8.00,65.32,8.0,-101.8,437527948.76069957,2890.5,2295.3,-1980.6,7
2026-04-01T21:40:08.278826+00:00,65.40,8.01,65.4,8.01,-101.8,437527884.32521105,2878.7,2294.5,-1972.5,7
2026-04-01T21:40:08.687917+00:00,65.47,8.02,65.47,8.02,-101.8,437527884.32521105,2867.5,2293.7,-1964.8,7
2026-04-01T21:40:09.050539+00:00,65.54,8.03,65.54,8.03,-101.8,437527884.32521105,2857.2,2293.0,-1957.8,7
2026-04-01T21:40:09.414628+00:00,65.61,8.04,65.61,8.04,-101.8,437527884.32521105,2847.1,2292.3,-1950.8,7
2026-04-01T21:40:09.822542+00:00,65.68,8.05,65.68,8.05,-101.8,437527884.32521105,2835.8,2291.5,-1943.1,7
2026-04-01T21:40:10.186585+00:00,65.75,8.05,65.75,8.05,-101.8,437527884.32521105,2825.6,2290.8,-1936.1,7
2026-04-01T21:40:10.616077+00:00,65.83,8.06,65.83,8.06,-101.8,437527819.35330474,2813.7,2289.9,-1928.0,7
