t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-01T21:51:22.987636+00:00,235.74,0.00,235.74,0.0,-93.8,436759864.4800939,9864.5,2709.5,-6771.1,1
2026-04-01T21:51:23.355697+00:00,235.75,0.03,235.75,0.03,-93.8,436759864.4800939,9864.4,2706.2,-6771.1,1
2026-04-01T21:51:23.720601+00:00,235.76,0.05,235.76,0.05,-93.8,436759864.4800939,9864.4,2703.8,-6771.1,1
2026-04-01T21:51:24.128012+00:00,235.77,0.07,235.77,0.07,-93.8,436759864.4800939,9864.3,2701.0,-6771.0,1
2026-04-01T21:51:24.495619+00:00,235.78,0.08,235.78,0.08,-93.8,436759864.4800939,9864.2,2698.5,-6771.0,1
2026-04-01T21:51:24.863205+00:00,235.78,0.10,235.78,0.1,-93.8,436759864.4800939,9864.2,2696.0,-6770.9,1
2026-04-01T21:51:25.272064+00:00,235.79,0.12,235.79,0.12,-93.8,436759864.4800939,9864.1,2693.3,-6770.9,1
2026-04-01T21:51:25.635893+00:00,235.80,0.14,235.8,0.14,-93.8,436759864.4800939,9864.1,2690.8,-6770.9,1
2026-04-01T21:51:26.003734+00:00,235.81,0.16,235.81,0.16,-93.8,436759864.4800939,9864.0,2688.3,-6770.8,1
2026-04-01T21:51:26.411837+00:00,235.81,0.18,235.81,0.18,-93.8,436759864.4800939,9863.9,2685.6,-6770.8,1
2026-04-01T21:51:26.780771+00:00,235.82,0.20,235.82,0.2,-93.8,436759864.4800939,9863.9,2683.1,-6770.7,1
2026-04-01T21:51:27.143874+00:00,235.83,0.21,235.83,0.21,-93.8,436759864.4800939,9863.8,2680.6,-6770.7,1
2026-04-01T21:51:27.551565+00:00,235.84,0.23,235.84,0.23,-93.8,436759864.4800939,9863.7,2677.8,-6770.6,1
2026-04-01T21:51:27.924420+00:00,235.84,0.25,235.84,0.25,-93.8,436759864.4800939,9863.7,2675.3,-6770.6,1
2026-04-01T21:51:28.283689+00:00,235.85,0.27,235.85,0.27,-93.8,436759864.4800939,9863.6,2672.9,-6770.5,1
2026-04-01T21:51:28.694225+00:00,235.86,0.29,235.86,0.29,-93.8,436759864.4800939,9863.5,2670.1,-6770.5,1
2026-04-01T21:51:29.059905+00:00,235.87,0.31,235.87,0.31,-93.8,436759864.4800939,9863.4,2667.6,-6770.4,1
2026-04-01T21:51:29.423544+00:00,235.87,0.33,235.87,0.33,-93.8,436759864.4800939,9863.3,2665.2,-6770.4,1
2026-04-01T21:51:29.831362+00:00,235.88,0.35,235.88,0.35,-93.8,436759864.4800939,9863.3,2662.4,-6770.3,1
2026-04-01T21:51:30.199904+00:00,235.89,0.37,235.89,0.37,-93.8,436759864.4800939,9863.2,2659.9,-6770.2,1
2026-04-01T21:51:30.565731+00:00,235.90,0.39,235.9,0.39,-93.8,436759864.4800939,9863.1,2657.4,-6770.2,1
2026-04-01T21:51:30.971142+00:00,235.91,0.41,235.91,0.41,-93.8,436759864.4800939,9863.0,2654.7,-6770.1,1
2026-04-01T21:51:31.339637+00:00,235.91,0.43,235.91,0.43,-93.8,436759864.4800939,9862.9,2652.2,-6770.1,1
2026-04-01T21:51:31.704098+00:00,235.92,0.45,235.92,0.45,-93.8,436759864.4800939,9862.8,2649.7,-6770.0,1
2026-04-01T21:51:32.111746+00:00,235.93,0.47,235.93,0.47,-93.8,436759864.4800939,9862.7,2647.0,-6769.9,1
2026-04-01T21:51:32.480629+00:00,235.94,0.49,235.94,0.49,-93.8,436759864.4800939,9862.6,2644.5,-6769.9,1
2026-04-01T21:51:32.843380+00:00,235.95,0.51,235.95,0.51,-93.8,436759864.4800939,9862.5,2642.0,-6769.8,1
2026-04-01T21:51:33.251293+00:00,235.95,0.53,235.95,0.53,-93.8,436759864.4800939,9862.4,2639.2,-6769.7,1
2026-04-01T21:51:33.614939+00:00,235.96,0.55,235.96,0.55,-93.8,436759864.4800939,9862.3,2636.8,-6769.7,1
2026-04-01T21:51:33.982513+00:00,235.97,0.56,235.97,0.56,-93.8,436759864.4800939,9862.2,2634.3,-6769.6,1
2026-04-01T21:51:34.386519+00:00,235.98,0.59,235.98,0.59,-93.8,436759864.4800939,9862.1,2631.6,-6769.5,1
2026-04-01T21:51:34.750936+00:00,235.98,0.60,235.98,0.6,-93.8,436759864.4800939,9862.0,2629.1,-6769.4,1
2026-04-01T21:51:35.114524+00:00,235.99,0.62,235.99,0.62,-93.8,436759864.4800939,9861.9,2626.6,-6769.4,1
2026-04-01T21:51:35.522511+00:00,236.00,0.65,236.0,0.65,-93.8,436759864.4800939,9861.8,2623.8,-6769.3,1
2026-04-01T21:51:35.886511+00:00,236.01,0.66,236.01,0.66,-93.8,436759864.4800939,9861.7,2621.4,-6769.2,1
