t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-02T10:17:47.660681+00:00,10.20,0.92,10.2,0.92,-89.8,435510345.9940568,10346.0,2489.9,-7122.0,0
2026-04-02T10:17:48.024691+00:00,10.19,0.95,10.19,0.95,-89.8,435510345.9940568,10345.8,2486.6,-7121.9,0
2026-04-02T10:17:48.388688+00:00,10.19,0.97,10.19,0.97,-89.8,435510345.9940568,10345.7,2484.0,-7121.8,0
2026-04-02T10:17:48.793730+00:00,10.18,1.00,10.18,1.0,-89.8,435510345.9940568,10345.5,2481.1,-7121.7,0
2026-04-02T10:17:49.161425+00:00,10.18,1.02,10.18,1.02,-89.8,435510345.9940568,10345.3,2478.5,-7121.6,0
2026-04-02T10:17:49.530882+00:00,10.17,1.04,10.17,1.04,-89.8,435510345.9940568,10345.2,2475.9,-7121.5,0
2026-04-02T10:17:49.939095+00:00,10.17,1.06,10.17,1.06,-89.8,435510345.9940568,10345.0,2473.0,-7121.4,0
2026-04-02T10:17:50.302029+00:00,10.16,1.08,10.16,1.08,-89.8,435510345.9940568,10344.8,2470.4,-7121.2,0
2026-04-02T10:17:50.669846+00:00,10.15,1.11,10.15,1.11,-89.8,435510345.9940568,10344.7,2467.8,-7121.1,0
2026-04-02T10:17:51.077833+00:00,10.15,1.13,10.15,1.13,-89.8,435510345.9940568,10344.5,2464.9,-7121.0,0
2026-04-02T10:17:51.442033+00:00,10.14,1.15,10.14,1.15,-89.8,435510345.9940568,10344.3,2462.3,-7120.9,0
2026-04-02T10:17:51.814091+00:00,10.14,1.17,10.14,1.17,-89.8,435510345.9940568,10344.1,2459.7,-7120.8,0
2026-04-02T10:17:52.216690+00:00,10.13,1.20,10.13,1.2,-89.8,435510345.9940568,10343.9,2456.8,-7120.6,0
2026-04-02T10:17:52.580700+00:00,10.13,1.22,10.13,1.22,-89.8,435510345.9940568,10343.8,2454.2,-7120.5,0
2026-04-02T10:17:52.944694+00:00,10.12,1.24,10.12,1.24,-89.8,435510345.9940568,10343.6,2451.6,-7120.4,0
2026-04-02T10:17:53.348727+00:00,10.11,1.26,10.11,1.26,-89.8,435510345.9940568,10343.4,2448.7,-7120.2,0
2026-04-02T10:17:53.712812+00:00,10.11,1.29,10.11,1.29,-89.8,435510345.9940568,10343.2,2446.1,-7120.1,0
2026-04-02T10:17:54.076978+00:00,10.10,1.31,10.1,1.31,-89.8,435510345.9940568,10343.0,2443.5,-7120.0,0
2026-04-02T10:17:54.482005+00:00,10.10,1.33,10.1,1.33,-89.8,435510345.9940568,10342.8,2440.7,-7119.8,0
2026-04-02T10:17:54.848762+00:00,10.09,1.36,10.09,1.36,-89.8,435510345.9940568,10342.6,2438.0,-7119.7,0
2026-04-02T10:17:55.208958+00:00,10.09,1.38,10.09,1.38,-89.8,435510345.9940568,10342.4,2435.5,-7119.6,0
2026-04-02T10:17:55.616750+00:00,10.08,1.40,10.08,1.4,-89.8,435510345.9940568,10342.2,2432.6,-7119.4,0
2026-04-02T10:17:55.981843+00:00,10.07,1.42,10.07,1.42,-89.8,435510345.9940568,10342.0,2430.0,-7119.3,0
2026-04-02T10:17:56.344711+00:00,10.07,1.45,10.07,1.45,-89.8,435510345.9940568,10341.8,2427.4,-7119.2,0
2026-04-02T10:17:56.748744+00:00,10.06,1.47,10.06,1.47,-89.8,435510345.9940568,10341.6,2424.5,-7119.0,0
2026-04-02T10:17:57.112739+00:00,10.06,1.49,10.06,1.49,-89.8,435510345.9940568,10341.4,2421.9,-7118.9,0
2026-04-02T10:17:57.476743+00:00,10.05,1.52,10.05,1.52,-89.8,435510345.9940568,10341.1,2419.3,-7118.7,0
2026-04-02T10:17:57.884699+00:00,10.04,1.54,10.04,1.54,-89.8,435510345.9940568,10340.9,2416.4,-7118.5,0
2026-04-02T10:17:58.248794+00:00,10.04,1.56,10.04,1.56,-89.8,435510345.9940568,10340.7,2413.8,-7118.4,0
2026-04-02T10:17:58.612897+00:00,10.03,1.59,10.03,1.59,-89.8,435510345.9940568,10340.5,2411.2,-7118.3,0
2026-04-02T10:17:59.016797+00:00,10.03,1.61,10.03,1.61,-89.8,435510345.9940568,10340.2,2408.3,-7118.1,0
2026-04-02T10:17:59.380729+00:00,10.02,1.63,10.02,1.63,-89.8,435510345.9940568,10340.0,2405.7,-7117.9,0
2026-04-02T10:17:59.744739+00:00,10.02,1.66,10.02,1.66,-89.8,435510345.9940568,10339.8,2403.2,-7117.8,0
2026-04-02T10:18:00.154497+00:00,10.01,1.68,10.01,1.68,-89.8,435510345.9940568,10339.5,2400.3,-7117.6,0
2026-04-02T10:18:00.520767+00:00,10.00,1.70,10.0,1.7,-89.8,435510345.9940568,10339.3,2397.7,-7117.4,0
2026-04-02T10:18:00.884983+00:00,10.00,1.73,10.0,1.73,-89.8,435510345.9940568,10339.1,2395.0,-7117.3,0
2026-04-02T10:18:01.291667+00:00,9.99,1.75,9.99,1.75,-89.8,435510345.9940568,10338.8,2392.2,-7117.1,0
2026-04-02T10:18:01.656773+00:00,9.98,1.77,9.98,1.77,-89.8,435510345.9940568,10338.6,2389.6,-7116.9,0
2026-04-02T10:18:02.024258+00:00,9.98,1.80,9.98,1.8,-89.8,435510345.9940568,10338.3,2387.0,-7116.8,0
2026-04-02T10:18:02.424935+00:00,9.97,1.82,9.97,1.82,-89.8,435510345.9940568,10338.1,2384.1,-7116.6,0
2026-04-02T10:18:02.789266+00:00,9.97,1.85,9.97,1.85,-89.8,435510345.9940568,10337.8,2381.5,-7116.4,0
2026-04-02T10:18:03.158056+00:00,9.96,1.87,9.96,1.87,-89.8,435510345.9940568,10337.6,2378.9,-7116.3,0
2026-04-02T10:18:03.564705+00:00,9.95,1.90,9.95,1.9,-89.8,435510345.9940568,10337.3,2376.0,-7116.1,0
2026-04-02T10:18:03.929350+00:00,9.95,1.92,9.95,1.92,-89.8,435510345.9940568,10337.0,2373.4,-7115.9,0
2026-04-02T10:18:04.292695+00:00,9.94,1.94,9.94,1.94,-89.8,435510345.9940568,10336.8,2370.8,-7115.7,0
2026-04-02T10:18:04.696689+00:00,9.94,1.97,9.94,1.97,-89.8,435510345.9940568,10336.5,2367.9,-7115.5,0
2026-04-02T10:18:05.062107+00:00,9.93,1.99,9.93,1.99,-89.8,435510345.9940568,10336.2,2365.4,-7115.3,0
2026-04-02T10:18:05.425835+00:00,9.92,2.01,9.92,2.01,-89.8,435510345.9940568,10336.0,2362.8,-7115.2,0
2026-04-02T10:18:05.828693+00:00,9.92,2.04,9.92,2.04,-89.8,435510345.9940568,10335.7,2359.9,-7114.9,0
2026-04-02T10:18:06.192727+00:00,9.91,2.06,9.91,2.06,-89.8,435510345.9940568,10335.4,2357.3,-7114.8,0
2026-04-02T10:18:06.556700+00:00,9.90,2.09,9.9,2.09,-89.8,435510345.9940568,10335.1,2354.7,-7114.6,0
2026-04-02T10:18:06.960782+00:00,9.90,2.11,9.9,2.11,-89.8,435510345.9940568,10334.8,2351.8,-7114.4,0
2026-04-02T10:18:07.329843+00:00,9.89,2.14,9.89,2.14,-89.8,435510345.9940568,10334.6,2349.2,-7114.2,0
2026-04-02T10:18:07.694373+00:00,9.89,2.16,9.89,2.16,-89.8,435510345.9940568,10334.3,2346.6,-7114.0,0
2026-04-02T10:18:08.101423+00:00,9.88,2.19,9.88,2.19,-89.8,435510345.9940568,10334.0,2343.7,-7113.8,0
2026-04-02T10:18:08.470289+00:00,9.87,2.21,9.87,2.21,-89.8,435510345.9940568,10333.7,2341.1,-7113.6,0
2026-04-02T10:18:08.839118+00:00,9.87,2.23,9.87,2.23,-89.8,435510345.9940568,10333.4,2338.5,-7113.4,0
2026-04-02T10:18:09.246594+00:00,9.86,2.26,9.86,2.26,-89.8,435510345.9940568,10333.1,2335.6,-7113.1,0
2026-04-02T10:18:09.610018+00:00,9.85,2.28,9.85,2.28,-89.8,435510345.9940568,10332.8,2333.0,-7112.9,0
2026-04-02T10:18:09.978152+00:00,9.85,2.31,9.85,2.31,-89.8,435510345.9940568,10332.5,2330.4,-7112.7,0
2026-04-02T10:18:10.385893+00:00,9.84,2.34,9.84,2.34,-89.8,435510345.9940568,10332.1,2327.5,-7112.5,0
2026-04-02T10:18:10.749718+00:00,9.83,2.36,9.83,2.36,-89.8,435510345.9940568,10331.8,2324.9,-7112.3,0
