t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-02T10:26:52.253401+00:00,15.60,1.88,15.6,1.88,-86.8,437260464.829182,10464.8,2267.9,-7175.0,0
2026-04-02T10:26:52.622207+00:00,15.61,1.91,15.61,1.91,-86.8,437260464.829182,10464.6,2264.5,-7174.9,0
2026-04-02T10:26:52.986116+00:00,15.62,1.93,15.62,1.93,-86.8,437260464.829182,10464.4,2261.9,-7174.7,0
2026-04-02T10:26:53.394050+00:00,15.63,1.96,15.63,1.96,-86.8,437260464.829182,10464.2,2259.0,-7174.6,0
2026-04-02T10:26:53.762072+00:00,15.64,1.98,15.64,1.98,-86.8,437260464.829182,10464.0,2256.3,-7174.5,0
2026-04-02T10:26:54.130061+00:00,15.64,2.00,15.64,2.0,-86.8,437260464.829182,10463.8,2253.7,-7174.3,0
2026-04-02T10:26:54.532776+00:00,15.65,2.03,15.65,2.03,-86.8,437260464.829182,10463.6,2250.8,-7174.2,0
2026-04-02T10:26:54.892816+00:00,15.66,2.05,15.66,2.05,-86.8,437260464.829182,10463.4,2248.2,-7174.0,0
2026-04-02T10:26:55.256668+00:00,15.67,2.08,15.67,2.08,-86.8,437260464.829182,10463.2,2245.6,-7173.9,0
2026-04-02T10:26:55.661170+00:00,15.67,2.10,15.67,2.1,-86.8,437260464.829182,10463.0,2242.7,-7173.8,0
2026-04-02T10:26:56.026069+00:00,15.68,2.13,15.68,2.13,-86.8,437260464.829182,10462.8,2240.1,-7173.6,0
2026-04-02T10:26:56.388687+00:00,15.69,2.15,15.69,2.15,-86.8,437260464.829182,10462.6,2237.4,-7173.5,0
2026-04-02T10:26:56.792686+00:00,15.70,2.18,15.7,2.18,-86.8,437260464.829182,10462.3,2234.6,-7173.3,0
2026-04-02T10:26:57.156676+00:00,15.71,2.20,15.71,2.2,-86.8,437260464.829182,10462.1,2231.9,-7173.2,0
2026-04-02T10:26:57.520975+00:00,15.71,2.22,15.71,2.22,-86.8,437260464.829182,10461.9,2229.3,-7173.0,0
2026-04-02T10:26:57.924656+00:00,15.72,2.25,15.72,2.25,-86.8,437260464.829182,10461.7,2226.4,-7172.9,0
2026-04-02T10:26:58.288673+00:00,15.73,2.28,15.73,2.28,-86.8,437260464.829182,10461.5,2223.8,-7172.7,0
2026-04-02T10:26:58.652724+00:00,15.74,2.30,15.74,2.3,-86.8,437260464.829182,10461.2,2221.2,-7172.5,0
2026-04-02T10:26:59.056689+00:00,15.74,2.33,15.74,2.33,-86.8,437260464.829182,10461.0,2218.3,-7172.4,0
2026-04-02T10:26:59.426019+00:00,15.75,2.35,15.75,2.35,-86.8,437260464.829182,10460.7,2215.7,-7172.2,0
2026-04-02T10:26:59.790076+00:00,15.76,2.37,15.76,2.37,-86.8,437260464.829182,10460.5,2213.1,-7172.1,0
2026-04-02T10:27:00.197537+00:00,15.77,2.40,15.77,2.4,-86.8,437260464.829182,10460.3,2210.2,-7171.9,0
2026-04-02T10:27:00.566227+00:00,15.78,2.43,15.78,2.43,-86.8,437260464.829182,10460.0,2207.5,-7171.7,0
2026-04-02T10:27:00.929716+00:00,15.78,2.45,15.78,2.45,-86.8,437260464.829182,10459.8,2204.9,-7171.6,0
2026-04-02T10:27:01.338008+00:00,15.79,2.48,15.79,2.48,-86.8,437260464.829182,10459.5,2202.0,-7171.4,0
2026-04-02T10:27:01.705645+00:00,15.80,2.50,15.8,2.5,-86.8,437260464.829182,10459.3,2199.4,-7171.2,0
2026-04-02T10:27:02.069725+00:00,15.81,2.53,15.81,2.53,-86.8,437260464.829182,10459.0,2196.7,-7171.0,0
2026-04-02T10:27:02.476753+00:00,15.82,2.55,15.82,2.55,-86.8,437260464.829182,10458.7,2193.8,-7170.8,0
2026-04-02T10:27:02.840687+00:00,15.82,2.58,15.82,2.58,-86.8,437260464.829182,10458.5,2191.2,-7170.7,0
2026-04-02T10:27:03.204854+00:00,15.83,2.60,15.83,2.6,-86.8,437260464.829182,10458.2,2188.6,-7170.5,0
2026-04-02T10:27:03.608776+00:00,15.84,2.63,15.84,2.63,-86.8,437260464.829182,10457.9,2185.7,-7170.3,0
2026-04-02T10:27:03.972669+00:00,15.85,2.66,15.85,2.66,-86.8,437260464.829182,10457.7,2183.1,-7170.1,0
2026-04-02T10:27:04.336677+00:00,15.85,2.68,15.85,2.68,-86.8,437260464.829182,10457.4,2180.5,-7169.9,0
2026-04-02T10:27:04.740672+00:00,15.86,2.71,15.86,2.71,-86.8,437260464.829182,10457.1,2177.6,-7169.7,0
2026-04-02T10:27:05.105419+00:00,15.87,2.73,15.87,2.73,-86.8,437260464.829182,10456.8,2175.0,-7169.5,0
2026-04-02T10:27:05.468703+00:00,15.88,2.76,15.88,2.76,-86.8,437260464.829182,10456.6,2172.4,-7169.3,0
2026-04-02T10:27:05.872671+00:00,15.89,2.78,15.89,2.78,-86.8,437260464.829182,10456.2,2169.5,-7169.1,0
