t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T08:29:15.559541+00:00,13.94,0.00,13.94,0.0,-91.8,437160280.00657123,10280.0,2750.0,-7049.9,0
2026-04-09T08:29:15.927946+00:00,13.94,0.03,13.94,0.03,-91.8,437160280.00657123,10280.1,2746.7,-7050.0,0
2026-04-09T08:29:16.292004+00:00,13.95,0.05,13.95,0.05,-91.8,437160280.00657123,10280.1,2744.1,-7050.0,0
2026-04-09T08:29:16.699741+00:00,13.95,0.07,13.95,0.07,-91.8,437160280.00657123,10280.2,2741.3,-7050.0,0
2026-04-09T08:29:17.067732+00:00,13.96,0.09,13.96,0.09,-91.8,437160280.00657123,10280.2,2738.7,-7050.0,0
2026-04-09T08:29:17.431589+00:00,13.96,0.11,13.96,0.11,-91.8,437160280.00657123,10280.2,2736.1,-7050.1,0
2026-04-09T08:29:17.839902+00:00,13.97,0.13,13.97,0.13,-91.8,437160280.00657123,10280.3,2733.2,-7050.1,0
2026-04-09T08:29:18.208265+00:00,13.97,0.15,13.97,0.15,-91.8,437160280.00657123,10280.3,2730.6,-7050.1,0
2026-04-09T08:29:18.571568+00:00,13.97,0.16,13.97,0.16,-91.8,437160280.00657123,10280.4,2728.0,-7050.2,0
2026-04-09T08:29:18.979891+00:00,13.98,0.19,13.98,0.19,-91.8,437160280.00657123,10280.4,2725.2,-7050.2,0
2026-04-09T08:29:19.348001+00:00,13.98,0.20,13.98,0.2,-91.8,437160280.00657123,10280.4,2722.6,-7050.2,0
2026-04-09T08:29:19.712087+00:00,13.99,0.22,13.99,0.22,-91.8,437160280.00657123,10280.5,2720.0,-7050.2,0
2026-04-09T08:29:20.119060+00:00,13.99,0.24,13.99,0.24,-91.8,437160280.00657123,10280.5,2717.2,-7050.2,0
2026-04-09T08:29:20.492323+00:00,14.00,0.26,14.0,0.26,-91.8,437160280.00657123,10280.5,2714.6,-7050.3,0
2026-04-09T08:29:20.851615+00:00,14.00,0.28,14.0,0.28,-91.8,437160280.00657123,10280.5,2712.0,-7050.3,0
2026-04-09T08:29:21.259879+00:00,14.00,0.30,14.0,0.3,-91.8,437160280.00657123,10280.6,2709.1,-7050.3,0
2026-04-09T08:29:21.628944+00:00,14.01,0.32,14.01,0.32,-91.8,437160280.00657123,10280.6,2706.5,-7050.3,0
2026-04-09T08:29:21.991481+00:00,14.01,0.34,14.01,0.34,-91.8,437160280.00657123,10280.6,2704.0,-7050.3,0
2026-04-09T08:29:22.399789+00:00,14.02,0.37,14.02,0.37,-91.8,437160280.00657123,10280.6,2701.1,-7050.3,0
2026-04-09T08:29:22.769543+00:00,14.02,0.38,14.02,0.38,-91.8,437160280.00657123,10280.7,2698.5,-7050.4,0
2026-04-09T08:29:23.131602+00:00,14.03,0.40,14.03,0.4,-91.8,437160280.00657123,10280.7,2695.9,-7050.4,0
2026-04-09T08:29:23.539904+00:00,14.03,0.43,14.03,0.43,-91.8,437160280.00657123,10280.7,2693.1,-7050.4,0
2026-04-09T08:29:23.904104+00:00,14.04,0.45,14.04,0.45,-91.8,437160280.00657123,10280.7,2690.5,-7050.4,0
2026-04-09T08:29:24.271951+00:00,14.04,0.47,14.04,0.47,-91.8,437160280.00657123,10280.7,2687.9,-7050.4,0
2026-04-09T08:29:24.679555+00:00,14.04,0.49,14.04,0.49,-91.8,437160280.00657123,10280.7,2685.0,-7050.4,0
2026-04-09T08:29:25.044494+00:00,14.05,0.51,14.05,0.51,-91.8,437160280.00657123,10280.7,2682.4,-7050.4,0
2026-04-09T08:29:25.411898+00:00,14.05,0.53,14.05,0.53,-91.8,437160280.00657123,10280.7,2679.9,-7050.4,0
2026-04-09T08:29:25.819597+00:00,14.06,0.55,14.06,0.55,-91.8,437160280.00657123,10280.7,2677.0,-7050.4,0
2026-04-09T08:29:26.187428+00:00,14.06,0.57,14.06,0.57,-91.8,437160280.00657123,10280.7,2674.4,-7050.4,0
2026-04-09T08:29:26.551863+00:00,14.07,0.59,14.07,0.59,-91.8,437160280.00657123,10280.7,2671.8,-7050.4,0
2026-04-09T08:29:26.959361+00:00,14.07,0.61,14.07,0.61,-91.8,437160280.00657123,10280.7,2668.9,-7050.4,0
2026-04-09T08:29:27.327875+00:00,14.08,0.63,14.08,0.63,-91.8,437160280.00657123,10280.7,2666.3,-7050.4,0
2026-04-09T08:29:27.692883+00:00,14.08,0.65,14.08,0.65,-91.8,437160280.00657123,10280.7,2663.8,-7050.4,0
2026-04-09T08:29:28.099616+00:00,14.08,0.68,14.08,0.68,-91.8,437160280.00657123,10280.7,2660.9,-7050.4,0
2026-04-09T08:29:28.467943+00:00,14.09,0.70,14.09,0.7,-91.8,437160280.00657123,10280.7,2658.3,-7050.4,0
2026-04-09T08:29:28.835635+00:00,14.09,0.72,14.09,0.72,-91.8,437160280.00657123,10280.7,2655.7,-7050.4,0
2026-04-09T08:29:29.243595+00:00,14.10,0.74,14.1,0.74,-91.8,437160280.00657123,10280.7,2652.9,-7050.4,0
2026-04-09T08:29:29.607867+00:00,14.10,0.76,14.1,0.76,-91.8,437160280.00657123,10280.6,2650.3,-7050.3,0
2026-04-09T08:29:29.975893+00:00,14.11,0.78,14.11,0.78,-91.8,437160280.00657123,10280.6,2647.7,-7050.3,0
2026-04-09T08:29:30.384945+00:00,14.11,0.80,14.11,0.8,-91.8,437160280.00657123,10280.6,2644.8,-7050.3,0
2026-04-09T08:29:30.751725+00:00,14.12,0.82,14.12,0.82,-91.8,437160280.00657123,10280.6,2642.2,-7050.3,0
2026-04-09T08:29:31.115054+00:00,14.12,0.84,14.12,0.84,-91.8,437160280.00657123,10280.6,2639.6,-7050.3,0
2026-04-09T08:29:31.524687+00:00,14.12,0.87,14.12,0.87,-91.8,437160280.00657123,10280.5,2636.8,-7050.3,0
2026-04-09T08:29:31.887971+00:00,14.13,0.89,14.13,0.89,-91.8,437160280.00657123,10280.5,2634.2,-7050.3,0
2026-04-09T08:29:32.255906+00:00,14.13,0.91,14.13,0.91,-91.8,437160280.00657123,10280.5,2631.6,-7050.2,0
2026-04-09T08:29:32.664937+00:00,14.14,0.93,14.14,0.93,-91.8,437160280.00657123,10280.4,2628.8,-7050.2,0
2026-04-09T08:29:33.027557+00:00,14.14,0.95,14.14,0.95,-91.8,437160280.00657123,10280.4,2626.2,-7050.2,0
2026-04-09T08:29:33.395732+00:00,14.15,0.97,14.15,0.97,-91.8,437160280.00657123,10280.4,2623.6,-7050.2,0
2026-04-09T08:29:33.803914+00:00,14.15,1.00,14.15,1.0,-91.8,437160280.00657123,10280.3,2620.7,-7050.1,0
2026-04-09T08:29:34.167694+00:00,14.16,1.02,14.16,1.02,-91.8,437160280.00657123,10280.3,2618.1,-7050.1,0
2026-04-09T08:29:34.535568+00:00,14.16,1.04,14.16,1.04,-91.8,437160280.00657123,10280.3,2615.5,-7050.1,0
2026-04-09T08:29:34.943577+00:00,14.17,1.06,14.17,1.06,-91.8,437160280.00657123,10280.2,2612.7,-7050.0,0
2026-04-09T08:29:35.308095+00:00,14.17,1.08,14.17,1.08,-91.8,437160280.00657123,10280.2,2610.1,-7050.0,0
2026-04-09T08:29:35.675568+00:00,14.17,1.10,14.17,1.1,-91.8,437160280.00657123,10280.1,2607.5,-7050.0,0
2026-04-09T08:29:36.083661+00:00,14.18,1.13,14.18,1.13,-91.8,437160280.00657123,10280.1,2604.6,-7049.9,0
2026-04-09T08:29:36.452973+00:00,14.18,1.15,14.18,1.15,-91.8,437160280.00657123,10280.0,2602.1,-7049.9,0
2026-04-09T08:29:36.816204+00:00,14.19,1.17,14.19,1.17,-91.8,437160280.00657123,10280.0,2599.5,-7049.9,0
2026-04-09T08:29:37.224838+00:00,14.19,1.20,14.19,1.2,-91.8,437160280.00657123,10279.9,2596.6,-7049.8,0
2026-04-09T08:29:37.592632+00:00,14.20,1.22,14.2,1.22,-91.8,437160280.00657123,10279.8,2594.0,-7049.8,0
2026-04-09T08:29:37.955891+00:00,14.20,1.24,14.2,1.24,-91.8,437160280.00657123,10279.8,2591.4,-7049.8,0
2026-04-09T08:29:38.363890+00:00,14.21,1.26,14.21,1.26,-91.8,437160280.00657123,10279.7,2588.5,-7049.7,0
2026-04-09T08:29:38.731572+00:00,14.21,1.28,14.21,1.28,-91.8,437160280.00657123,10279.7,2586.0,-7049.7,0
2026-04-09T08:29:39.095606+00:00,14.22,1.31,14.22,1.31,-91.8,437160280.00657123,10279.6,2583.4,-7049.6,0
2026-04-09T08:29:39.503593+00:00,14.22,1.33,14.22,1.33,-91.8,437160280.00657123,10279.5,2580.5,-7049.6,0
2026-04-09T08:29:39.867664+00:00,14.23,1.35,14.23,1.35,-91.8,437160280.00657123,10279.4,2577.9,-7049.5,0
2026-04-09T08:29:40.235905+00:00,14.23,1.37,14.23,1.37,-91.8,437160280.00657123,10279.4,2575.3,-7049.5,0
2026-04-09T08:29:40.643907+00:00,14.23,1.40,14.23,1.4,-91.8,437160280.00657123,10279.3,2572.5,-7049.4,0
2026-04-09T08:29:41.011439+00:00,14.24,1.42,14.24,1.42,-91.8,437160280.00657123,10279.2,2569.9,-7049.4,0
2026-04-09T08:29:41.377036+00:00,14.24,1.44,14.24,1.44,-91.8,437160280.00657123,10279.1,2567.3,-7049.3,0
2026-04-09T08:29:41.784907+00:00,14.25,1.47,14.25,1.47,-91.8,437160280.00657123,10279.1,2564.5,-7049.3,0
2026-04-09T08:29:42.147914+00:00,14.25,1.49,14.25,1.49,-91.8,437160280.00657123,10279.0,2561.9,-7049.2,0
2026-04-09T08:29:42.516768+00:00,14.26,1.51,14.26,1.51,-91.8,437160280.00657123,10278.9,2559.3,-7049.1,0
2026-04-09T08:29:42.919659+00:00,14.26,1.53,14.26,1.53,-91.8,437160280.00657123,10278.8,2556.4,-7049.1,0
2026-04-09T08:29:43.287615+00:00,14.27,1.56,14.27,1.56,-91.8,437160280.00657123,10278.7,2553.8,-7049.0,0
2026-04-09T08:29:43.656428+00:00,14.27,1.58,14.27,1.58,-91.8,437160280.00657123,10278.6,2551.2,-7049.0,0
2026-04-09T08:29:44.058525+00:00,14.28,1.60,14.28,1.6,-91.8,437160280.00657123,10278.5,2548.4,-7048.9,0
2026-04-09T08:29:44.422582+00:00,14.28,1.63,14.28,1.63,-91.8,437160280.00657123,10278.4,2545.8,-7048.8,0
2026-04-09T08:29:44.784371+00:00,14.29,1.65,14.29,1.65,-91.8,437160280.00657123,10278.3,2543.3,-7048.8,0
2026-04-09T08:29:45.190531+00:00,14.29,1.67,14.29,1.67,-91.8,437160280.00657123,10278.2,2540.4,-7048.7,0
2026-04-09T08:29:45.554554+00:00,14.30,1.69,14.3,1.69,-91.8,437160280.00657123,10278.1,2537.8,-7048.6,0
2026-04-09T08:29:45.918513+00:00,14.30,1.72,14.3,1.72,-91.8,437160280.00657123,10278.0,2535.3,-7048.6,0
2026-04-09T08:29:46.322543+00:00,14.31,1.74,14.31,1.74,-91.8,437160280.00657123,10277.9,2532.4,-7048.5,0
2026-04-09T08:29:46.687198+00:00,14.31,1.76,14.31,1.76,-91.8,437160280.00657123,10277.8,2529.9,-7048.4,0
2026-04-09T08:29:47.051664+00:00,14.31,1.79,14.31,1.79,-91.8,437160280.00657123,10277.7,2527.3,-7048.3,0
2026-04-09T08:29:47.454527+00:00,14.32,1.81,14.32,1.81,-91.8,437160280.00657123,10277.6,2524.5,-7048.3,0
2026-04-09T08:29:47.814520+00:00,14.32,1.83,14.32,1.83,-91.8,437160280.00657123,10277.5,2521.9,-7048.2,0
2026-04-09T08:29:48.178563+00:00,14.33,1.86,14.33,1.86,-91.8,437160280.00657123,10277.4,2519.3,-7048.1,0
2026-04-09T08:29:48.582517+00:00,14.33,1.88,14.33,1.88,-91.8,437160280.00657123,10277.2,2516.5,-7048.0,0
2026-04-09T08:29:48.947933+00:00,14.34,1.90,14.34,1.9,-91.8,437160280.00657123,10277.1,2513.9,-7047.9,0
2026-04-09T08:29:49.319876+00:00,14.34,1.93,14.34,1.93,-91.8,437160280.00657123,10277.0,2511.3,-7047.8,0
2026-04-09T08:29:49.727572+00:00,14.35,1.95,14.35,1.95,-91.8,437160280.00657123,10276.9,2508.5,-7047.8,0
2026-04-09T08:29:50.091863+00:00,14.35,1.98,14.35,1.98,-91.8,437160280.00657123,10276.7,2505.9,-7047.7,0
2026-04-09T08:29:50.459941+00:00,14.36,2.00,14.36,2.0,-91.8,437160280.00657123,10276.6,2503.3,-7047.6,0
2026-04-09T08:29:50.867452+00:00,14.36,2.02,14.36,2.02,-91.8,437160280.00657123,10276.5,2500.4,-7047.5,0
2026-04-09T08:29:51.236007+00:00,14.37,2.05,14.37,2.05,-91.8,437160280.00657123,10276.3,2497.8,-7047.4,0
2026-04-09T08:29:51.599564+00:00,14.37,2.07,14.37,2.07,-91.8,437160280.00657123,10276.2,2495.2,-7047.3,0
2026-04-09T08:29:52.007875+00:00,14.38,2.10,14.38,2.1,-91.8,437160280.00657123,10276.0,2492.4,-7047.2,0
2026-04-09T08:29:52.371753+00:00,14.38,2.12,14.38,2.12,-91.8,437160280.00657123,10275.9,2489.8,-7047.1,0
2026-04-09T08:29:52.739892+00:00,14.39,2.14,14.39,2.14,-91.8,437160280.00657123,10275.8,2487.2,-7047.0,0
2026-04-09T08:29:53.147614+00:00,14.39,2.17,14.39,2.17,-91.8,437160280.00657123,10275.6,2484.3,-7046.9,0
