t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T09:02:17.541490+00:00,129.20,0.48,129.2,0.48,-101.8,433009353.9749264,9354.0,2641.5,-6476.3,0
2026-04-09T09:02:17.905577+00:00,129.17,0.51,129.17,0.51,-97.8,433009353.9749264,9351.7,2638.5,-6474.7,0
2026-04-09T09:02:18.269706+00:00,129.14,0.53,129.14,0.53,-106.8,433009353.9749264,9349.9,2636.1,-6473.5,0
2026-04-09T09:02:18.673497+00:00,129.12,0.55,129.12,0.55,-85.8,433009353.9749264,9347.9,2633.5,-6472.1,0
2026-04-09T09:02:19.037514+00:00,129.09,0.56,129.09,0.56,-110.8,433009353.9749264,9346.0,2631.1,-6470.8,0
2026-04-09T09:02:19.401592+00:00,129.07,0.58,129.07,0.58,-113.8,433009353.9749264,9344.2,2628.8,-6469.6,0
2026-04-09T09:02:19.805519+00:00,129.04,0.60,129.04,0.6,-107.8,433009353.9749264,9342.2,2626.2,-6468.2,0
2026-04-09T09:02:20.169628+00:00,129.01,0.62,129.01,0.62,-109.8,433009353.9749264,9340.3,2623.8,-6466.9,0
2026-04-09T09:02:20.533501+00:00,128.99,0.64,128.99,0.64,-111.8,433009353.9749264,9338.5,2621.5,-6465.6,0
2026-04-09T09:02:20.942902+00:00,128.96,0.66,128.96,0.66,-107.8,433009353.9749264,9336.4,2618.9,-6464.2,0
2026-04-09T09:02:21.311163+00:00,128.94,0.68,128.94,0.68,-109.8,433009353.9749264,9334.6,2616.5,-6462.9,0
2026-04-09T09:02:21.674842+00:00,128.91,0.70,128.91,0.7,-107.8,433009353.9749264,9332.7,2614.1,-6461.6,0
2026-04-09T09:02:22.082571+00:00,128.88,0.72,128.88,0.72,-101.8,433009353.9749264,9330.6,2611.5,-6460.2,0
2026-04-09T09:02:22.451928+00:00,128.86,0.74,128.86,0.74,-107.8,433009353.9749264,9328.7,2609.1,-6458.8,0
2026-04-09T09:02:22.814828+00:00,128.83,0.76,128.83,0.76,-107.8,433009353.9749264,9326.8,2606.7,-6457.5,0
2026-04-09T09:02:23.224624+00:00,128.80,0.78,128.8,0.78,-101.8,433009353.9749264,9324.7,2604.1,-6456.1,0
2026-04-09T09:02:23.591141+00:00,128.78,0.80,128.78,0.8,-100.8,433009353.9749264,9322.8,2601.7,-6454.7,0
2026-04-09T09:02:23.958513+00:00,128.75,0.82,128.75,0.82,-108.8,433009353.9749264,9320.9,2599.4,-6453.4,0
2026-04-09T09:02:24.366266+00:00,128.72,0.84,128.72,0.84,-104.8,433009353.9749264,9318.7,2596.7,-6451.9,0
2026-04-09T09:02:24.734869+00:00,128.70,0.86,128.7,0.86,-108.8,433009353.9749264,9316.8,2594.4,-6450.6,0
2026-04-09T09:02:25.107162+00:00,128.67,0.88,128.67,0.88,-102.8,433009353.9749264,9314.8,2592.0,-6449.2,0
2026-04-09T09:02:25.506499+00:00,128.64,0.90,128.64,0.9,-108.8,433009353.9749264,9312.7,2589.4,-6447.7,0
2026-04-09T09:02:25.874536+00:00,128.62,0.92,128.62,0.92,-103.8,433009353.9749264,9310.7,2587.0,-6446.4,0
2026-04-09T09:02:26.238448+00:00,128.59,0.94,128.59,0.94,-107.8,433009353.9749264,9308.8,2584.7,-6445.0,0
2026-04-09T09:02:26.645511+00:00,128.56,0.96,128.56,0.96,-107.8,433009353.9749264,9306.6,2582.0,-6443.5,0
2026-04-09T09:02:27.013247+00:00,128.54,0.98,128.54,0.98,-104.8,433009353.9749264,9304.6,2579.7,-6442.1,0
2026-04-09T09:02:27.433495+00:00,128.51,1.00,128.51,1.0,-105.8,433009303.3640475,9302.3,2577.0,-6440.6,0
2026-04-09T09:02:27.837485+00:00,128.48,1.02,128.48,1.02,-107.8,433009303.3640475,9300.1,2574.4,-6439.0,0
2026-04-09T09:02:28.201734+00:00,128.45,1.04,128.45,1.04,-105.8,433009303.3640475,9298.1,2572.0,-6437.6,0
2026-04-09T09:02:28.565739+00:00,128.43,1.06,128.43,1.06,-104.8,433009303.3640475,9296.1,2569.7,-6436.3,0
2026-04-09T09:02:28.969542+00:00,128.40,1.08,128.4,1.08,-107.8,433009303.3640475,9293.9,2567.1,-6434.7,0
2026-04-09T09:02:29.333525+00:00,128.37,1.10,128.37,1.1,-105.8,433009303.3640475,9291.9,2564.7,-6433.3,0
2026-04-09T09:02:29.697519+00:00,128.35,1.12,128.35,1.12,-108.8,433009303.3640475,9289.9,2562.4,-6431.9,0
2026-04-09T09:02:30.101473+00:00,128.32,1.14,128.32,1.14,-107.8,433009303.3640475,9287.6,2559.8,-6430.4,0
2026-04-09T09:02:30.465488+00:00,128.29,1.16,128.29,1.16,-107.8,433009303.3640475,9285.6,2557.4,-6429.0,0
2026-04-09T09:02:30.829491+00:00,128.26,1.18,128.26,1.18,-112.8,433009303.3640475,9283.6,2555.1,-6427.6,0
2026-04-09T09:02:31.233614+00:00,128.23,1.21,128.23,1.21,-107.8,433009303.3640475,9281.3,2552.5,-6426.0,0
2026-04-09T09:02:31.602633+00:00,128.21,1.23,128.21,1.23,-109.8,433009303.3640475,9279.2,2550.2,-6424.6,0
2026-04-09T09:02:31.970590+00:00,128.18,1.25,128.18,1.25,-107.8,433009303.3640475,9277.1,2547.8,-6423.1,0
2026-04-09T09:02:32.378446+00:00,128.15,1.27,128.15,1.27,-109.8,433009303.3640475,9274.8,2545.2,-6421.5,0
2026-04-09T09:02:32.742593+00:00,128.13,1.29,128.13,1.29,-106.8,433009303.3640475,9272.8,2542.8,-6420.1,0
2026-04-09T09:02:33.110854+00:00,128.10,1.31,128.1,1.31,-106.8,433009303.3640475,9270.6,2540.5,-6418.6,0
2026-04-09T09:02:33.520219+00:00,128.07,1.33,128.07,1.33,-109.8,433009303.3640475,9268.3,2537.8,-6417.0,0
2026-04-09T09:02:33.882549+00:00,128.04,1.35,128.04,1.35,-109.8,433009303.3640475,9266.2,2535.5,-6415.6,0
2026-04-09T09:02:34.251072+00:00,128.01,1.37,128.01,1.37,-110.8,433009303.3640475,9264.1,2533.2,-6414.1,0
2026-04-09T09:02:34.659599+00:00,127.98,1.39,127.98,1.39,-107.8,433009303.3640475,9261.7,2530.5,-6412.4,0
2026-04-09T09:02:35.022514+00:00,127.96,1.41,127.96,1.41,-103.8,433009303.3640475,9259.6,2528.2,-6411.0,0
2026-04-09T09:02:35.390549+00:00,127.93,1.43,127.93,1.43,-110.8,433009303.3640475,9257.4,2525.8,-6409.5,0
2026-04-09T09:02:35.798334+00:00,127.90,1.46,127.9,1.46,-110.8,433009303.3640475,9255.0,2523.2,-6407.8,0
