t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T09:09:21.442543+00:00,18.88,0.00,18.88,0.0,-105.8,433010006.6101217,10006.6,2617.6,-6928.2,0
2026-04-09T09:09:21.811944+00:00,18.90,0.03,18.9,0.03,-103.8,433010006.6101217,10006.0,2614.3,-6927.8,0
2026-04-09T09:09:22.174561+00:00,18.92,0.05,18.92,0.05,-104.8,433010006.6101217,10005.6,2611.8,-6927.5,0
2026-04-09T09:09:22.582531+00:00,18.94,0.07,18.94,0.07,-106.8,433010006.6101217,10005.1,2609.0,-6927.1,0
2026-04-09T09:09:22.950572+00:00,18.95,0.08,18.95,0.08,-107.8,433010006.6101217,10004.6,2606.4,-6926.8,0
2026-04-09T09:09:23.314866+00:00,18.97,0.10,18.97,0.1,-105.8,433010006.6101217,10004.2,2603.9,-6926.5,0
2026-04-09T09:09:23.722509+00:00,18.98,0.12,18.98,0.12,-107.8,433010006.6101217,10003.7,2601.1,-6926.2,0
2026-04-09T09:09:24.090003+00:00,19.00,0.14,19.0,0.14,-103.8,433010006.6101217,10003.2,2598.5,-6925.8,0
2026-04-09T09:09:24.455317+00:00,19.01,0.16,19.01,0.16,-107.8,433010006.6101217,10002.8,2596.0,-6925.5,0
2026-04-09T09:09:24.866413+00:00,19.03,0.18,19.03,0.18,-103.8,433010006.6101217,10002.2,2593.2,-6925.2,0
2026-04-09T09:09:25.230497+00:00,19.05,0.20,19.05,0.2,-105.8,433010006.6101217,10001.8,2590.6,-6924.8,0
2026-04-09T09:09:25.598881+00:00,19.06,0.22,19.06,0.22,-102.8,433010006.6101217,10001.3,2588.1,-6924.5,0
2026-04-09T09:09:26.006146+00:00,19.08,0.24,19.08,0.24,-107.8,433010006.6101217,10000.8,2585.3,-6924.1,0
2026-04-09T09:09:26.374465+00:00,19.10,0.26,19.1,0.26,-103.8,433010006.6101217,10000.3,2582.7,-6923.8,0
2026-04-09T09:09:26.738466+00:00,19.11,0.28,19.11,0.28,-107.8,433010006.6101217,9999.8,2580.2,-6923.5,0
2026-04-09T09:09:27.146571+00:00,19.13,0.30,19.13,0.3,-105.8,433010006.6101217,9999.2,2577.3,-6923.1,0
2026-04-09T09:09:27.514742+00:00,19.14,0.32,19.14,0.32,-106.8,433010006.6101217,9998.8,2574.8,-6922.7,0
2026-04-09T09:09:27.878542+00:00,19.16,0.34,19.16,0.34,-104.8,433010006.6101217,9998.3,2572.3,-6922.4,0
2026-04-09T09:09:28.286802+00:00,19.18,0.36,19.18,0.36,-108.8,433010006.6101217,9997.7,2569.5,-6922.0,0
2026-04-09T09:09:28.654596+00:00,19.19,0.38,19.19,0.38,-104.8,433010006.6101217,9997.2,2566.9,-6921.7,0
2026-04-09T09:09:29.023481+00:00,19.21,0.40,19.21,0.4,-108.8,433010006.6101217,9996.7,2564.4,-6921.3,0
2026-04-09T09:09:29.428420+00:00,19.23,0.42,19.23,0.42,-104.8,433010006.6101217,9996.1,2561.6,-6920.9,0
2026-04-09T09:09:29.795942+00:00,19.24,0.44,19.24,0.44,-106.8,433010006.6101217,9995.6,2559.0,-6920.6,0
2026-04-09T09:09:30.161518+00:00,19.26,0.46,19.26,0.46,-106.8,433010006.6101217,9995.1,2556.5,-6920.2,0
2026-04-09T09:09:30.565488+00:00,19.28,0.48,19.28,0.48,-110.8,433010006.6101217,9994.5,2553.7,-6919.8,0
2026-04-09T09:09:30.929970+00:00,19.29,0.50,19.29,0.5,-107.8,433010006.6101217,9994.0,2551.2,-6919.5,0
2026-04-09T09:09:31.289467+00:00,19.31,0.52,19.31,0.52,-104.8,433010006.6101217,9993.5,2548.6,-6919.1,0
2026-04-09T09:09:31.697501+00:00,19.32,0.54,19.32,0.54,-108.8,433010006.6101217,9992.9,2545.8,-6918.7,0
2026-04-09T09:09:32.061468+00:00,19.34,0.56,19.34,0.56,-107.8,433010006.6101217,9992.4,2543.3,-6918.3,0
2026-04-09T09:09:32.421598+00:00,19.36,0.58,19.36,0.58,-106.8,433010006.6101217,9991.9,2540.8,-6918.0,0
2026-04-09T09:09:32.829503+00:00,19.37,0.60,19.37,0.6,-109.8,433010006.6101217,9991.3,2538.0,-6917.6,0
2026-04-09T09:09:33.193494+00:00,19.39,0.62,19.39,0.62,-102.8,433010006.6101217,9990.7,2535.5,-6917.2,0
