t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T09:14:32.746506+00:00,139.74,0.00,139.74,0.0,-98.8,437332172.1021408,9672.1,3113.7,-6630.4,0
2026-04-09T09:14:33.109527+00:00,139.72,0.03,139.72,0.03,-101.8,437332172.1021408,9671.4,3110.6,-6629.9,0
2026-04-09T09:14:33.473505+00:00,139.71,0.04,139.71,0.04,-106.8,437332172.1021408,9670.8,3108.2,-6629.5,0
2026-04-09T09:14:33.877541+00:00,139.70,0.06,139.7,0.06,-103.8,437332172.1021408,9670.2,3105.5,-6629.1,0
2026-04-09T09:14:34.241777+00:00,139.68,0.08,139.68,0.08,-104.8,437332172.1021408,9669.7,3103.1,-6628.7,0
2026-04-09T09:14:34.605493+00:00,139.67,0.10,139.67,0.1,-102.8,437332172.1021408,9669.1,3100.7,-6628.3,0
2026-04-09T09:14:35.009510+00:00,139.66,0.12,139.66,0.12,-106.8,437332172.1021408,9668.5,3098.0,-6627.9,0
2026-04-09T09:14:35.373513+00:00,139.64,0.14,139.64,0.14,-102.8,437332172.1021408,9667.9,3095.6,-6627.5,0
2026-04-09T09:14:35.737640+00:00,139.63,0.15,139.63,0.15,-105.8,437332172.1021408,9667.3,3093.2,-6627.1,0
2026-04-09T09:14:36.146835+00:00,139.61,0.17,139.61,0.17,-106.8,437332172.1021408,9666.7,3090.5,-6626.7,0
2026-04-09T09:14:36.511000+00:00,139.60,0.19,139.6,0.19,-103.8,437332172.1021408,9666.1,3088.0,-6626.3,0
2026-04-09T09:14:36.878830+00:00,139.59,0.21,139.59,0.21,-101.8,437332172.1021408,9665.5,3085.6,-6625.9,0
2026-04-09T09:14:37.287058+00:00,139.57,0.23,139.57,0.23,-101.8,437332172.1021408,9664.8,3082.9,-6625.4,0
2026-04-09T09:14:37.655110+00:00,139.56,0.25,139.56,0.25,-104.8,437332172.1021408,9664.3,3080.5,-6625.0,0
2026-04-09T09:14:38.021516+00:00,139.55,0.27,139.55,0.27,-98.8,437332172.1021408,9663.7,3078.0,-6624.6,0
2026-04-09T09:14:38.425509+00:00,139.53,0.29,139.53,0.29,-101.8,437332172.1021408,9663.0,3075.4,-6624.2,0
2026-04-09T09:14:38.789920+00:00,139.52,0.31,139.52,0.31,-106.8,437332172.1021408,9662.4,3073.0,-6623.7,0
2026-04-09T09:14:39.153475+00:00,139.51,0.32,139.51,0.32,-101.8,437332172.1021408,9661.8,3070.5,-6623.3,0
2026-04-09T09:14:39.557462+00:00,139.49,0.34,139.49,0.34,-101.8,437332172.1021408,9661.1,3067.9,-6622.9,0
2026-04-09T09:14:39.921479+00:00,139.48,0.36,139.48,0.36,-101.8,437332172.1021408,9660.5,3065.5,-6622.5,0
2026-04-09T09:14:40.285510+00:00,139.46,0.38,139.46,0.38,-103.8,437332172.1021408,9659.9,3063.0,-6622.0,0
2026-04-09T09:14:40.689478+00:00,139.45,0.40,139.45,0.4,-105.8,437332172.1021408,9659.2,3060.4,-6621.6,0
2026-04-09T09:14:41.053490+00:00,139.44,0.42,139.44,0.42,-107.8,437332172.1021408,9658.6,3057.9,-6621.1,0
2026-04-09T09:14:41.417619+00:00,139.42,0.44,139.42,0.44,-107.8,437332172.1021408,9658.0,3055.5,-6620.7,0
2026-04-09T09:14:41.821531+00:00,139.41,0.46,139.41,0.46,-101.8,437332172.1021408,9657.3,3052.9,-6620.2,0
2026-04-09T09:14:42.186182+00:00,139.39,0.48,139.39,0.48,-103.8,437332172.1021408,9656.7,3050.4,-6619.8,0
2026-04-09T09:14:42.549555+00:00,139.38,0.50,139.38,0.5,-98.8,437332172.1021408,9656.0,3048.0,-6619.4,0
2026-04-09T09:14:42.958554+00:00,139.37,0.52,139.37,0.52,-104.8,437332172.1021408,9655.3,3045.4,-6618.9,0
2026-04-09T09:14:43.322548+00:00,139.35,0.54,139.35,0.54,-102.8,437332172.1021408,9654.7,3042.9,-6618.5,0
2026-04-09T09:14:43.690330+00:00,139.34,0.56,139.34,0.56,-102.8,437332172.1021408,9654.1,3040.5,-6618.0,0
2026-04-09T09:14:44.098525+00:00,139.32,0.58,139.32,0.58,-103.8,437332172.1021408,9653.3,3037.8,-6617.5,0
2026-04-09T09:14:44.461488+00:00,139.31,0.60,139.31,0.6,-101.8,437332172.1021408,9652.7,3035.4,-6617.1,0
2026-04-09T09:14:44.825557+00:00,139.30,0.62,139.3,0.62,-101.8,437332172.1021408,9652.0,3033.0,-6616.7,0
2026-04-09T09:14:45.229512+00:00,139.28,0.64,139.28,0.64,-101.8,437332172.1021408,9651.3,3030.3,-6616.1,0
2026-04-09T09:14:45.593483+00:00,139.27,0.66,139.27,0.66,-101.8,437332172.1021408,9650.7,3027.9,-6615.7,0
2026-04-09T09:14:45.957468+00:00,139.25,0.67,139.25,0.67,-103.8,437332172.1021408,9650.0,3025.5,-6615.3,0
2026-04-09T09:14:46.361919+00:00,139.24,0.70,139.24,0.7,-102.8,437332172.1021408,9649.3,3022.8,-6614.7,0
2026-04-09T09:14:46.725580+00:00,139.22,0.71,139.22,0.71,-102.8,437332172.1021408,9648.6,3020.4,-6614.3,0
2026-04-09T09:14:47.088518+00:00,139.21,0.73,139.21,0.73,-101.8,437332172.1021408,9647.9,3018.0,-6613.8,0
2026-04-09T09:14:47.493494+00:00,139.20,0.76,139.2,0.76,-103.8,437332172.1021408,9647.2,3015.3,-6613.3,0
2026-04-09T09:14:47.857504+00:00,139.18,0.77,139.18,0.77,-97.8,437332172.1021408,9646.5,3012.9,-6612.9,0
2026-04-09T09:14:48.221596+00:00,139.17,0.79,139.17,0.79,-101.8,437332172.1021408,9645.8,3010.5,-6612.4,0
2026-04-09T09:14:48.629584+00:00,139.15,0.82,139.15,0.82,-103.8,437332172.1021408,9645.1,3007.8,-6611.9,0
2026-04-09T09:14:48.993495+00:00,139.14,0.83,139.14,0.83,-98.8,437332172.1021408,9644.4,3005.4,-6611.4,0
2026-04-09T09:14:49.358863+00:00,139.12,0.85,139.12,0.85,-104.8,437332172.1021408,9643.7,3003.0,-6610.9,0
2026-04-09T09:14:49.766617+00:00,139.11,0.88,139.11,0.88,-102.8,437332172.1021408,9643.0,3000.3,-6610.4,0
2026-04-09T09:14:50.130648+00:00,139.10,0.90,139.1,0.9,-106.8,437332172.1021408,9642.2,2997.9,-6609.9,0
2026-04-09T09:14:50.498826+00:00,139.08,0.92,139.08,0.92,-105.8,437332172.1021408,9641.5,2995.5,-6609.5,0
2026-04-09T09:14:50.906918+00:00,139.07,0.94,139.07,0.94,-99.8,437332172.1021408,9640.8,2992.8,-6608.9,0
2026-04-09T09:14:51.270672+00:00,139.05,0.96,139.05,0.96,-100.8,437332172.1021408,9640.1,2990.4,-6608.4,0
2026-04-09T09:14:51.639515+00:00,139.04,0.98,139.04,0.98,-101.8,437332172.1021408,9639.3,2988.0,-6607.9,0
2026-04-09T09:14:52.046330+00:00,139.02,1.00,139.02,1.0,-103.8,437332172.1021408,9638.5,2985.3,-6607.4,0
2026-04-09T09:14:52.410674+00:00,139.01,1.02,139.01,1.02,-106.8,437332172.1021408,9637.8,2982.8,-6606.9,0
2026-04-09T09:14:52.778521+00:00,138.99,1.04,138.99,1.04,-102.8,437332172.1021408,9637.1,2980.4,-6606.4,0
2026-04-09T09:14:53.186859+00:00,138.98,1.06,138.98,1.06,-106.8,437332172.1021408,9636.3,2977.7,-6605.9,0
2026-04-09T09:14:53.555069+00:00,138.96,1.08,138.96,1.08,-105.8,437332172.1021408,9635.6,2975.3,-6605.4,0
2026-04-09T09:14:53.922401+00:00,138.95,1.10,138.95,1.1,-103.8,437332172.1021408,9634.8,2972.9,-6604.9,0
2026-04-09T09:14:54.326368+00:00,138.93,1.12,138.93,1.12,-100.8,437332172.1021408,9634.0,2970.2,-6604.3,0
2026-04-09T09:14:54.694545+00:00,138.92,1.14,138.92,1.14,-102.8,437332172.1021408,9633.3,2967.8,-6603.8,0
2026-04-09T09:14:55.063778+00:00,138.90,1.16,138.9,1.16,-103.8,437332172.1021408,9632.5,2965.3,-6603.3,0
2026-04-09T09:14:55.466950+00:00,138.89,1.19,138.89,1.19,-104.8,437332172.1021408,9631.7,2962.7,-6602.7,0
2026-04-09T09:14:55.834834+00:00,138.87,1.21,138.87,1.21,-103.8,437332172.1021408,9631.0,2960.2,-6602.2,0
2026-04-09T09:14:56.203613+00:00,138.86,1.23,138.86,1.23,-105.8,437332172.1021408,9630.2,2957.8,-6601.7,0
2026-04-09T09:14:56.606820+00:00,138.84,1.25,138.84,1.25,-101.8,437332172.1021408,9629.4,2955.1,-6601.1,0
2026-04-09T09:14:56.974543+00:00,138.83,1.27,138.83,1.27,-107.8,437332172.1021408,9628.6,2952.7,-6600.6,0
2026-04-09T09:14:57.343226+00:00,138.81,1.29,138.81,1.29,-100.8,437332172.1021408,9627.8,2950.3,-6600.1,0
2026-04-09T09:14:57.750540+00:00,138.80,1.31,138.8,1.31,-103.8,437332172.1021408,9627.0,2947.6,-6599.5,0
2026-04-09T09:14:58.114587+00:00,138.78,1.33,138.78,1.33,-104.8,437332172.1021408,9626.2,2945.2,-6598.9,0
2026-04-09T09:14:58.483893+00:00,138.77,1.35,138.77,1.35,-103.8,437332172.1021408,9625.4,2942.8,-6598.4,0
2026-04-09T09:14:58.890901+00:00,138.75,1.38,138.75,1.38,-101.8,437332172.1021408,9624.6,2940.1,-6597.8,0
2026-04-09T09:14:59.254411+00:00,138.74,1.40,138.74,1.4,-102.8,437332172.1021408,9623.8,2937.7,-6597.3,0
2026-04-09T09:14:59.622419+00:00,138.72,1.42,138.72,1.42,-100.8,437332172.1021408,9623.0,2935.2,-6596.7,0
2026-04-09T09:15:00.030794+00:00,138.71,1.44,138.71,1.44,-104.8,437332172.1021408,9622.1,2932.5,-6596.1,0
2026-04-09T09:15:00.399413+00:00,138.69,1.46,138.69,1.46,-105.8,437332172.1021408,9621.3,2930.1,-6595.6,0
2026-04-09T09:15:00.822600+00:00,138.67,1.48,138.67,1.48,-102.8,437332120.8435737,9620.4,2927.3,-6595.0,0
2026-04-09T09:15:01.232327+00:00,138.66,1.51,138.66,1.51,-103.8,437332120.8435737,9619.5,2924.6,-6594.4,0
2026-04-09T09:15:01.598561+00:00,138.64,1.53,138.64,1.53,-100.8,437332120.8435737,9618.7,2922.2,-6593.8,0
2026-04-09T09:15:01.966355+00:00,138.63,1.55,138.63,1.55,-101.8,437332120.8435737,9617.9,2919.8,-6593.2,0
