t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T09:29:50.662386+00:00,10.43,2.63,10.43,2.63,-96.8,437285375.48193264,10375.5,2320.6,-7113.4,0
2026-04-09T09:29:51.026576+00:00,10.42,2.67,10.42,2.67,-96.8,437285375.48193264,10375.1,2317.3,-7113.1,0
2026-04-09T09:29:51.394893+00:00,10.42,2.69,10.42,2.69,-94.8,437285375.48193264,10374.9,2314.7,-7112.9,0
2026-04-09T09:29:51.802265+00:00,10.41,2.72,10.41,2.72,-94.8,437285375.48193264,10374.6,2311.8,-7112.7,0
2026-04-09T09:29:52.166831+00:00,10.41,2.74,10.41,2.74,-95.8,437285375.48193264,10374.3,2309.2,-7112.5,0
2026-04-09T09:29:52.529791+00:00,10.40,2.77,10.4,2.77,-94.8,437285375.48193264,10374.0,2306.5,-7112.3,0
2026-04-09T09:29:52.937511+00:00,10.40,2.79,10.4,2.79,-95.8,437285375.48193264,10373.7,2303.7,-7112.1,0
2026-04-09T09:29:53.301493+00:00,10.39,2.82,10.39,2.82,-95.8,437285375.48193264,10373.4,2301.1,-7111.9,0
2026-04-09T09:29:53.666634+00:00,10.39,2.84,10.39,2.84,-94.8,437285375.48193264,10373.1,2298.5,-7111.7,0
2026-04-09T09:29:54.069477+00:00,10.38,2.87,10.38,2.87,-92.8,437285375.48193264,10372.8,2295.6,-7111.5,0
2026-04-09T09:29:54.434239+00:00,10.38,2.90,10.38,2.9,-92.8,437285375.48193264,10372.5,2293.0,-7111.3,0
2026-04-09T09:29:54.797521+00:00,10.37,2.92,10.37,2.92,-93.8,437285375.48193264,10372.2,2290.4,-7111.1,0
2026-04-09T09:29:55.201756+00:00,10.37,2.95,10.37,2.95,-95.8,437285375.48193264,10371.9,2287.6,-7110.9,0
2026-04-09T09:29:55.565483+00:00,10.36,2.97,10.36,2.97,-93.8,437285375.48193264,10371.5,2285.0,-7110.7,0
2026-04-09T09:29:55.933760+00:00,10.36,3.00,10.36,3.0,-95.8,437285375.48193264,10371.2,2282.4,-7110.4,0
2026-04-09T09:29:56.333501+00:00,10.35,3.03,10.35,3.03,-95.8,437285375.48193264,10370.9,2279.5,-7110.2,0
2026-04-09T09:29:56.697718+00:00,10.35,3.05,10.35,3.05,-93.8,437285375.48193264,10370.6,2276.9,-7110.0,0
2026-04-09T09:29:57.061503+00:00,10.34,3.08,10.34,3.08,-94.8,437285375.48193264,10370.3,2274.4,-7109.8,0
2026-04-09T09:29:57.466589+00:00,10.34,3.10,10.34,3.1,-93.8,437285375.48193264,10369.9,2271.5,-7109.5,0
2026-04-09T09:29:57.834200+00:00,10.33,3.13,10.33,3.13,-97.8,437285375.48193264,10369.6,2268.9,-7109.3,0
2026-04-09T09:29:58.199060+00:00,10.33,3.15,10.33,3.15,-96.8,437285375.48193264,10369.3,2266.2,-7109.1,0
2026-04-09T09:29:58.605569+00:00,10.32,3.18,10.32,3.18,-97.8,437285375.48193264,10368.9,2263.4,-7108.8,0
2026-04-09T09:29:58.969599+00:00,10.32,3.21,10.32,3.21,-92.8,437285375.48193264,10368.6,2260.8,-7108.6,0
2026-04-09T09:29:59.333505+00:00,10.31,3.23,10.31,3.23,-96.8,437285375.48193264,10368.2,2258.2,-7108.4,0
2026-04-09T09:29:59.737573+00:00,10.30,3.26,10.3,3.26,-96.8,437285375.48193264,10367.9,2255.3,-7108.1,0
2026-04-09T09:30:00.101497+00:00,10.30,3.29,10.3,3.29,-93.8,437285375.48193264,10367.5,2252.7,-7107.9,0
2026-04-09T09:30:00.465495+00:00,10.29,3.31,10.29,3.31,-96.8,437285375.48193264,10367.2,2250.2,-7107.7,0
