t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T09:41:24.577475+00:00,170.10,0.00,170.1,0.0,-105.8,433010337.5167192,10337.5,2546.5,-7157.3,0
2026-04-09T09:41:24.946614+00:00,170.10,0.03,170.1,0.03,-108.8,433010337.5167192,10337.5,2543.2,-7157.3,0
2026-04-09T09:41:25.310618+00:00,170.11,0.05,170.11,0.05,-105.8,433010337.5167192,10337.5,2540.6,-7157.3,0
2026-04-09T09:41:25.714311+00:00,170.11,0.07,170.11,0.07,-105.8,433010337.5167192,10337.4,2537.7,-7157.2,0
2026-04-09T09:41:26.077488+00:00,170.12,0.09,170.12,0.09,-104.8,433010337.5167192,10337.4,2535.1,-7157.2,0
2026-04-09T09:41:26.441471+00:00,170.12,0.11,170.12,0.11,-105.8,433010337.5167192,10337.4,2532.5,-7157.2,0
2026-04-09T09:41:26.845503+00:00,170.13,0.13,170.13,0.13,-103.8,433010337.5167192,10337.3,2529.6,-7157.2,0
2026-04-09T09:41:27.209503+00:00,170.13,0.15,170.13,0.15,-102.8,433010337.5167192,10337.3,2527.0,-7157.1,0
2026-04-09T09:41:27.573548+00:00,170.14,0.17,170.14,0.17,-105.8,433010337.5167192,10337.3,2524.4,-7157.1,0
2026-04-09T09:41:27.978524+00:00,170.14,0.19,170.14,0.19,-101.8,433010337.5167192,10337.2,2521.5,-7157.1,0
2026-04-09T09:41:28.346507+00:00,170.15,0.21,170.15,0.21,-101.8,433010337.5167192,10337.2,2518.8,-7157.1,0
2026-04-09T09:41:28.743863+00:00,170.15,0.23,170.15,0.23,-101.8,433010337.5167192,10337.1,2516.2,-7157.0,0
2026-04-09T09:41:29.144330+00:00,170.16,0.25,170.16,0.25,-106.8,433010337.5167192,10337.1,2513.2,-7157.0,0
2026-04-09T09:41:29.506578+00:00,170.17,0.27,170.17,0.27,-101.8,433010337.5167192,10337.0,2510.5,-7157.0,0
2026-04-09T09:41:29.874345+00:00,170.17,0.29,170.17,0.29,-103.8,433010337.5167192,10337.0,2507.9,-7156.9,0
2026-04-09T09:41:30.283709+00:00,170.18,0.31,170.18,0.31,-103.8,433010337.5167192,10336.9,2505.0,-7156.9,0
2026-04-09T09:41:30.646992+00:00,170.18,0.33,170.18,0.33,-101.8,433010337.5167192,10336.9,2502.4,-7156.9,0
2026-04-09T09:41:31.014730+00:00,170.19,0.35,170.19,0.35,-101.8,433010337.5167192,10336.8,2499.7,-7156.8,0
2026-04-09T09:41:31.422557+00:00,170.19,0.38,170.19,0.38,-104.8,433010337.5167192,10336.8,2496.8,-7156.8,0
2026-04-09T09:41:31.790779+00:00,170.20,0.40,170.2,0.4,-103.8,433010337.5167192,10336.7,2494.2,-7156.7,0
2026-04-09T09:41:32.154657+00:00,170.20,0.42,170.2,0.42,-104.8,433010337.5167192,10336.6,2491.6,-7156.7,0
2026-04-09T09:41:32.562411+00:00,170.21,0.44,170.21,0.44,-103.8,433010337.5167192,10336.6,2488.7,-7156.6,0
2026-04-09T09:41:32.931642+00:00,170.22,0.46,170.22,0.46,-104.8,433010337.5167192,10336.5,2486.0,-7156.6,0
2026-04-09T09:41:33.298606+00:00,170.22,0.48,170.22,0.48,-103.8,433010337.5167192,10336.4,2483.4,-7156.6,0
2026-04-09T09:41:33.706510+00:00,170.23,0.50,170.23,0.5,-104.8,433010337.5167192,10336.4,2480.5,-7156.5,0
2026-04-09T09:41:34.070797+00:00,170.23,0.52,170.23,0.52,-107.8,433010337.5167192,10336.3,2477.9,-7156.5,0
2026-04-09T09:41:34.439129+00:00,170.24,0.54,170.24,0.54,-104.8,433010337.5167192,10336.2,2475.2,-7156.4,0
2026-04-09T09:41:34.846331+00:00,170.24,0.57,170.24,0.57,-107.8,433010337.5167192,10336.1,2472.3,-7156.3,0
2026-04-09T09:41:35.214980+00:00,170.25,0.59,170.25,0.59,-102.8,433010337.5167192,10336.1,2469.7,-7156.3,0
2026-04-09T09:41:35.578816+00:00,170.25,0.61,170.25,0.61,-102.8,433010337.5167192,10336.0,2467.0,-7156.2,0
2026-04-09T09:41:35.986889+00:00,170.26,0.63,170.26,0.63,-99.8,433010337.5167192,10335.9,2464.2,-7156.2,0
2026-04-09T09:41:36.354575+00:00,170.27,0.65,170.27,0.65,-101.8,433010337.5167192,10335.8,2461.5,-7156.1,0
2026-04-09T09:41:36.722921+00:00,170.27,0.67,170.27,0.67,-100.8,433010337.5167192,10335.7,2458.9,-7156.1,0
2026-04-09T09:41:37.130870+00:00,170.28,0.70,170.28,0.7,-97.8,433010337.5167192,10335.6,2456.0,-7156.0,0
2026-04-09T09:41:37.494835+00:00,170.28,0.72,170.28,0.72,-102.8,433010337.5167192,10335.5,2453.4,-7155.9,0
2026-04-09T09:41:37.861582+00:00,170.29,0.74,170.29,0.74,-101.8,433010337.5167192,10335.5,2450.7,-7155.9,0
2026-04-09T09:41:38.265523+00:00,170.29,0.76,170.29,0.76,-104.8,433010337.5167192,10335.4,2447.8,-7155.8,0
2026-04-09T09:41:38.630159+00:00,170.30,0.78,170.3,0.78,-103.8,433010337.5167192,10335.3,2445.2,-7155.7,0
2026-04-09T09:41:38.993499+00:00,170.30,0.80,170.3,0.8,-107.8,433010337.5167192,10335.2,2442.6,-7155.7,0
2026-04-09T09:41:39.397625+00:00,170.31,0.83,170.31,0.83,-103.8,433010337.5167192,10335.1,2439.7,-7155.6,0
2026-04-09T09:41:39.762122+00:00,170.32,0.85,170.32,0.85,-105.8,433010337.5167192,10334.9,2437.1,-7155.5,0
2026-04-09T09:41:40.125546+00:00,170.32,0.87,170.32,0.87,-106.8,433010337.5167192,10334.8,2434.5,-7155.4,0
2026-04-09T09:41:40.529589+00:00,170.33,0.89,170.33,0.89,-103.8,433010337.5167192,10334.7,2431.6,-7155.4,0
2026-04-09T09:41:40.893632+00:00,170.33,0.91,170.33,0.91,-105.8,433010337.5167192,10334.6,2429.0,-7155.3,0
2026-04-09T09:41:41.257513+00:00,170.34,0.94,170.34,0.94,-103.8,433010337.5167192,10334.5,2426.4,-7155.2,0
2026-04-09T09:41:41.665572+00:00,170.34,0.96,170.34,0.96,-107.8,433010337.5167192,10334.4,2423.5,-7155.1,0
2026-04-09T09:41:42.029610+00:00,170.35,0.98,170.35,0.98,-112.8,433010337.5167192,10334.3,2420.9,-7155.1,0
2026-04-09T09:41:42.393782+00:00,170.36,1.00,170.36,1.0,-107.8,433010337.5167192,10334.2,2418.3,-7155.0,0
2026-04-09T09:41:42.797521+00:00,170.36,1.03,170.36,1.03,-109.8,433010337.5167192,10334.0,2415.4,-7154.9,0
2026-04-09T09:41:43.161688+00:00,170.37,1.05,170.37,1.05,-112.8,433010337.5167192,10333.9,2412.8,-7154.8,0
2026-04-09T09:41:43.525543+00:00,170.37,1.07,170.37,1.07,-113.8,433010337.5167192,10333.8,2410.2,-7154.7,0
2026-04-09T09:41:43.933518+00:00,170.38,1.09,170.38,1.09,-108.8,433010337.5167192,10333.6,2407.3,-7154.6,0
2026-04-09T09:41:44.301533+00:00,170.38,1.12,170.38,1.12,-105.8,433010337.5167192,10333.5,2404.7,-7154.5,0
2026-04-09T09:41:44.661536+00:00,170.39,1.14,170.39,1.14,-109.8,433010337.5167192,10333.4,2402.1,-7154.4,0
2026-04-09T09:41:45.069528+00:00,170.40,1.16,170.4,1.16,-110.8,433010337.5167192,10333.2,2399.2,-7154.3,0
2026-04-09T09:41:45.433546+00:00,170.40,1.18,170.4,1.18,-109.8,433010337.5167192,10333.1,2396.6,-7154.2,0
2026-04-09T09:41:45.797486+00:00,170.41,1.21,170.41,1.21,-108.8,433010337.5167192,10333.0,2393.9,-7154.2,0
2026-04-09T09:41:46.201533+00:00,170.41,1.23,170.41,1.23,-111.8,433010337.5167192,10332.8,2391.1,-7154.0,0
2026-04-09T09:41:46.569669+00:00,170.42,1.25,170.42,1.25,-109.8,433010337.5167192,10332.7,2388.4,-7153.9,0
2026-04-09T09:41:46.929538+00:00,170.42,1.27,170.42,1.27,-106.8,433010337.5167192,10332.5,2385.8,-7153.8,0
2026-04-09T09:41:47.333637+00:00,170.43,1.30,170.43,1.3,-109.8,433010337.5167192,10332.4,2382.9,-7153.7,0
2026-04-09T09:41:47.697563+00:00,170.44,1.32,170.44,1.32,-108.8,433010337.5167192,10332.2,2380.3,-7153.6,0
2026-04-09T09:41:48.067411+00:00,170.44,1.34,170.44,1.34,-109.8,433010337.5167192,10332.1,2377.7,-7153.5,0
2026-04-09T09:41:48.469552+00:00,170.45,1.37,170.45,1.37,-108.8,433010337.5167192,10331.9,2374.8,-7153.4,0
2026-04-09T09:41:48.833608+00:00,170.45,1.39,170.45,1.39,-106.8,433010337.5167192,10331.8,2372.2,-7153.3,0
2026-04-09T09:41:49.197602+00:00,170.46,1.41,170.46,1.41,-107.8,433010337.5167192,10331.6,2369.6,-7153.2,0
2026-04-09T09:41:49.606873+00:00,170.47,1.44,170.47,1.44,-109.8,433010337.5167192,10331.4,2366.7,-7153.1,0
2026-04-09T09:41:49.969594+00:00,170.47,1.46,170.47,1.46,-106.8,433010337.5167192,10331.3,2364.1,-7153.0,0
2026-04-09T09:41:50.333521+00:00,170.48,1.48,170.48,1.48,-106.8,433010337.5167192,10331.1,2361.5,-7152.9,0
