t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T09:43:17.894516+00:00,14.96,0.00,14.96,0.0,-94.8,437110350.69180506,10350.7,2628.8,-7099.2,0
2026-04-09T09:43:18.262755+00:00,14.97,0.03,14.97,0.03,-94.8,437110350.69180506,10350.7,2625.5,-7099.2,0
2026-04-09T09:43:18.626848+00:00,14.97,0.05,14.97,0.05,-91.8,437110350.69180506,10350.7,2622.9,-7099.2,0
2026-04-09T09:43:19.038888+00:00,14.98,0.07,14.98,0.07,-92.8,437110350.69180506,10350.7,2620.0,-7099.2,0
2026-04-09T09:43:19.402520+00:00,14.99,0.09,14.99,0.09,-94.8,437110350.69180506,10350.7,2617.4,-7099.2,0
2026-04-09T09:43:19.769364+00:00,14.99,0.11,14.99,0.11,-94.8,437110350.69180506,10350.7,2614.8,-7099.2,0
2026-04-09T09:43:20.178888+00:00,15.00,0.13,15.0,0.13,-95.8,437110350.69180506,10350.7,2611.9,-7099.2,0
2026-04-09T09:43:20.547570+00:00,15.01,0.15,15.01,0.15,-89.8,437110350.69180506,10350.6,2609.3,-7099.2,0
2026-04-09T09:43:20.910948+00:00,15.01,0.17,15.01,0.17,-92.8,437110350.69180506,10350.6,2606.7,-7099.2,0
2026-04-09T09:43:21.318430+00:00,15.02,0.19,15.02,0.19,-94.8,437110350.69180506,10350.6,2603.8,-7099.1,0
2026-04-09T09:43:21.686745+00:00,15.03,0.21,15.03,0.21,-91.8,437110350.69180506,10350.6,2601.2,-7099.1,0
2026-04-09T09:43:22.050143+00:00,15.03,0.23,15.03,0.23,-92.8,437110350.69180506,10350.6,2598.6,-7099.1,0
2026-04-09T09:43:22.460081+00:00,15.04,0.25,15.04,0.25,-91.8,437110350.69180506,10350.5,2595.7,-7099.1,0
2026-04-09T09:43:22.825752+00:00,15.04,0.27,15.04,0.27,-92.8,437110350.69180506,10350.5,2593.1,-7099.1,0
2026-04-09T09:43:23.189693+00:00,15.05,0.29,15.05,0.29,-89.8,437110350.69180506,10350.5,2590.5,-7099.1,0
2026-04-09T09:43:23.593692+00:00,15.06,0.31,15.06,0.31,-93.8,437110350.69180506,10350.5,2587.6,-7099.0,0
2026-04-09T09:43:23.957471+00:00,15.06,0.33,15.06,0.33,-91.8,437110350.69180506,10350.4,2585.1,-7099.0,0
2026-04-09T09:43:24.321538+00:00,15.07,0.35,15.07,0.35,-91.8,437110350.69180506,10350.4,2582.5,-7099.0,0
2026-04-09T09:43:24.725606+00:00,15.08,0.37,15.08,0.37,-94.8,437110350.69180506,10350.4,2579.6,-7099.0,0
2026-04-09T09:43:25.089506+00:00,15.08,0.39,15.08,0.39,-91.8,437110350.69180506,10350.3,2577.0,-7098.9,0
2026-04-09T09:43:25.453501+00:00,15.09,0.41,15.09,0.41,-89.8,437110350.69180506,10350.3,2574.4,-7098.9,0
2026-04-09T09:43:25.857465+00:00,15.10,0.43,15.1,0.43,-90.8,437110350.69180506,10350.2,2571.6,-7098.9,0
2026-04-09T09:43:26.223032+00:00,15.10,0.45,15.1,0.45,-94.8,437110350.69180506,10350.2,2569.0,-7098.9,0
2026-04-09T09:43:26.585517+00:00,15.11,0.47,15.11,0.47,-91.8,437110350.69180506,10350.2,2566.4,-7098.8,0
2026-04-09T09:43:26.989595+00:00,15.11,0.49,15.11,0.49,-89.8,437110350.69180506,10350.1,2563.5,-7098.8,0
2026-04-09T09:43:27.353525+00:00,15.12,0.51,15.12,0.51,-91.8,437110350.69180506,10350.1,2560.9,-7098.8,0
2026-04-09T09:43:27.716585+00:00,15.13,0.53,15.13,0.53,-95.8,437110350.69180506,10350.0,2558.3,-7098.7,0
2026-04-09T09:43:28.126557+00:00,15.13,0.56,15.13,0.56,-95.8,437110350.69180506,10350.0,2555.5,-7098.7,0
2026-04-09T09:43:28.490898+00:00,15.14,0.58,15.14,0.58,-93.8,437110350.69180506,10349.9,2552.9,-7098.7,0
2026-04-09T09:43:28.858416+00:00,15.15,0.60,15.15,0.6,-92.8,437110350.69180506,10349.9,2550.3,-7098.6,0
2026-04-09T09:43:29.265682+00:00,15.15,0.62,15.15,0.62,-92.8,437110350.69180506,10349.8,2547.4,-7098.6,0
2026-04-09T09:43:29.629540+00:00,15.16,0.64,15.16,0.64,-91.8,437110350.69180506,10349.7,2544.8,-7098.5,0
2026-04-09T09:43:29.993565+00:00,15.17,0.66,15.17,0.66,-91.8,437110350.69180506,10349.7,2542.2,-7098.5,0
2026-04-09T09:43:30.397579+00:00,15.17,0.68,15.17,0.68,-91.8,437110350.69180506,10349.6,2539.3,-7098.4,0
2026-04-09T09:43:30.761543+00:00,15.18,0.70,15.18,0.7,-91.8,437110350.69180506,10349.5,2536.8,-7098.4,0
2026-04-09T09:43:31.125474+00:00,15.19,0.72,15.19,0.72,-94.8,437110350.69180506,10349.5,2534.2,-7098.4,0
2026-04-09T09:43:31.529503+00:00,15.19,0.75,15.19,0.75,-89.8,437110350.69180506,10349.4,2531.3,-7098.3,0
2026-04-09T09:43:31.894356+00:00,15.20,0.77,15.2,0.77,-92.8,437110350.69180506,10349.3,2528.7,-7098.3,0
2026-04-09T09:43:32.257500+00:00,15.21,0.79,15.21,0.79,-95.8,437110350.69180506,10349.2,2526.1,-7098.2,0
2026-04-09T09:43:32.661488+00:00,15.21,0.81,15.21,0.81,-94.8,437110350.69180506,10349.2,2523.3,-7098.1,0
2026-04-09T09:43:33.025489+00:00,15.22,0.83,15.22,0.83,-93.8,437110350.69180506,10349.1,2520.7,-7098.1,0
2026-04-09T09:43:33.389486+00:00,15.22,0.85,15.22,0.85,-89.8,437110350.69180506,10349.0,2518.1,-7098.0,0
2026-04-09T09:43:33.793480+00:00,15.23,0.87,15.23,0.87,-91.8,437110350.69180506,10348.9,2515.2,-7098.0,0
2026-04-09T09:43:34.158521+00:00,15.24,0.90,15.24,0.9,-95.8,437110350.69180506,10348.8,2512.6,-7097.9,0
2026-04-09T09:43:34.527632+00:00,15.24,0.92,15.24,0.92,-96.8,437110350.69180506,10348.7,2510.0,-7097.9,0
2026-04-09T09:43:34.935032+00:00,15.25,0.94,15.25,0.94,-93.8,437110350.69180506,10348.6,2507.2,-7097.8,0
2026-04-09T09:43:35.297544+00:00,15.26,0.96,15.26,0.96,-94.8,437110350.69180506,10348.6,2504.6,-7097.7,0
2026-04-09T09:43:35.661507+00:00,15.26,0.98,15.26,0.98,-93.8,437110350.69180506,10348.5,2501.9,-7097.7,0
2026-04-09T09:43:36.065482+00:00,15.27,1.01,15.27,1.01,-90.8,437110350.69180506,10348.4,2499.1,-7097.6,0
2026-04-09T09:43:36.429499+00:00,15.28,1.03,15.28,1.03,-95.8,437110350.69180506,10348.3,2496.5,-7097.5,0
2026-04-09T09:43:36.793470+00:00,15.28,1.05,15.28,1.05,-91.8,437110350.69180506,10348.2,2493.9,-7097.5,0
2026-04-09T09:43:37.197579+00:00,15.29,1.07,15.29,1.07,-92.8,437110350.69180506,10348.1,2491.0,-7097.4,0
2026-04-09T09:43:37.561482+00:00,15.30,1.09,15.3,1.09,-91.8,437110350.69180506,10348.0,2488.5,-7097.3,0
2026-04-09T09:43:37.925678+00:00,15.30,1.11,15.3,1.11,-91.8,437110350.69180506,10347.8,2485.9,-7097.2,0
2026-04-09T09:43:38.333488+00:00,15.31,1.14,15.31,1.14,-89.8,437110350.69180506,10347.7,2483.0,-7097.2,0
2026-04-09T09:43:38.693610+00:00,15.32,1.16,15.32,1.16,-92.8,437110350.69180506,10347.6,2480.4,-7097.1,0
2026-04-09T09:43:39.057475+00:00,15.33,1.18,15.33,1.18,-91.8,437110350.69180506,10347.5,2477.8,-7097.0,0
2026-04-09T09:43:39.466593+00:00,15.33,1.21,15.33,1.21,-89.8,437110350.69180506,10347.4,2475.0,-7096.9,0
2026-04-09T09:43:39.833186+00:00,15.34,1.23,15.34,1.23,-90.8,437110350.69180506,10347.3,2472.4,-7096.8,0
2026-04-09T09:43:40.191390+00:00,15.35,1.25,15.35,1.25,-94.8,437110350.69180506,10347.1,2469.8,-7096.8,0
2026-04-09T09:43:40.598515+00:00,15.35,1.27,15.35,1.27,-94.8,437110350.69180506,10347.0,2466.9,-7096.7,0
2026-04-09T09:43:40.966520+00:00,15.36,1.29,15.36,1.29,-89.8,437110350.69180506,10346.9,2464.3,-7096.6,0
2026-04-09T09:43:41.336829+00:00,15.37,1.32,15.37,1.32,-93.8,437110350.69180506,10346.8,2461.7,-7096.5,0
2026-04-09T09:43:41.742669+00:00,15.37,1.34,15.37,1.34,-89.8,437110350.69180506,10346.6,2458.9,-7096.4,0
2026-04-09T09:43:42.111202+00:00,15.38,1.36,15.38,1.36,-89.8,437110350.69180506,10346.5,2456.2,-7096.3,0
2026-04-09T09:43:42.474545+00:00,15.39,1.39,15.39,1.39,-93.8,437110350.69180506,10346.4,2453.6,-7096.2,0
2026-04-09T09:43:42.883019+00:00,15.39,1.41,15.39,1.41,-91.8,437110350.69180506,10346.2,2450.7,-7096.1,0
2026-04-09T09:43:43.250649+00:00,15.40,1.43,15.4,1.43,-92.8,437110350.69180506,10346.1,2448.1,-7096.0,0
2026-04-09T09:43:43.614846+00:00,15.41,1.45,15.41,1.45,-92.8,437110350.69180506,10345.9,2445.5,-7095.9,0
2026-04-09T09:43:44.027215+00:00,15.41,1.48,15.41,1.48,-94.8,437110350.69180506,10345.8,2442.6,-7095.8,0
2026-04-09T09:43:44.390368+00:00,15.42,1.50,15.42,1.5,-91.8,437110350.69180506,10345.6,2440.0,-7095.7,0
2026-04-09T09:43:44.758729+00:00,15.43,1.52,15.43,1.52,-91.8,437110350.69180506,10345.5,2437.4,-7095.6,0
2026-04-09T09:43:45.166605+00:00,15.44,1.55,15.44,1.55,-88.8,437110350.69180506,10345.3,2434.6,-7095.5,0
2026-04-09T09:43:45.530780+00:00,15.44,1.57,15.44,1.57,-91.8,437110350.69180506,10345.2,2431.9,-7095.4,0
2026-04-09T09:43:45.898961+00:00,15.45,1.59,15.45,1.59,-91.8,437110350.69180506,10345.0,2429.3,-7095.3,0
2026-04-09T09:43:46.305970+00:00,15.46,1.62,15.46,1.62,-89.8,437110350.69180506,10344.8,2426.4,-7095.2,0
2026-04-09T09:43:46.670561+00:00,15.46,1.64,15.46,1.64,-92.8,437110350.69180506,10344.7,2423.9,-7095.1,0
2026-04-09T09:43:47.038354+00:00,15.47,1.66,15.47,1.66,-95.8,437110350.69180506,10344.5,2421.2,-7095.0,0
2026-04-09T09:43:47.446837+00:00,15.48,1.69,15.48,1.69,-92.8,437110350.69180506,10344.4,2418.3,-7094.8,0
2026-04-09T09:43:47.810406+00:00,15.48,1.71,15.48,1.71,-92.8,437110350.69180506,10344.2,2415.8,-7094.7,0
2026-04-09T09:43:48.178612+00:00,15.49,1.74,15.49,1.74,-89.8,437110350.69180506,10344.0,2413.2,-7094.6,0
2026-04-09T09:43:48.587637+00:00,15.50,1.76,15.5,1.76,-92.8,437110350.69180506,10343.8,2410.3,-7094.5,0
2026-04-09T09:43:48.954948+00:00,15.51,1.78,15.51,1.78,-93.8,437110350.69180506,10343.7,2407.7,-7094.4,0
2026-04-09T09:43:49.322535+00:00,15.51,1.81,15.51,1.81,-94.8,437110350.69180506,10343.5,2405.0,-7094.3,0
2026-04-09T09:43:49.730695+00:00,15.52,1.83,15.52,1.83,-95.8,437110350.69180506,10343.3,2402.1,-7094.1,0
2026-04-09T09:43:50.098493+00:00,15.53,1.86,15.53,1.86,-99.8,437110350.69180506,10343.1,2399.5,-7094.0,0
2026-04-09T09:43:50.462828+00:00,15.53,1.88,15.53,1.88,-95.8,437110350.69180506,10342.9,2397.0,-7093.9,0
2026-04-09T09:43:50.871561+00:00,15.54,1.90,15.54,1.9,-92.8,437110350.69180506,10342.7,2394.1,-7093.7,0
2026-04-09T09:43:51.235070+00:00,15.55,1.93,15.55,1.93,-92.8,437110350.69180506,10342.5,2391.5,-7093.6,0
2026-04-09T09:43:51.602801+00:00,15.56,1.95,15.56,1.95,-91.8,437110350.69180506,10342.3,2388.9,-7093.5,0
2026-04-09T09:43:52.010499+00:00,15.56,1.98,15.56,1.98,-95.8,437110350.69180506,10342.1,2386.0,-7093.3,0
2026-04-09T09:43:52.374515+00:00,15.57,2.00,15.57,2.0,-94.8,437110350.69180506,10341.9,2383.4,-7093.2,0
2026-04-09T09:43:52.742808+00:00,15.58,2.02,15.58,2.02,-90.8,437110350.69180506,10341.7,2380.8,-7093.1,0
2026-04-09T09:43:53.150850+00:00,15.59,2.05,15.59,2.05,-92.8,437110350.69180506,10341.5,2377.9,-7092.9,0
2026-04-09T09:43:53.514648+00:00,15.59,2.07,15.59,2.07,-91.8,437110350.69180506,10341.3,2375.3,-7092.8,0
2026-04-09T09:43:53.883149+00:00,15.60,2.10,15.6,2.1,-93.8,437110350.69180506,10341.1,2372.7,-7092.6,0
2026-04-09T09:43:54.290488+00:00,15.61,2.12,15.61,2.12,-95.8,437110350.69180506,10340.9,2369.8,-7092.5,0
2026-04-09T09:43:54.654559+00:00,15.61,2.15,15.61,2.15,-91.8,437110350.69180506,10340.7,2367.2,-7092.3,0
2026-04-09T09:43:55.022413+00:00,15.62,2.17,15.62,2.17,-93.8,437110350.69180506,10340.5,2364.6,-7092.2,0
2026-04-09T09:43:55.430620+00:00,15.63,2.20,15.63,2.2,-93.8,437110350.69180506,10340.2,2361.7,-7092.0,0
2026-04-09T09:43:55.800341+00:00,15.64,2.22,15.64,2.22,-94.8,437110350.69180506,10340.0,2359.1,-7091.9,0
2026-04-09T09:43:56.162603+00:00,15.64,2.24,15.64,2.24,-94.8,437110350.69180506,10339.8,2356.5,-7091.7,0
2026-04-09T09:43:56.570545+00:00,15.65,2.27,15.65,2.27,-93.8,437110350.69180506,10339.5,2353.6,-7091.6,0
2026-04-09T09:43:56.938657+00:00,15.66,2.29,15.66,2.29,-93.8,437110350.69180506,10339.3,2351.0,-7091.4,0
2026-04-09T09:43:57.306546+00:00,15.67,2.32,15.67,2.32,-93.8,437110350.69180506,10339.1,2348.4,-7091.2,0
2026-04-09T09:43:57.711196+00:00,15.67,2.35,15.67,2.35,-89.8,437110350.69180506,10338.8,2345.5,-7091.1,0
2026-04-09T09:43:58.078852+00:00,15.68,2.37,15.68,2.37,-89.8,437110350.69180506,10338.6,2342.9,-7090.9,0
2026-04-09T09:43:58.442514+00:00,15.69,2.39,15.69,2.39,-95.8,437110350.69180506,10338.4,2340.4,-7090.7,0
2026-04-09T09:43:58.850135+00:00,15.70,2.42,15.7,2.42,-92.8,437110350.69180506,10338.1,2337.5,-7090.6,0
2026-04-09T09:43:59.219014+00:00,15.70,2.44,15.7,2.44,-93.8,437110350.69180506,10337.9,2334.9,-7090.4,0
2026-04-09T09:43:59.582711+00:00,15.71,2.47,15.71,2.47,-95.8,437110350.69180506,10337.6,2332.2,-7090.2,0
2026-04-09T09:43:59.990400+00:00,15.72,2.50,15.72,2.5,-93.8,437110350.69180506,10337.3,2329.4,-7090.0,0
2026-04-09T09:44:00.362757+00:00,15.73,2.52,15.73,2.52,-95.8,437110350.69180506,10337.1,2326.8,-7089.9,0
2026-04-09T09:44:00.723118+00:00,15.73,2.54,15.73,2.54,-91.8,437110350.69180506,10336.8,2324.2,-7089.7,0
2026-04-09T09:44:01.130863+00:00,15.74,2.57,15.74,2.57,-91.8,437110350.69180506,10336.6,2321.3,-7089.5,0
2026-04-09T09:44:01.498982+00:00,15.75,2.60,15.75,2.6,-92.8,437110350.69180506,10336.3,2318.7,-7089.3,0
2026-04-09T09:44:01.862531+00:00,15.76,2.62,15.76,2.62,-91.8,437110350.69180506,10336.0,2316.1,-7089.2,0
2026-04-09T09:44:02.270413+00:00,15.76,2.65,15.76,2.65,-92.8,437110350.69180506,10335.8,2313.2,-7089.0,0
2026-04-09T09:44:02.638551+00:00,15.77,2.67,15.77,2.67,-95.8,437110350.69180506,10335.5,2310.6,-7088.8,0
2026-04-09T09:44:03.007572+00:00,15.78,2.70,15.78,2.7,-91.8,437110350.69180506,10335.2,2308.0,-7088.6,0
2026-04-09T09:44:03.410650+00:00,15.79,2.72,15.79,2.72,-94.8,437110350.69180506,10334.9,2305.1,-7088.4,0
