t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T10:01:02.369471+00:00,11.21,0.00,11.21,0.0,-99.8,435300331.9331896,10331.9,2643.4,-7115.8,0
2026-04-09T10:01:02.733705+00:00,11.21,0.03,11.21,0.03,-99.8,435300331.9331896,10331.9,2640.1,-7115.8,0
2026-04-09T10:01:03.098611+00:00,11.21,0.05,11.21,0.05,-95.8,435300331.9331896,10331.9,2637.5,-7115.8,0
2026-04-09T10:01:03.501489+00:00,11.20,0.07,11.2,0.07,-101.8,435300331.9331896,10331.9,2634.7,-7115.8,0
2026-04-09T10:01:03.867605+00:00,11.20,0.09,11.2,0.09,-99.8,435300331.9331896,10331.9,2632.1,-7115.8,0
2026-04-09T10:01:04.234741+00:00,11.20,0.11,11.2,0.11,-97.8,435300331.9331896,10331.9,2629.5,-7115.8,0
2026-04-09T10:01:04.643740+00:00,11.19,0.13,11.19,0.13,-94.8,435300331.9331896,10331.9,2626.6,-7115.7,0
2026-04-09T10:01:05.006524+00:00,11.19,0.15,11.19,0.15,-102.8,435300331.9331896,10331.8,2624.0,-7115.7,0
2026-04-09T10:01:05.374503+00:00,11.19,0.17,11.19,0.17,-97.8,435300331.9331896,10331.8,2621.3,-7115.7,0
2026-04-09T10:01:05.782675+00:00,11.18,0.19,11.18,0.19,-98.8,435300331.9331896,10331.8,2618.4,-7115.7,0
2026-04-09T10:01:06.146881+00:00,11.18,0.21,11.18,0.21,-93.8,435300331.9331896,10331.8,2615.8,-7115.7,0
2026-04-09T10:01:06.520223+00:00,11.18,0.23,11.18,0.23,-94.8,435300331.9331896,10331.7,2613.2,-7115.7,0
2026-04-09T10:01:06.922535+00:00,11.18,0.25,11.18,0.25,-96.8,435300331.9331896,10331.7,2610.3,-7115.6,0
2026-04-09T10:01:07.287610+00:00,11.17,0.27,11.17,0.27,-94.8,435300331.9331896,10331.7,2607.7,-7115.6,0
2026-04-09T10:01:07.655136+00:00,11.17,0.29,11.17,0.29,-100.8,435300331.9331896,10331.7,2605.1,-7115.6,0
2026-04-09T10:01:08.062542+00:00,11.17,0.31,11.17,0.31,-98.8,435300331.9331896,10331.6,2602.2,-7115.6,0
2026-04-09T10:01:08.430334+00:00,11.16,0.33,11.16,0.33,-95.8,435300331.9331896,10331.6,2599.6,-7115.6,0
2026-04-09T10:01:08.794774+00:00,11.16,0.35,11.16,0.35,-97.8,435300331.9331896,10331.5,2597.0,-7115.5,0
2026-04-09T10:01:09.202859+00:00,11.16,0.37,11.16,0.37,-95.8,435300331.9331896,10331.5,2594.1,-7115.5,0
2026-04-09T10:01:09.570866+00:00,11.15,0.39,11.15,0.39,-93.8,435300331.9331896,10331.5,2591.5,-7115.5,0
2026-04-09T10:01:09.934519+00:00,11.15,0.41,11.15,0.41,-93.8,435300331.9331896,10331.4,2588.9,-7115.4,0
2026-04-09T10:01:10.342968+00:00,11.15,0.43,11.15,0.43,-97.8,435300331.9331896,10331.4,2586.0,-7115.4,0
2026-04-09T10:01:10.705481+00:00,11.14,0.45,11.14,0.45,-100.8,435300331.9331896,10331.3,2583.4,-7115.4,0
2026-04-09T10:01:11.069476+00:00,11.14,0.47,11.14,0.47,-97.8,435300331.9331896,10331.3,2580.8,-7115.3,0
2026-04-09T10:01:11.473479+00:00,11.14,0.49,11.14,0.49,-93.8,435300331.9331896,10331.2,2577.9,-7115.3,0
2026-04-09T10:01:11.837690+00:00,11.13,0.51,11.13,0.51,-95.8,435300331.9331896,10331.2,2575.3,-7115.3,0
2026-04-09T10:01:12.201500+00:00,11.13,0.53,11.13,0.53,-93.8,435300331.9331896,10331.1,2572.7,-7115.2,0
2026-04-09T10:01:12.605466+00:00,11.13,0.56,11.13,0.56,-97.8,435300331.9331896,10331.0,2569.9,-7115.2,0
2026-04-09T10:01:12.969485+00:00,11.12,0.58,11.12,0.58,-94.8,435300331.9331896,10331.0,2567.3,-7115.1,0
2026-04-09T10:01:13.334186+00:00,11.12,0.60,11.12,0.6,-98.8,435300331.9331896,10330.9,2564.7,-7115.1,0
2026-04-09T10:01:13.737493+00:00,11.11,0.62,11.11,0.62,-97.8,435300331.9331896,10330.9,2561.8,-7115.1,0
2026-04-09T10:01:14.101512+00:00,11.11,0.64,11.11,0.64,-92.8,435300331.9331896,10330.8,2559.2,-7115.0,0
2026-04-09T10:01:14.465491+00:00,11.11,0.66,11.11,0.66,-98.8,435300331.9331896,10330.7,2556.6,-7115.0,0
2026-04-09T10:01:14.869616+00:00,11.10,0.68,11.1,0.68,-97.8,435300331.9331896,10330.6,2553.8,-7114.9,0
2026-04-09T10:01:15.233490+00:00,11.10,0.70,11.1,0.7,-97.8,435300331.9331896,10330.6,2551.2,-7114.9,0
2026-04-09T10:01:15.602837+00:00,11.10,0.72,11.1,0.72,-98.8,435300331.9331896,10330.5,2548.6,-7114.8,0
2026-04-09T10:01:16.006549+00:00,11.09,0.75,11.09,0.75,-93.8,435300331.9331896,10330.4,2545.7,-7114.8,0
2026-04-09T10:01:16.374824+00:00,11.09,0.77,11.09,0.77,-93.8,435300331.9331896,10330.3,2543.1,-7114.7,0
2026-04-09T10:01:16.742731+00:00,11.09,0.79,11.09,0.79,-95.8,435300331.9331896,10330.3,2540.5,-7114.7,0
2026-04-09T10:01:17.152211+00:00,11.08,0.81,11.08,0.81,-97.8,435300331.9331896,10330.2,2537.6,-7114.6,0
2026-04-09T10:01:17.514809+00:00,11.08,0.83,11.08,0.83,-96.8,435300331.9331896,10330.1,2535.0,-7114.5,0
2026-04-09T10:01:17.882393+00:00,11.08,0.85,11.08,0.85,-95.8,435300331.9331896,10330.0,2532.3,-7114.5,0
2026-04-09T10:01:18.290551+00:00,11.07,0.88,11.07,0.88,-103.8,435300331.9331896,10329.9,2529.4,-7114.4,0
2026-04-09T10:01:18.658953+00:00,11.07,0.90,11.07,0.9,-95.8,435300331.9331896,10329.8,2526.8,-7114.3,0
2026-04-09T10:01:19.026537+00:00,11.07,0.92,11.07,0.92,-97.8,435300331.9331896,10329.7,2524.2,-7114.3,0
2026-04-09T10:01:19.434525+00:00,11.06,0.94,11.06,0.94,-99.8,435300331.9331896,10329.6,2521.3,-7114.2,0
2026-04-09T10:01:19.798685+00:00,11.06,0.96,11.06,0.96,-98.8,435300331.9331896,10329.5,2518.7,-7114.1,0
