t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T10:02:00.409514+00:00,83.17,2.22,83.17,2.22,-101.8,430490352.7339013,-9647.3,2407.1,6718.2,0
2026-04-09T10:02:00.773555+00:00,83.18,2.19,83.18,2.19,-101.8,430490352.7339013,-9647.5,2410.2,6718.4,0
2026-04-09T10:02:01.138153+00:00,83.19,2.17,83.19,2.17,-96.8,430490352.7339013,-9647.7,2412.7,6718.5,0
2026-04-09T10:02:01.541563+00:00,83.20,2.14,83.2,2.14,-95.8,430490352.7339013,-9648.0,2415.4,6718.7,0
2026-04-09T10:02:01.905773+00:00,83.20,2.12,83.2,2.12,-96.8,430490352.7339013,-9648.2,2417.8,6718.8,0
2026-04-09T10:02:02.268852+00:00,83.21,2.10,83.21,2.1,-93.8,430490352.7339013,-9648.4,2420.3,6719.0,0
2026-04-09T10:02:02.677528+00:00,83.22,2.07,83.22,2.07,-98.8,430490352.7339013,-9648.6,2423.0,6719.1,0
2026-04-09T10:02:03.041681+00:00,83.22,2.05,83.22,2.05,-100.8,430490352.7339013,-9648.8,2425.5,6719.3,0
2026-04-09T10:02:03.409959+00:00,83.23,2.03,83.23,2.03,-97.8,430490352.7339013,-9649.0,2427.9,6719.4,0
2026-04-09T10:02:05.847185+00:00,83.28,1.88,83.28,1.88,-103.8,430490352.7339013,-9650.3,2444.0,6720.3,0
2026-04-09T10:02:06.209507+00:00,83.28,1.86,83.28,1.86,-92.8,430490352.7339013,-9650.5,2446.8,6720.4,0
2026-04-09T10:02:06.573499+00:00,83.29,1.84,83.29,1.84,-97.8,430490352.7339013,-9650.7,2449.2,6720.5,0
2026-04-09T10:02:06.977471+00:00,83.30,1.82,83.3,1.82,-98.8,430490352.7339013,-9650.8,2451.7,6720.7,0
2026-04-09T10:02:07.341802+00:00,83.30,1.79,83.3,1.79,-101.8,430490352.7339013,-9651.0,2454.4,6720.8,0
2026-04-09T10:02:07.705493+00:00,83.31,1.77,83.31,1.77,-97.8,430490352.7339013,-9651.2,2456.8,6720.9,0
2026-04-09T10:02:08.109470+00:00,83.32,1.75,83.32,1.75,-103.8,430490352.7339013,-9651.4,2459.3,6721.1,0
2026-04-09T10:02:08.473495+00:00,83.32,1.72,83.32,1.72,-100.8,430490352.7339013,-9651.6,2462.0,6721.2,0
2026-04-09T10:02:08.839270+00:00,83.33,1.70,83.33,1.7,-92.8,430490352.7339013,-9651.7,2464.4,6721.3,0
2026-04-09T10:02:09.246606+00:00,83.34,1.68,83.34,1.68,-100.8,430490352.7339013,-9651.9,2466.9,6721.4,0
2026-04-09T10:02:09.609498+00:00,83.34,1.66,83.34,1.66,-88.8,430490352.7339013,-9652.1,2469.6,6721.5,0
2026-04-09T10:02:09.974227+00:00,83.35,1.64,83.35,1.64,-102.8,430490352.7339013,-9652.3,2472.1,6721.7,0
2026-04-09T10:02:10.377751+00:00,83.36,1.62,83.36,1.62,-101.8,430490352.7339013,-9652.4,2474.5,6721.8,0
2026-04-09T10:02:10.741750+00:00,83.37,1.59,83.37,1.59,-97.8,430490352.7339013,-9652.6,2477.2,6721.9,0
2026-04-09T10:02:11.105570+00:00,83.37,1.57,83.37,1.57,-100.8,430490352.7339013,-9652.8,2479.7,6722.0,0
