t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T11:16:44.536814+00:00,214.56,4.14,214.56,4.14,-90.7,437239884.68313044,-10115.3,2108.9,6935.4,0
2026-04-09T11:16:44.860845+00:00,214.54,4.11,214.54,4.11,-91.7,437239884.68313044,-10116.5,2111.4,6936.2,0
2026-04-09T11:16:45.184838+00:00,214.53,4.09,214.53,4.09,-91.7,437239884.68313044,-10117.6,2113.7,6936.9,0
2026-04-09T11:16:45.528846+00:00,214.51,4.06,214.51,4.06,-85.7,437239884.68313044,-10118.6,2115.9,6937.6,0
2026-04-09T11:16:45.852859+00:00,214.49,4.04,214.49,4.04,-89.7,437239884.68313044,-10119.7,2118.3,6938.4,0
2026-04-09T11:16:46.177676+00:00,214.48,4.02,214.48,4.02,-87.7,437239884.68313044,-10120.8,2120.5,6939.1,0
2026-04-09T11:16:46.502294+00:00,214.46,3.99,214.46,3.99,-86.7,437239884.68313044,-10121.8,2122.8,6939.8,0
2026-04-09T11:16:46.849976+00:00,214.44,3.97,214.44,3.97,-92.7,437239884.68313044,-10122.9,2125.2,6940.6,0
2026-04-09T11:16:47.174106+00:00,214.43,3.94,214.43,3.94,-89.7,437239884.68313044,-10124.0,2127.5,6941.3,0
2026-04-09T11:16:47.501967+00:00,214.41,3.92,214.41,3.92,-89.7,437239884.68313044,-10125.0,2129.7,6942.0,0
2026-04-09T11:16:47.846026+00:00,214.40,3.90,214.4,3.9,-86.7,437239884.68313044,-10126.0,2132.0,6942.7,0
2026-04-09T11:16:48.173978+00:00,214.38,3.87,214.38,3.87,-86.7,437239884.68313044,-10127.1,2134.4,6943.5,0
2026-04-09T11:16:48.497947+00:00,214.36,3.85,214.36,3.85,-88.7,437239884.68313044,-10128.1,2136.7,6944.2,0
2026-04-09T11:16:48.822601+00:00,214.35,3.82,214.35,3.82,-89.7,437239884.68313044,-10129.1,2138.9,6944.8,0
2026-04-09T11:16:49.170496+00:00,214.33,3.80,214.33,3.8,-89.7,437239884.68313044,-10130.2,2141.3,6945.6,0
2026-04-09T11:16:49.503372+00:00,214.31,3.78,214.31,3.78,-82.7,437239884.68313044,-10131.2,2143.6,6946.3,0
2026-04-09T11:16:49.822015+00:00,214.30,3.75,214.3,3.75,-83.7,437239884.68313044,-10132.2,2145.9,6946.9,0
2026-04-09T11:16:50.170561+00:00,214.28,3.73,214.28,3.73,-87.7,437239884.68313044,-10133.2,2148.3,6947.7,0
2026-04-09T11:16:50.493978+00:00,214.26,3.70,214.26,3.7,-85.7,437239884.68313044,-10134.2,2150.5,6948.3,0
2026-04-09T11:16:50.822325+00:00,214.25,3.68,214.25,3.68,-87.7,437239884.68313044,-10135.2,2152.8,6949.0,0
2026-04-09T11:16:51.165922+00:00,214.23,3.66,214.23,3.66,-83.7,437239884.68313044,-10136.2,2155.1,6949.7,0
2026-04-09T11:16:51.494015+00:00,214.22,3.63,214.22,3.63,-83.7,437239884.68313044,-10137.2,2157.5,6950.4,0
2026-04-09T11:16:51.818538+00:00,214.20,3.61,214.2,3.61,-87.7,437239884.68313044,-10138.2,2159.7,6951.1,0
2026-04-09T11:16:52.146726+00:00,214.18,3.59,214.18,3.59,-83.7,437239884.68313044,-10139.1,2162.0,6951.7,0
2026-04-09T11:16:52.490170+00:00,214.17,3.56,214.17,3.56,-83.7,437239884.68313044,-10140.2,2164.4,6952.4,0
