t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T11:18:20.716991+00:00,11.48,1.91,11.48,1.91,-91.7,437010859.6588244,10859.7,1797.8,-7450.0,0
2026-04-09T11:18:21.042960+00:00,11.48,1.93,11.48,1.93,-91.7,437010859.6588244,10859.5,1795.1,-7449.9,0
2026-04-09T11:18:21.364866+00:00,11.48,1.95,11.48,1.95,-92.7,437010859.6588244,10859.4,1792.7,-7449.8,0
2026-04-09T11:18:21.708943+00:00,11.47,1.97,11.47,1.97,-91.7,437010859.6588244,10859.2,1790.3,-7449.7,0
2026-04-09T11:18:22.033839+00:00,11.47,2.00,11.47,2.0,-88.7,437010859.6588244,10859.1,1787.7,-7449.6,0
2026-04-09T11:18:22.362268+00:00,11.47,2.02,11.47,2.02,-90.7,437010859.6588244,10858.9,1785.3,-7449.5,0
2026-04-09T11:18:22.709015+00:00,11.46,2.04,11.46,2.04,-90.7,437010859.6588244,10858.8,1782.8,-7449.4,0
2026-04-09T11:18:23.033743+00:00,11.46,2.07,11.46,2.07,-91.7,437010859.6588244,10858.6,1780.3,-7449.3,0
2026-04-09T11:18:23.357925+00:00,11.46,2.09,11.46,2.09,-89.7,437010859.6588244,10858.4,1777.8,-7449.1,0
2026-04-09T11:18:23.682303+00:00,11.45,2.11,11.45,2.11,-92.7,437010859.6588244,10858.3,1775.4,-7449.0,0
2026-04-09T11:18:24.030331+00:00,11.45,2.13,11.45,2.13,-95.7,437010859.6588244,10858.1,1772.8,-7448.9,0
2026-04-09T11:18:24.358798+00:00,11.45,2.16,11.45,2.16,-94.7,437010859.6588244,10857.9,1770.4,-7448.8,0
2026-04-09T11:18:24.682317+00:00,11.44,2.18,11.44,2.18,-89.7,437010859.6588244,10857.8,1768.0,-7448.7,0
2026-04-09T11:18:25.029779+00:00,11.44,2.20,11.44,2.2,-91.7,437010859.6588244,10857.6,1765.5,-7448.6,0
2026-04-09T11:18:25.354066+00:00,11.44,2.23,11.44,2.23,-89.7,437010859.6588244,10857.4,1763.0,-7448.5,0
