t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T11:24:57.457002+00:00,211.86,8.49,211.86,8.49,-101.7,432989595.60673517,-10404.4,1112.2,7203.6,0
2026-04-09T11:24:57.780940+00:00,211.82,8.45,211.82,8.45,-107.7,432989595.60673517,-10407.4,1114.8,7205.7,0
2026-04-09T11:24:58.104811+00:00,211.79,8.41,211.79,8.41,-94.7,432989595.60673517,-10410.1,1117.1,7207.5,0
2026-04-09T11:24:58.448913+00:00,211.76,8.37,211.76,8.37,-101.7,432989595.60673517,-10412.7,1119.5,7209.4,0
2026-04-09T11:24:58.773435+00:00,211.72,8.33,211.72,8.33,-99.7,432989595.60673517,-10415.5,1122.0,7211.3,0
2026-04-09T11:24:59.097988+00:00,211.69,8.29,211.69,8.29,-105.7,432989595.60673517,-10418.1,1124.3,7213.1,0
2026-04-09T11:24:59.416831+00:00,211.66,8.26,211.66,8.26,-101.7,432989595.60673517,-10420.7,1126.6,7214.9,0
2026-04-09T11:24:59.760959+00:00,211.63,8.22,211.63,8.22,-100.7,432989595.60673517,-10423.4,1129.1,7216.8,0
2026-04-09T11:25:00.084834+00:00,211.59,8.18,211.59,8.18,-101.7,432989595.60673517,-10426.0,1131.5,7218.5,0
2026-04-09T11:25:00.409055+00:00,211.56,8.14,211.56,8.14,-101.7,432989595.60673517,-10428.5,1133.8,7220.3,0
2026-04-09T11:25:00.752839+00:00,211.53,8.10,211.53,8.1,-103.7,432989595.60673517,-10431.0,1136.1,7222.0,0
2026-04-09T11:25:01.075820+00:00,211.50,8.06,211.5,8.06,-103.7,432989595.60673517,-10433.6,1138.6,7223.9,0
2026-04-09T11:25:01.400848+00:00,211.47,8.03,211.47,8.03,-103.7,432989595.60673517,-10436.1,1140.9,7225.6,0
2026-04-09T11:25:01.725963+00:00,211.43,7.99,211.43,7.99,-97.7,432989595.60673517,-10438.6,1143.3,7227.3,0
2026-04-09T11:25:02.068854+00:00,211.40,7.95,211.4,7.95,-99.7,432989595.60673517,-10441.2,1145.8,7229.1,0
2026-04-09T11:25:02.399773+00:00,211.37,7.91,211.37,7.91,-101.7,432989595.60673517,-10443.6,1148.1,7230.8,0
2026-04-09T11:25:02.718236+00:00,211.34,7.87,211.34,7.87,-101.7,432989595.60673517,-10446.1,1150.5,7232.5,0
2026-04-09T11:25:03.066198+00:00,211.31,7.84,211.31,7.84,-104.7,432989595.60673517,-10448.5,1152.8,7234.1,0
2026-04-09T11:25:03.389934+00:00,211.28,7.80,211.28,7.8,-97.7,432989595.60673517,-10451.0,1155.3,7235.9,0
2026-04-09T11:25:03.719316+00:00,211.25,7.76,211.25,7.76,-101.7,432989595.60673517,-10453.4,1157.7,7237.5,0
2026-04-09T11:25:04.081949+00:00,211.21,7.72,211.21,7.72,-100.7,432989545.0699066,-10455.9,1160.2,7239.3,0
2026-04-09T11:25:04.409994+00:00,211.18,7.68,211.18,7.68,-98.7,432989545.0699066,-10458.4,1162.7,7241.0,0
2026-04-09T11:25:04.739379+00:00,211.15,7.65,211.15,7.65,-103.7,432989545.0699066,-10460.8,1165.1,7242.6,0
2026-04-09T11:25:05.061752+00:00,211.12,7.61,211.12,7.61,-101.7,432989545.0699066,-10463.1,1167.4,7244.2,0
2026-04-09T11:25:05.410137+00:00,211.09,7.57,211.09,7.57,-101.7,432989545.0699066,-10465.5,1169.9,7245.9,0
2026-04-09T11:25:05.733930+00:00,211.06,7.53,211.06,7.53,-103.7,432989545.0699066,-10467.8,1172.3,7247.5,0
2026-04-09T11:25:06.063001+00:00,211.03,7.50,211.03,7.5,-101.7,432989545.0699066,-10470.1,1174.7,7249.1,0
2026-04-09T11:25:06.406295+00:00,211.00,7.46,211.0,7.46,-100.7,432989545.0699066,-10472.5,1177.2,7250.7,0
