t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T11:42:26.540818+00:00,301.96,23.59,301.96,23.59,-86.7,436951190.1210124,1190.1,1079.5,-816.5,0
2026-04-09T11:42:26.865001+00:00,301.80,23.60,301.8,23.6,-90.7,436951190.1210124,1163.5,1079.2,-798.3,0
2026-04-09T11:42:27.188837+00:00,301.66,23.61,301.66,23.61,-92.7,436951190.1210124,1140.0,1078.9,-782.2,0
2026-04-09T11:42:27.537250+00:00,301.52,23.62,301.52,23.62,-92.7,436951190.1210124,1116.2,1078.7,-765.8,0
2026-04-09T11:42:27.877109+00:00,301.36,23.63,301.36,23.63,-90.7,436951099.2059066,1089.4,1078.4,-747.4,0
2026-04-09T11:42:28.200844+00:00,301.21,23.63,301.21,23.63,-89.7,436951099.2059066,1065.6,1078.1,-731.1,0
2026-04-09T11:42:28.544830+00:00,301.07,23.64,301.07,23.64,-90.7,436951099.2059066,1041.7,1077.9,-714.7,0
2026-04-09T11:42:28.868876+00:00,300.92,23.65,300.92,23.65,-87.7,436951099.2059066,1016.3,1077.7,-697.3,0
2026-04-09T11:42:29.212842+00:00,300.76,23.65,300.76,23.65,-91.7,436951001.0582362,990.8,1077.4,-679.8,0
2026-04-09T11:42:29.556819+00:00,300.62,23.66,300.62,23.66,-92.7,436951001.0582362,967.0,1077.2,-663.5,0
2026-04-09T11:42:29.901083+00:00,300.46,23.67,300.46,23.67,-89.7,436950950.251119,940.0,1077.0,-644.9,0
2026-04-09T11:42:30.220911+00:00,300.31,23.68,300.31,23.68,-93.7,436950950.251119,916.1,1076.8,-628.6,0
2026-04-09T11:42:30.564816+00:00,300.17,23.68,300.17,23.68,-91.7,436950950.251119,892.1,1076.6,-612.1,0
2026-04-09T11:42:30.888999+00:00,300.02,23.69,300.02,23.69,-91.7,436950950.251119,866.6,1076.4,-594.6,0
2026-04-09T11:42:31.238208+00:00,299.86,23.69,299.86,23.69,-90.7,436950851.6793798,841.1,1076.2,-577.1,0
2026-04-09T11:42:31.581332+00:00,299.72,23.70,299.72,23.7,-95.7,436950851.6793798,816.9,1076.0,-560.5,0
2026-04-09T11:42:31.931010+00:00,299.56,23.71,299.56,23.71,-92.7,436950800.3675078,789.8,1075.8,-541.9,0
2026-04-09T11:42:32.254304+00:00,299.41,23.71,299.41,23.71,-91.7,436950800.3675078,765.6,1075.6,-525.3,0
