t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T11:45:56.280887+00:00,350.57,0.66,350.57,0.66,-91.7,437882142.6181059,7142.6,2565.1,-4890.2,44
2026-04-09T11:45:56.604826+00:00,350.52,0.67,350.52,0.67,-91.7,437882142.6181059,7136.0,2563.1,-4885.7,44
2026-04-09T11:45:56.928846+00:00,350.48,0.68,350.48,0.68,-91.7,437882142.6181059,7130.7,2561.5,-4882.1,44
2026-04-09T11:45:57.272949+00:00,350.44,0.70,350.44,0.7,-91.7,437882142.6181059,7125.5,2560.0,-4878.5,44
2026-04-09T11:45:57.596847+00:00,350.40,0.71,350.4,0.71,-95.7,437882142.6181059,7119.8,2558.3,-4874.6,44
2026-04-09T11:45:57.921028+00:00,350.35,0.72,350.35,0.72,-93.7,437882142.6181059,7114.5,2556.7,-4870.9,44
2026-04-09T11:45:58.246079+00:00,350.31,0.73,350.31,0.73,-92.7,437882142.6181059,7109.1,2555.1,-4867.3,44
2026-04-09T11:45:58.584847+00:00,350.27,0.75,350.27,0.75,-95.7,437882142.6181059,7103.4,2553.5,-4863.4,44
2026-04-09T11:45:58.908992+00:00,350.23,0.76,350.23,0.76,-91.7,437882142.6181059,7098.0,2551.9,-4859.7,44
2026-04-09T11:45:59.232864+00:00,350.19,0.77,350.19,0.77,-91.7,437882142.6181059,7092.6,2550.3,-4856.0,44
2026-04-09T11:45:59.596841+00:00,350.15,0.79,350.15,0.79,-89.7,437882089.2693475,7086.9,2548.6,-4852.1,44
2026-04-09T11:45:59.920849+00:00,350.10,0.80,350.1,0.8,-90.7,437882089.2693475,7081.1,2547.0,-4848.1,44
2026-04-09T11:46:00.244903+00:00,350.06,0.81,350.06,0.81,-91.7,437882089.2693475,7075.7,2545.4,-4844.4,44
2026-04-09T11:46:00.569526+00:00,350.02,0.82,350.02,0.82,-87.7,437882089.2693475,7070.3,2543.8,-4840.7,44
2026-04-09T11:46:00.918514+00:00,349.98,0.84,349.98,0.84,-89.7,437882089.2693475,7064.5,2542.2,-4836.7,44
2026-04-09T11:46:01.242191+00:00,349.93,0.85,349.93,0.85,-92.7,437882089.2693475,7059.0,2540.6,-4833.0,44
2026-04-09T11:46:01.567628+00:00,349.89,0.86,349.89,0.86,-87.7,437882089.2693475,7053.5,2539.0,-4829.2,44
2026-04-09T11:46:01.912859+00:00,349.85,0.88,349.85,0.88,-91.7,437882089.2693475,7048.1,2537.5,-4825.5,44
2026-04-09T11:46:02.236906+00:00,349.81,0.89,349.81,0.89,-92.7,437882089.2693475,7042.2,2535.8,-4821.4,44
2026-04-09T11:46:02.561421+00:00,349.77,0.90,349.77,0.9,-96.7,437882089.2693475,7036.7,2534.2,-4817.7,44
2026-04-09T11:46:02.924888+00:00,349.72,0.92,349.72,0.92,-91.7,437882033.21906114,7030.9,2532.6,-4813.7,44
2026-04-09T11:46:03.248929+00:00,349.68,0.93,349.68,0.93,-92.7,437882033.21906114,7025.0,2530.9,-4809.7,44
2026-04-09T11:46:03.572822+00:00,349.64,0.94,349.64,0.94,-91.7,437882033.21906114,7019.5,2529.4,-4805.9,44
2026-04-09T11:46:03.898106+00:00,349.60,0.95,349.6,0.95,-91.7,437882033.21906114,7013.9,2527.8,-4802.1,44
2026-04-09T11:46:04.240922+00:00,349.55,0.97,349.55,0.97,-93.7,437882033.21906114,7008.0,2526.2,-4798.1,44
