t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T12:33:19.836893+00:00,86.22,13.54,86.22,13.54,-105.7,433002616.33750546,2616.3,11570.0,-1811.5,0
2026-04-09T12:33:20.160931+00:00,86.22,13.55,86.22,13.55,-102.7,433002616.33750546,2616.1,11569.4,-1811.3,0
2026-04-09T12:33:20.485056+00:00,86.21,13.55,86.21,13.55,-103.7,433002616.33750546,2615.8,11568.8,-1811.1,0
2026-04-09T12:33:20.828986+00:00,86.21,13.56,86.21,13.56,-106.7,433002616.33750546,2615.6,11568.2,-1810.9,0
2026-04-09T12:33:21.148886+00:00,86.20,13.57,86.2,13.57,-97.7,433002616.33750546,2615.3,11567.6,-1810.8,0
2026-04-09T12:33:21.472913+00:00,86.20,13.57,86.2,13.57,-101.7,433002616.33750546,2615.1,11567.0,-1810.6,0
2026-04-09T12:33:21.796895+00:00,86.19,13.58,86.19,13.58,-97.7,433002616.33750546,2614.9,11566.4,-1810.4,0
2026-04-09T12:33:22.140839+00:00,86.18,13.59,86.18,13.59,-106.7,433002616.33750546,2614.6,11565.8,-1810.3,0
2026-04-09T12:33:22.464865+00:00,86.18,13.59,86.18,13.59,-112.7,433002616.33750546,2614.4,11565.2,-1810.1,0
2026-04-09T12:33:22.788832+00:00,86.17,13.60,86.17,13.6,-112.7,433002616.33750546,2614.1,11564.6,-1809.9,0
2026-04-09T12:33:23.132844+00:00,86.17,13.60,86.17,13.6,-108.7,433002616.33750546,2613.9,11564.0,-1809.8,0
2026-04-09T12:33:23.457991+00:00,86.16,13.61,86.16,13.61,-111.7,433002616.33750546,2613.6,11563.4,-1809.6,0
2026-04-09T12:33:23.776833+00:00,86.16,13.62,86.16,13.62,-108.7,433002616.33750546,2613.4,11562.8,-1809.4,0
2026-04-09T12:33:24.100920+00:00,86.15,13.62,86.15,13.62,-107.7,433002616.33750546,2613.2,11562.2,-1809.3,0
2026-04-09T12:33:24.444870+00:00,86.15,13.63,86.15,13.63,-114.7,433002616.33750546,2612.9,11561.6,-1809.1,0
2026-04-09T12:33:24.772662+00:00,86.14,13.63,86.14,13.63,-106.7,433002616.33750546,2612.7,11561.0,-1808.9,0
2026-04-09T12:33:25.094297+00:00,86.14,13.64,86.14,13.64,-108.7,433002616.33750546,2612.4,11560.4,-1808.7,0
2026-04-09T12:33:25.441976+00:00,86.13,13.65,86.13,13.65,-113.7,433002616.33750546,2612.2,11559.8,-1808.6,0
2026-04-09T12:33:25.765965+00:00,86.12,13.65,86.12,13.65,-113.7,433002616.33750546,2611.9,11559.2,-1808.4,0
2026-04-09T12:33:26.094294+00:00,86.12,13.66,86.12,13.66,-107.7,433002616.33750546,2611.7,11558.6,-1808.2,0
2026-04-09T12:33:26.418968+00:00,86.11,13.67,86.11,13.67,-107.7,433002616.33750546,2611.5,11558.0,-1808.1,0
2026-04-09T12:33:26.767235+00:00,86.11,13.67,86.11,13.67,-109.7,433002616.33750546,2611.2,11557.4,-1807.9,0
2026-04-09T12:33:27.090495+00:00,86.10,13.68,86.1,13.68,-110.7,433002616.33750546,2611.0,11556.8,-1807.7,0
2026-04-09T12:33:27.419383+00:00,86.10,13.68,86.1,13.68,-104.7,433002616.33750546,2610.7,11556.2,-1807.6,0
2026-04-09T12:33:27.761930+00:00,86.09,13.69,86.09,13.69,-106.7,433002616.33750546,2610.5,11555.6,-1807.4,0
2026-04-09T12:33:28.090244+00:00,86.09,13.70,86.09,13.7,-110.7,433002616.33750546,2610.2,11555.0,-1807.2,0
2026-04-09T12:33:28.414266+00:00,86.08,13.70,86.08,13.7,-112.7,433002616.33750546,2610.0,11554.4,-1807.0,0
2026-04-09T12:33:28.762243+00:00,86.08,13.71,86.08,13.71,-109.7,433002616.33750546,2609.7,11553.8,-1806.9,0
2026-04-09T12:33:29.085943+00:00,86.07,13.72,86.07,13.72,-109.7,433002616.33750546,2609.5,11553.2,-1806.7,0
2026-04-09T12:33:29.413990+00:00,86.06,13.72,86.06,13.72,-109.7,433002616.33750546,2609.2,11552.6,-1806.5,0
2026-04-09T12:33:29.743526+00:00,86.06,13.73,86.06,13.73,-107.7,433002616.33750546,2609.0,11552.0,-1806.4,0
2026-04-09T12:33:30.086277+00:00,86.05,13.73,86.05,13.73,-103.7,433002616.33750546,2608.7,11551.4,-1806.2,0
2026-04-09T12:33:30.410124+00:00,86.05,13.74,86.05,13.74,-114.7,433002616.33750546,2608.5,11550.8,-1806.0,0
2026-04-09T12:33:30.737897+00:00,86.04,13.75,86.04,13.75,-107.7,433002616.33750546,2608.2,11550.2,-1805.8,0
2026-04-09T12:33:31.081496+00:00,86.04,13.75,86.04,13.75,-105.7,433002616.33750546,2608.0,11549.6,-1805.7,0
2026-04-09T12:33:31.410299+00:00,86.03,13.76,86.03,13.76,-104.7,433002616.33750546,2607.7,11549.0,-1805.5,0
2026-04-09T12:33:31.733748+00:00,86.03,13.77,86.03,13.77,-108.7,433002616.33750546,2607.5,11548.4,-1805.3,0
2026-04-09T12:33:32.061926+00:00,86.02,13.77,86.02,13.77,-109.7,433002616.33750546,2607.3,11547.8,-1805.2,0
2026-04-09T12:33:32.411656+00:00,86.01,13.78,86.01,13.78,-110.7,433002616.33750546,2607.0,11547.2,-1805.0,0
2026-04-09T12:33:32.734253+00:00,86.01,13.78,86.01,13.78,-109.7,433002616.33750546,2606.8,11546.6,-1804.8,0
2026-04-09T12:33:33.062268+00:00,86.00,13.79,86.0,13.79,-109.7,433002616.33750546,2606.5,11546.0,-1804.7,0
2026-04-09T12:33:33.411297+00:00,86.00,13.80,86.0,13.8,-105.7,433002616.33750546,2606.3,11545.4,-1804.5,0
2026-04-09T12:33:33.734256+00:00,85.99,13.80,85.99,13.8,-111.7,433002616.33750546,2606.0,11544.8,-1804.3,0
2026-04-09T12:33:34.058261+00:00,85.99,13.81,85.99,13.81,-111.7,433002616.33750546,2605.8,11544.2,-1804.1,0
2026-04-09T12:33:34.405900+00:00,85.98,13.82,85.98,13.82,-108.7,433002616.33750546,2605.5,11543.6,-1804.0,0
2026-04-09T12:33:34.730549+00:00,85.98,13.82,85.98,13.82,-104.7,433002616.33750546,2605.3,11543.0,-1803.8,0
2026-04-09T12:33:35.061680+00:00,85.97,13.83,85.97,13.83,-109.7,433002616.33750546,2605.0,11542.4,-1803.6,0
2026-04-09T12:33:35.382224+00:00,85.97,13.83,85.97,13.83,-114.7,433002616.33750546,2604.8,11541.8,-1803.4,0
2026-04-09T12:33:35.730419+00:00,85.96,13.84,85.96,13.84,-110.7,433002616.33750546,2604.5,11541.2,-1803.3,0
2026-04-09T12:33:36.054304+00:00,85.95,13.85,85.95,13.85,-107.7,433002616.33750546,2604.3,11540.6,-1803.1,0
2026-04-09T12:33:36.378631+00:00,85.95,13.85,85.95,13.85,-109.7,433002616.33750546,2604.0,11540.0,-1802.9,0
2026-04-09T12:33:36.725919+00:00,85.94,13.86,85.94,13.86,-106.7,433002616.33750546,2603.8,11539.5,-1802.8,0
