t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T12:35:20.809011+00:00,38.66,57.66,38.66,57.66,-103.7,433004734.49806243,4734.5,890.7,-3278.0,0
2026-04-09T12:35:21.132820+00:00,38.80,57.80,38.8,57.8,-100.7,433004734.49806243,4711.4,889.5,-3262.0,0
2026-04-09T12:35:21.456820+00:00,38.92,57.92,38.92,57.92,-101.7,433004734.49806243,4690.8,888.4,-3247.7,0
2026-04-09T12:35:21.806321+00:00,39.05,58.05,39.05,58.05,-101.7,433004734.49806243,4670.1,887.4,-3233.4,0
2026-04-09T12:35:22.149699+00:00,39.20,58.19,39.2,58.19,-103.7,433004655.59505063,4646.8,886.2,-3217.3,0
2026-04-09T12:35:22.478057+00:00,39.33,58.31,39.33,58.31,-98.7,433004655.59505063,4625.8,885.2,-3202.7,0
2026-04-09T12:35:22.822257+00:00,39.46,58.44,39.46,58.44,-103.7,433004655.59505063,4604.6,884.1,-3188.0,0
2026-04-09T12:35:23.150045+00:00,39.60,58.57,39.6,58.57,-99.7,433004655.59505063,4582.3,883.0,-3172.6,0
2026-04-09T12:35:23.494273+00:00,39.75,58.70,39.75,58.7,-101.7,433004568.8095659,4559.9,881.9,-3157.1,0
2026-04-09T12:35:23.842222+00:00,39.88,58.83,39.88,58.83,-109.7,433004568.8095659,4538.5,880.9,-3142.3,0
2026-04-09T12:35:24.171306+00:00,40.03,58.96,40.03,58.96,-109.7,433004568.8095659,4515.7,879.8,-3126.5,0
2026-04-09T12:35:24.493949+00:00,40.17,59.09,40.17,59.09,-100.7,433004568.8095659,4494.4,878.8,-3111.8,0
2026-04-09T12:35:24.862222+00:00,40.32,59.22,40.32,59.22,-103.7,433004480.73701733,4471.4,877.7,-3095.8,0
2026-04-09T12:35:25.185809+00:00,40.47,59.36,40.47,59.36,-97.7,433004480.73701733,4448.4,876.7,-3079.9,0
2026-04-09T12:35:25.510002+00:00,40.61,59.48,40.61,59.48,-101.7,433004480.73701733,4426.9,875.7,-3065.0,0
2026-04-09T12:35:25.841611+00:00,40.76,59.61,40.76,59.61,-97.7,433004480.73701733,4405.3,874.7,-3050.0,0
2026-04-09T12:35:26.207312+00:00,40.92,59.75,40.92,59.75,-98.7,433004391.12810224,4380.6,873.5,-3032.9,0
2026-04-09T12:35:26.529922+00:00,41.07,59.88,41.07,59.88,-99.7,433004391.12810224,4358.9,872.6,-3017.9,0
2026-04-09T12:35:26.853956+00:00,41.22,60.00,41.22,60.0,-102.7,433004391.12810224,4336.7,871.6,-3002.6,0
2026-04-09T12:35:27.202269+00:00,41.38,60.14,41.38,60.14,-105.7,433004391.12810224,4313.4,870.5,-2986.4,0
2026-04-09T12:35:27.546201+00:00,41.54,60.27,41.54,60.27,-95.7,433004299.36185646,4289.8,869.5,-2970.1,0
2026-04-09T12:35:27.873925+00:00,41.70,60.40,41.7,60.4,-101.7,433004299.36185646,4267.8,868.6,-2954.8,0
2026-04-09T12:35:28.223236+00:00,41.86,60.53,41.86,60.53,-100.7,433004299.36185646,4243.9,867.5,-2938.3,0
2026-04-09T12:35:28.545475+00:00,42.02,60.66,42.02,60.66,-97.7,433004299.36185646,4221.8,866.6,-2923.0,0
2026-04-09T12:35:28.884888+00:00,42.19,60.79,42.19,60.79,-100.7,433004207.50534,4198.0,865.6,-2906.5,0
