t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T13:29:49.968892+00:00,167.34,0.01,167.34,0.01,-99.7,436405102.7011989,10102.7,2922.2,-6940.3,0
2026-04-09T13:29:50.293233+00:00,167.35,0.02,167.35,0.02,-105.7,436405102.7011989,10102.7,2919.7,-6940.3,0
2026-04-09T13:29:50.616991+00:00,167.35,0.04,167.35,0.04,-103.7,436405102.7011989,10102.8,2917.5,-6940.3,0
2026-04-09T13:29:50.960875+00:00,167.35,0.06,167.35,0.06,-105.7,436405102.7011989,10102.8,2915.3,-6940.4,0
2026-04-09T13:29:51.285056+00:00,167.35,0.07,167.35,0.07,-103.7,436405102.7011989,10102.8,2912.8,-6940.4,0
2026-04-09T13:29:51.608854+00:00,167.36,0.09,167.36,0.09,-107.7,436405102.7011989,10102.8,2910.6,-6940.4,0
2026-04-09T13:29:51.938671+00:00,167.36,0.11,167.36,0.11,-107.7,436405102.7011989,10102.8,2908.4,-6940.4,0
2026-04-09T13:29:52.276873+00:00,167.36,0.12,167.36,0.12,-103.7,436405102.7011989,10102.9,2906.0,-6940.4,0
2026-04-09T13:29:52.600878+00:00,167.37,0.14,167.37,0.14,-104.7,436405102.7011989,10102.9,2903.7,-6940.4,0
2026-04-09T13:29:52.924970+00:00,167.37,0.16,167.37,0.16,-102.7,436405102.7011989,10102.9,2901.5,-6940.4,0
2026-04-09T13:29:53.268881+00:00,167.37,0.17,167.37,0.17,-103.7,436405102.7011989,10102.9,2899.2,-6940.5,0
2026-04-09T13:29:53.592896+00:00,167.37,0.19,167.37,0.19,-105.7,436405102.7011989,10102.9,2896.9,-6940.5,0
2026-04-09T13:29:53.916875+00:00,167.38,0.21,167.38,0.21,-107.7,436405102.7011989,10102.9,2894.6,-6940.5,0
2026-04-09T13:29:54.240869+00:00,167.38,0.23,167.38,0.23,-103.7,436405102.7011989,10103.0,2892.4,-6940.5,0
2026-04-09T13:29:54.584953+00:00,167.38,0.24,167.38,0.24,-106.7,436405102.7011989,10103.0,2890.0,-6940.5,0
2026-04-09T13:29:54.914084+00:00,167.39,0.26,167.39,0.26,-107.7,436405102.7011989,10103.0,2887.7,-6940.5,0
2026-04-09T13:29:55.232895+00:00,167.39,0.28,167.39,0.28,-103.7,436405102.7011989,10103.0,2885.4,-6940.5,0
2026-04-09T13:29:55.575812+00:00,167.39,0.29,167.39,0.29,-104.7,436405102.7011989,10103.0,2883.2,-6940.5,0
2026-04-09T13:29:55.899819+00:00,167.39,0.31,167.39,0.31,-103.7,436405102.7011989,10103.0,2880.8,-6940.5,0
2026-04-09T13:29:56.224858+00:00,167.40,0.33,167.4,0.33,-102.7,436405102.7011989,10103.0,2878.6,-6940.5,0
2026-04-09T13:29:56.548944+00:00,167.40,0.35,167.4,0.35,-102.7,436405102.7011989,10103.0,2876.3,-6940.5,0
2026-04-09T13:29:56.892864+00:00,167.40,0.37,167.4,0.37,-106.7,436405102.7011989,10103.0,2873.9,-6940.5,0
2026-04-09T13:29:57.216920+00:00,167.41,0.38,167.41,0.38,-103.7,436405102.7011989,10103.0,2871.7,-6940.5,0
2026-04-09T13:29:57.540809+00:00,167.41,0.40,167.41,0.4,-105.7,436405102.7011989,10103.0,2869.4,-6940.5,0
2026-04-09T13:29:57.884912+00:00,167.41,0.42,167.41,0.42,-104.7,436405102.7011989,10103.0,2867.2,-6940.5,0
2026-04-09T13:29:58.208854+00:00,167.42,0.44,167.42,0.44,-103.7,436405102.7011989,10103.0,2864.8,-6940.5,0
2026-04-09T13:29:58.532874+00:00,167.42,0.45,167.42,0.45,-104.7,436405102.7011989,10103.0,2862.5,-6940.5,0
2026-04-09T13:29:58.856872+00:00,167.42,0.47,167.42,0.47,-105.7,436405102.7011989,10103.0,2860.3,-6940.5,0
2026-04-09T13:29:59.200921+00:00,167.42,0.49,167.42,0.49,-104.7,436405102.7011989,10103.0,2857.9,-6940.5,0
2026-04-09T13:29:59.524919+00:00,167.43,0.51,167.43,0.51,-109.7,436405102.7011989,10103.0,2855.6,-6940.5,0
2026-04-09T13:29:59.848934+00:00,167.43,0.52,167.43,0.52,-103.7,436405102.7011989,10103.0,2853.4,-6940.5,0
2026-04-09T13:30:00.192373+00:00,167.43,0.54,167.43,0.54,-107.7,436405102.7011989,10102.9,2851.2,-6940.5,0
2026-04-09T13:30:00.516882+00:00,167.44,0.56,167.44,0.56,-105.7,436405102.7011989,10102.9,2848.8,-6940.5,0
2026-04-09T13:30:00.839916+00:00,167.44,0.58,167.44,0.58,-102.7,436405102.7011989,10102.9,2846.5,-6940.5,0
2026-04-09T13:30:01.164971+00:00,167.44,0.59,167.44,0.59,-102.7,436405102.7011989,10102.9,2844.3,-6940.4,0
2026-04-09T13:30:01.509014+00:00,167.45,0.61,167.45,0.61,-108.7,436405102.7011989,10102.9,2841.9,-6940.4,0
2026-04-09T13:30:01.833051+00:00,167.45,0.63,167.45,0.63,-104.7,436405102.7011989,10102.9,2839.6,-6940.4,0
2026-04-09T13:30:02.156905+00:00,167.45,0.65,167.45,0.65,-107.7,436405102.7011989,10102.8,2837.4,-6940.4,0
2026-04-09T13:30:02.500892+00:00,167.45,0.67,167.45,0.67,-101.7,436405102.7011989,10102.8,2835.1,-6940.4,0
2026-04-09T13:30:02.824989+00:00,167.46,0.69,167.46,0.69,-106.7,436405102.7011989,10102.8,2832.7,-6940.4,0
2026-04-09T13:30:03.152908+00:00,167.46,0.70,167.46,0.7,-104.7,436405102.7011989,10102.8,2830.5,-6940.4,0
2026-04-09T13:30:03.476909+00:00,167.46,0.72,167.46,0.72,-109.7,436405102.7011989,10102.8,2828.3,-6940.3,0
2026-04-09T13:30:03.819828+00:00,167.47,0.74,167.47,0.74,-103.7,436405102.7011989,10102.7,2825.9,-6940.3,0
2026-04-09T13:30:04.144931+00:00,167.47,0.76,167.47,0.76,-102.7,436405102.7011989,10102.7,2823.6,-6940.3,0
2026-04-09T13:30:04.469010+00:00,167.47,0.78,167.47,0.78,-107.7,436405102.7011989,10102.7,2821.4,-6940.3,0
2026-04-09T13:30:04.814075+00:00,167.48,0.79,167.48,0.79,-101.7,436405102.7011989,10102.6,2819.1,-6940.3,0
2026-04-09T13:30:05.140577+00:00,167.48,0.81,167.48,0.81,-102.7,436405102.7011989,10102.6,2816.7,-6940.2,0
2026-04-09T13:30:05.460953+00:00,167.48,0.83,167.48,0.83,-106.7,436405102.7011989,10102.6,2814.5,-6940.2,0
2026-04-09T13:30:05.785089+00:00,167.48,0.85,167.48,0.85,-103.7,436405102.7011989,10102.5,2812.2,-6940.2,0
2026-04-09T13:30:06.129042+00:00,167.49,0.87,167.49,0.87,-103.7,436405102.7011989,10102.5,2809.8,-6940.2,0
2026-04-09T13:30:06.452896+00:00,167.49,0.89,167.49,0.89,-101.7,436405102.7011989,10102.5,2807.6,-6940.1,0
2026-04-09T13:30:06.776828+00:00,167.49,0.91,167.49,0.91,-104.7,436405102.7011989,10102.4,2805.3,-6940.1,0
2026-04-09T13:30:07.120941+00:00,167.50,0.92,167.5,0.92,-104.7,436405102.7011989,10102.4,2803.1,-6940.1,0
2026-04-09T13:30:07.444990+00:00,167.50,0.94,167.5,0.94,-106.7,436405102.7011989,10102.3,2800.7,-6940.1,0
2026-04-09T13:30:07.768921+00:00,167.50,0.96,167.5,0.96,-104.7,436405102.7011989,10102.3,2798.4,-6940.0,0
2026-04-09T13:30:08.092833+00:00,167.51,0.98,167.51,0.98,-103.7,436405102.7011989,10102.2,2796.2,-6940.0,0
