t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T13:41:36.932804+00:00,144.73,6.40,144.73,6.4,-105.7,432990873.0490411,-9127.0,1739.7,6319.1,0
2026-04-09T13:41:37.256848+00:00,144.69,6.37,144.69,6.37,-107.7,432990873.0490411,-9129.9,1742.0,6321.2,0
2026-04-09T13:41:37.580810+00:00,144.66,6.35,144.66,6.35,-107.7,432990873.0490411,-9132.4,1744.0,6322.9,0
2026-04-09T13:41:37.924965+00:00,144.63,6.32,144.63,6.32,-107.7,432990873.0490411,-9135.0,1746.1,6324.7,0
2026-04-09T13:41:38.250112+00:00,144.60,6.29,144.6,6.29,-107.7,432990873.0490411,-9137.7,1748.3,6326.6,0
2026-04-09T13:41:38.568885+00:00,144.57,6.27,144.57,6.27,-105.7,432990873.0490411,-9140.3,1750.3,6328.4,0
2026-04-09T13:41:38.892902+00:00,144.54,6.24,144.54,6.24,-105.7,432990873.0490411,-9142.8,1752.4,6330.1,0
2026-04-09T13:41:39.236926+00:00,144.51,6.22,144.51,6.22,-107.7,432990873.0490411,-9145.5,1754.5,6332.0,0
2026-04-09T13:41:39.560837+00:00,144.48,6.19,144.48,6.19,-96.7,432990873.0490411,-9148.1,1756.6,6333.8,0
2026-04-09T13:41:39.884826+00:00,144.45,6.16,144.45,6.16,-105.7,432990873.0490411,-9150.6,1758.7,6335.5,0
2026-04-09T13:41:40.228884+00:00,144.42,6.14,144.42,6.14,-110.7,432990873.0490411,-9153.0,1760.7,6337.2,0
2026-04-09T13:41:40.552846+00:00,144.38,6.11,144.38,6.11,-105.7,432990873.0490411,-9155.7,1762.9,6339.0,0
2026-04-09T13:41:40.876833+00:00,144.35,6.09,144.35,6.09,-109.7,432990873.0490411,-9158.2,1764.9,6340.8,0
2026-04-09T13:41:41.200837+00:00,144.32,6.06,144.32,6.06,-103.7,432990873.0490411,-9160.7,1767.0,6342.5,0
2026-04-09T13:41:41.544844+00:00,144.29,6.04,144.29,6.04,-103.7,432990873.0490411,-9163.3,1769.1,6344.3,0
2026-04-09T13:41:41.869928+00:00,144.26,6.01,144.26,6.01,-101.7,432990873.0490411,-9165.7,1771.2,6346.0,0
2026-04-09T13:41:42.199365+00:00,144.23,5.99,144.23,5.99,-107.7,432990873.0490411,-9168.2,1773.3,6347.7,0
2026-04-09T13:41:42.542168+00:00,144.20,5.96,144.2,5.96,-108.7,432990873.0490411,-9170.7,1775.4,6349.4,0
2026-04-09T13:41:42.869510+00:00,144.17,5.93,144.17,5.93,-108.7,432990873.0490411,-9173.3,1777.5,6351.2,0
2026-04-09T13:41:43.194348+00:00,144.14,5.91,144.14,5.91,-109.7,432990873.0490411,-9175.7,1779.6,6352.9,0
2026-04-09T13:41:43.562087+00:00,144.11,5.88,144.11,5.88,-105.7,432990822.78443533,-9178.3,1781.8,6354.7,0
2026-04-09T13:41:43.885699+00:00,144.08,5.86,144.08,5.86,-113.7,432990822.78443533,-9180.8,1784.0,6356.5,0
2026-04-09T13:41:44.214792+00:00,144.05,5.83,144.05,5.83,-105.7,432990822.78443533,-9183.2,1786.1,6358.1,0
2026-04-09T13:41:44.539329+00:00,144.02,5.81,144.02,5.81,-106.7,432990822.78443533,-9185.6,1788.2,6359.8,0
2026-04-09T13:41:44.889543+00:00,143.99,5.78,143.99,5.78,-101.7,432990822.78443533,-9188.1,1790.4,6361.5,0
2026-04-09T13:41:45.214243+00:00,143.96,5.75,143.96,5.75,-105.7,432990822.78443533,-9190.6,1792.5,6363.2,0
2026-04-09T13:41:45.538051+00:00,143.93,5.73,143.93,5.73,-104.7,432990822.78443533,-9192.9,1794.5,6364.8,0
2026-04-09T13:41:45.885926+00:00,143.90,5.71,143.9,5.71,-103.7,432990822.78443533,-9195.2,1796.6,6366.4,0
2026-04-09T13:41:46.209945+00:00,143.87,5.68,143.87,5.68,-101.7,432990822.78443533,-9197.7,1798.8,6368.2,0
2026-04-09T13:41:46.538258+00:00,143.84,5.65,143.84,5.65,-102.7,432990822.78443533,-9200.1,1800.9,6369.8,0
2026-04-09T13:41:46.881946+00:00,143.81,5.63,143.81,5.63,-102.7,432990822.78443533,-9202.4,1803.0,6371.4,0
2026-04-09T13:41:47.209854+00:00,143.78,5.60,143.78,5.6,-103.7,432990822.78443533,-9204.8,1805.2,6373.1,0
2026-04-09T13:41:47.534374+00:00,143.75,5.58,143.75,5.58,-101.7,432990822.78443533,-9207.2,1807.3,6374.7,0
2026-04-09T13:41:47.861757+00:00,143.73,5.55,143.73,5.55,-101.7,432990822.78443533,-9209.5,1809.3,6376.3,0
2026-04-09T13:41:48.209737+00:00,143.69,5.53,143.69,5.53,-104.7,432990822.78443533,-9211.9,1811.5,6378.0,0
2026-04-09T13:41:48.538932+00:00,143.67,5.50,143.67,5.5,-102.7,432990822.78443533,-9214.2,1813.6,6379.5,0
2026-04-09T13:41:48.861739+00:00,143.64,5.48,143.64,5.48,-107.7,432990822.78443533,-9216.4,1815.7,6381.1,0
2026-04-09T13:41:49.210173+00:00,143.61,5.45,143.61,5.45,-103.7,432990822.78443533,-9218.9,1817.9,6382.8,0
