t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T13:42:22.920819+00:00,45.62,6.77,45.62,6.77,-105.7,437491073.3575104,6073.4,2410.9,-4161.8,0
2026-04-09T13:42:23.244882+00:00,45.67,6.78,45.67,6.78,-99.7,437491073.3575104,6066.8,2409.4,-4157.3,0
2026-04-09T13:42:23.568978+00:00,45.71,6.80,45.71,6.8,-103.7,437491073.3575104,6060.9,2408.1,-4153.3,0
2026-04-09T13:42:23.912906+00:00,45.76,6.81,45.76,6.81,-95.7,437491073.3575104,6055.0,2406.7,-4149.3,0
2026-04-09T13:42:24.236882+00:00,45.81,6.83,45.81,6.83,-103.7,437491073.3575104,6048.7,2405.3,-4144.9,0
2026-04-09T13:42:24.560861+00:00,45.86,6.85,45.86,6.85,-107.7,437491073.3575104,6042.8,2404.0,-4140.9,0
2026-04-09T13:42:24.884917+00:00,45.90,6.86,45.9,6.86,-106.7,437491073.3575104,6036.9,2402.6,-4136.9,0
2026-04-09T13:42:25.228871+00:00,45.95,6.88,45.95,6.88,-104.7,437491073.3575104,6030.6,2401.2,-4132.6,0
2026-04-09T13:42:25.553781+00:00,46.00,6.89,46.0,6.89,-103.7,437491073.3575104,6024.6,2399.8,-4128.4,0
2026-04-09T13:42:25.875795+00:00,46.05,6.91,46.05,6.91,-102.7,437491073.3575104,6018.6,2398.5,-4124.4,0
2026-04-09T13:42:26.240871+00:00,46.10,6.93,46.1,6.93,-101.7,437491014.9601435,6012.4,2397.1,-4120.1,0
2026-04-09T13:42:26.565060+00:00,46.15,6.94,46.15,6.94,-103.7,437491014.9601435,6006.0,2395.7,-4115.7,0
2026-04-09T13:42:26.889060+00:00,46.20,6.96,46.2,6.96,-101.7,437491014.9601435,6000.0,2394.3,-4111.6,0
2026-04-09T13:42:27.212954+00:00,46.24,6.97,46.24,6.97,-103.7,437491014.9601435,5994.0,2393.0,-4107.5,0
2026-04-09T13:42:27.557011+00:00,46.29,6.99,46.29,6.99,-100.7,437491014.9601435,5987.6,2391.6,-4103.1,0
2026-04-09T13:42:27.880926+00:00,46.34,7.01,46.34,7.01,-101.7,437491014.9601435,5981.6,2390.3,-4099.0,0
2026-04-09T13:42:28.208701+00:00,46.39,7.02,46.39,7.02,-105.7,437491014.9601435,5975.6,2388.9,-4094.8,0
2026-04-09T13:42:28.548959+00:00,46.44,7.04,46.44,7.04,-106.7,437491014.9601435,5969.5,2387.6,-4090.7,0
2026-04-09T13:42:28.873012+00:00,46.49,7.05,46.49,7.05,-104.7,437491014.9601435,5963.2,2386.2,-4086.3,0
2026-04-09T13:42:29.196814+00:00,46.53,7.07,46.53,7.07,-101.7,437491014.9601435,5957.1,2384.9,-4082.2,0
2026-04-09T13:42:29.560827+00:00,46.58,7.08,46.58,7.08,-105.7,437490953.2508658,5950.7,2383.5,-4077.8,0
2026-04-09T13:42:29.885567+00:00,46.63,7.10,46.63,7.1,-107.7,437490953.2508658,5944.2,2382.1,-4073.3,0
2026-04-09T13:42:30.208892+00:00,46.68,7.12,46.68,7.12,-99.7,437490953.2508658,5938.1,2380.8,-4069.2,0
2026-04-09T13:42:30.532849+00:00,46.73,7.13,46.73,7.13,-105.7,437490953.2508658,5931.9,2379.4,-4064.9,0
2026-04-09T13:42:30.877252+00:00,46.78,7.15,46.78,7.15,-102.7,437490953.2508658,5925.4,2378.1,-4060.5,0
2026-04-09T13:42:31.200826+00:00,46.83,7.16,46.83,7.16,-102.7,437490953.2508658,5919.3,2376.7,-4056.3,0
2026-04-09T13:42:31.524990+00:00,46.88,7.18,46.88,7.18,-103.7,437490953.2508658,5913.1,2375.4,-4052.1,0
2026-04-09T13:42:31.868840+00:00,46.93,7.19,46.93,7.19,-102.7,437490953.2508658,5907.0,2374.1,-4047.8,0
2026-04-09T13:42:32.212843+00:00,46.98,7.21,46.98,7.21,-103.7,437490902.7691652,5900.1,2372.6,-4043.1,0
2026-04-09T13:42:32.536938+00:00,47.03,7.23,47.03,7.23,-102.7,437490902.7691652,5893.9,2371.3,-4038.9,0
2026-04-09T13:42:32.880899+00:00,47.08,7.24,47.08,7.24,-106.7,437490902.7691652,5887.7,2370.0,-4034.6,0
2026-04-09T13:42:33.208639+00:00,47.13,7.26,47.13,7.26,-103.7,437490902.7691652,5881.1,2368.6,-4030.1,0
2026-04-09T13:42:33.528876+00:00,47.18,7.27,47.18,7.27,-100.7,437490902.7691652,5874.9,2367.3,-4025.9,0
2026-04-09T13:42:33.853482+00:00,47.22,7.29,47.22,7.29,-102.7,437490902.7691652,5868.8,2366.0,-4021.7,0
2026-04-09T13:42:34.196873+00:00,47.27,7.31,47.27,7.31,-106.7,437490902.7691652,5862.1,2364.7,-4017.1,0
2026-04-09T13:42:34.521942+00:00,47.32,7.32,47.32,7.32,-103.7,437490902.7691652,5855.9,2363.4,-4012.8,0
2026-04-09T13:42:34.860822+00:00,47.37,7.34,47.37,7.34,-103.7,437490851.9026902,5849.2,2362.0,-4008.3,0
2026-04-09T13:42:35.206646+00:00,47.43,7.35,47.43,7.35,-103.7,437490851.9026902,5842.6,2360.6,-4003.7,0
2026-04-09T13:42:35.534110+00:00,47.47,7.37,47.47,7.37,-104.7,437490851.9026902,5836.3,2359.3,-3999.4,0
2026-04-09T13:42:35.858182+00:00,47.52,7.39,47.52,7.39,-103.7,437490851.9026902,5830.0,2358.0,-3995.1,0
2026-04-09T13:42:36.207676+00:00,47.57,7.40,47.57,7.4,-101.7,437490851.9026902,5823.7,2356.7,-3990.7,0
2026-04-09T13:42:36.535445+00:00,47.63,7.42,47.63,7.42,-102.7,437490851.9026902,5816.9,2355.3,-3986.1,0
2026-04-09T13:42:36.858075+00:00,47.67,7.43,47.67,7.43,-101.7,437490851.9026902,5810.6,2354.0,-3981.8,0
2026-04-09T13:42:37.205749+00:00,47.72,7.45,47.72,7.45,-103.7,437490851.9026902,5804.1,2352.7,-3977.4,0
2026-04-09T13:42:37.549741+00:00,47.78,7.46,47.78,7.46,-101.7,437490799.68665415,5797.0,2351.3,-3972.5,0
2026-04-09T13:42:37.878718+00:00,47.83,7.48,47.83,7.48,-103.7,437490799.68665415,5790.5,2350.0,-3968.1,0
2026-04-09T13:42:38.226007+00:00,47.88,7.50,47.88,7.5,-102.7,437490799.68665415,5784.1,2348.7,-3963.6,0
2026-04-09T13:42:38.550146+00:00,47.93,7.51,47.93,7.51,-108.7,437490799.68665415,5777.4,2347.3,-3959.0,0
2026-04-09T13:42:38.874076+00:00,47.98,7.53,47.98,7.53,-103.7,437490799.68665415,5770.9,2346.0,-3954.6,0
2026-04-09T13:42:39.201336+00:00,48.03,7.54,48.03,7.54,-105.7,437490799.68665415,5764.5,2344.7,-3950.2,0
2026-04-09T13:42:39.546104+00:00,48.08,7.56,48.08,7.56,-102.7,437490799.68665415,5757.6,2343.4,-3945.5,0
2026-04-09T13:42:39.873885+00:00,48.13,7.57,48.13,7.57,-104.7,437490799.68665415,5751.1,2342.1,-3941.0,0
2026-04-09T13:42:40.218057+00:00,48.18,7.59,48.18,7.59,-101.7,437490747.0138766,5744.3,2340.7,-3936.3,0
2026-04-09T13:42:40.566062+00:00,48.24,7.61,48.24,7.61,-103.7,437490747.0138766,5737.3,2339.3,-3931.6,0
2026-04-09T13:42:40.889920+00:00,48.29,7.62,48.29,7.62,-103.7,437490747.0138766,5730.8,2338.1,-3927.1,0
2026-04-09T13:42:41.217690+00:00,48.34,7.64,48.34,7.64,-105.7,437490747.0138766,5724.3,2336.8,-3922.7,0
