t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T13:44:18.340878+00:00,293.56,24.35,293.56,24.35,-99.7,436752978.0718354,2978.1,8139.7,-2044.2,0
2026-04-09T13:44:18.665003+00:00,293.57,24.36,293.57,24.36,-102.7,436752978.0718354,2977.6,8139.0,-2043.9,0
2026-04-09T13:44:18.988844+00:00,293.58,24.37,293.58,24.37,-95.7,436752978.0718354,2977.3,8138.3,-2043.6,0
2026-04-09T13:44:19.333575+00:00,293.58,24.38,293.58,24.38,-97.7,436752978.0718354,2976.9,8137.6,-2043.4,0
2026-04-09T13:44:19.656839+00:00,293.59,24.39,293.59,24.39,-95.7,436752978.0718354,2976.5,8136.9,-2043.1,0
2026-04-09T13:44:19.980839+00:00,293.60,24.40,293.6,24.4,-89.7,436752978.0718354,2976.1,8136.3,-2042.8,0
2026-04-09T13:44:20.304858+00:00,293.61,24.41,293.61,24.41,-97.7,436752978.0718354,2975.7,8135.6,-2042.6,0
2026-04-09T13:44:20.649102+00:00,293.62,24.42,293.62,24.42,-97.7,436752978.0718354,2975.3,8134.9,-2042.3,0
2026-04-09T13:44:20.972856+00:00,293.63,24.43,293.63,24.43,-97.7,436752978.0718354,2974.9,8134.3,-2042.0,0
2026-04-09T13:44:21.296963+00:00,293.63,24.43,293.63,24.43,-95.7,436752978.0718354,2974.5,8133.6,-2041.7,0
2026-04-09T13:44:21.640871+00:00,293.64,24.44,293.64,24.44,-96.7,436752978.0718354,2974.1,8132.9,-2041.5,0
2026-04-09T13:44:21.964825+00:00,293.65,24.45,293.65,24.45,-95.7,436752978.0718354,2973.7,8132.2,-2041.2,0
2026-04-09T13:44:22.288846+00:00,293.66,24.46,293.66,24.46,-95.7,436752978.0718354,2973.3,8131.6,-2040.9,0
2026-04-09T13:44:22.612872+00:00,293.67,24.47,293.67,24.47,-95.7,436752978.0718354,2972.9,8130.9,-2040.7,0
2026-04-09T13:44:22.958254+00:00,293.68,24.48,293.68,24.48,-95.7,436752978.0718354,2972.5,8130.2,-2040.4,0
2026-04-09T13:44:23.282234+00:00,293.69,24.49,293.69,24.49,-97.7,436752978.0718354,2972.1,8129.5,-2040.1,0
2026-04-09T13:44:23.610009+00:00,293.69,24.50,293.69,24.5,-96.7,436752978.0718354,2971.7,8128.9,-2039.9,0
2026-04-09T13:44:23.954179+00:00,293.70,24.50,293.7,24.5,-94.7,436752978.0718354,2971.3,8128.2,-2039.6,0
2026-04-09T13:44:24.281676+00:00,293.71,24.51,293.71,24.51,-97.7,436752978.0718354,2970.9,8127.5,-2039.3,0
2026-04-09T13:44:24.606262+00:00,293.72,24.52,293.72,24.52,-95.7,436752978.0718354,2970.5,8126.8,-2039.0,0
2026-04-09T13:44:24.934243+00:00,293.73,24.53,293.73,24.53,-95.7,436752978.0718354,2970.2,8126.2,-2038.8,0
2026-04-09T13:44:25.277715+00:00,293.74,24.54,293.74,24.54,-95.7,436752978.0718354,2969.7,8125.5,-2038.5,0
2026-04-09T13:44:25.606243+00:00,293.74,24.55,293.74,24.55,-97.7,436752978.0718354,2969.3,8124.8,-2038.2,0
