t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T13:48:08.436898+00:00,170.62,20.82,170.62,20.82,-109.7,437793804.5164837,-6195.5,1018.8,4242.5,0
2026-04-09T13:48:08.756833+00:00,170.50,20.77,170.5,20.77,-106.7,437793804.5164837,-6212.4,1020.4,4254.1,0
2026-04-09T13:48:09.080846+00:00,170.39,20.73,170.39,20.73,-101.7,437793804.5164837,-6227.5,1021.7,4264.4,0
2026-04-09T13:48:09.424844+00:00,170.28,20.69,170.28,20.69,-104.7,437793804.5164837,-6242.5,1023.1,4274.7,0
2026-04-09T13:48:09.768861+00:00,170.16,20.64,170.16,20.64,-105.7,437793747.23792833,-6259.3,1024.7,4286.2,0
2026-04-09T13:48:10.092842+00:00,170.06,20.60,170.06,20.6,-103.7,437793747.23792833,-6274.2,1026.1,4296.4,0
2026-04-09T13:48:10.436822+00:00,169.95,20.56,169.95,20.56,-101.7,437793747.23792833,-6289.0,1027.5,4306.5,0
2026-04-09T13:48:10.760848+00:00,169.84,20.51,169.84,20.51,-101.7,437793747.23792833,-6304.4,1028.9,4317.1,0
2026-04-09T13:48:11.104836+00:00,169.73,20.47,169.73,20.47,-106.7,437793686.20797276,-6320.1,1030.4,4327.8,0
2026-04-09T13:48:11.448969+00:00,169.63,20.42,169.63,20.42,-103.7,437793686.20797276,-6334.6,1031.8,4337.8,0
2026-04-09T13:48:11.772814+00:00,169.51,20.38,169.51,20.38,-104.7,437793686.20797276,-6350.1,1033.3,4348.4,0
2026-04-09T13:48:12.092825+00:00,169.41,20.34,169.41,20.34,-106.7,437793686.20797276,-6364.6,1034.7,4358.3,0
2026-04-09T13:48:12.458044+00:00,169.30,20.29,169.3,20.29,-103.7,437793626.3887903,-6380.0,1036.2,4368.8,0
2026-04-09T13:48:12.785901+00:00,169.19,20.25,169.19,20.25,-99.7,437793626.3887903,-6395.2,1037.7,4379.2,0
2026-04-09T13:48:13.110367+00:00,169.09,20.20,169.09,20.2,-103.7,437793626.3887903,-6409.7,1039.2,4389.1,0
