t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T13:48:32.080792+00:00,139.08,14.12,139.08,14.12,-101.7,435839428.92286295,9428.9,1433.4,-6485.8,0
2026-04-09T13:48:32.404950+00:00,139.04,14.17,139.04,14.17,-95.7,435839428.92286295,9424.4,1431.0,-6482.7,0
2026-04-09T13:48:32.728848+00:00,139.01,14.21,139.01,14.21,-97.7,435839428.92286295,9420.4,1429.0,-6480.0,0
2026-04-09T13:48:33.072853+00:00,138.97,14.25,138.97,14.25,-94.7,435839428.92286295,9416.3,1426.9,-6477.2,0
2026-04-09T13:48:33.397176+00:00,138.93,14.29,138.93,14.29,-94.7,435839428.92286295,9412.0,1424.6,-6474.2,0
2026-04-09T13:48:33.716812+00:00,138.89,14.33,138.89,14.33,-77.7,435839428.92286295,9407.9,1422.5,-6471.4,0
2026-04-09T13:48:34.040840+00:00,138.86,14.37,138.86,14.37,-95.7,435839428.92286295,9403.8,1420.4,-6468.5,0
2026-04-09T13:48:34.384943+00:00,138.82,14.41,138.82,14.41,-95.7,435839428.92286295,9399.4,1418.2,-6465.5,0
2026-04-09T13:48:34.714994+00:00,138.78,14.46,138.78,14.46,-95.7,435839428.92286295,9395.2,1416.1,-6462.6,0
2026-04-09T13:48:35.037341+00:00,138.74,14.50,138.74,14.5,-95.7,435839428.92286295,9391.0,1414.0,-6459.8,0
2026-04-09T13:48:35.385956+00:00,138.70,14.54,138.7,14.54,-96.7,435839428.92286295,9386.8,1411.9,-6456.8,0
2026-04-09T13:48:35.710210+00:00,138.66,14.58,138.66,14.58,-90.7,435839428.92286295,9382.3,1409.7,-6453.7,0
2026-04-09T13:48:36.038316+00:00,138.63,14.62,138.63,14.62,-95.7,435839428.92286295,9378.0,1407.6,-6450.8,0
2026-04-09T13:48:36.361785+00:00,138.59,14.67,138.59,14.67,-95.7,435839428.92286295,9373.7,1405.5,-6447.9,0
2026-04-09T13:48:36.730040+00:00,138.54,14.71,138.54,14.71,-95.7,435839370.9700152,9368.8,1403.1,-6444.5,0
2026-04-09T13:48:37.054439+00:00,138.51,14.76,138.51,14.76,-100.7,435839370.9700152,9364.5,1401.0,-6441.5,0
2026-04-09T13:48:37.382033+00:00,138.47,14.80,138.47,14.8,-98.7,435839370.9700152,9360.1,1398.9,-6438.5,0
2026-04-09T13:48:37.726181+00:00,138.43,14.84,138.43,14.84,-95.7,435839370.9700152,9355.5,1396.7,-6435.3,0
2026-04-09T13:48:38.057697+00:00,138.39,14.88,138.39,14.88,-101.7,435839370.9700152,9351.1,1394.6,-6432.3,0
2026-04-09T13:48:38.377965+00:00,138.35,14.93,138.35,14.93,-100.7,435839370.9700152,9346.7,1392.5,-6429.2,0
2026-04-09T13:48:38.725911+00:00,138.31,14.97,138.31,14.97,-97.7,435839370.9700152,9342.2,1390.4,-6426.2,0
