t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:11:52.906568+00:00,146.20,2.22,146.2,2.22,-101.7,436730210.19448006,-9789.8,2547.1,6720.0,0
2026-04-09T14:11:53.230142+00:00,146.20,2.19,146.2,2.19,-98.7,436730210.19448006,-9790.0,2549.6,6720.2,0
2026-04-09T14:11:53.560344+00:00,146.20,2.17,146.2,2.17,-103.7,436730210.19448006,-9790.2,2551.8,6720.3,0
2026-04-09T14:11:53.904215+00:00,146.19,2.15,146.19,2.15,-103.7,436730210.19448006,-9790.4,2554.0,6720.4,0
2026-04-09T14:11:54.231555+00:00,146.19,2.13,146.19,2.13,-96.7,436730210.19448006,-9790.6,2556.3,6720.6,0
2026-04-09T14:11:54.559036+00:00,146.19,2.11,146.19,2.11,-91.7,436730210.19448006,-9790.8,2558.5,6720.7,0
2026-04-09T14:11:54.887555+00:00,146.18,2.09,146.18,2.09,-102.7,436730210.19448006,-9791.0,2560.7,6720.8,0
2026-04-09T14:11:55.235577+00:00,146.18,2.07,146.18,2.07,-101.7,436730210.19448006,-9791.2,2563.0,6721.0,0
2026-04-09T14:11:55.559239+00:00,146.17,2.05,146.17,2.05,-97.7,436730210.19448006,-9791.3,2565.2,6721.1,0
2026-04-09T14:11:55.884014+00:00,146.17,2.03,146.17,2.03,-95.7,436730210.19448006,-9791.5,2567.4,6721.2,0
2026-04-09T14:11:56.231238+00:00,146.17,2.01,146.17,2.01,-95.7,436730210.19448006,-9791.7,2569.6,6721.3,0
2026-04-09T14:11:56.559007+00:00,146.16,1.99,146.16,1.99,-94.7,436730210.19448006,-9791.9,2572.0,6721.5,0
2026-04-09T14:11:56.887754+00:00,146.16,1.97,146.16,1.97,-95.7,436730210.19448006,-9792.1,2574.1,6721.6,0
2026-04-09T14:11:57.235800+00:00,146.16,1.95,146.16,1.95,-92.7,436730210.19448006,-9792.2,2576.3,6721.7,0
2026-04-09T14:11:57.559263+00:00,146.15,1.93,146.15,1.93,-95.7,436730210.19448006,-9792.4,2578.6,6721.8,0
2026-04-09T14:11:57.883545+00:00,146.15,1.91,146.15,1.91,-97.7,436730210.19448006,-9792.6,2580.8,6722.0,0
2026-04-09T14:11:58.211577+00:00,146.14,1.89,146.14,1.89,-95.7,436730210.19448006,-9792.8,2583.0,6722.1,0
2026-04-09T14:11:58.559532+00:00,146.14,1.87,146.14,1.87,-94.7,436730210.19448006,-9792.9,2585.4,6722.2,0
2026-04-09T14:11:58.883939+00:00,146.14,1.85,146.14,1.85,-92.7,436730210.19448006,-9793.1,2587.6,6722.3,0
2026-04-09T14:11:59.210793+00:00,146.13,1.83,146.13,1.83,-95.7,436730210.19448006,-9793.3,2589.7,6722.4,0
2026-04-09T14:11:59.555047+00:00,146.13,1.81,146.13,1.81,-92.7,436730210.19448006,-9793.4,2592.0,6722.5,0
2026-04-09T14:11:59.883534+00:00,146.13,1.79,146.13,1.79,-92.7,436730210.19448006,-9793.6,2594.3,6722.6,0
2026-04-09T14:12:00.207839+00:00,146.12,1.77,146.12,1.77,-95.7,436730210.19448006,-9793.8,2596.5,6722.8,0
2026-04-09T14:12:00.535235+00:00,146.12,1.75,146.12,1.75,-95.7,436730210.19448006,-9793.9,2598.6,6722.9,0
2026-04-09T14:12:00.879524+00:00,146.12,1.73,146.12,1.73,-94.7,436730210.19448006,-9794.1,2601.0,6723.0,0
2026-04-09T14:12:01.207198+00:00,146.11,1.71,146.11,1.71,-91.7,436730210.19448006,-9794.2,2603.2,6723.1,0
2026-04-09T14:12:01.530987+00:00,146.11,1.69,146.11,1.69,-95.7,436730210.19448006,-9794.4,2605.4,6723.2,0
2026-04-09T14:12:01.875713+00:00,146.11,1.67,146.11,1.67,-100.7,436730210.19448006,-9794.5,2607.5,6723.3,0
2026-04-09T14:12:02.202816+00:00,146.10,1.65,146.1,1.65,-95.7,436730210.19448006,-9794.7,2609.9,6723.4,0
2026-04-09T14:12:02.531212+00:00,146.10,1.63,146.1,1.63,-97.7,436730210.19448006,-9794.8,2612.0,6723.5,0
2026-04-09T14:12:02.855638+00:00,146.10,1.62,146.1,1.62,-93.7,436730210.19448006,-9795.0,2614.2,6723.6,0
2026-04-09T14:12:03.207536+00:00,146.09,1.59,146.09,1.59,-91.7,436730210.19448006,-9795.1,2616.6,6723.7,0
2026-04-09T14:12:03.530838+00:00,146.09,1.58,146.09,1.58,-95.7,436730210.19448006,-9795.3,2618.8,6723.8,0
2026-04-09T14:12:03.855200+00:00,146.08,1.56,146.08,1.56,-90.7,436730210.19448006,-9795.4,2621.0,6723.9,0
2026-04-09T14:12:04.203254+00:00,146.08,1.54,146.08,1.54,-95.7,436730210.19448006,-9795.6,2623.2,6724.0,0
2026-04-09T14:12:04.526999+00:00,146.08,1.52,146.08,1.52,-95.7,436730210.19448006,-9795.7,2625.5,6724.1,0
2026-04-09T14:12:04.855553+00:00,146.07,1.50,146.07,1.5,-97.7,436730210.19448006,-9795.8,2627.7,6724.2,0
2026-04-09T14:12:05.199198+00:00,146.07,1.48,146.07,1.48,-94.7,436730210.19448006,-9796.0,2629.9,6724.3,0
2026-04-09T14:12:05.526175+00:00,146.07,1.46,146.07,1.46,-93.7,436730210.19448006,-9796.1,2632.2,6724.4,0
2026-04-09T14:12:05.850165+00:00,146.06,1.44,146.06,1.44,-93.7,436730210.19448006,-9796.3,2634.4,6724.5,0
2026-04-09T14:12:06.170124+00:00,146.06,1.42,146.06,1.42,-93.7,436730210.19448006,-9796.4,2636.6,6724.6,0
2026-04-09T14:12:06.514176+00:00,146.06,1.40,146.06,1.4,-91.7,436730210.19448006,-9796.5,2638.9,6724.6,0
2026-04-09T14:12:06.838113+00:00,146.05,1.38,146.05,1.38,-96.7,436730210.19448006,-9796.6,2641.1,6724.7,0
2026-04-09T14:12:07.162126+00:00,146.05,1.36,146.05,1.36,-96.7,436730210.19448006,-9796.8,2643.2,6724.8,0
2026-04-09T14:12:07.506122+00:00,146.05,1.35,146.05,1.35,-91.7,436730210.19448006,-9796.9,2645.4,6724.9,0
2026-04-09T14:12:07.830183+00:00,146.04,1.33,146.04,1.33,-95.7,436730210.19448006,-9797.0,2647.7,6725.0,0
2026-04-09T14:12:08.154172+00:00,146.04,1.31,146.04,1.31,-91.7,436730210.19448006,-9797.1,2649.9,6725.1,0
2026-04-09T14:12:08.478755+00:00,146.04,1.29,146.04,1.29,-90.7,436730210.19448006,-9797.3,2652.1,6725.2,0
2026-04-09T14:12:08.822115+00:00,146.03,1.27,146.03,1.27,-96.7,436730210.19448006,-9797.4,2654.4,6725.2,0
2026-04-09T14:12:09.146141+00:00,146.03,1.25,146.03,1.25,-92.7,436730210.19448006,-9797.5,2656.6,6725.3,0
2026-04-09T14:12:09.470137+00:00,146.03,1.23,146.03,1.23,-94.7,436730210.19448006,-9797.6,2658.7,6725.4,0
