t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:13:18.094241+00:00,227.14,15.38,227.14,15.38,-103.7,433001423.67409873,1423.7,1164.3,-985.7,0
2026-04-09T14:13:18.418679+00:00,227.01,15.39,227.01,15.39,-106.7,433001423.67409873,1401.0,1164.0,-970.0,0
2026-04-09T14:13:18.742275+00:00,226.89,15.40,226.89,15.4,-105.7,433001423.67409873,1380.8,1163.6,-956.0,0
2026-04-09T14:13:19.086265+00:00,226.77,15.40,226.77,15.4,-109.7,433001423.67409873,1360.9,1163.3,-942.3,0
2026-04-09T14:13:19.430193+00:00,226.63,15.41,226.63,15.41,-106.7,433001346.8113477,1338.2,1163.0,-926.5,0
2026-04-09T14:13:19.755761+00:00,226.51,15.42,226.51,15.42,-104.7,433001346.8113477,1318.0,1162.7,-912.5,0
2026-04-09T14:13:20.104918+00:00,226.39,15.42,226.39,15.42,-101.7,433001346.8113477,1297.5,1162.4,-898.3,0
2026-04-09T14:13:20.427294+00:00,226.26,15.43,226.26,15.43,-107.7,433001346.8113477,1276.0,1162.1,-883.5,0
2026-04-09T14:13:20.771730+00:00,226.13,15.44,226.13,15.44,-108.7,433001262.99933326,1254.1,1161.8,-868.3,0
2026-04-09T14:13:21.119203+00:00,226.01,15.44,226.01,15.44,-109.7,433001262.99933326,1233.9,1161.5,-854.3,0
2026-04-09T14:13:21.447383+00:00,225.88,15.45,225.88,15.45,-95.7,433001262.99933326,1212.1,1161.2,-839.2,0
2026-04-09T14:13:21.771662+00:00,225.76,15.46,225.76,15.46,-100.7,433001262.99933326,1191.5,1160.9,-825.0,0
2026-04-09T14:13:22.139877+00:00,225.63,15.46,225.63,15.46,-107.7,433001178.7250335,1169.9,1160.7,-810.0,0
2026-04-09T14:13:22.463174+00:00,225.50,15.47,225.5,15.47,-107.7,433001178.7250335,1148.1,1160.4,-794.9,0
2026-04-09T14:13:22.790124+00:00,225.38,15.47,225.38,15.47,-110.7,433001178.7250335,1127.6,1160.1,-780.7,0
2026-04-09T14:13:23.115280+00:00,225.26,15.48,225.26,15.48,-112.7,433001178.7250335,1107.3,1159.9,-766.7,0
2026-04-09T14:13:23.479329+00:00,225.12,15.49,225.12,15.49,-112.7,433001094.26596093,1084.4,1159.6,-750.8,0
2026-04-09T14:13:23.798207+00:00,225.00,15.49,225.0,15.49,-104.7,433001094.26596093,1064.0,1159.4,-736.7,0
2026-04-09T14:13:24.126238+00:00,224.88,15.50,224.88,15.5,-105.7,433001094.26596093,1043.5,1159.1,-722.5,0
2026-04-09T14:13:24.466152+00:00,224.75,15.50,224.75,15.5,-107.7,433001094.26596093,1021.8,1158.9,-707.5,0
2026-04-09T14:13:24.810124+00:00,224.62,15.51,224.62,15.51,-106.7,433001009.1160171,1000.1,1158.6,-692.4,0
2026-04-09T14:13:25.134133+00:00,224.50,15.51,224.5,15.51,-104.7,433001009.1160171,979.7,1158.4,-678.3,0
