t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:16:14.626126+00:00,8.94,52.38,8.94,52.38,-91.7,436154190.8513188,-5809.1,593.8,3992.9,0
2026-04-09T14:16:14.950336+00:00,8.76,52.18,8.76,52.18,-104.7,436154190.8513188,-5844.1,595.2,4016.9,0
2026-04-09T14:16:15.295537+00:00,8.59,51.99,8.59,51.99,-97.7,436154136.66120076,-5876.5,596.6,4039.2,0
2026-04-09T14:16:15.639801+00:00,8.43,51.81,8.43,51.81,-103.7,436154136.66120076,-5907.5,597.9,4060.5,0
2026-04-09T14:16:15.987321+00:00,8.26,51.61,8.26,51.61,-106.7,436154071.4607903,-5941.7,599.4,4084.0,0
2026-04-09T14:16:16.311063+00:00,8.10,51.43,8.1,51.43,-104.7,436154071.4607903,-5972.3,600.7,4105.0,0
2026-04-09T14:16:16.679663+00:00,7.94,51.24,7.94,51.24,-107.7,436154008.872829,-6004.2,602.2,4127.0,0
2026-04-09T14:16:17.003418+00:00,7.78,51.05,7.78,51.05,-100.7,436154008.872829,-6036.1,603.6,4148.9,0
2026-04-09T14:16:17.351786+00:00,7.62,50.86,7.62,50.86,-101.7,436153945.2143141,-6067.7,605.0,4170.6,0
2026-04-09T14:16:17.700627+00:00,7.47,50.69,7.47,50.69,-102.7,436153945.2143141,-6097.3,606.4,4191.0,0
2026-04-09T14:16:18.043320+00:00,7.31,50.49,7.31,50.49,-102.7,436153882.02678597,-6130.2,607.9,4213.6,0
2026-04-09T14:16:18.368077+00:00,7.17,50.31,7.17,50.31,-104.7,436153882.02678597,-6159.4,609.3,4233.7,0
2026-04-09T14:16:18.735380+00:00,7.02,50.13,7.02,50.13,-101.7,436153822.3940358,-6190.1,610.8,4254.7,0
2026-04-09T14:16:19.065227+00:00,6.87,49.94,6.87,49.94,-99.7,436153822.3940358,-6220.5,612.3,4275.6,0
2026-04-09T14:16:19.408837+00:00,6.72,49.76,6.72,49.76,-103.7,436153760.9874486,-6251.2,613.8,4296.7,0
2026-04-09T14:16:19.755609+00:00,6.58,49.59,6.58,49.59,-97.7,436153760.9874486,-6279.2,615.1,4316.0,0
