t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:20:52.434192+00:00,235.07,28.12,235.07,28.12,-93.7,438229158.0013057,4158.0,1132.0,-2844.5,0
2026-04-09T14:20:52.758136+00:00,235.21,28.16,235.21,28.16,-99.7,438229158.0013057,4137.3,1131.0,-2830.3,0
2026-04-09T14:20:53.082121+00:00,235.34,28.19,235.34,28.19,-103.7,438229158.0013057,4118.7,1130.1,-2817.7,0
2026-04-09T14:20:53.426126+00:00,235.46,28.23,235.46,28.23,-100.7,438229158.0013057,4100.5,1129.2,-2805.2,0
2026-04-09T14:20:53.766120+00:00,235.61,28.27,235.61,28.27,-103.7,438229087.457407,4079.5,1128.2,-2790.8,0
2026-04-09T14:20:54.090126+00:00,235.73,28.30,235.73,28.3,-99.7,438229087.457407,4060.8,1127.3,-2778.0,0
2026-04-09T14:20:54.434128+00:00,235.86,28.33,235.86,28.33,-103.7,438229087.457407,4042.1,1126.4,-2765.3,0
2026-04-09T14:20:54.758126+00:00,236.00,28.37,236.0,28.37,-105.7,438229087.457407,4022.5,1125.4,-2751.8,0
2026-04-09T14:20:55.098114+00:00,236.13,28.40,236.13,28.4,-105.7,438229010.5514921,4002.5,1124.5,-2738.1,0
2026-04-09T14:20:55.442126+00:00,236.26,28.44,236.26,28.44,-102.7,438229010.5514921,3983.7,1123.6,-2725.3,0
2026-04-09T14:20:55.766128+00:00,236.40,28.47,236.4,28.47,-104.7,438229010.5514921,3963.6,1122.7,-2711.5,0
2026-04-09T14:20:56.090125+00:00,236.52,28.51,236.52,28.51,-105.7,438229010.5514921,3945.0,1121.8,-2698.8,0
2026-04-09T14:20:56.454114+00:00,236.66,28.54,236.66,28.54,-105.7,438228932.8829348,3924.8,1120.9,-2685.0,0
2026-04-09T14:20:56.775531+00:00,236.80,28.58,236.8,28.58,-106.7,438228932.8829348,3904.6,1120.0,-2671.2,0
2026-04-09T14:20:57.103553+00:00,236.93,28.61,236.93,28.61,-108.7,438228932.8829348,3885.5,1119.1,-2658.1,0
2026-04-09T14:20:57.427532+00:00,237.06,28.64,237.06,28.64,-113.7,438228932.8829348,3866.2,1118.2,-2644.9,0
2026-04-09T14:20:57.795531+00:00,237.21,28.68,237.21,28.68,-109.7,438228854.1316177,3844.6,1117.3,-2630.1,0
2026-04-09T14:20:58.119566+00:00,237.34,28.71,237.34,28.71,-107.7,438228854.1316177,3825.5,1116.4,-2617.0,0
2026-04-09T14:20:58.448602+00:00,237.47,28.75,237.47,28.75,-107.7,438228854.1316177,3805.9,1115.6,-2603.7,0
2026-04-09T14:20:58.791522+00:00,237.61,28.78,237.61,28.78,-107.7,438228854.1316177,3785.4,1114.7,-2589.6,0
2026-04-09T14:20:59.135485+00:00,237.75,28.81,237.75,28.81,-107.7,438228773.04526556,3764.6,1113.8,-2575.4,0
