t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:32:05.106190+00:00,208.17,12.24,208.17,12.24,-95.7,436663279.2631867,8279.3,1608.2,-5684.3,0
2026-04-09T14:32:05.430146+00:00,208.23,12.28,208.23,12.28,-93.7,436663279.2631867,8272.6,1606.1,-5679.7,0
2026-04-09T14:32:05.755257+00:00,208.28,12.31,208.28,12.31,-101.7,436663279.2631867,8266.6,1604.3,-5675.6,0
2026-04-09T14:32:06.094145+00:00,208.33,12.34,208.33,12.34,-103.7,436663279.2631867,8260.6,1602.4,-5671.5,0
2026-04-09T14:32:06.418223+00:00,208.39,12.37,208.39,12.37,-102.7,436663279.2631867,8254.2,1600.5,-5667.1,0
2026-04-09T14:32:06.742143+00:00,208.44,12.40,208.44,12.4,-105.7,436663279.2631867,8248.2,1598.7,-5662.9,0
2026-04-09T14:32:07.066136+00:00,208.49,12.43,208.49,12.43,-102.7,436663279.2631867,8242.2,1596.8,-5658.8,0
2026-04-09T14:32:07.410486+00:00,208.55,12.47,208.55,12.47,-101.7,436663279.2631867,8235.7,1594.9,-5654.4,0
2026-04-09T14:32:07.734128+00:00,208.60,12.50,208.6,12.5,-102.7,436663279.2631867,8229.6,1593.1,-5650.2,0
2026-04-09T14:32:08.058110+00:00,208.65,12.53,208.65,12.53,-101.7,436663279.2631867,8223.5,1591.2,-5646.0,0
2026-04-09T14:32:08.423290+00:00,208.71,12.56,208.71,12.56,-90.7,436663219.60258585,8217.0,1589.3,-5641.5,0
2026-04-09T14:32:08.742153+00:00,208.77,12.60,208.77,12.6,-87.7,436663219.60258585,8210.4,1587.4,-5637.0,0
2026-04-09T14:32:09.066122+00:00,208.82,12.63,208.82,12.63,-103.6,436663219.60258585,8204.2,1585.5,-5632.7,0
2026-04-09T14:32:09.390215+00:00,208.87,12.66,208.87,12.66,-96.7,436663219.60258585,8198.0,1583.7,-5628.5,0
2026-04-09T14:32:09.739554+00:00,208.93,12.69,208.93,12.69,-104.7,436663219.60258585,8191.4,1581.8,-5624.0,0
2026-04-09T14:32:10.063204+00:00,208.99,12.73,208.99,12.73,-101.7,436663219.60258585,8185.0,1579.9,-5619.6,0
2026-04-09T14:32:10.387637+00:00,209.04,12.76,209.04,12.76,-102.7,436663219.60258585,8178.7,1578.1,-5615.3,0
2026-04-09T14:32:10.735367+00:00,209.09,12.79,209.09,12.79,-108.7,436663219.60258585,8172.4,1576.3,-5610.9,0
2026-04-09T14:32:11.084354+00:00,209.16,12.83,209.16,12.83,-101.7,436663167.987006,8165.2,1574.2,-5606.0,0
