t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:36:30.138094+00:00,333.70,4.90,333.7,4.9,-95.7,437185558.2243481,-9441.8,2176.6,6474.4,0
2026-04-09T14:36:30.462344+00:00,333.73,4.88,333.73,4.88,-94.7,437185558.2243481,-9443.9,2178.9,6475.9,0
2026-04-09T14:36:30.786231+00:00,333.76,4.86,333.76,4.86,-89.7,437185558.2243481,-9445.8,2181.0,6477.2,0
2026-04-09T14:36:31.130144+00:00,333.78,4.83,333.78,4.83,-91.7,437185558.2243481,-9447.7,2183.1,6478.5,0
2026-04-09T14:36:31.454179+00:00,333.81,4.81,333.81,4.81,-93.7,437185558.2243481,-9449.7,2185.3,6479.8,0
2026-04-09T14:36:31.779287+00:00,333.84,4.79,333.84,4.79,-94.7,437185558.2243481,-9451.6,2187.4,6481.1,0
2026-04-09T14:36:32.098156+00:00,333.86,4.76,333.86,4.76,-100.7,437185558.2243481,-9453.5,2189.5,6482.4,0
2026-04-09T14:36:32.442147+00:00,333.89,4.74,333.89,4.74,-93.7,437185558.2243481,-9455.5,2191.8,6483.8,0
2026-04-09T14:36:32.766119+00:00,333.92,4.72,333.92,4.72,-94.7,437185558.2243481,-9457.4,2193.9,6485.1,0
2026-04-09T14:36:33.090121+00:00,333.94,4.70,333.94,4.7,-95.7,437185558.2243481,-9459.2,2195.9,6486.3,0
2026-04-09T14:36:33.434173+00:00,333.97,4.67,333.97,4.67,-97.7,437185558.2243481,-9461.1,2198.0,6487.6,0
2026-04-09T14:36:33.754245+00:00,334.00,4.65,334.0,4.65,-95.7,437185558.2243481,-9463.0,2200.3,6489.0,0
2026-04-09T14:36:34.078139+00:00,334.02,4.63,334.02,4.63,-95.7,437185558.2243481,-9464.9,2202.4,6490.2,0
2026-04-09T14:36:34.402551+00:00,334.05,4.60,334.05,4.6,-98.7,437185558.2243481,-9466.7,2204.5,6491.5,0
2026-04-09T14:36:34.747469+00:00,334.08,4.58,334.08,4.58,-95.7,437185558.2243481,-9468.6,2206.7,6492.8,0
2026-04-09T14:36:35.075251+00:00,334.10,4.56,334.1,4.56,-95.7,437185558.2243481,-9470.5,2208.8,6494.1,0
2026-04-09T14:36:35.404047+00:00,334.13,4.54,334.13,4.54,-94.7,437185558.2243481,-9472.3,2210.9,6495.3,0
2026-04-09T14:36:35.751205+00:00,334.15,4.51,334.15,4.51,-97.7,437185558.2243481,-9474.2,2213.2,6496.6,0
2026-04-09T14:36:36.079272+00:00,334.18,4.49,334.18,4.49,-95.7,437185558.2243481,-9476.0,2215.3,6497.9,0
2026-04-09T14:36:36.403749+00:00,334.21,4.47,334.21,4.47,-95.7,437185558.2243481,-9477.9,2217.5,6499.2,0
2026-04-09T14:36:36.751342+00:00,334.23,4.44,334.23,4.44,-96.7,437185558.2243481,-9479.8,2219.7,6500.5,0
2026-04-09T14:36:37.077272+00:00,334.26,4.42,334.26,4.42,-92.7,437185558.2243481,-9481.6,2221.8,6501.7,0
2026-04-09T14:36:37.403220+00:00,334.28,4.40,334.28,4.4,-97.7,437185558.2243481,-9483.4,2223.9,6502.9,0
2026-04-09T14:36:37.751467+00:00,334.31,4.38,334.31,4.38,-95.7,437185558.2243481,-9485.2,2226.1,6504.1,0
2026-04-09T14:36:38.074953+00:00,334.34,4.35,334.34,4.35,-92.7,437185558.2243481,-9487.1,2228.3,6505.4,0
2026-04-09T14:36:38.403065+00:00,334.36,4.33,334.36,4.33,-93.7,437185558.2243481,-9488.8,2230.4,6506.6,0
2026-04-09T14:36:38.746978+00:00,334.39,4.31,334.39,4.31,-97.7,437185558.2243481,-9490.6,2232.6,6507.9,0
2026-04-09T14:36:39.075219+00:00,334.41,4.28,334.41,4.28,-94.7,437185558.2243481,-9492.4,2234.8,6509.1,0
2026-04-09T14:36:39.419392+00:00,334.44,4.26,334.44,4.26,-99.7,437185506.45307916,-9494.3,2237.1,6510.4,0
2026-04-09T14:36:39.767542+00:00,334.46,4.24,334.46,4.24,-94.7,437185506.45307916,-9496.0,2239.2,6511.6,0
2026-04-09T14:36:40.091545+00:00,334.49,4.22,334.49,4.22,-95.7,437185506.45307916,-9497.9,2241.5,6512.9,0
2026-04-09T14:36:40.415366+00:00,334.52,4.19,334.52,4.19,-95.7,437185506.45307916,-9499.6,2243.6,6514.0,0
2026-04-09T14:36:40.743713+00:00,334.54,4.17,334.54,4.17,-95.7,437185506.45307916,-9501.3,2245.7,6515.2,0
2026-04-09T14:36:41.091165+00:00,334.57,4.15,334.57,4.15,-101.7,437185506.45307916,-9503.1,2248.0,6516.5,0
2026-04-09T14:36:41.415643+00:00,334.59,4.13,334.59,4.13,-97.7,437185506.45307916,-9504.8,2250.1,6517.6,0
2026-04-09T14:36:41.739433+00:00,334.62,4.10,334.62,4.1,-98.7,437185506.45307916,-9506.6,2252.2,6518.8,0
2026-04-09T14:36:42.087210+00:00,334.64,4.08,334.64,4.08,-93.7,437185506.45307916,-9508.2,2254.3,6520.0,0
2026-04-09T14:36:42.411248+00:00,334.67,4.06,334.67,4.06,-95.7,437185506.45307916,-9510.0,2256.5,6521.2,0
2026-04-09T14:36:42.739580+00:00,334.69,4.04,334.69,4.04,-96.7,437185506.45307916,-9511.7,2258.7,6522.4,0
2026-04-09T14:36:43.083193+00:00,334.72,4.02,334.72,4.02,-95.7,437185506.45307916,-9513.4,2260.8,6523.5,0
2026-04-09T14:36:43.412511+00:00,334.74,3.99,334.74,3.99,-94.7,437185506.45307916,-9515.2,2263.1,6524.7,0
2026-04-09T14:36:43.735534+00:00,334.77,3.97,334.77,3.97,-96.7,437185506.45307916,-9516.8,2265.2,6525.9,0
2026-04-09T14:36:44.059214+00:00,334.79,3.95,334.79,3.95,-93.7,437185506.45307916,-9518.5,2267.3,6527.0,0
2026-04-09T14:36:44.407320+00:00,334.82,3.93,334.82,3.93,-100.7,437185506.45307916,-9520.3,2269.6,6528.2,0
2026-04-09T14:36:44.731658+00:00,334.84,3.90,334.84,3.9,-94.7,437185506.45307916,-9521.9,2271.7,6529.3,0
2026-04-09T14:36:45.059235+00:00,334.87,3.88,334.87,3.88,-94.7,437185506.45307916,-9523.5,2273.8,6530.5,0
2026-04-09T14:36:45.409592+00:00,334.89,3.86,334.89,3.86,-95.7,437185506.45307916,-9525.3,2276.1,6531.7,0
2026-04-09T14:36:45.731569+00:00,334.92,3.84,334.92,3.84,-96.7,437185506.45307916,-9526.9,2278.2,6532.8,0
2026-04-09T14:36:46.055221+00:00,334.94,3.82,334.94,3.82,-95.7,437185506.45307916,-9528.5,2280.4,6533.9,0
2026-04-09T14:36:46.403628+00:00,334.97,3.79,334.97,3.79,-94.7,437185506.45307916,-9530.1,2282.5,6535.0,0
2026-04-09T14:36:46.727622+00:00,334.99,3.77,334.99,3.77,-96.7,437185506.45307916,-9531.9,2284.8,6536.2,0
2026-04-09T14:36:47.054550+00:00,335.01,3.75,335.01,3.75,-97.7,437185506.45307916,-9533.5,2286.9,6537.3,0
2026-04-09T14:36:47.403199+00:00,335.04,3.73,335.04,3.73,-94.7,437185506.45307916,-9535.1,2289.0,6538.4,0
2026-04-09T14:36:47.727375+00:00,335.06,3.71,335.06,3.71,-95.7,437185506.45307916,-9536.8,2291.3,6539.5,0
2026-04-09T14:36:48.056604+00:00,335.09,3.68,335.09,3.68,-96.7,437185506.45307916,-9538.4,2293.4,6540.6,0
2026-04-09T14:36:48.379383+00:00,335.11,3.66,335.11,3.66,-97.7,437185506.45307916,-9539.9,2295.5,6541.7,0
2026-04-09T14:36:48.727554+00:00,335.14,3.64,335.14,3.64,-95.7,437185506.45307916,-9541.6,2297.8,6542.9,0
2026-04-09T14:36:49.051232+00:00,335.16,3.62,335.16,3.62,-95.7,437185506.45307916,-9543.2,2300.0,6543.9,0
2026-04-09T14:36:49.396135+00:00,335.19,3.60,335.19,3.6,-97.7,437185455.82611156,-9544.9,2302.2,6545.1,0
2026-04-09T14:36:49.743516+00:00,335.21,3.57,335.21,3.57,-95.7,437185455.82611156,-9546.5,2304.5,6546.2,0
2026-04-09T14:36:50.067424+00:00,335.24,3.55,335.24,3.55,-100.7,437185455.82611156,-9548.1,2306.6,6547.3,0
2026-04-09T14:36:50.394045+00:00,335.26,3.53,335.26,3.53,-97.7,437185455.82611156,-9549.6,2308.7,6548.3,0
2026-04-09T14:36:50.744574+00:00,335.28,3.51,335.28,3.51,-95.7,437185455.82611156,-9551.2,2310.9,6549.4,0
2026-04-09T14:36:51.067211+00:00,335.31,3.49,335.31,3.49,-96.7,437185455.82611156,-9552.8,2313.1,6550.5,0
2026-04-09T14:36:51.395479+00:00,335.33,3.47,335.33,3.47,-94.7,437185455.82611156,-9554.3,2315.3,6551.6,0
2026-04-09T14:36:51.719578+00:00,335.35,3.45,335.35,3.45,-97.7,437185455.82611156,-9555.8,2317.4,6552.6,0
2026-04-09T14:36:52.063182+00:00,335.38,3.42,335.38,3.42,-94.7,437185455.82611156,-9557.4,2319.7,6553.7,0
2026-04-09T14:36:52.392825+00:00,335.40,3.40,335.4,3.4,-98.7,437185455.82611156,-9558.9,2321.8,6554.7,0
2026-04-09T14:36:52.715539+00:00,335.43,3.38,335.43,3.38,-100.7,437185455.82611156,-9560.5,2324.0,6555.8,0
2026-04-09T14:36:53.059441+00:00,335.45,3.36,335.45,3.36,-96.7,437185455.82611156,-9562.0,2326.1,6556.8,0
2026-04-09T14:36:53.387712+00:00,335.47,3.34,335.47,3.34,-96.7,437185455.82611156,-9563.5,2328.3,6557.9,0
2026-04-09T14:36:53.712638+00:00,335.50,3.32,335.5,3.32,-97.7,437185455.82611156,-9565.0,2330.5,6558.9,0
2026-04-09T14:36:54.040251+00:00,335.52,3.30,335.52,3.3,-97.7,437185455.82611156,-9566.5,2332.6,6559.9,0
2026-04-09T14:36:54.383693+00:00,335.54,3.27,335.54,3.27,-97.7,437185455.82611156,-9568.1,2334.9,6561.0,0
2026-04-09T14:36:54.707539+00:00,335.57,3.25,335.57,3.25,-95.7,437185455.82611156,-9569.6,2337.0,6562.0,0
2026-04-09T14:36:55.035192+00:00,335.59,3.23,335.59,3.23,-95.7,437185455.82611156,-9571.0,2339.1,6563.0,0
2026-04-09T14:36:55.379480+00:00,335.61,3.21,335.61,3.21,-93.7,437185455.82611156,-9572.5,2341.3,6564.0,0
2026-04-09T14:36:55.707180+00:00,335.64,3.19,335.64,3.19,-94.7,437185455.82611156,-9574.0,2343.5,6565.1,0
