t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:37:47.014103+00:00,179.73,27.64,179.73,27.64,-92.7,437382891.75157815,7391.8,927.4,-5066.6,0
2026-04-09T14:37:47.338122+00:00,179.62,27.72,179.62,27.72,-107.7,437382891.75157815,7376.8,925.5,-5056.3,0
2026-04-09T14:37:47.666585+00:00,179.53,27.79,179.53,27.79,-96.7,437382891.75157815,7363.7,923.9,-5047.3,0
2026-04-09T14:37:48.006165+00:00,179.43,27.86,179.43,27.86,-89.7,437382891.75157815,7350.3,922.3,-5038.2,0
2026-04-09T14:37:48.350136+00:00,179.32,27.94,179.32,27.94,-95.7,437382840.8828749,7335.1,920.4,-5027.7,0
2026-04-09T14:37:48.670130+00:00,179.22,28.01,179.22,28.01,-94.7,437382840.8828749,7321.6,918.8,-5018.5,0
2026-04-09T14:37:49.015862+00:00,179.13,28.08,179.13,28.08,-96.7,437382840.8828749,7307.9,917.2,-5009.1,0
2026-04-09T14:37:49.343283+00:00,179.02,28.15,179.02,28.15,-88.7,437382840.8828749,7293.4,915.5,-4999.1,0
2026-04-09T14:37:49.687513+00:00,178.92,28.23,178.92,28.23,-93.7,437382784.5496044,7278.7,913.7,-4989.1,0
2026-04-09T14:37:50.035059+00:00,178.82,28.30,178.82,28.3,-97.7,437382784.5496044,7264.7,912.1,-4979.5,0
2026-04-09T14:37:50.359195+00:00,178.71,28.37,178.71,28.37,-93.7,437382784.5496044,7249.7,910.4,-4969.2,0
2026-04-09T14:37:50.687551+00:00,178.61,28.44,178.61,28.44,-96.7,437382784.5496044,7235.7,908.8,-4959.6,0
2026-04-09T14:37:51.055048+00:00,178.50,28.52,178.5,28.52,-100.7,437382726.6455647,7220.7,907.1,-4949.3,0
2026-04-09T14:37:51.379189+00:00,178.39,28.60,178.39,28.6,-97.7,437382726.6455647,7205.3,905.3,-4938.8,0
2026-04-09T14:37:51.703736+00:00,178.29,28.67,178.29,28.67,-97.7,437382726.6455647,7191.0,903.7,-4929.0,0
2026-04-09T14:37:52.031308+00:00,178.18,28.74,178.18,28.74,-100.7,437382726.6455647,7176.7,902.1,-4919.2,0
2026-04-09T14:37:52.400408+00:00,178.07,28.82,178.07,28.82,-95.7,437382667.45926434,7160.3,900.3,-4907.9,0
2026-04-09T14:37:52.728453+00:00,177.96,28.89,177.96,28.89,-94.7,437382667.45926434,7145.8,898.7,-4898.0,0
2026-04-09T14:37:53.046973+00:00,177.86,28.96,177.86,28.96,-99.7,437382667.45926434,7131.1,897.1,-4887.9,0
2026-04-09T14:37:53.395304+00:00,177.75,29.04,177.75,29.04,-104.7,437382667.45926434,7115.4,895.5,-4877.2,0
2026-04-09T14:37:53.745865+00:00,177.63,29.12,177.63,29.12,-95.7,437382606.01761,7099.6,893.8,-4866.3,0
2026-04-09T14:37:54.067025+00:00,177.53,29.19,177.53,29.19,-97.7,437382606.01761,7084.8,892.2,-4856.2,0
2026-04-09T14:37:54.411852+00:00,177.41,29.27,177.41,29.27,-95.7,437382606.01761,7068.7,890.5,-4845.1,0
2026-04-09T14:37:54.739535+00:00,177.31,29.34,177.31,29.34,-96.7,437382606.01761,7053.8,888.9,-4834.9,0
2026-04-09T14:37:55.083137+00:00,177.19,29.42,177.19,29.42,-99.7,437382544.095108,7037.5,887.2,-4823.8,0
2026-04-09T14:37:55.431379+00:00,177.07,29.50,177.07,29.5,-95.7,437382544.095108,7021.4,885.6,-4812.7,0
2026-04-09T14:37:55.755287+00:00,176.96,29.57,176.96,29.57,-100.7,437382544.095108,7006.0,884.0,-4802.2,0
2026-04-09T14:37:56.083024+00:00,176.86,29.64,176.86,29.64,-99.7,437382544.095108,6990.7,882.5,-4791.7,0
2026-04-09T14:37:56.451286+00:00,176.74,29.72,176.74,29.72,-93.7,437382480.81982094,6974.3,880.8,-4780.4,0
2026-04-09T14:37:56.775539+00:00,176.62,29.80,176.62,29.8,-101.7,437382480.81982094,6957.5,879.1,-4768.9,0
2026-04-09T14:37:57.099207+00:00,176.51,29.87,176.51,29.87,-95.7,437382480.81982094,6941.9,877.6,-4758.2,0
2026-04-09T14:37:57.425461+00:00,176.40,29.94,176.4,29.94,-97.7,437382480.81982094,6926.2,876.0,-4747.4,0
