t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T14:46:46.802102+00:00,269.65,27.23,269.65,27.23,-97.7,437355292.64985394,-707.4,1082.1,484.9,0
2026-04-09T14:46:47.126153+00:00,269.81,27.22,269.81,27.22,-100.7,437355292.64985394,-733.1,1082.3,502.5,0
2026-04-09T14:46:47.450555+00:00,269.96,27.22,269.96,27.22,-100.7,437355292.64985394,-756.0,1082.5,518.2,0
2026-04-09T14:46:47.794137+00:00,270.11,27.21,270.11,27.21,-98.7,437355292.64985394,-778.6,1082.6,533.7,0
2026-04-09T14:46:48.139046+00:00,270.27,27.20,270.27,27.2,-95.7,437355205.3935945,-804.4,1082.8,551.4,0
2026-04-09T14:46:48.467914+00:00,270.42,27.20,270.42,27.2,-95.7,437355205.3935945,-827.5,1083.0,567.2,0
2026-04-09T14:46:48.814358+00:00,270.57,27.19,270.57,27.19,-96.7,437355205.3935945,-850.6,1083.2,583.1,0
2026-04-09T14:46:49.144177+00:00,270.73,27.18,270.73,27.18,-95.7,437355205.3935945,-874.9,1083.4,599.7,0
2026-04-09T14:46:49.482363+00:00,270.88,27.17,270.88,27.17,-94.7,437355110.09026194,-899.5,1083.6,616.6,0
2026-04-09T14:46:49.827569+00:00,271.03,27.16,271.03,27.16,-95.7,437355110.09026194,-922.4,1083.8,632.2,0
2026-04-09T14:46:50.150126+00:00,271.19,27.16,271.19,27.16,-97.7,437355110.09026194,-946.5,1084.0,648.8,0
2026-04-09T14:46:50.474853+00:00,271.33,27.15,271.33,27.15,-93.7,437355110.09026194,-969.4,1084.2,664.5,0
2026-04-09T14:46:50.838118+00:00,271.49,27.14,271.49,27.14,-97.7,437355016.3700945,-993.6,1084.5,681.1,0
2026-04-09T14:46:51.162165+00:00,271.64,27.13,271.64,27.13,-95.7,437355016.3700945,-1017.5,1084.7,697.4,0
2026-04-09T14:46:51.487266+00:00,271.79,27.12,271.79,27.12,-94.7,437355016.3700945,-1040.2,1084.9,713.0,0
2026-04-09T14:46:51.806112+00:00,271.94,27.11,271.94,27.11,-94.7,437355016.3700945,-1062.9,1085.2,728.6,0
2026-04-09T14:46:52.170205+00:00,272.10,27.10,272.1,27.1,-91.7,437354922.8451068,-1088.6,1085.4,746.2,0
2026-04-09T14:46:52.494538+00:00,272.25,27.09,272.25,27.09,-94.7,437354922.8451068,-1111.3,1085.7,761.7,0
2026-04-09T14:46:52.818116+00:00,272.39,27.08,272.39,27.08,-95.7,437354922.8451068,-1134.0,1085.9,777.3,0
2026-04-09T14:46:53.162367+00:00,272.55,27.07,272.55,27.07,-91.7,437354922.8451068,-1157.8,1086.2,793.6,0
2026-04-09T14:46:53.506218+00:00,272.70,27.06,272.7,27.06,-91.7,437354827.82305765,-1181.8,1086.5,810.1,0
2026-04-09T14:46:53.831522+00:00,272.85,27.05,272.85,27.05,-92.7,437354827.82305765,-1204.4,1086.7,825.6,0
2026-04-09T14:46:54.175279+00:00,273.00,27.04,273.0,27.04,-90.7,437354827.82305765,-1228.8,1087.0,842.3,0
2026-04-09T14:46:54.504075+00:00,273.15,27.03,273.15,27.03,-96.7,437354827.82305765,-1251.4,1087.3,857.8,0
2026-04-09T14:46:54.851731+00:00,273.30,27.02,273.3,27.02,-97.7,437354734.0964791,-1275.7,1087.6,874.4,0
2026-04-09T14:46:55.195214+00:00,273.46,27.01,273.46,27.01,-91.7,437354734.0964791,-1299.7,1087.9,890.9,0
2026-04-09T14:46:55.519690+00:00,273.61,26.99,273.61,26.99,-96.7,437354734.0964791,-1322.4,1088.2,906.5,0
2026-04-09T14:46:55.847303+00:00,273.75,26.98,273.75,26.98,-95.7,437354734.0964791,-1345.0,1088.5,921.9,0
2026-04-09T14:46:56.211530+00:00,273.90,26.97,273.9,26.97,-94.7,437354640.5887656,-1368.9,1088.8,938.4,0
2026-04-09T14:46:56.539268+00:00,274.06,26.96,274.06,26.96,-95.7,437354640.5887656,-1393.2,1089.2,955.0,0
2026-04-09T14:46:56.863528+00:00,274.21,26.95,274.21,26.95,-97.7,437354640.5887656,-1415.8,1089.5,970.5,0
2026-04-09T14:46:57.187693+00:00,274.35,26.93,274.35,26.93,-91.7,437354640.5887656,-1438.3,1089.8,985.9,0
2026-04-09T14:46:57.556150+00:00,274.51,26.92,274.51,26.92,-95.7,437354547.5921526,-1463.6,1090.2,1003.2,0
2026-04-09T14:46:57.879825+00:00,274.66,26.91,274.66,26.91,-94.7,437354547.5921526,-1486.2,1090.5,1018.7,0
2026-04-09T14:46:58.207511+00:00,274.80,26.90,274.8,26.9,-89.7,437354547.5921526,-1508.6,1090.8,1034.1,0
