t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:04:25.922202+00:00,260.38,8.47,260.38,8.47,-101.7,437509856.1647722,9856.2,1701.5,-6753.8,0
2026-04-09T15:04:26.254209+00:00,260.39,8.50,260.39,8.5,-90.7,437509856.1647722,9855.2,1699.0,-6753.2,0
2026-04-09T15:04:26.586369+00:00,260.40,8.54,260.4,8.54,-90.7,437509856.1647722,9854.3,1696.8,-6752.6,0
2026-04-09T15:04:26.934164+00:00,260.40,8.57,260.4,8.57,-101.7,437509856.1647722,9853.4,1694.5,-6751.9,0
2026-04-09T15:04:27.266123+00:00,260.41,8.60,260.41,8.6,-101.7,437509856.1647722,9852.4,1692.2,-6751.3,0
2026-04-09T15:04:27.599337+00:00,260.42,8.63,260.42,8.63,-97.7,437509856.1647722,9851.5,1689.9,-6750.7,0
2026-04-09T15:04:27.946219+00:00,260.43,8.66,260.43,8.66,-102.7,437509856.1647722,9850.6,1687.7,-6750.0,0
2026-04-09T15:04:28.278145+00:00,260.43,8.70,260.43,8.7,-99.7,437509856.1647722,9849.7,1685.3,-6749.4,0
2026-04-09T15:04:28.606888+00:00,260.44,8.73,260.44,8.73,-94.7,437509856.1647722,9848.7,1683.1,-6748.7,0
2026-04-09T15:04:28.958205+00:00,260.45,8.76,260.45,8.76,-102.7,437509856.1647722,9847.8,1680.9,-6748.1,0
2026-04-09T15:04:29.290133+00:00,260.46,8.79,260.46,8.79,-102.7,437509856.1647722,9846.8,1678.5,-6747.4,0
2026-04-09T15:04:29.618241+00:00,260.46,8.83,260.46,8.83,-101.7,437509856.1647722,9845.9,1676.3,-6746.8,0
2026-04-09T15:04:29.980566+00:00,260.47,8.86,260.47,8.86,-101.7,437509856.1647722,9845.0,1674.1,-6746.2,0
2026-04-09T15:04:30.315310+00:00,260.48,8.89,260.48,8.89,-102.7,437509856.1647722,9843.9,1671.6,-6745.5,0
