t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:11:53.498345+00:00,31.82,11.66,31.82,11.66,-98.7,437430190.0260913,8690.0,1929.6,-5955.8,1
2026-04-09T15:11:53.822116+00:00,31.86,11.69,31.86,11.69,-102.7,437430190.0260913,8685.6,1927.2,-5952.8,1
2026-04-09T15:11:54.146129+00:00,31.90,11.72,31.9,11.72,-90.7,437430190.0260913,8682.2,1925.3,-5950.4,1
2026-04-09T15:11:54.490261+00:00,31.93,11.75,31.93,11.75,-109.7,437430190.0260913,8678.7,1923.3,-5948.0,1
2026-04-09T15:11:54.814120+00:00,31.97,11.78,31.97,11.78,-107.7,437430190.0260913,8675.0,1921.3,-5945.5,1
2026-04-09T15:11:55.134125+00:00,32.00,11.81,32.0,11.81,-107.7,437430190.0260913,8671.4,1919.4,-5943.1,1
2026-04-09T15:11:55.458392+00:00,32.04,11.84,32.04,11.84,-107.7,437430190.0260913,8667.9,1917.4,-5940.6,1
2026-04-09T15:11:55.802136+00:00,32.08,11.87,32.08,11.87,-109.7,437430190.0260913,8664.1,1915.4,-5938.1,1
2026-04-09T15:11:56.126115+00:00,32.11,11.90,32.11,11.9,-103.7,437430190.0260913,8660.6,1913.5,-5935.6,1
2026-04-09T15:11:56.451688+00:00,32.15,11.93,32.15,11.93,-103.7,437430190.0260913,8657.0,1911.6,-5933.2,1
2026-04-09T15:11:56.799583+00:00,32.19,11.96,32.19,11.96,-105.7,437430190.0260913,8653.4,1909.6,-5930.7,1
2026-04-09T15:11:57.127342+00:00,32.23,11.99,32.23,11.99,-100.7,437430190.0260913,8649.6,1907.6,-5928.1,1
2026-04-09T15:11:57.456366+00:00,32.26,12.02,32.26,12.02,-102.7,437430190.0260913,8646.0,1905.6,-5925.6,1
2026-04-09T15:11:57.775989+00:00,32.30,12.05,32.3,12.05,-100.7,437430190.0260913,8642.3,1903.7,-5923.1,1
2026-04-09T15:11:58.148266+00:00,32.34,12.08,32.34,12.08,-103.7,437430140.00340617,8638.2,1901.5,-5920.3,1
2026-04-09T15:11:58.471409+00:00,32.38,12.11,32.38,12.11,-104.7,437430140.00340617,8634.5,1899.6,-5917.8,1
2026-04-09T15:11:58.800402+00:00,32.41,12.14,32.41,12.14,-104.7,437430140.00340617,8630.8,1897.7,-5915.2,1
2026-04-09T15:11:59.143296+00:00,32.45,12.18,32.45,12.18,-101.7,437430140.00340617,8626.9,1895.6,-5912.6,1
2026-04-09T15:11:59.480064+00:00,32.49,12.21,32.49,12.21,-108.7,437430140.00340617,8623.2,1893.7,-5910.0,1
2026-04-09T15:11:59.815602+00:00,32.53,12.24,32.53,12.24,-101.7,437430140.00340617,8619.2,1891.6,-5907.3,1
2026-04-09T15:12:00.163179+00:00,32.57,12.27,32.57,12.27,-101.7,437430140.00340617,8615.3,1889.6,-5904.6,1
2026-04-09T15:12:00.487657+00:00,32.61,12.30,32.61,12.3,-101.7,437430140.00340617,8611.5,1887.7,-5902.0,1
2026-04-09T15:12:00.817404+00:00,32.64,12.33,32.64,12.33,-99.7,437430140.00340617,8607.8,1885.8,-5899.5,1
2026-04-09T15:12:01.159515+00:00,32.68,12.36,32.68,12.36,-103.7,437430140.00340617,8603.8,1883.7,-5896.7,1
2026-04-09T15:12:01.487299+00:00,32.72,12.39,32.72,12.39,-104.7,437430140.00340617,8600.0,1881.8,-5894.1,1
2026-04-09T15:12:01.816598+00:00,32.76,12.42,32.76,12.42,-101.7,437430140.00340617,8596.2,1879.9,-5891.5,1
2026-04-09T15:12:02.159504+00:00,32.80,12.45,32.8,12.45,None,437430140.00340617,8592.4,1878.0,-5888.9,1
2026-04-09T15:12:02.488900+00:00,32.84,12.48,32.84,12.48,-101.7,437430140.00340617,8588.3,1875.9,-5886.1,1
2026-04-09T15:12:02.831735+00:00,32.88,12.52,32.88,12.52,-104.7,437430085.86066943,8584.2,1873.9,-5883.3,1
2026-04-09T15:12:03.179206+00:00,32.91,12.55,32.91,12.55,-101.7,437430085.86066943,8580.4,1872.0,-5880.7,1
2026-04-09T15:12:03.503675+00:00,32.95,12.58,32.95,12.58,-106.7,437430085.86066943,8576.3,1869.9,-5877.9,1
2026-04-09T15:12:03.831473+00:00,32.99,12.61,32.99,12.61,-101.7,437430085.86066943,8572.4,1868.0,-5875.2,1
2026-04-09T15:12:04.155221+00:00,33.03,12.64,33.03,12.64,-101.7,437430085.86066943,8568.5,1866.1,-5872.5,1
2026-04-09T15:12:04.503376+00:00,33.07,12.67,33.07,12.67,-103.7,437430085.86066943,8564.4,1864.0,-5869.7,1
2026-04-09T15:12:04.827621+00:00,33.11,12.70,33.11,12.7,-105.7,437430085.86066943,8560.5,1862.1,-5867.0,1
2026-04-09T15:12:05.155204+00:00,33.15,12.73,33.15,12.73,-104.7,437430085.86066943,8556.6,1860.2,-5864.3,1
2026-04-09T15:12:05.504192+00:00,33.19,12.76,33.19,12.76,-101.7,437430085.86066943,8552.6,1858.3,-5861.6,1
2026-04-09T15:12:05.827518+00:00,33.23,12.80,33.23,12.8,-98.7,437430085.86066943,8548.4,1856.3,-5858.8,1
2026-04-09T15:12:06.156270+00:00,33.27,12.83,33.27,12.83,-104.7,437430085.86066943,8544.4,1854.4,-5856.0,1
2026-04-09T15:12:06.479436+00:00,33.30,12.86,33.3,12.86,-101.7,437430085.86066943,8540.5,1852.5,-5853.3,1
2026-04-09T15:12:06.828627+00:00,33.35,12.89,33.35,12.89,-104.7,437430085.86066943,8536.2,1850.4,-5850.4,1
2026-04-09T15:12:07.150782+00:00,33.39,12.92,33.39,12.92,-105.7,437430085.86066943,8532.2,1848.5,-5847.7,1
2026-04-09T15:12:07.503558+00:00,33.43,12.95,33.43,12.95,-103.7,437430029.6461515,8527.9,1846.5,-5844.7,1
2026-04-09T15:12:07.844567+00:00,33.47,12.99,33.47,12.99,-104.7,437430029.6461515,8523.6,1844.5,-5841.8,1
2026-04-09T15:12:08.172583+00:00,33.51,13.02,33.51,13.02,-102.7,437430029.6461515,8519.6,1842.6,-5839.0,1
2026-04-09T15:12:08.495733+00:00,33.55,13.05,33.55,13.05,-105.7,437430029.6461515,8515.5,1840.7,-5836.2,1
2026-04-09T15:12:08.843547+00:00,33.59,13.08,33.59,13.08,-108.7,437430029.6461515,8511.4,1838.8,-5833.4,1
2026-04-09T15:12:09.171203+00:00,33.63,13.11,33.63,13.11,-103.7,437430029.6461515,8507.0,1836.7,-5830.4,1
2026-04-09T15:12:09.495219+00:00,33.67,13.14,33.67,13.14,-107.7,437430029.6461515,8502.9,1834.8,-5827.6,1
2026-04-09T15:12:09.843196+00:00,33.71,13.17,33.71,13.17,-103.7,437430029.6461515,8498.8,1832.9,-5824.8,1
2026-04-09T15:12:10.166982+00:00,33.75,13.21,33.75,13.21,-105.7,437430029.6461515,8494.4,1830.9,-5821.7,1
2026-04-09T15:12:10.495597+00:00,33.79,13.24,33.79,13.24,-102.7,437430029.6461515,8490.3,1829.0,-5818.9,1
2026-04-09T15:12:10.819493+00:00,33.83,13.27,33.83,13.27,-104.7,437430029.6461515,8486.1,1827.1,-5816.0,1
2026-04-09T15:12:11.166978+00:00,33.87,13.30,33.87,13.3,-101.7,437430029.6461515,8481.6,1825.1,-5813.0,1
2026-04-09T15:12:11.512228+00:00,33.92,13.33,33.92,13.33,-101.7,437429978.99081796,8477.2,1823.1,-5809.9,1
2026-04-09T15:12:11.839492+00:00,33.96,13.37,33.96,13.37,-103.7,437429978.99081796,8473.0,1821.2,-5807.1,1
2026-04-09T15:12:12.187025+00:00,34.00,13.40,34.0,13.4,-101.7,437429978.99081796,8468.5,1819.2,-5804.0,1
2026-04-09T15:12:12.514606+00:00,34.04,13.43,34.04,13.43,-102.7,437429978.99081796,8464.3,1817.3,-5801.1,1
2026-04-09T15:12:12.835759+00:00,34.08,13.46,34.08,13.46,-101.7,437429978.99081796,8460.0,1815.4,-5798.2,1
2026-04-09T15:12:13.183195+00:00,34.12,13.49,34.12,13.49,-100.7,437429978.99081796,8455.7,1813.5,-5795.3,1
2026-04-09T15:12:13.507464+00:00,34.16,13.53,34.16,13.53,-103.7,437429978.99081796,8451.2,1811.5,-5792.1,1
2026-04-09T15:12:13.835540+00:00,34.20,13.56,34.2,13.56,-102.7,437429978.99081796,8446.9,1809.6,-5789.2,1
2026-04-09T15:12:14.159507+00:00,34.24,13.59,34.24,13.59,-106.7,437429978.99081796,8442.6,1807.7,-5786.2,1
2026-04-09T15:12:14.507635+00:00,34.29,13.62,34.29,13.62,-107.7,437429978.99081796,8438.0,1805.8,-5783.1,1
2026-04-09T15:12:14.831512+00:00,34.33,13.65,34.33,13.65,-103.7,437429978.99081796,8433.6,1803.9,-5780.1,1
2026-04-09T15:12:15.158973+00:00,34.37,13.69,34.37,13.69,-97.7,437429978.99081796,8429.3,1802.0,-5777.1,1
2026-04-09T15:12:15.523351+00:00,34.41,13.72,34.41,13.72,-101.7,437429926.5030838,8424.7,1800.0,-5773.9,1
2026-04-09T15:12:15.851559+00:00,34.46,13.75,34.46,13.75,-101.7,437429926.5030838,8420.0,1798.0,-5770.7,1
2026-04-09T15:12:16.176159+00:00,34.50,13.78,34.5,13.78,-99.7,437429926.5030838,8415.5,1796.1,-5767.7,1
2026-04-09T15:12:16.504732+00:00,34.54,13.82,34.54,13.82,-100.7,437429926.5030838,8411.2,1794.2,-5764.7,1
2026-04-09T15:12:16.847507+00:00,34.59,13.85,34.59,13.85,-103.7,437429926.5030838,8406.5,1792.3,-5761.5,1
2026-04-09T15:12:17.175189+00:00,34.63,13.88,34.63,13.88,-101.7,437429926.5030838,8402.0,1790.4,-5758.4,1
