t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:12:33.900242+00:00,105.43,3.81,105.43,3.81,None,436682686.7053073,7686.7,2933.7,-5277.2,1
2026-04-09T15:12:35.201285+00:00,105.34,3.86,105.34,3.86,-97.7,436682686.7053073,7677.6,2928.7,-5271.0,35
2026-04-09T15:12:36.151530+00:00,105.22,3.93,105.22,3.93,-104.7,436682686.7053073,7664.5,2921.6,-5261.9,74
2026-04-09T15:12:37.526284+00:00,105.13,3.99,105.13,3.99,-99.7,436682686.7053073,7654.7,2916.4,-5255.2,109
2026-04-09T15:12:38.412390+00:00,105.00,4.06,105.0,4.06,-95.7,436682686.7053073,7641.3,2909.3,-5246.0,148
2026-04-09T15:12:39.915265+00:00,104.90,4.12,104.9,4.12,-95.7,436682636.0190695,7630.3,2903.5,-5238.4,187
2026-04-09T15:12:41.043321+00:00,104.79,4.18,104.79,4.18,-98.7,436682636.0190695,7618.3,2897.3,-5230.2,220
2026-04-09T15:12:42.258185+00:00,104.68,4.24,104.68,4.24,-100.7,436682636.0190695,7605.8,2890.8,-5221.6,253
2026-04-09T15:12:43.429512+00:00,104.57,4.31,104.57,4.31,-105.7,436682636.0190695,7593.6,2884.6,-5213.2,290
2026-04-09T15:12:44.126308+00:00,104.44,4.38,104.44,4.38,-97.7,436682585.1628486,7580.4,2877.9,-5204.2,328
2026-04-09T15:12:44.451285+00:00,104.41,4.39,104.41,4.39,-98.7,436682585.1628486,7576.8,2876.1,-5201.7,328
2026-04-09T15:12:44.770135+00:00,104.38,4.41,104.38,4.41,-97.7,436682585.1628486,7573.4,2874.4,-5199.4,328
2026-04-09T15:12:45.119353+00:00,104.35,4.43,104.35,4.43,-97.7,436682585.1628486,7570.0,2872.7,-5197.1,328
2026-04-09T15:12:45.438309+00:00,104.32,4.45,104.32,4.45,-97.7,436682585.1628486,7566.5,2870.9,-5194.6,328
2026-04-09T15:12:45.762124+00:00,104.29,4.46,104.29,4.46,-97.7,436682585.1628486,7563.1,2869.2,-5192.3,328
2026-04-09T15:12:46.086201+00:00,104.26,4.48,104.26,4.48,-101.7,436682585.1628486,7559.7,2867.5,-5190.0,328
2026-04-09T15:12:46.430146+00:00,104.22,4.50,104.22,4.5,-97.7,436682585.1628486,7556.1,2865.7,-5187.5,328
2026-04-09T15:12:46.754152+00:00,104.19,4.52,104.19,4.52,-101.7,436682585.1628486,7552.7,2864.1,-5185.2,328
2026-04-09T15:12:47.078180+00:00,104.16,4.53,104.16,4.53,-98.7,436682585.1628486,7549.3,2862.4,-5182.8,328
2026-04-09T15:12:47.422159+00:00,104.13,4.55,104.13,4.55,-98.7,436682585.1628486,7545.9,2860.7,-5180.5,328
2026-04-09T15:12:47.746164+00:00,104.10,4.57,104.1,4.57,-102.7,436682585.1628486,7542.2,2858.9,-5178.0,328
2026-04-09T15:12:48.070173+00:00,104.07,4.59,104.07,4.59,-100.7,436682585.1628486,7538.8,2857.3,-5175.7,328
2026-04-09T15:12:48.394166+00:00,104.04,4.60,104.04,4.6,-100.7,436682585.1628486,7535.4,2855.6,-5173.3,328
2026-04-09T15:12:48.738856+00:00,104.00,4.62,104.0,4.62,-99.7,436682585.1628486,7531.7,2853.8,-5170.8,328
2026-04-09T15:12:49.082212+00:00,103.97,4.64,103.97,4.64,-99.7,436682529.56701714,7528.1,2852.0,-5168.3,328
2026-04-09T15:12:49.406088+00:00,103.94,4.66,103.94,4.66,-102.7,436682529.56701714,7524.6,2850.3,-5165.9,328
2026-04-09T15:12:49.750097+00:00,103.91,4.68,103.91,4.68,-98.7,436682529.56701714,7520.9,2848.6,-5163.4,328
2026-04-09T15:12:50.074857+00:00,103.87,4.69,103.87,4.69,-102.7,436682529.56701714,7517.5,2846.9,-5161.0,328
2026-04-09T15:12:50.398100+00:00,103.84,4.71,103.84,4.71,-102.7,436682529.56701714,7514.0,2845.2,-5158.6,328
2026-04-09T15:12:50.742113+00:00,103.81,4.73,103.81,4.73,-100.7,436682529.56701714,7510.5,2843.6,-5156.2,328
2026-04-09T15:12:51.062119+00:00,103.78,4.75,103.78,4.75,-98.7,436682529.56701714,7506.8,2841.8,-5153.7,328
2026-04-09T15:12:51.386105+00:00,103.75,4.76,103.75,4.76,-101.7,436682529.56701714,7503.3,2840.1,-5151.3,328
2026-04-09T15:12:51.710255+00:00,103.72,4.78,103.72,4.78,-100.7,436682529.56701714,7499.8,2838.5,-5148.9,328
2026-04-09T15:12:52.054294+00:00,103.68,4.80,103.68,4.8,-100.7,436682529.56701714,7496.1,2836.7,-5146.3,328
2026-04-09T15:12:52.378107+00:00,103.65,4.82,103.65,4.82,-100.7,436682529.56701714,7492.6,2835.0,-5143.9,328
2026-04-09T15:12:52.708291+00:00,103.62,4.83,103.62,4.83,-98.7,436682529.56701714,7489.0,2833.4,-5141.5,328
2026-04-09T15:12:53.051462+00:00,103.59,4.85,103.59,4.85,-96.7,436682529.56701714,7485.5,2831.7,-5139.1,328
2026-04-09T15:12:53.379160+00:00,103.55,4.87,103.55,4.87,None,436682529.56701714,7481.7,2829.9,-5136.5,328
2026-04-09T15:12:53.723363+00:00,103.52,4.89,103.52,4.89,-98.7,436682479.4362468,7477.9,2828.1,-5133.9,328
2026-04-09T15:12:54.070920+00:00,103.49,4.91,103.49,4.91,-98.7,436682479.4362468,7474.3,2826.5,-5131.4,328
2026-04-09T15:12:54.395163+00:00,103.45,4.93,103.45,4.93,-101.7,436682479.4362468,7470.5,2824.7,-5128.8,328
