t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:26:43.750103+00:00,88.41,25.27,88.41,25.27,-101.7,437458860.5379034,3860.5,1308.2,-2645.7,0
2026-04-09T15:26:44.074126+00:00,88.29,25.30,88.29,25.3,-104.7,437458860.5379034,3841.9,1307.2,-2632.9,0
2026-04-09T15:26:44.398124+00:00,88.18,25.32,88.18,25.32,-109.7,437458860.5379034,3825.4,1306.4,-2621.6,0
2026-04-09T15:26:44.742149+00:00,88.07,25.35,88.07,25.35,-88.7,437458860.5379034,3809.0,1305.6,-2610.3,0
2026-04-09T15:26:45.086119+00:00,87.95,25.38,87.95,25.38,-105.7,437458797.34694594,3790.2,1304.6,-2597.5,0
2026-04-09T15:26:45.411238+00:00,87.84,25.40,87.84,25.4,-97.7,437458797.34694594,3773.6,1303.8,-2586.1,0
2026-04-09T15:26:45.750132+00:00,87.73,25.43,87.73,25.43,-103.7,437458797.34694594,3756.9,1302.9,-2574.6,0
2026-04-09T15:26:46.074125+00:00,87.61,25.46,87.61,25.46,-101.7,437458797.34694594,3739.0,1302.0,-2562.4,0
2026-04-09T15:26:46.418123+00:00,87.50,25.48,87.5,25.48,-107.7,437458728.58284086,3721.2,1301.2,-2550.2,0
2026-04-09T15:26:46.762118+00:00,87.39,25.51,87.39,25.51,-110.7,437458728.58284086,3704.6,1300.4,-2538.8,0
2026-04-09T15:26:47.086126+00:00,87.27,25.53,87.27,25.53,-105.7,437458728.58284086,3686.7,1299.5,-2526.6,0
2026-04-09T15:26:47.406116+00:00,87.16,25.56,87.16,25.56,-104.7,437458728.58284086,3669.8,1298.7,-2515.0,0
2026-04-09T15:26:47.775273+00:00,87.04,25.59,87.04,25.59,-107.7,437458659.2665511,3651.8,1297.8,-2502.6,0
2026-04-09T15:26:48.099005+00:00,86.93,25.61,86.93,25.61,-109.7,437458659.2665511,3633.6,1296.9,-2490.2,0
2026-04-09T15:26:48.423199+00:00,86.81,25.64,86.81,25.64,-107.7,437458659.2665511,3616.6,1296.1,-2478.5,0
2026-04-09T15:26:48.751538+00:00,86.70,25.66,86.7,25.66,-105.7,437458659.2665511,3599.6,1295.3,-2466.9,0
2026-04-09T15:26:49.119215+00:00,86.58,25.69,86.58,25.69,-103.7,437458588.69127995,3580.4,1294.4,-2453.7,0
2026-04-09T15:26:49.443549+00:00,86.46,25.72,86.46,25.72,-108.7,437458588.69127995,3563.0,1293.6,-2441.8,0
2026-04-09T15:26:49.767499+00:00,86.35,25.74,86.35,25.74,-103.7,437458588.69127995,3545.8,1292.8,-2430.0,0
2026-04-09T15:26:50.115296+00:00,86.23,25.77,86.23,25.77,-103.7,437458588.69127995,3527.6,1292.0,-2417.5,0
2026-04-09T15:26:50.459839+00:00,86.11,25.79,86.11,25.79,-106.7,437458516.5983913,3509.1,1291.2,-2404.8,0
2026-04-09T15:26:50.788717+00:00,86.00,25.82,86.0,25.82,-106.7,437458516.5983913,3491.9,1290.4,-2393.1,0
2026-04-09T15:26:51.131419+00:00,85.88,25.84,85.88,25.84,-106.7,437458516.5983913,3473.3,1289.5,-2380.3,0
2026-04-09T15:26:51.460018+00:00,85.77,25.87,85.77,25.87,-101.7,437458516.5983913,3456.1,1288.8,-2368.5,0
2026-04-09T15:26:51.803502+00:00,85.65,25.89,85.65,25.89,-107.7,437458444.9593628,3437.4,1288.0,-2355.7,0
