t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:27:16.166579+00:00,82.44,32.90,82.44,32.9,-105.7,437652405.5624107,2405.6,1081.1,-1647.8,1
2026-04-09T15:27:16.507612+00:00,82.26,32.93,82.26,32.93,-111.7,437652405.5624107,2378.8,1080.5,-1629.5,1
2026-04-09T15:27:16.846877+00:00,82.10,32.95,82.1,32.95,-101.7,437652405.5624107,2355.6,1079.9,-1613.6,1
2026-04-09T15:27:17.202175+00:00,81.95,32.98,81.95,32.98,-107.7,437652405.5624107,2332.7,1079.4,-1597.9,1
2026-04-09T15:27:17.563307+00:00,81.77,33.01,81.77,33.01,-100.7,437652316.802087,2306.8,1078.8,-1580.2,1
2026-04-09T15:27:17.898178+00:00,81.62,33.03,81.62,33.03,-93.7,437652316.802087,2283.9,1078.3,-1564.5,1
2026-04-09T15:27:18.258157+00:00,81.46,33.05,81.46,33.05,-100.7,437652316.802087,2260.5,1077.7,-1548.5,1
2026-04-09T15:27:18.594164+00:00,81.29,33.08,81.29,33.08,-99.7,437652316.802087,2236.2,1077.2,-1531.8,1
2026-04-09T15:27:18.954148+00:00,81.12,33.10,81.12,33.1,-97.7,437652221.59275603,2211.5,1076.6,-1514.9,1
2026-04-09T15:27:19.315260+00:00,80.97,33.13,80.97,33.13,-101.7,437652221.59275603,2188.4,1076.1,-1499.1,1
2026-04-09T15:27:19.650943+00:00,80.80,33.15,80.8,33.15,-99.7,437652221.59275603,2163.7,1075.6,-1482.1,1
2026-04-09T15:27:19.991301+00:00,80.64,33.17,80.64,33.17,-96.7,437652221.59275603,2140.2,1075.1,-1466.0,1
2026-04-09T15:27:20.364098+00:00,80.47,33.20,80.47,33.2,-103.7,437652125.45605385,2115.4,1074.6,-1449.1,1
2026-04-09T15:27:20.696171+00:00,80.30,33.22,80.3,33.22,-95.7,437652125.45605385,2090.9,1074.0,-1432.3,1
2026-04-09T15:27:21.048426+00:00,80.15,33.24,80.15,33.24,-92.7,437652125.45605385,2067.8,1073.6,-1416.4,1
2026-04-09T15:27:21.443731+00:00,79.97,33.27,79.97,33.27,-93.7,437652052.3412868,2041.8,1073.0,-1398.6,1
2026-04-09T15:27:21.795749+00:00,79.79,33.29,79.79,33.29,-95.7,437652052.3412868,2015.9,1072.5,-1380.9,1
2026-04-09T15:27:22.151735+00:00,79.63,33.31,79.63,33.31,-93.7,437652052.3412868,1991.4,1072.0,-1364.1,1
2026-04-09T15:27:22.544551+00:00,79.45,33.33,79.45,33.33,-95.7,437651975.70771277,1965.3,1071.5,-1346.2,1
2026-04-09T15:27:22.899322+00:00,79.27,33.36,79.27,33.36,-95.7,437651975.70771277,1939.2,1071.0,-1328.4,1
2026-04-09T15:27:23.248640+00:00,79.10,33.38,79.1,33.38,-95.7,437651975.70771277,1914.8,1070.6,-1311.6,1
2026-04-09T15:27:23.648059+00:00,78.93,33.40,78.93,33.4,-94.7,437651899.2033364,1888.6,1070.1,-1293.7,1
2026-04-09T15:27:23.999791+00:00,78.75,33.42,78.75,33.42,-95.7,437651899.2033364,1862.2,1069.6,-1275.6,1
2026-04-09T15:27:24.352175+00:00,78.58,33.44,78.58,33.44,-93.7,437651899.2033364,1837.5,1069.1,-1258.7,1
2026-04-09T15:27:24.751502+00:00,78.40,33.47,78.4,33.47,-95.7,437651821.9191414,1811.1,1068.7,-1240.6,1
2026-04-09T15:27:25.108106+00:00,78.22,33.49,78.22,33.49,-91.7,437651821.9191414,1784.7,1068.2,-1222.5,1
2026-04-09T15:27:25.460167+00:00,78.05,33.51,78.05,33.51,-95.7,437651821.9191414,1759.9,1067.8,-1205.5,1
2026-04-09T15:27:25.855606+00:00,77.87,33.53,77.87,33.53,-95.7,437651744.01925325,1733.5,1067.3,-1187.5,1
2026-04-09T15:27:26.208055+00:00,77.69,33.55,77.69,33.55,-95.7,437651744.01925325,1707.0,1066.9,-1169.3,1
2026-04-09T15:27:26.564105+00:00,77.52,33.57,77.52,33.57,-96.7,437651744.01925325,1682.1,1066.5,-1152.2,1
2026-04-09T15:27:26.959880+00:00,77.34,33.59,77.34,33.59,-96.7,437651666.1115242,1655.3,1066.1,-1133.9,1
2026-04-09T15:27:27.312437+00:00,77.16,33.61,77.16,33.61,-95.7,437651666.1115242,1628.9,1065.6,-1115.8,1
2026-04-09T15:27:27.643714+00:00,76.99,33.63,76.99,33.63,-97.7,437651666.1115242,1604.0,1065.2,-1098.7,1
2026-04-09T15:27:28.044167+00:00,76.82,33.64,76.82,33.64,-95.7,437651589.6502731,1578.8,1064.9,-1081.5,1
2026-04-09T15:27:28.372300+00:00,76.64,33.66,76.64,33.66,-95.7,437651589.6502731,1552.2,1064.5,-1063.3,1
2026-04-09T15:27:28.729416+00:00,76.48,33.68,76.48,33.68,-94.7,437651589.6502731,1528.6,1064.1,-1047.1,1
2026-04-09T15:27:29.103047+00:00,76.29,33.70,76.29,33.7,-95.7,437651512.49812686,1502.0,1063.7,-1028.9,1
2026-04-09T15:27:29.456382+00:00,76.12,33.71,76.12,33.71,-95.7,437651512.49812686,1476.6,1063.4,-1011.5,1
2026-04-09T15:27:29.787928+00:00,75.95,33.73,75.95,33.73,-94.7,437651512.49812686,1451.4,1063.0,-994.2,1
2026-04-09T15:27:30.184178+00:00,75.78,33.75,75.78,33.75,-92.7,437651437.03731036,1426.1,1062.6,-976.9,1
2026-04-09T15:27:30.540188+00:00,75.60,33.76,75.6,33.76,-95.7,437651437.03731036,1399.5,1062.3,-958.6,1
2026-04-09T15:27:30.891039+00:00,75.42,33.78,75.42,33.78,-94.7,437651437.03731036,1374.0,1062.0,-941.2,1
2026-04-09T15:27:31.288549+00:00,75.24,33.79,75.24,33.79,-97.7,437651358.16469824,1347.2,1061.6,-922.8,1
2026-04-09T15:27:31.619632+00:00,75.06,33.81,75.06,33.81,-95.7,437651358.16469824,1320.4,1061.3,-904.5,1
2026-04-09T15:27:31.976271+00:00,74.90,33.82,74.9,33.82,-97.7,437651358.16469824,1296.6,1061.0,-888.2,1
2026-04-09T15:27:32.374958+00:00,74.71,33.84,74.71,33.84,-95.7,437651280.3418831,1269.7,1060.6,-869.7,1
2026-04-09T15:27:32.725519+00:00,74.53,33.86,74.53,33.86,-95.7,437651280.3418831,1242.5,1060.3,-851.1,1
2026-04-09T15:27:33.079054+00:00,74.35,33.87,74.35,33.87,-95.7,437651280.3418831,1217.2,1060.0,-833.8,1
2026-04-09T15:27:33.476214+00:00,74.17,33.88,74.17,33.88,-95.7,437651201.0414935,1190.0,1059.7,-815.1,1
2026-04-09T15:27:33.807340+00:00,73.99,33.90,73.99,33.9,-96.7,437651201.0414935,1163.1,1059.4,-796.7,1
2026-04-09T15:27:34.159013+00:00,73.82,33.91,73.82,33.91,-93.7,437651201.0414935,1139.1,1059.1,-780.3,1
2026-04-09T15:27:34.555437+00:00,73.64,33.92,73.64,33.92,-95.7,437651123.1776915,1112.1,1058.8,-761.8,1
