t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:35:21.179469+00:00,11.49,6.52,11.49,6.52,-106.7,436499882.37534416,9882.4,2428.1,-6787.5,1
2026-04-09T15:35:22.306344+00:00,11.48,6.59,11.48,6.59,-103.7,436499882.37534416,9880.8,2422.0,-6786.4,30
2026-04-09T15:35:23.466355+00:00,11.46,6.71,11.46,6.71,-106.7,436499882.37534416,9878.0,2411.3,-6784.4,63
2026-04-09T15:35:23.830143+00:00,11.45,6.76,11.45,6.76,-104.7,436499882.37534416,9876.7,2406.8,-6783.6,74
2026-04-09T15:35:24.154159+00:00,11.44,6.79,11.44,6.79,-107.7,436499882.37534416,9876.1,2404.6,-6783.2,74
2026-04-09T15:35:24.478228+00:00,11.44,6.81,11.44,6.81,-109.7,436499882.37534416,9875.5,2402.4,-6782.8,74
2026-04-09T15:35:24.822115+00:00,11.43,6.84,11.43,6.84,-109.7,436499882.37534416,9874.9,2400.0,-6782.3,74
2026-04-09T15:35:25.146161+00:00,11.43,6.87,11.43,6.87,-110.7,436499882.37534416,9874.3,2397.9,-6781.9,74
2026-04-09T15:35:25.470280+00:00,11.42,6.89,11.42,6.89,-103.7,436499882.37534416,9873.7,2395.7,-6781.5,74
2026-04-09T15:35:25.815289+00:00,11.42,6.92,11.42,6.92,-109.7,436499882.37534416,9873.1,2393.5,-6781.1,74
2026-04-09T15:35:26.139696+00:00,11.41,6.94,11.41,6.94,-106.7,436499882.37534416,9872.4,2391.1,-6780.6,74
2026-04-09T15:35:26.458180+00:00,11.41,6.97,11.41,6.97,-106.7,436499882.37534416,9871.8,2388.9,-6780.2,74
2026-04-09T15:35:26.782120+00:00,11.41,7.00,11.41,7.0,-109.7,436499882.37534416,9871.2,2386.7,-6779.8,74
2026-04-09T15:35:27.126112+00:00,11.40,7.02,11.4,7.02,-109.7,436499882.37534416,9870.5,2384.4,-6779.3,74
2026-04-09T15:35:27.450520+00:00,11.40,7.05,11.4,7.05,-106.7,436499882.37534416,9869.9,2382.2,-6778.9,74
2026-04-09T15:35:27.802197+00:00,11.39,7.07,11.39,7.07,-106.7,436499882.37534416,9869.3,2380.0,-6778.5,74
2026-04-09T15:35:28.143176+00:00,11.39,7.10,11.39,7.1,-105.7,436499882.37534416,9868.6,2377.5,-6778.0,74
2026-04-09T15:35:28.467644+00:00,11.38,7.13,11.38,7.13,-107.7,436499882.37534416,9867.9,2375.3,-6777.6,74
2026-04-09T15:35:28.795233+00:00,11.38,7.16,11.38,7.16,-107.7,436499882.37534416,9867.3,2373.1,-6777.1,74
2026-04-09T15:35:29.143008+00:00,11.37,7.18,11.37,7.18,-105.7,436499882.37534416,9866.7,2370.9,-6776.7,74
2026-04-09T15:35:29.467363+00:00,11.37,7.21,11.37,7.21,-105.7,436499882.37534416,9866.0,2368.6,-6776.2,74
2026-04-09T15:35:29.795528+00:00,11.36,7.24,11.36,7.24,-104.7,436499882.37534416,9865.3,2366.4,-6775.7,74
2026-04-09T15:35:30.119011+00:00,11.36,7.26,11.36,7.26,-111.7,436499882.37534416,9864.7,2364.1,-6775.3,74
2026-04-09T15:35:30.467674+00:00,11.35,7.29,11.35,7.29,-102.7,436499882.37534416,9864.0,2361.8,-6774.8,74
2026-04-09T15:35:30.791493+00:00,11.35,7.32,11.35,7.32,-105.7,436499882.37534416,9863.3,2359.6,-6774.4,74
2026-04-09T15:35:31.118991+00:00,11.34,7.34,11.34,7.34,-103.7,436499882.37534416,9862.6,2357.4,-6773.9,74
2026-04-09T15:35:31.463750+00:00,11.34,7.37,11.34,7.37,-106.7,436499882.37534416,9861.9,2355.0,-6773.4,74
2026-04-09T15:35:31.791510+00:00,11.33,7.40,11.33,7.4,-101.7,436499882.37534416,9861.3,2352.8,-6773.0,74
2026-04-09T15:35:32.115015+00:00,11.32,7.42,11.32,7.42,-110.7,436499882.37534416,9860.6,2350.6,-6772.5,74
2026-04-09T15:35:32.463398+00:00,11.32,7.45,11.32,7.45,-106.7,436499882.37534416,9859.9,2348.4,-6772.0,74
2026-04-09T15:35:32.787690+00:00,11.31,7.48,11.31,7.48,-106.7,436499882.37534416,9859.2,2346.1,-6771.5,74
2026-04-09T15:35:33.114800+00:00,11.31,7.50,11.31,7.5,-107.7,436499882.37534416,9858.5,2343.9,-6771.1,74
2026-04-09T15:35:33.439531+00:00,11.30,7.53,11.3,7.53,-103.7,436499882.37534416,9857.8,2341.7,-6770.6,74
2026-04-09T15:35:33.788491+00:00,11.30,7.56,11.3,7.56,-104.7,436499882.37534416,9857.1,2339.3,-6770.1,74
2026-04-09T15:35:34.114170+00:00,11.29,7.59,11.29,7.59,-109.7,436499882.37534416,9856.4,2337.1,-6769.6,74
2026-04-09T15:35:34.442165+00:00,11.29,7.61,11.29,7.61,-109.7,436499882.37534416,9855.7,2334.9,-6769.1,74
2026-04-09T15:35:34.786115+00:00,11.28,7.64,11.28,7.64,-108.7,436499882.37534416,9855.0,2332.5,-6768.6,74
2026-04-09T15:35:35.110118+00:00,11.28,7.67,11.28,7.67,-107.7,436499882.37534416,9854.3,2330.4,-6768.2,74
2026-04-09T15:35:35.430102+00:00,11.27,7.69,11.27,7.69,-109.7,436499882.37534416,9853.6,2328.2,-6767.7,74
2026-04-09T15:35:35.774106+00:00,11.27,7.72,11.27,7.72,-109.7,436499882.37534416,9852.8,2326.0,-6767.2,74
2026-04-09T15:35:36.098113+00:00,11.26,7.75,11.26,7.75,-109.7,436499882.37534416,9852.1,2323.6,-6766.7,74
2026-04-09T15:35:36.422108+00:00,11.26,7.77,11.26,7.77,-107.7,436499882.37534416,9851.4,2321.4,-6766.2,74
2026-04-09T15:35:36.746142+00:00,11.25,7.80,11.25,7.8,-110.7,436499882.37534416,9850.7,2319.3,-6765.7,74
2026-04-09T15:35:37.090143+00:00,11.25,7.83,11.25,7.83,-109.7,436499882.37534416,9849.9,2317.0,-6765.2,74
2026-04-09T15:35:37.410106+00:00,11.24,7.86,11.24,7.86,-108.7,436499882.37534416,9849.2,2314.8,-6764.7,74
2026-04-09T15:35:37.734101+00:00,11.24,7.88,11.24,7.88,-107.7,436499882.37534416,9848.5,2312.6,-6764.2,74
2026-04-09T15:35:38.078187+00:00,11.23,7.91,11.23,7.91,-111.7,436499882.37534416,9847.7,2310.4,-6763.7,74
2026-04-09T15:35:38.402109+00:00,11.23,7.94,11.23,7.94,-109.7,436499882.37534416,9847.0,2308.1,-6763.2,74
2026-04-09T15:35:38.726120+00:00,11.22,7.96,11.22,7.96,-109.7,436499882.37534416,9846.2,2305.9,-6762.7,74
2026-04-09T15:35:39.052692+00:00,11.22,7.99,11.22,7.99,-109.7,436499882.37534416,9845.5,2303.7,-6762.1,74
2026-04-09T15:35:39.395205+00:00,11.21,8.02,11.21,8.02,-108.7,436499882.37534416,9844.7,2301.4,-6761.6,74
2026-04-09T15:35:39.724296+00:00,11.20,8.05,11.2,8.05,-107.7,436499882.37534416,9844.0,2299.2,-6761.1,74
2026-04-09T15:35:40.047659+00:00,11.20,8.07,11.2,8.07,-103.7,436499882.37534416,9843.2,2297.0,-6760.6,74
2026-04-09T15:35:40.400564+00:00,11.19,8.10,11.19,8.1,-107.7,436499882.37534416,9842.5,2294.7,-6760.1,74
2026-04-09T15:35:40.723196+00:00,11.19,8.13,11.19,8.13,-109.7,436499882.37534416,9841.7,2292.4,-6759.5,74
2026-04-09T15:35:41.047204+00:00,11.18,8.16,11.18,8.16,-104.7,436499882.37534416,9840.9,2290.2,-6759.0,74
2026-04-09T15:35:41.375512+00:00,11.18,8.19,11.18,8.19,-105.7,436499882.37534416,9840.1,2288.0,-6758.4,74
2026-04-09T15:35:41.723631+00:00,11.17,8.22,11.17,8.22,-109.7,436499882.37534416,9839.3,2285.6,-6757.9,74
2026-04-09T15:35:42.048408+00:00,11.17,8.24,11.17,8.24,-106.7,436499882.37534416,9838.5,2283.4,-6757.3,74
2026-04-09T15:35:42.375545+00:00,11.16,8.27,11.16,8.27,-106.7,436499882.37534416,9837.7,2281.2,-6756.8,74
2026-04-09T15:35:42.724570+00:00,11.16,8.30,11.16,8.3,-105.7,436499882.37534416,9837.0,2279.0,-6756.3,74
2026-04-09T15:35:43.050632+00:00,11.15,8.33,11.15,8.33,-105.7,436499882.37534416,9836.1,2276.7,-6755.7,74
2026-04-09T15:35:43.376575+00:00,11.14,8.35,11.14,8.35,-104.7,436499882.37534416,9835.3,2274.5,-6755.2,74
2026-04-09T15:35:43.699505+00:00,11.14,8.38,11.14,8.38,-108.7,436499882.37534416,9834.6,2272.3,-6754.6,74
