t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:38:46.853251+00:00,245.43,10.87,245.43,10.87,-101.7,435974172.9832324,4173.0,1591.8,-2869.5,1
2026-04-09T15:38:47.806607+00:00,245.67,10.91,245.67,10.91,-95.7,435974172.9832324,4135.6,1589.2,-2843.8,41
2026-04-09T15:38:49.018934+00:00,245.98,10.96,245.98,10.96,-94.7,435974107.323046,4086.6,1585.9,-2810.1,88
2026-04-09T15:38:50.212641+00:00,246.27,11.01,246.27,11.01,-99.7,435974107.323046,4041.0,1582.8,-2778.8,123
2026-04-09T15:38:51.273248+00:00,246.60,11.07,246.6,11.07,-101.7,435974007.9480094,3987.8,1579.2,-2742.2,167
2026-04-09T15:38:52.289571+00:00,246.86,11.11,246.86,11.11,None,435974007.9480094,3946.2,1576.5,-2713.6,203
2026-04-09T15:38:52.878186+00:00,247.10,11.15,247.1,11.15,-105.7,435973921.13282937,3909.1,1574.1,-2688.1,238
2026-04-09T15:38:53.222193+00:00,247.21,11.17,247.21,11.17,-107.7,435973921.13282937,3890.3,1572.9,-2675.2,243
2026-04-09T15:38:53.566193+00:00,247.30,11.19,247.3,11.19,-103.7,435973921.13282937,3876.7,1572.1,-2665.8,243
2026-04-09T15:38:53.910180+00:00,247.40,11.20,247.4,11.2,-108.7,435973867.3007643,3861.3,1571.1,-2655.2,243
2026-04-09T15:38:54.234234+00:00,247.48,11.22,247.48,11.22,-107.7,435973867.3007643,3847.5,1570.2,-2645.7,243
2026-04-09T15:38:54.578236+00:00,247.57,11.23,247.57,11.23,-101.7,435973867.3007643,3833.8,1569.4,-2636.3,243
2026-04-09T15:38:54.902152+00:00,247.66,11.24,247.66,11.24,-104.7,435973867.3007643,3819.2,1568.5,-2626.2,243
2026-04-09T15:38:55.246219+00:00,247.75,11.26,247.75,11.26,-103.7,435973810.5857833,3804.5,1567.6,-2616.2,243
2026-04-09T15:38:55.590159+00:00,247.84,11.27,247.84,11.27,-106.7,435973810.5857833,3790.6,1566.7,-2606.6,243
2026-04-09T15:38:55.914197+00:00,247.93,11.29,247.93,11.29,-105.7,435973810.5857833,3776.0,1565.8,-2596.5,243
2026-04-09T15:38:56.243208+00:00,248.02,11.30,248.02,11.3,-105.7,435973810.5857833,3762.1,1565.0,-2587.0,243
2026-04-09T15:38:56.606274+00:00,248.11,11.32,248.11,11.32,-103.7,435973753.2640408,3747.4,1564.1,-2576.9,243
2026-04-09T15:38:56.930177+00:00,248.20,11.33,248.2,11.33,-106.7,435973753.2640408,3732.5,1563.2,-2566.6,243
2026-04-09T15:38:57.253097+00:00,248.29,11.35,248.29,11.35,-105.7,435973753.2640408,3718.7,1562.4,-2557.1,243
2026-04-09T15:38:57.578198+00:00,248.37,11.36,248.37,11.36,-103.7,435973753.2640408,3704.7,1561.6,-2547.5,243
