t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:39:07.454176+00:00,242.26,10.79,242.26,10.79,-97.7,435744603.05273986,4603.1,1571.6,-3166.9,1
2026-04-09T15:39:07.778116+00:00,242.36,10.81,242.36,10.81,-95.7,435744603.05273986,4587.5,1570.3,-3156.2,1
2026-04-09T15:39:08.102137+00:00,242.44,10.83,242.44,10.83,-103.7,435744603.05273986,4574.7,1569.3,-3147.5,1
2026-04-09T15:39:08.442141+00:00,242.53,10.84,242.53,10.84,-102.7,435744603.05273986,4561.8,1568.3,-3138.6,1
2026-04-09T15:39:08.786106+00:00,242.62,10.86,242.62,10.86,-105.7,435744552.90652996,4547.2,1567.2,-3128.5,1
2026-04-09T15:39:09.110154+00:00,242.70,10.88,242.7,10.88,-107.7,435744552.90652996,4534.2,1566.2,-3119.6,1
2026-04-09T15:39:09.454194+00:00,242.79,10.90,242.79,10.9,-103.7,435744552.90652996,4521.2,1565.2,-3110.6,1
2026-04-09T15:39:09.778102+00:00,242.88,10.91,242.88,10.91,-100.7,435744552.90652996,4507.3,1564.1,-3101.1,1
2026-04-09T15:39:10.122167+00:00,242.96,10.93,242.96,10.93,-101.7,435744499.21215886,4493.6,1563.0,-3091.6,1
2026-04-09T15:39:10.466314+00:00,243.05,10.95,243.05,10.95,-107.7,435744499.21215886,4480.6,1562.0,-3082.7,1
2026-04-09T15:39:10.786106+00:00,243.14,10.96,243.14,10.96,-105.7,435744499.21215886,4466.6,1561.0,-3073.1,1
2026-04-09T15:39:11.110122+00:00,243.22,10.98,243.22,10.98,-102.7,435744499.21215886,4453.4,1560.0,-3064.0,1
2026-04-09T15:39:11.474282+00:00,243.31,11.00,243.31,11.0,-107.7,435744445.24171317,4439.4,1558.9,-3054.4,1
2026-04-09T15:39:11.799501+00:00,243.40,11.01,243.4,11.01,-107.7,435744445.24171317,4425.4,1557.9,-3044.7,1
2026-04-09T15:39:12.128610+00:00,243.48,11.03,243.48,11.03,-107.7,435744445.24171317,4412.2,1556.9,-3035.6,1
2026-04-09T15:39:12.451534+00:00,243.57,11.05,243.57,11.05,-107.7,435744445.24171317,4399.0,1555.9,-3026.5,1
2026-04-09T15:39:12.819547+00:00,243.67,11.06,243.67,11.06,-106.7,435744390.4483666,4383.8,1554.8,-3016.1,1
2026-04-09T15:39:13.143551+00:00,243.75,11.08,243.75,11.08,-105.7,435744390.4483666,4370.4,1553.8,-3006.9,1
2026-04-09T15:39:13.471353+00:00,243.84,11.10,243.84,11.1,-107.7,435744390.4483666,4357.1,1552.8,-2997.7,1
2026-04-09T15:39:13.820631+00:00,243.93,11.11,243.93,11.11,-107.7,435744390.4483666,4342.7,1551.8,-2987.8,1
2026-04-09T15:39:14.167102+00:00,244.02,11.13,244.02,11.13,-103.7,435744334.07912403,4328.5,1550.8,-2978.0,1
2026-04-09T15:39:14.491602+00:00,244.10,11.15,244.1,11.15,-103.7,435744334.07912403,4315.0,1549.8,-2968.7,1
2026-04-09T15:39:14.836257+00:00,244.20,11.16,244.2,11.16,-103.7,435744334.07912403,4300.6,1548.8,-2958.8,1
2026-04-09T15:39:15.159528+00:00,244.28,11.18,244.28,11.18,-107.7,435744334.07912403,4287.0,1547.8,-2949.5,1
2026-04-09T15:39:15.503531+00:00,244.37,11.20,244.37,11.2,-104.7,435744278.51220095,4272.6,1546.8,-2939.6,1
2026-04-09T15:39:15.851207+00:00,244.46,11.21,244.46,11.21,-107.7,435744278.51220095,4258.3,1545.8,-2929.7,1
2026-04-09T15:39:16.175337+00:00,244.55,11.23,244.55,11.23,-103.7,435744278.51220095,4244.6,1544.8,-2920.3,1
2026-04-09T15:39:16.503445+00:00,244.64,11.24,244.64,11.24,-107.7,435744278.51220095,4231.0,1543.9,-2911.0,1
2026-04-09T15:39:16.872253+00:00,244.73,11.26,244.73,11.26,-105.7,435744222.30264163,4216.6,1542.9,-2901.0,1
2026-04-09T15:39:17.195606+00:00,244.82,11.28,244.82,11.28,-103.7,435744222.30264163,4202.0,1541.9,-2891.0,1
2026-04-09T15:39:17.523270+00:00,244.91,11.29,244.91,11.29,-105.7,435744222.30264163,4188.1,1540.9,-2881.5,1
2026-04-09T15:39:17.847210+00:00,244.99,11.31,244.99,11.31,-106.7,435744222.30264163,4174.5,1540.0,-2872.1,1
2026-04-09T15:39:18.215729+00:00,245.09,11.33,245.09,11.33,-105.7,435744165.6598084,4158.8,1538.9,-2861.3,1
2026-04-09T15:39:18.539684+00:00,245.18,11.34,245.18,11.34,-108.7,435744165.6598084,4145.0,1538.0,-2851.8,1
2026-04-09T15:39:18.867021+00:00,245.27,11.36,245.27,11.36,-104.7,435744165.6598084,4131.2,1537.1,-2842.3,1
