t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:44:36.314172+00:00,128.14,14.86,128.14,14.86,-82.7,437433703.971254,8704.0,1370.1,-5965.3,0
2026-04-09T15:44:36.638401+00:00,128.08,14.90,128.08,14.9,-83.7,437433703.971254,8696.6,1368.0,-5960.3,0
2026-04-09T15:44:36.958125+00:00,128.02,14.94,128.02,14.94,-88.7,437433703.971254,8690.0,1366.0,-5955.8,0
2026-04-09T15:44:37.302132+00:00,127.97,14.98,127.97,14.98,-90.7,437433703.971254,8683.4,1364.1,-5951.2,0
2026-04-09T15:44:37.626256+00:00,127.91,15.03,127.91,15.03,-85.7,437433703.971254,8676.3,1362.0,-5946.4,0
2026-04-09T15:44:37.950167+00:00,127.85,15.07,127.85,15.07,-79.7,437433703.971254,8669.6,1360.1,-5941.8,0
2026-04-09T15:44:38.274183+00:00,127.80,15.11,127.8,15.11,-84.7,437433703.971254,8663.0,1358.2,-5937.3,0
2026-04-09T15:44:38.618211+00:00,127.74,15.15,127.74,15.15,-89.7,437433703.971254,8655.8,1356.2,-5932.3,0
2026-04-09T15:44:38.958120+00:00,127.68,15.19,127.68,15.19,-83.7,437433651.54437035,8648.6,1354.1,-5927.4,0
2026-04-09T15:44:39.282123+00:00,127.62,15.23,127.62,15.23,-87.7,437433651.54437035,8641.8,1352.2,-5922.7,0
2026-04-09T15:44:39.626300+00:00,127.56,15.27,127.56,15.27,-83.7,437433651.54437035,8634.6,1350.2,-5917.8,0
2026-04-09T15:44:39.951208+00:00,127.51,15.31,127.51,15.31,-84.7,437433651.54437035,8627.7,1348.3,-5913.1,0
2026-04-09T15:44:40.275055+00:00,127.45,15.35,127.45,15.35,-89.7,437433651.54437035,8620.8,1346.3,-5908.3,0
2026-04-09T15:44:40.623905+00:00,127.39,15.39,127.39,15.39,-83.7,437433651.54437035,8613.9,1344.4,-5903.6,0
2026-04-09T15:44:40.947519+00:00,127.33,15.44,127.33,15.44,-85.7,437433651.54437035,8606.4,1342.4,-5898.5,0
2026-04-09T15:44:41.290564+00:00,127.28,15.48,127.28,15.48,-83.7,437433651.54437035,8599.4,1340.5,-5893.7,0
2026-04-09T15:44:41.664828+00:00,127.21,15.52,127.21,15.52,-85.7,437433594.59486914,8591.5,1338.3,-5888.2,0
2026-04-09T15:44:41.988796+00:00,127.15,15.57,127.15,15.57,-91.7,437433594.59486914,8583.9,1336.3,-5883.0,0
2026-04-09T15:44:42.314819+00:00,127.09,15.61,127.09,15.61,-87.7,437433594.59486914,8576.8,1334.4,-5878.1,0
2026-04-09T15:44:42.639432+00:00,127.03,15.65,127.03,15.65,-85.7,437433594.59486914,8569.6,1332.4,-5873.3,0
2026-04-09T15:44:42.988636+00:00,126.97,15.69,126.97,15.69,-86.7,437433594.59486914,8561.9,1330.4,-5868.0,0
2026-04-09T15:44:43.311535+00:00,126.91,15.73,126.91,15.73,-83.7,437433594.59486914,8554.8,1328.5,-5863.1,0
2026-04-09T15:44:43.635232+00:00,126.85,15.77,126.85,15.77,-89.7,437433594.59486914,8547.4,1326.6,-5858.1,0
