t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:47:09.290863+00:00,334.30,79.26,334.3,79.26,-89.7,435223196.57643265,-1803.4,830.2,1242.2,0
2026-04-09T15:47:09.616211+00:00,334.46,79.07,334.46,79.07,-89.7,435223196.57643265,-1834.8,830.7,1263.8,0
2026-04-09T15:47:09.943583+00:00,334.60,78.91,334.6,78.91,-105.7,435223196.57643265,-1862.3,831.1,1282.8,0
2026-04-09T15:47:10.287226+00:00,334.73,78.74,334.73,78.74,-100.7,435223196.57643265,-1890.2,831.5,1302.0,0
2026-04-09T15:47:10.636163+00:00,334.88,78.56,334.88,78.56,-97.7,435223090.8696842,-1921.1,832.0,1323.3,0
2026-04-09T15:47:10.959538+00:00,335.01,78.39,335.01,78.39,-99.7,435223090.8696842,-1948.8,832.5,1342.4,0
2026-04-09T15:47:11.327022+00:00,335.14,78.22,335.14,78.22,-101.7,435223033.92182046,-1978.0,832.9,1362.5,0
2026-04-09T15:47:11.651731+00:00,335.26,78.04,335.26,78.04,-94.7,435223033.92182046,-2007.3,833.4,1382.7,0
2026-04-09T15:47:11.999561+00:00,335.38,77.87,335.38,77.87,-94.7,435222975.48994905,-2036.4,833.9,1402.7,0
2026-04-09T15:47:12.343227+00:00,335.50,77.71,335.5,77.71,-94.7,435222975.48994905,-2063.9,834.3,1421.7,0
2026-04-09T15:47:12.691432+00:00,335.62,77.52,335.62,77.52,-101.7,435222917.32248414,-2094.6,834.9,1442.8,0
2026-04-09T15:47:13.015204+00:00,335.73,77.36,335.73,77.36,-97.7,435222917.32248414,-2122.0,835.3,1461.7,0
2026-04-09T15:47:13.383193+00:00,335.84,77.19,335.84,77.19,-102.7,435222860.9922185,-2150.8,835.8,1481.6,0
2026-04-09T15:47:13.707865+00:00,335.94,77.01,335.94,77.01,-95.7,435222860.9922185,-2179.8,836.4,1501.5,0
2026-04-09T15:47:14.055248+00:00,336.05,76.84,336.05,76.84,-101.7,435222803.13683105,-2208.6,836.9,1521.3,0
2026-04-09T15:47:14.399006+00:00,336.14,76.68,336.14,76.68,-96.7,435222803.13683105,-2235.5,837.4,1539.8,0
2026-04-09T15:47:14.747326+00:00,336.25,76.49,336.25,76.49,-103.7,435222745.6356986,-2266.1,838.0,1561.0,0
2026-04-09T15:47:15.071226+00:00,336.34,76.33,336.34,76.33,-97.7,435222745.6356986,-2293.2,838.5,1579.6,0
2026-04-09T15:47:15.439246+00:00,336.43,76.16,336.43,76.16,-105.7,435222689.9134615,-2321.8,839.0,1599.3,0
2026-04-09T15:47:15.763265+00:00,336.52,75.98,336.52,75.98,-98.7,435222689.9134615,-2350.4,839.6,1619.0,0
2026-04-09T15:47:16.111671+00:00,336.61,75.81,336.61,75.81,-98.7,435222632.77633095,-2378.9,840.1,1638.6,0
2026-04-09T15:47:16.468972+00:00,336.69,75.65,336.69,75.65,-101.7,435222632.77633095,-2405.8,840.7,1657.1,0
2026-04-09T15:47:16.822164+00:00,336.79,75.46,336.79,75.46,-94.7,435222574.7467401,-2437.4,841.3,1678.9,0
2026-04-09T15:47:17.145149+00:00,336.86,75.30,336.86,75.3,-94.7,435222574.7467401,-2463.8,841.9,1697.1,0
