t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:49:44.534121+00:00,184.28,55.51,184.28,55.51,-91.7,433003637.7503602,3637.8,2211.2,-2518.6,0
2026-04-09T15:49:44.858158+00:00,184.22,55.56,184.22,55.56,-91.7,433003637.7503602,3630.9,2210.2,-2513.9,0
2026-04-09T15:49:45.182352+00:00,184.17,55.60,184.17,55.6,-111.7,433003637.7503602,3624.9,2209.4,-2509.7,0
2026-04-09T15:49:45.526129+00:00,184.13,55.65,184.13,55.65,-105.7,433003637.7503602,3618.8,2208.6,-2505.5,0
2026-04-09T15:49:45.850210+00:00,184.08,55.69,184.08,55.69,-106.7,433003637.7503602,3612.4,2207.8,-2501.1,0
2026-04-09T15:49:46.174244+00:00,184.03,55.74,184.03,55.74,-106.7,433003637.7503602,3606.4,2207.0,-2496.9,0
2026-04-09T15:49:46.494113+00:00,183.98,55.78,183.98,55.78,-104.7,433003637.7503602,3600.3,2206.1,-2492.7,0
2026-04-09T15:49:46.838125+00:00,183.93,55.83,183.93,55.83,-107.7,433003637.7503602,3593.8,2205.3,-2488.2,0
2026-04-09T15:49:47.162290+00:00,183.88,55.88,183.88,55.88,-107.7,433003637.7503602,3587.7,2204.5,-2484.0,0
2026-04-09T15:49:47.486127+00:00,183.83,55.92,183.83,55.92,-112.7,433003637.7503602,3581.7,2203.7,-2479.8,0
2026-04-09T15:49:47.850157+00:00,183.78,55.97,183.78,55.97,-109.7,433003577.76366156,3575.1,2202.8,-2475.3,0
2026-04-09T15:49:48.170508+00:00,183.73,56.02,183.73,56.02,-107.7,433003577.76366156,3568.7,2202.0,-2470.8,0
2026-04-09T15:49:48.494132+00:00,183.68,56.06,183.68,56.06,-111.7,433003577.76366156,3562.5,2201.2,-2466.5,0
2026-04-09T15:49:48.818126+00:00,183.63,56.11,183.63,56.11,-109.7,433003577.76366156,3556.4,2200.4,-2462.3,0
2026-04-09T15:49:49.162187+00:00,183.57,56.15,183.57,56.15,-98.7,433003577.76366156,3549.8,2199.5,-2457.8,0
2026-04-09T15:49:49.488722+00:00,183.53,56.20,183.53,56.2,-112.7,433003577.76366156,3543.8,2198.8,-2453.6,0
2026-04-09T15:49:49.810147+00:00,183.47,56.24,183.47,56.24,-107.7,433003577.76366156,3537.5,2198.0,-2449.3,0
2026-04-09T15:49:50.155741+00:00,183.43,56.29,183.43,56.29,-112.7,433003577.76366156,3531.5,2197.2,-2445.0,0
2026-04-09T15:49:50.503671+00:00,183.37,56.34,183.37,56.34,-112.7,433003527.10271066,3524.4,2196.3,-2440.2,0
2026-04-09T15:49:50.827275+00:00,183.32,56.38,183.32,56.38,-110.7,433003527.10271066,3518.2,2195.5,-2435.8,0
2026-04-09T15:49:51.176489+00:00,183.27,56.43,183.27,56.43,-113.7,433003527.10271066,3512.0,2194.7,-2431.6,0
