t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:50:13.866125+00:00,328.77,48.15,328.77,48.15,-94.7,433004138.1541055,4138.2,895.9,-2865.1,0
2026-04-09T15:50:14.190142+00:00,328.56,48.24,328.56,48.24,-94.7,433004138.1541055,4112.3,894.9,-2847.2,0
2026-04-09T15:50:14.514123+00:00,328.37,48.32,328.37,48.32,-111.7,433004138.1541055,4089.2,894.0,-2831.2,0
2026-04-09T15:50:14.858128+00:00,328.19,48.39,328.19,48.39,-103.7,433004138.1541055,4066.4,893.1,-2815.4,0
2026-04-09T15:50:15.204519+00:00,327.98,48.48,327.98,48.48,-109.7,433004050.1566649,4040.2,892.1,-2797.3,0
2026-04-09T15:50:15.527560+00:00,327.79,48.56,327.79,48.56,-101.7,433004050.1566649,4017.0,891.2,-2781.2,0
2026-04-09T15:50:15.875243+00:00,327.60,48.64,327.6,48.64,-103.7,433004050.1566649,3993.3,890.2,-2764.8,0
2026-04-09T15:50:16.199573+00:00,327.40,48.72,327.4,48.72,-100.7,433004050.1566649,3968.4,889.3,-2747.6,0
2026-04-09T15:50:16.547197+00:00,327.19,48.80,327.19,48.8,-97.7,433003953.2686102,3943.0,888.3,-2730.0,0
2026-04-09T15:50:16.891232+00:00,327.00,48.88,327.0,48.88,-102.7,433003953.2686102,3919.2,887.5,-2713.5,0
2026-04-09T15:50:17.239369+00:00,326.78,48.96,326.78,48.96,-99.7,433003902.85096717,3892.5,886.5,-2695.0,0
2026-04-09T15:50:17.563660+00:00,326.58,49.04,326.58,49.04,-101.7,433003902.85096717,3868.8,885.6,-2678.6,0
2026-04-09T15:50:17.911285+00:00,326.38,49.12,326.38,49.12,-108.7,433003902.85096717,3844.7,884.7,-2661.9,0
2026-04-09T15:50:18.235543+00:00,326.17,49.20,326.17,49.2,-103.7,433003902.85096717,3819.0,883.8,-2644.1,0
2026-04-09T15:50:18.579518+00:00,325.96,49.28,325.96,49.28,-106.7,433003803.922299,3793.5,882.9,-2626.5,0
2026-04-09T15:50:18.927233+00:00,325.76,49.35,325.76,49.35,-109.7,433003803.922299,3769.5,882.0,-2609.9,0
2026-04-09T15:50:19.275159+00:00,325.54,49.44,325.54,49.44,-101.7,433003752.55469716,3742.0,881.1,-2590.8,0
2026-04-09T15:50:19.599249+00:00,325.33,49.51,325.33,49.51,-104.7,433003752.55469716,3717.6,880.2,-2573.9,0
2026-04-09T15:50:19.967552+00:00,325.12,49.59,325.12,49.59,-107.7,433003702.34157395,3691.7,879.4,-2556.0,0
2026-04-09T15:50:20.291263+00:00,324.90,49.67,324.9,49.67,-106.7,433003702.34157395,3665.7,878.5,-2538.0,0
2026-04-09T15:50:20.637434+00:00,324.68,49.75,324.68,49.75,-103.7,433003650.3191562,3639.7,877.6,-2520.0,0
2026-04-09T15:50:20.983202+00:00,324.48,49.82,324.48,49.82,-104.7,433003650.3191562,3615.2,876.8,-2503.1,0
2026-04-09T15:50:21.328439+00:00,324.24,49.91,324.24,49.91,-101.7,433003597.9959535,3587.2,875.9,-2483.7,0
2026-04-09T15:50:21.655721+00:00,324.03,49.98,324.03,49.98,-102.7,433003597.9959535,3562.7,875.1,-2466.7,0
2026-04-09T15:50:22.024393+00:00,323.81,50.06,323.81,50.06,-101.7,433003546.8356924,3536.1,874.2,-2448.2,0
2026-04-09T15:50:22.347524+00:00,323.59,50.13,323.59,50.13,-107.7,433003546.8356924,3509.9,873.4,-2430.1,0
2026-04-09T15:50:22.691822+00:00,323.36,50.21,323.36,50.21,-104.7,433003493.9042197,3483.1,872.5,-2411.5,0
2026-04-09T15:50:23.039641+00:00,323.15,50.28,323.15,50.28,-105.7,433003493.9042197,3458.2,871.8,-2394.3,0
