t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T15:55:06.475121+00:00,123.79,0.01,123.79,0.01,-87.7,436709312.32386464,9312.3,2459.7,-6392.9,0
2026-04-09T15:55:06.799289+00:00,123.75,0.02,123.75,0.02,-89.7,436709312.32386464,9309.7,2457.3,-6391.1,0
2026-04-09T15:55:07.127797+00:00,123.73,0.04,123.73,0.04,-89.7,436709312.32386464,9307.4,2455.2,-6389.5,0
2026-04-09T15:55:07.471563+00:00,123.70,0.05,123.7,0.05,-91.7,436709312.32386464,9305.0,2453.1,-6387.9,0
2026-04-09T15:55:07.798092+00:00,123.67,0.07,123.67,0.07,-88.7,436709312.32386464,9302.5,2450.9,-6386.1,0
2026-04-09T15:55:08.123516+00:00,123.64,0.08,123.64,0.08,-89.7,436709312.32386464,9300.2,2448.9,-6384.5,0
2026-04-09T15:55:08.451618+00:00,123.61,0.10,123.61,0.1,-87.7,436709312.32386464,9297.8,2446.8,-6382.9,0
2026-04-09T15:55:08.795555+00:00,123.58,0.12,123.58,0.12,-92.7,436709312.32386464,9295.3,2444.6,-6381.2,0
2026-04-09T15:55:09.123586+00:00,123.56,0.13,123.56,0.13,-90.7,436709312.32386464,9292.9,2442.5,-6379.5,0
2026-04-09T15:55:09.451525+00:00,123.53,0.15,123.53,0.15,-91.7,436709312.32386464,9290.5,2440.4,-6377.9,0
2026-04-09T15:55:09.810062+00:00,123.50,0.16,123.5,0.16,-92.7,436709312.32386464,9288.1,2438.3,-6376.2,0
2026-04-09T15:55:10.148781+00:00,123.47,0.18,123.47,0.18,-88.7,436709312.32386464,9285.4,2436.0,-6374.4,0
2026-04-09T15:55:10.471635+00:00,123.44,0.20,123.44,0.2,-90.7,436709312.32386464,9283.0,2433.9,-6372.7,0
2026-04-09T15:55:10.820421+00:00,123.41,0.21,123.41,0.21,-89.7,436709312.32386464,9280.5,2431.8,-6371.0,0
2026-04-09T15:55:11.143981+00:00,123.38,0.23,123.38,0.23,-93.7,436709312.32386464,9278.0,2429.6,-6369.3,0
2026-04-09T15:55:11.471123+00:00,123.35,0.24,123.35,0.24,-89.7,436709312.32386464,9275.5,2427.5,-6367.6,0
2026-04-09T15:55:11.795198+00:00,123.33,0.26,123.33,0.26,-85.7,436709312.32386464,9273.1,2425.5,-6365.9,0
2026-04-09T15:55:12.143588+00:00,123.30,0.27,123.3,0.27,-87.7,436709312.32386464,9270.5,2423.2,-6364.1,0
2026-04-09T15:55:12.467219+00:00,123.27,0.29,123.27,0.29,-92.7,436709312.32386464,9268.0,2421.2,-6362.5,0
2026-04-09T15:55:12.791412+00:00,123.24,0.31,123.24,0.31,-88.7,436709312.32386464,9265.6,2419.1,-6360.8,0
2026-04-09T15:55:13.139582+00:00,123.21,0.32,123.21,0.32,-87.7,436709312.32386464,9263.1,2417.0,-6359.1,0
2026-04-09T15:55:13.463223+00:00,123.18,0.34,123.18,0.34,-87.7,436709312.32386464,9260.5,2414.8,-6357.3,0
2026-04-09T15:55:13.811597+00:00,123.15,0.36,123.15,0.36,-90.7,436709258.9041718,9257.8,2412.6,-6355.4,0
2026-04-09T15:55:14.155510+00:00,123.12,0.37,123.12,0.37,-90.7,436709258.9041718,9255.3,2410.6,-6353.7,0
2026-04-09T15:55:14.483521+00:00,123.09,0.39,123.09,0.39,-86.7,436709258.9041718,9252.7,2408.4,-6351.9,0
2026-04-09T15:55:14.807189+00:00,123.06,0.40,123.06,0.4,-88.7,436709258.9041718,9250.1,2406.3,-6350.2,0
2026-04-09T15:55:15.131701+00:00,123.03,0.42,123.03,0.42,-88.7,436709258.9041718,9247.6,2404.2,-6348.5,0
2026-04-09T15:55:15.479501+00:00,123.00,0.44,123.0,0.44,-90.7,436709258.9041718,9245.0,2402.0,-6346.6,0
2026-04-09T15:55:15.803524+00:00,122.98,0.45,122.98,0.45,-89.7,436709258.9041718,9242.4,2400.0,-6344.9,0
2026-04-09T15:55:16.131623+00:00,122.95,0.47,122.95,0.47,-85.7,436709258.9041718,9239.9,2397.9,-6343.1,0
2026-04-09T15:55:16.479706+00:00,122.92,0.48,122.92,0.48,-91.7,436709258.9041718,9237.3,2395.8,-6341.4,0
2026-04-09T15:55:16.803516+00:00,122.89,0.50,122.89,0.5,-89.7,436709258.9041718,9234.6,2393.7,-6339.5,0
2026-04-09T15:55:17.127725+00:00,122.86,0.52,122.86,0.52,-87.7,436709258.9041718,9232.0,2391.6,-6337.7,0
