t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T16:01:46.246248+00:00,16.31,45.16,16.31,45.16,-93.7,433003696.4355374,3696.4,4494.2,-2559.3,0
2026-04-09T16:01:46.566208+00:00,16.33,45.18,16.33,45.18,-102.7,433003696.4355374,3694.5,4493.2,-2557.9,0
2026-04-09T16:01:46.890174+00:00,16.35,45.20,16.35,45.2,-108.7,433003696.4355374,3692.8,4492.4,-2556.7,0
2026-04-09T16:01:47.234190+00:00,16.36,45.22,16.36,45.22,-109.7,433003696.4355374,3691.0,4491.6,-2555.5,0
2026-04-09T16:01:47.558198+00:00,16.38,45.25,16.38,45.25,-109.7,433003696.4355374,3689.2,4490.7,-2554.3,0
2026-04-09T16:01:47.882197+00:00,16.39,45.27,16.39,45.27,-100.7,433003696.4355374,3687.5,4489.9,-2553.1,0
2026-04-09T16:01:48.203775+00:00,16.41,45.29,16.41,45.29,-101.7,433003696.4355374,3685.7,4489.1,-2551.9,0
2026-04-09T16:01:48.546155+00:00,16.43,45.31,16.43,45.31,-107.7,433003696.4355374,3683.9,4488.2,-2550.6,0
2026-04-09T16:01:48.870129+00:00,16.44,45.33,16.44,45.33,-102.7,433003696.4355374,3682.2,4487.3,-2549.4,0
2026-04-09T16:01:49.194151+00:00,16.46,45.35,16.46,45.35,-101.7,433003696.4355374,3680.4,4486.5,-2548.2,0
2026-04-09T16:01:49.539587+00:00,16.47,45.37,16.47,45.37,-101.7,433003696.4355374,3678.7,4485.7,-2547.0,0
2026-04-09T16:01:49.867598+00:00,16.49,45.40,16.49,45.4,-107.7,433003696.4355374,3676.8,4484.8,-2545.7,0
2026-04-09T16:01:50.191261+00:00,16.51,45.42,16.51,45.42,-107.7,433003696.4355374,3675.1,4484.0,-2544.5,0
2026-04-09T16:01:50.520291+00:00,16.52,45.44,16.52,45.44,-107.7,433003696.4355374,3673.3,4483.2,-2543.3,0
2026-04-09T16:01:50.863576+00:00,16.54,45.46,16.54,45.46,-106.7,433003696.4355374,3671.5,4482.3,-2542.0,0
2026-04-09T16:01:51.196606+00:00,16.56,45.48,16.56,45.48,-105.7,433003696.4355374,3669.7,4481.5,-2540.8,0
2026-04-09T16:01:51.515554+00:00,16.57,45.50,16.57,45.5,-108.7,433003696.4355374,3667.9,4480.6,-2539.5,0
2026-04-09T16:01:51.864596+00:00,16.59,45.52,16.59,45.52,-109.7,433003696.4355374,3666.2,4479.8,-2538.3,0
2026-04-09T16:01:52.187681+00:00,16.60,45.55,16.6,45.55,-107.7,433003696.4355374,3664.3,4478.9,-2537.0,0
2026-04-09T16:01:52.516709+00:00,16.62,45.57,16.62,45.57,-109.7,433003696.4355374,3662.6,4478.1,-2535.8,0
2026-04-09T16:01:52.863219+00:00,16.64,45.59,16.64,45.59,-107.7,433003696.4355374,3660.8,4477.3,-2534.6,0
2026-04-09T16:01:53.187278+00:00,16.65,45.61,16.65,45.61,-109.7,433003696.4355374,3658.9,4476.4,-2533.3,0
2026-04-09T16:01:53.515592+00:00,16.67,45.63,16.67,45.63,-109.7,433003696.4355374,3657.2,4475.6,-2532.1,0
2026-04-09T16:01:53.839590+00:00,16.69,45.66,16.69,45.66,-109.7,433003696.4355374,3655.4,4474.7,-2530.8,0
2026-04-09T16:01:54.185257+00:00,16.70,45.68,16.7,45.68,-107.7,433003696.4355374,3653.5,4473.9,-2529.5,0
2026-04-09T16:01:54.511536+00:00,16.72,45.70,16.72,45.7,-111.7,433003696.4355374,3651.8,4473.0,-2528.3,0
2026-04-09T16:01:54.839248+00:00,16.74,45.72,16.74,45.72,-107.7,433003696.4355374,3650.0,4472.2,-2527.1,0
2026-04-09T16:01:55.182846+00:00,16.75,45.74,16.75,45.74,-107.7,433003696.4355374,3648.2,4471.4,-2525.9,0
2026-04-09T16:01:55.511509+00:00,16.77,45.76,16.77,45.76,-109.7,433003696.4355374,3646.3,4470.5,-2524.6,0
2026-04-09T16:01:55.835246+00:00,16.78,45.79,16.78,45.79,-112.7,433003696.4355374,3644.5,4469.7,-2523.3,0
2026-04-09T16:01:56.208315+00:00,16.80,45.81,16.8,45.81,-103.7,433003643.4331881,3642.7,4468.8,-2522.0,0
