t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T16:10:00.926150+00:00,100.07,18.27,100.07,18.27,-93.7,437485497.81775326,5497.8,1040.2,-3767.5,0
2026-04-09T16:10:01.250130+00:00,100.21,18.30,100.21,18.3,-98.7,437485497.81775326,5475.3,1038.8,-3752.1,0
2026-04-09T16:10:01.574136+00:00,100.34,18.34,100.34,18.34,-103.7,437485497.81775326,5455.8,1037.6,-3738.7,0
2026-04-09T16:10:01.914310+00:00,100.46,18.37,100.46,18.37,-108.7,437485497.81775326,5435.8,1036.4,-3725.0,0
2026-04-09T16:10:02.258228+00:00,100.61,18.41,100.61,18.41,-101.7,437485422.06364745,5413.3,1035.0,-3709.6,0
2026-04-09T16:10:02.582165+00:00,100.73,18.44,100.73,18.44,-103.7,437485422.06364745,5393.2,1033.8,-3695.8,0
2026-04-09T16:10:02.925146+00:00,100.86,18.48,100.86,18.48,-103.7,437485422.06364745,5373.3,1032.6,-3682.2,0
2026-04-09T16:10:03.251537+00:00,101.00,18.51,101.0,18.51,-104.7,437485422.06364745,5351.5,1031.4,-3667.2,0
2026-04-09T16:10:03.595577+00:00,101.13,18.55,101.13,18.55,-105.7,437485338.80046815,5329.9,1030.1,-3652.5,0
2026-04-09T16:10:03.943412+00:00,101.26,18.58,101.26,18.58,-108.7,437485338.80046815,5309.6,1028.9,-3638.5,0
2026-04-09T16:10:04.267546+00:00,101.40,18.62,101.4,18.62,-106.7,437485338.80046815,5287.6,1027.7,-3623.5,0
2026-04-09T16:10:04.595579+00:00,101.53,18.65,101.53,18.65,-105.7,437485338.80046815,5267.1,1026.5,-3609.4,0
2026-04-09T16:10:04.962906+00:00,101.67,18.69,101.67,18.69,-103.7,437485253.90059096,5245.2,1025.2,-3594.4,0
2026-04-09T16:10:05.288428+00:00,101.81,18.72,101.81,18.72,-106.7,437485253.90059096,5222.8,1024.0,-3579.0,0
2026-04-09T16:10:05.611376+00:00,101.94,18.76,101.94,18.76,-104.7,437485253.90059096,5202.0,1022.8,-3564.8,0
2026-04-09T16:10:05.939277+00:00,102.07,18.79,102.07,18.79,-107.7,437485253.90059096,5181.2,1021.7,-3550.5,0
2026-04-09T16:10:06.307580+00:00,102.22,18.83,102.22,18.83,-106.7,437485167.8018698,5157.6,1020.4,-3534.3,0
2026-04-09T16:10:06.631972+00:00,102.35,18.86,102.35,18.86,-107.7,437485167.8018698,5136.5,1019.2,-3519.9,0
2026-04-09T16:10:06.954195+00:00,102.49,18.89,102.49,18.89,-109.7,437485167.8018698,5115.2,1018.1,-3505.3,0
2026-04-09T16:10:07.298129+00:00,102.63,18.93,102.63,18.93,-107.7,437485167.8018698,5092.7,1016.9,-3489.9,0
2026-04-09T16:10:07.645603+00:00,102.77,18.96,102.77,18.96,-107.7,437485079.49250203,5070.2,1015.7,-3474.4,0
2026-04-09T16:10:07.966248+00:00,102.90,19.00,102.9,19.0,-107.7,437485079.49250203,5049.0,1014.5,-3459.9,0
2026-04-09T16:10:08.310288+00:00,103.04,19.03,103.04,19.03,-111.7,437485079.49250203,5026.5,1013.4,-3444.5,0
2026-04-09T16:10:08.634179+00:00,103.18,19.06,103.18,19.06,-109.7,437485079.49250203,5004.8,1012.2,-3429.6,0
2026-04-09T16:10:08.978156+00:00,103.32,19.10,103.32,19.1,-109.7,437484991.4310972,4982.2,1011.1,-3414.2,0
2026-04-09T16:10:09.322307+00:00,103.46,19.13,103.46,19.13,-104.7,437484991.4310972,4959.3,1009.9,-3398.5,0
2026-04-09T16:10:09.646415+00:00,103.60,19.16,103.6,19.16,-109.7,437484991.4310972,4937.7,1008.8,-3383.7,0
2026-04-09T16:10:09.970160+00:00,103.73,19.20,103.73,19.2,-112.7,437484991.4310972,4916.0,1007.7,-3368.8,0
2026-04-09T16:10:10.334282+00:00,103.88,19.23,103.88,19.23,-107.7,437484902.162298,4892.8,1006.6,-3352.9,0
2026-04-09T16:10:10.658174+00:00,104.02,19.26,104.02,19.26,-107.7,437484902.162298,4869.7,1005.4,-3337.1,0
2026-04-09T16:10:10.982593+00:00,104.16,19.30,104.16,19.3,-108.7,437484902.162298,4847.4,1004.3,-3321.8,0
2026-04-09T16:10:11.310205+00:00,104.29,19.33,104.29,19.33,-112.7,437484902.162298,4825.4,1003.2,-3306.7,0
2026-04-09T16:10:11.674198+00:00,104.45,19.36,104.45,19.36,-107.7,437484811.40536493,4800.6,1002.0,-3289.7,0
2026-04-09T16:10:11.999441+00:00,104.59,19.40,104.59,19.4,-106.7,437484811.40536493,4778.5,1001.0,-3274.6,0
2026-04-09T16:10:12.327352+00:00,104.73,19.43,104.73,19.43,-103.7,437484811.40536493,4756.0,999.9,-3259.1,0
2026-04-09T16:10:12.679909+00:00,104.87,19.46,104.87,19.46,-109.7,437484811.40536493,4731.9,998.8,-3242.7,0
2026-04-09T16:10:13.014832+00:00,105.02,19.50,105.02,19.5,-109.7,437484717.36791056,4708.3,997.7,-3226.4,0
2026-04-09T16:10:13.342137+00:00,105.16,19.53,105.16,19.53,-107.7,437484717.36791056,4685.7,996.6,-3211.0,0
2026-04-09T16:10:13.682929+00:00,105.31,19.56,105.31,19.56,-106.7,437484717.36791056,4661.8,995.5,-3194.6,0
2026-04-09T16:10:14.006190+00:00,105.45,19.59,105.45,19.59,-104.7,437484717.36791056,4639.2,994.5,-3179.1,0
